日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.078473735,1.63977326,0.517174209,,,
2013/1/8,1.22649645,1.787795976,0.665196925,,,
2013/1/15,0.986448191,1.547747717,0.425148665,,,
2013/1/22,1.052089443,1.613388969,0.490789918,,,
2013/1/29,0.909594191,1.470893717,0.348294665,,,
2013/2/5,1.011737932,1.573037458,0.450438406,,,
2013/2/19,0.841225781,1.402525307,0.279926256,,,
2013/2/26,0.895678693,1.456978218,0.334379167,,,
2013/3/5,0.805472465,1.366771991,0.244172939,,,
2013/3/12,0.732486051,1.293785577,0.171186525,,,
2013/3/19,1.179876328,1.741175854,0.618576802,,,
2013/3/26,0.702370407,1.263669932,0.141070881,,,
2013/4/2,0.780205968,1.341505493,0.218906442,,,
2013/4/9,0.957631382,1.518930907,0.396331856,,,
2013/4/16,1.16781623,1.729115755,0.606516704,,,
2013/4/23,0.950837967,1.512137493,0.389538442,,,
2013/4/30,1.010316498,1.571616023,0.449016972,,,
2013/5/7,1.157583674,1.7188832,0.596284148,,,
2013/5/14,1.018466121,1.579765647,0.457166596,,,
2013/5/21,1.260992355,1.822291881,0.69969283,,,
2013/5/28,1.098139297,1.659438823,0.536839771,,,
2013/6/4,1.33975852,1.901058046,0.778458994,,,
2013/6/11,1.351314147,1.912613673,0.790014622,,,
2013/6/18,1.163119183,1.724418709,0.601819658,,,
2013/6/25,1.123162585,1.684462111,0.56186306,,,
2013/7/2,1.019830959,1.581130484,0.458531433,,,
2013/7/9,1.235393189,1.796692715,0.674093663,,,
2013/7/16,1.096681137,1.657980662,0.535381611,,,
2013/7/23,1.044033311,1.605332836,0.482733785,,,
2013/7/30,0.97099871,1.532298235,0.409699184,,,
2013/8/6,0.978170807,1.539470333,0.416871281,,,
2013/8/13,0.993720387,1.555019913,0.432420862,,,
2013/8/20,0.827327917,1.388627442,0.266028391,,,
2013/8/27,0.869917743,1.431217268,0.308618217,,,
2013/9/3,0.90780128,1.469100806,0.346501755,,,
2013/9/10,0.87677744,1.438076966,0.315477914,,,
2013/9/17,0.839420936,1.400720461,0.27812141,,,
2013/9/24,1.082398503,1.643698028,0.521098977,,,
2013/10/1,1.167883759,1.729183285,0.606584234,,,
2013/10/8,0.86771481,1.429014336,0.306415284,,,
2013/10/15,1.028407211,1.589706736,0.467107685,,,
2013/10/22,0.889098511,1.450398037,0.327798986,,,
2013/10/29,0.900373068,1.461672594,0.339073543,,,
2013/11/5,0.87387636,1.435175886,0.312576834,,,
2013/11/12,1.022315878,1.583615404,0.461016353,,,
2013/11/19,1.023987083,1.585286608,0.462687557,,,
2013/11/26,0.890525988,1.451825514,0.329226463,,,
2013/12/3,1.288310318,1.849609844,0.727010792,,,
2013/12/10,1.169063041,1.730362567,0.607763516,,,
2013/12/17,1.073236088,1.634535613,0.511936562,,,
2013/12/24,1.185914966,1.747214492,0.624615441,,,
2014/1/1,1.285298939,1.846598464,0.723999413,,,
2014/1/8,1.240877975,1.802177501,0.679578449,,,
2014/1/15,1.218148853,1.779448378,0.656849327,,,
2014/1/22,1.105165231,1.666464756,0.543865705,,,
2014/1/29,1.119045201,1.680344727,0.557745675,,,
2014/2/5,1.177139445,1.738438971,0.61583992,,,
2014/2/12,1.288854479,1.850154004,0.727554953,,,
2014/2/19,1.131452458,1.692751984,0.570152933,,,
2014/2/26,1.081099693,1.642399219,0.519800167,,,
2014/3/5,1.045448697,1.606748222,0.484149171,,,
2014/3/12,1.076957875,1.638257401,0.515658349,,,
2014/3/19,1.017674311,1.578973836,0.456374785,,,
2014/3/26,1.055419201,1.616718727,0.494119676,,,
2014/4/2,1.20697118,1.768270706,0.645671655,,,
2014/4/9,1.005015564,1.56631509,0.443716039,,,
2014/4/16,1.243948831,1.805248357,0.682649305,,,
2014/4/23,0.913465438,1.474764963,0.352165912,,,
2014/4/30,0.902567498,1.463867024,0.341267973,,,
2014/5/7,0.981955496,1.543255022,0.42065597,,,
2014/5/14,1.217171275,1.778470801,0.65587175,,,
2014/5/21,1.001646821,1.562946347,0.440347295,,,
2014/5/28,1.126875414,1.68817494,0.565575889,,,
2014/6/4,1.083195508,1.644495033,0.521895982,,,
2014/6/11,1.086078879,1.647378404,0.524779353,,,
2014/6/18,1.018643516,1.579943041,0.45734399,,,
2014/6/25,1.15621069,1.717510216,0.594911164,,,
2014/7/2,1.201313979,1.762613504,0.640014453,,,
2014/7/9,1.207851685,1.76915121,0.646552159,,,
2014/7/16,1.24782939,1.809128916,0.686529865,,,
2014/7/23,1.139703344,1.701002869,0.578403818,,,
2014/7/30,1.081213781,1.642513306,0.519914255,,,
2014/12/17,1.103202611,1.664502137,0.541903085,,,
2014/12/24,0.956429395,1.51772892,0.395129869,,,
2014/12/31,1.044706108,1.606005634,0.483406582,,,
2015/1/1,1.643788029,2.205087554,1.082488503,,,
2015/1/8,1.097857242,1.659156768,0.536557716,,,
2015/1/15,0.871503217,1.432802743,0.310203691,,,
2015/1/22,1.015167526,1.576467051,0.453868,,,
2015/1/29,1.352333705,1.91363323,0.791034179,,,
2015/2/5,1.07100069,1.632300216,0.509701165,,,
2015/2/12,1.074457503,1.635757028,0.513157977,,,
2015/2/19,0.944889069,1.506188594,0.383589543,,,
2015/2/26,1.055912919,1.617212444,0.494613393,,,
2015/3/5,1.011707364,1.57300689,0.450407838,,,
2015/3/12,0.911564054,1.47286358,0.350264529,,,
2015/3/19,1.122211999,1.683511524,0.560912473,,,
2015/3/26,1.27656768,1.837867206,0.715268155,,,
2015/4/2,1.320420052,1.881719578,0.759120527,,,
2015/4/9,1.129191571,1.690491097,0.567892046,,,
2015/4/16,1.247512085,1.80881161,0.686212559,,,
2015/4/23,1.236874511,1.798174036,0.675574985,,,
2015/4/30,1.226907453,1.788206979,0.665607928,,,
2015/5/7,1.164145364,1.725444889,0.602845838,,,
2015/5/14,1.24452651,1.805826035,0.683226984,,,
2015/5/21,1.24188875,1.803188276,0.680589225,,,
2015/5/28,1.362310685,1.923610211,0.801011159,,,
