日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.558944843,1.305626189,-0.187736502,,,
2013/1/8,0.335891014,1.08257236,-0.410790332,,,
2013/1/15,0.279743123,1.026424469,-0.466938222,,,
2013/1/22,0.26293934,1.009620686,-0.483742005,,,
2013/1/29,0.281004778,1.027686123,-0.465676568,,,
2013/2/5,0.278988799,1.025670145,-0.467692546,,,
2013/2/19,0.241750802,0.988432147,-0.504930544,,,
2013/2/26,0.20328967,0.949971016,-0.543391676,,,
2013/3/5,0.211034081,0.957715427,-0.535647264,,,
2013/3/12,0.386475718,1.133157064,-0.360205628,,,
2013/3/19,0.3394858,1.086167145,-0.407195546,,,
2013/3/26,0.261693441,1.008374786,-0.484987905,,,
2013/4/2,0.149478273,0.896159619,-0.597203072,,,
2013/4/9,0.321951713,1.068633058,-0.424729633,,,
2013/4/16,0.36600998,1.112691326,-0.380671365,,,
2013/4/23,0.332023155,1.078704501,-0.414658191,,,
2013/4/30,0.229673922,0.976355268,-0.517007423,,,
2013/5/7,0.270440666,1.017122012,-0.476240679,,,
2013/5/14,0.280409105,1.02709045,-0.466272241,,,
2013/5/21,0.338426366,1.085107712,-0.408254979,,,
2013/5/28,0.220538205,0.96721955,-0.526143141,,,
2013/6/4,0.278086978,1.024768323,-0.468594368,,,
2013/6/11,0.296552055,1.0432334,-0.450129291,,,
2013/6/18,0.245919768,0.992601113,-0.500761578,,,
2013/6/25,0.218057909,0.964739255,-0.528623437,,,
2013/7/2,0.24314486,0.989826206,-0.503536485,,,
2013/7/9,0.275421122,1.022102467,-0.471260224,,,
2013/7/16,0.615232447,1.361913792,-0.131448899,,,
2013/7/23,0.58819751,1.334878855,-0.158483836,,,
2013/7/30,0.46287981,1.209561156,-0.283801536,,,
2013/8/6,0.197764894,0.94444624,-0.548916451,,,
2013/8/13,0.57439751,1.321078856,-0.172283836,,,
2013/8/20,0.510835076,1.257516422,-0.235846269,,,
2013/8/27,0.300557045,1.047238391,-0.446124301,,,
2013/9/3,0.183300423,0.929981768,-0.563380923,,,
2013/9/10,0.500099877,1.246781223,-0.246581469,,,
2013/9/17,0.330274475,1.07695582,-0.416406871,,,
2013/9/24,0.344363656,1.091045001,-0.40231769,,,
2013/10/1,0.320472869,1.067154215,-0.426208476,,,
2013/10/8,0.405857562,1.152538907,-0.340823784,,,
2013/10/15,0.258780284,1.005461629,-0.487901062,,,
2013/10/22,0.251514591,0.998195936,-0.495166755,,,
2013/10/29,0.315122414,1.061803759,-0.431558932,,,
2013/11/5,0.318700607,1.065381953,-0.427980738,,,
2013/11/12,0.311625551,1.058306897,-0.435055795,,,
2013/11/19,0.308534444,1.05521579,-0.438146901,,,
2013/11/26,0.278482401,1.025163746,-0.468198945,,,
2013/12/3,0.319468275,1.06614962,-0.427213071,,,
2013/12/10,0.389872122,1.136553468,-0.356809223,,,
2013/12/17,0.425858244,1.17253959,-0.320823102,,,
2013/12/24,0.353162719,1.099844065,-0.393518627,,,
2014/1/1,0.343871551,1.090552897,-0.402809794,,,
2014/1/8,0.377871976,1.124553321,-0.36880937,,,
2014/1/15,0.443261183,1.189942528,-0.303420163,,,
2014/1/22,0.378001715,1.124683061,-0.368679631,,,
2014/1/29,0.433667479,1.180348825,-0.313013866,,,
2014/2/5,0.355123275,1.10180462,-0.391558071,,,
2014/2/12,0.395828616,1.142509962,-0.35085273,,,
2014/2/19,0.320326854,1.067008199,-0.426354492,,,
2014/2/26,0.42168287,1.168364215,-0.324998476,,,
2014/3/5,0.38215988,1.128841226,-0.364521465,,,
2014/3/12,0.410364309,1.157045654,-0.336317037,,,
2014/3/19,0.406362131,1.153043476,-0.340319215,,,
2014/3/26,0.490166609,1.236847955,-0.256514736,,,
2014/4/2,0.399467623,1.146148969,-0.347213722,,,
2014/4/9,0.366245968,1.112927313,-0.380435378,,,
2014/4/16,0.479143288,1.225824634,-0.267538057,,,
2014/4/23,0.516584738,1.263266084,-0.230096608,,,
2014/4/30,0.402844696,1.149526041,-0.34383665,,,
2014/5/7,0.248912833,0.995594179,-0.497768512,,,
2014/5/14,0.433287167,1.179968512,-0.313394179,,,
2014/5/21,0.452221361,1.198902706,-0.294459985,,,
2014/5/28,0.53159352,1.278274865,-0.215087826,,,
2014/6/4,0.493674825,1.24035617,-0.253006521,,,
2014/6/11,0.575693826,1.322375171,-0.17098752,,,
2014/6/18,0.370761409,1.117442755,-0.375919936,,,
2014/6/25,0.468509878,1.215191223,-0.278171468,,,
2014/7/2,0.527596649,1.274277994,-0.219084697,,,
2014/7/9,0.641707046,1.388388392,-0.104974299,,,
2014/7/16,0.466976516,1.213657861,-0.27970483,,,
2014/7/23,0.416972212,1.163653557,-0.329709134,,,
2014/7/30,0.392619155,1.139300501,-0.354062191,,,
2014/12/17,0.502515211,1.249196557,-0.244166134,,,
2014/12/24,0.388989171,1.135670517,-0.357692174,,,
2014/12/31,0.319811778,1.066493123,-0.426869568,,,
2015/1/1,0.392997222,1.139678568,-0.353684123,,,
