日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.89151737,1.618676819,0.164357922,,,
2013/1/8,0.671204741,1.398364189,-0.055954708,,,
2013/1/15,0.895709267,1.622868716,0.168549819,,,
2013/1/22,0.830356259,1.557515707,0.103196811,,,
2013/1/29,1.034015356,1.761174805,0.306855908,,,
2013/2/5,0.936923717,1.664083166,0.209764269,,,
2013/2/19,0.929220055,1.656379504,0.202060607,,,
2013/2/26,0.889213153,1.616372601,0.162053705,,,
2013/3/5,0.813109486,1.540268935,0.085950038,,,
2013/3/12,0.80225937,1.529418818,0.075099922,,,
2013/3/19,0.698429157,1.425588605,-0.028730291,,,
2013/3/26,0.74492947,1.472088918,0.017770022,,,
2013/4/2,0.744528062,1.471687511,0.017368614,,,
2013/4/9,0.784389777,1.511549226,0.057230329,,,
2013/4/16,0.663893651,1.391053099,-0.063265797,,,
2013/4/23,0.604217139,1.331376588,-0.122942309,,,
2013/4/30,0.512079593,1.239239041,-0.215079855,,,
2013/5/7,0.53688521,1.264044658,-0.190274238,,,
2013/5/14,0.484070379,1.211229827,-0.243089069,,,
2013/5/21,0.494339696,1.221499144,-0.232819752,,,
2013/5/28,0.668310185,1.395469634,-0.058849263,,,
2013/6/4,0.766035401,1.49319485,0.038875953,,,
2013/6/11,0.742725225,1.469884673,0.015565777,,,
2013/6/18,0.677712095,1.404871543,-0.049447353,,,
2013/6/25,0.686140609,1.413300057,-0.041018839,,,
2013/7/2,0.600040737,1.327200185,-0.127118711,,,
2013/7/9,0.688870335,1.416029783,-0.038289113,,,
2013/7/16,0.646988962,1.374148411,-0.080170486,,,
2013/7/23,0.875658678,1.602818126,0.14849923,,,
2013/7/30,0.774741016,1.501900464,0.047581568,,,
2013/8/6,0.849628904,1.576788352,0.122469455,,,
2013/8/13,0.795995925,1.523155373,0.068836477,,,
2013/8/20,0.724278719,1.451438167,-0.002880729,,,
2013/8/27,0.691061018,1.418220466,-0.03609843,,,
2013/9/3,0.707191199,1.434350647,-0.019968249,,,
2013/9/10,0.606767575,1.333927023,-0.120391874,,,
2013/9/17,0.571761073,1.298920522,-0.155398375,,,
2013/9/24,0.648424932,1.37558438,-0.078734517,,,
2013/10/1,0.633643795,1.360803243,-0.093515653,,,
2013/10/8,0.58265112,1.309810568,-0.144508329,,,
2013/10/15,0.555808989,1.282968437,-0.171350459,,,
2013/10/22,0.510390013,1.237549461,-0.216769435,,,
2013/10/29,0.49869124,1.225850688,-0.228468208,,,
2013/11/5,0.487435997,1.214595445,-0.239723451,,,
2013/11/12,0.553591071,1.280750519,-0.173568377,,,
2013/11/19,0.528440228,1.255599676,-0.19871922,,,
2013/11/26,0.518491436,1.245650884,-0.208668012,,,
2013/12/3,0.48772123,1.214880678,-0.239438218,,,
2013/12/10,0.525814911,1.252974359,-0.201344537,,,
2013/12/17,0.505029641,1.232189089,-0.222129807,,,
2013/12/24,0.553847828,1.281007276,-0.17331162,,,
2014/1/1,0.600505959,1.327665407,-0.12665349,,,
2014/1/8,0.654615985,1.381775433,-0.072543463,,,
2014/1/15,0.613836784,1.340996232,-0.113322665,,,
2014/1/22,0.513734945,1.240894393,-0.213424503,,,
2014/1/29,0.532845973,1.260005421,-0.194313475,,,
2014/2/5,0.508292234,1.235451683,-0.218867214,,,
2014/2/12,0.660964618,1.388124066,-0.06619483,,,
2014/2/19,0.647522033,1.374681481,-0.079637415,,,
2014/2/26,0.697983213,1.425142661,-0.029176236,,,
2014/3/5,0.735831717,1.462991165,0.008672269,,,
2014/3/12,0.708515962,1.43567541,-0.018643486,,,
2014/3/19,0.636937799,1.364097247,-0.09022165,,,
2014/3/26,0.576557411,1.30371686,-0.150602037,,,
2014/4/2,0.632932876,1.360092325,-0.094226572,,,
2014/4/9,0.637460146,1.364619594,-0.089699302,,,
2014/4/16,0.799919591,1.527079039,0.072760143,,,
2014/4/23,0.717241942,1.44440139,-0.009917507,,,
2014/4/30,0.642935572,1.37009502,-0.084223876,,,
2014/5/7,0.578272581,1.305432029,-0.148886867,,,
2014/5/14,0.62801504,1.355174488,-0.099144408,,,
2014/5/21,0.577679904,1.304839352,-0.149479544,,,
2014/5/28,0.616263215,1.343422663,-0.110896233,,,
2014/6/4,0.849031143,1.576190592,0.121871695,,,
2014/6/11,0.784252188,1.511411637,0.05709274,,,
2014/6/18,0.8138179,1.540977349,0.086658452,,,
2014/6/25,0.788737809,1.515897257,0.061578361,,,
2014/7/2,0.761055733,1.488215181,0.033896285,,,
2014/7/9,0.733460233,1.460619681,0.006300785,,,
2014/7/16,0.831224409,1.558383857,0.104064961,,,
2014/7/23,0.808559462,1.53571891,0.081400013,,,
2014/7/30,0.784651091,1.51181054,0.057491643,,,
2014/12/17,0.794634194,1.521793642,0.067474746,,,
2014/12/24,0.746191753,1.473351201,0.019032305,,,
2014/12/31,0.694730515,1.421889963,-0.032428933,,,
2015/1/1,0.581133486,1.308292935,-0.146025962,,,
2015/1/8,0.690241466,1.417400914,-0.036917983,,,
2015/1/15,0.671906502,1.399065951,-0.055252946,,,
2015/1/22,0.70176478,1.428924229,-0.025394668,,,
2015/1/29,0.664025253,1.391184702,-0.063134195,,,
2015/2/5,0.63850486,1.365664309,-0.088654588,,,
2015/2/12,0.610777893,1.337937341,-0.116381555,,,
2015/2/19,0.558664018,1.285823466,-0.16849543,,,
2015/2/26,0.512294597,1.239454046,-0.214864851,,,
2015/3/5,0.599781816,1.326941264,-0.127377633,,,
2015/3/12,0.65239334,1.379552789,-0.074766108,,,
2015/3/19,0.81684408,1.544003528,0.089684632,,,
2015/3/26,0.858768132,1.585927581,0.131608684,,,
2015/4/2,1.069582056,1.796741504,0.342422608,,,
2015/4/9,0.985595793,1.712755241,0.258436345,,,
2015/4/16,0.994304947,1.721464396,0.267145499,,,
2015/4/23,0.933943224,1.661102672,0.206783776,,,
2015/4/30,0.956198655,1.683358103,0.229039207,,,
2015/5/7,0.936161634,1.663321082,0.209002186,,,
2015/5/14,1.018006978,1.745166426,0.29084753,,,
2015/5/21,1.052137538,1.779296986,0.32497809,,,
2015/5/28,1.600556353,2.327715802,0.873396905,,,
2015/6/4,1.497332511,2.224491959,0.770173063,,,
2015/6/11,1.473037361,2.200196809,0.745877913,,,
2015/6/18,1.105333459,1.832492908,0.378174011,,,
2015/6/25,1.023034328,1.750193776,0.29587488,,,
2015/7/2,1.136718994,1.863878442,0.409559546,,,
2015/7/9,0.944115949,1.671275397,0.216956501,,,
2015/7/16,1.097948655,1.825108103,0.370789207,,,
2015/7/23,1.143605397,1.870764845,0.416445948,,,
2015/7/30,1.295778669,2.022938117,0.56861922,,,
2015/8/6,1.396987222,2.12414667,0.669827774,,,
2015/8/13,1.025548191,1.75270764,0.298388743,,,
2015/8/20,1.001889748,1.729049196,0.2747303,,,
2015/8/27,1.067281014,1.794440462,0.340121566,,,
2015/9/3,0.96393602,1.691095468,0.236776571,,,
2015/9/10,0.996117743,1.723277191,0.268958295,,,
2015/9/17,0.993925907,1.721085356,0.266766459,,,
2015/9/24,1.070630485,1.797789933,0.343471037,,,
2015/10/1,1.171314836,1.898474284,0.444155388,,,
2015/10/8,1.161147691,1.888307139,0.433988243,,,
2015/10/15,1.226406828,1.953566276,0.499247379,,,
2015/10/22,1.125777135,1.852936583,0.398617687,,,
2015/10/29,1.116651798,1.843811246,0.38949235,,,
2015/11/5,1.352665542,2.07982499,0.625506094,,,
2015/11/12,1.393324071,2.12048352,0.666164623,,,
2015/11/19,1.450332274,2.177491722,0.723172826,,,
2015/11/26,1.701502857,2.428662305,0.974343409,,,
2015/12/3,1.622727383,2.349886831,0.895567935,,,
2015/12/10,1.495508685,2.222668133,0.768349237,,,
2015/12/17,1.321183024,2.048342472,0.594023575,,,
2015/12/24,1.191241579,1.918401027,0.464082131,,,
2015/12/31,1.073474634,1.800634082,0.346315186,,,
2016/1/8,1.08150739,1.808666838,0.354347942,,,
2016/1/15,1.200599661,1.92775911,0.473440213,,,
2016/1/22,1.15744428,1.884603728,0.430284832,,,
2016/1/29,1.231726286,1.958885734,0.504566838,,,
2016/2/5,1.288594971,2.01575442,0.561435523,,,
2016/2/12,1.139784563,1.866944011,0.412625114,,,
2016/2/19,0.904102577,1.631262026,0.176943129,,,
2016/2/26,0.935626963,1.662786412,0.208467515,,,
2016/3/4,0.943412004,1.670571452,0.216252555,,,
2016/3/11,1.077041946,1.804201394,0.349882498,,,
2016/3/18,1.242707592,1.96986704,0.515548144,,,
2016/3/25,1.481979525,2.209138974,0.754820077,,,
2016/4/1,1.429869892,2.15702934,0.702710444,,,
2016/4/8,1.301018784,2.028178232,0.573859336,,,
2016/4/15,1.195134636,1.922294084,0.467975188,,,
2016/4/22,1.151336701,1.878496149,0.424177253,,,
2016/4/29,1.082773924,1.809933372,0.355614476,,,
2016/5/6,1.199040294,1.926199742,0.471880845,,,
2016/5/13,1.334162341,2.06132179,0.607002893,,,
2016/5/20,1.37662909,2.103788538,0.649469642,,,
2016/5/27,1.545938381,2.273097829,0.818778933,,,
2016/6/3,1.493139739,2.220299187,0.765980291,,,
2016/6/10,1.366051851,2.093211299,0.638892403,,,
2016/6/17,1.196192947,1.923352395,0.469033499,,,
2016/6/24,1.22263038,1.949789828,0.495470931,,,
2016/7/1,1.103493112,1.83065256,0.376333664,,,
2016/7/8,1.367979319,2.095138768,0.640819871,,,
2016/7/15,1.489118585,2.216278033,0.761959137,,,
2016/7/22,1.415305611,2.142465059,0.688146162,,,
2016/7/29,1.491396034,2.218555482,0.764236586,,,
2016/8/5,1.407132119,2.134291567,0.679972671,,,
2016/8/12,1.310612315,2.037771763,0.583452867,,,
2016/8/19,1.102376818,1.829536266,0.37521737,,,
2016/8/26,1.131476127,1.858635575,0.404316679,,,
2016/9/2,1.232320721,1.959480169,0.505161273,,,
2016/9/9,1.289174221,2.016333669,0.562014773,,,
2016/9/16,1.359588875,2.086748323,0.632429426,,,
2016/9/23,1.325837579,2.052997027,0.59867813,,,
2016/9/30,1.368571858,2.095731306,0.641412409,,,
2016/10/7,1.43810535,2.165264799,0.710945902,,,
2016/10/14,1.174373919,1.901533367,0.447214471,,,
2016/10/21,1.151475486,1.878634935,0.424316038,,,
2016/10/28,1.26666487,1.993824318,0.539505422,,,
2016/11/4,1.298158181,2.025317629,0.570998733,,,
2016/11/11,1.383060951,2.110220399,0.655901503,,,
2016/11/18,1.32973683,2.056896279,0.602577382,,,
2016/11/25,1.435485425,2.162644873,0.708325977,,,
2016/12/2,1.439873914,2.167033362,0.712714466,,,
2016/12/9,1.583788598,2.310948046,0.85662915,,,
2016/12/16,1.477599064,2.204758512,0.750439616,,,
2016/12/23,1.330023515,2.057182963,0.602864067,,,
2016/12/30,1.417467266,2.144626714,0.690307818,,,
2017/1/1,1.236937069,1.964096517,0.509777621,,,
2017/1/8,1.296049597,2.023209045,0.568890149,,,
2017/1/15,1.208523866,1.935683315,0.481364418,,,
2017/1/22,1.118741621,1.845901069,0.391582173,,,
2017/1/29,1.279015397,2.006174845,0.551855949,,,
