日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.534006074,1.326813142,-0.258800995,,,
2013/1/8,0.36085477,1.153661839,-0.431952298,,,
2013/1/15,0.342628284,1.135435353,-0.450178785,,,
2013/1/22,0.32092999,1.113737059,-0.471877079,,,
2013/1/29,0.27114791,1.063954979,-0.521659159,,,
2013/2/5,0.278857538,1.071664607,-0.513949531,,,
2013/2/19,0.241832916,1.034639985,-0.550974153,,,
2013/2/26,0.37254798,1.165355049,-0.420259089,,,
2013/3/5,0.25913052,1.051937589,-0.533676548,,,
2013/3/12,0.322843167,1.115650235,-0.469963902,,,
2013/3/19,0.274981679,1.067788748,-0.51782539,,,
2013/3/26,0.354047585,1.146854654,-0.438759484,,,
2013/4/2,0.36811153,1.160918599,-0.424695539,,,
2013/4/9,0.289673372,1.082480441,-0.503133697,,,
2013/4/16,0.338509822,1.13131689,-0.454297247,,,
2013/4/23,0.259246306,1.052053375,-0.533560763,,,
2013/4/30,0.338164786,1.130971854,-0.454642283,,,
2013/5/7,0.192183683,0.984990752,-0.600623386,,,
2013/5/14,0.233083084,1.025890153,-0.559723985,,,
2013/5/21,0.203453783,0.996260852,-0.589353286,,,
2013/5/28,0.222507252,1.015314321,-0.570299816,,,
2013/6/4,0.239836885,1.032643954,-0.552970184,,,
2013/6/11,0.223860849,1.016667918,-0.56894622,,,
2013/6/18,0.239161626,1.031968695,-0.553645442,,,
2013/6/25,0.250410379,1.043217448,-0.54239669,,,
2013/7/2,0.237548872,1.030355941,-0.555258197,,,
2013/7/9,0.247695822,1.040502891,-0.545111247,,,
2013/7/16,0.245524859,1.038331927,-0.54728221,,,
2013/7/23,0.26670567,1.059512739,-0.526101399,,,
2013/7/30,0.276214483,1.069021552,-0.516592586,,,
2013/8/6,0.265242528,1.058049596,-0.527564541,,,
2013/8/13,0.292176045,1.084983114,-0.500631023,,,
2013/8/20,0.280809414,1.073616482,-0.511997655,,,
2013/8/27,0.264752018,1.057559087,-0.528055051,,,
2013/9/3,0.2263064,1.019113469,-0.566500669,,,
2013/9/10,0.239071638,1.031878707,-0.553735431,,,
2013/9/17,0.213726756,1.006533825,-0.579080312,,,
2013/9/24,0.18773792,0.980544989,-0.605069149,,,
2013/10/1,0.25440574,1.047212808,-0.538401329,,,
2013/10/8,0.23093902,1.023746089,-0.561868048,,,
2013/10/15,0.233038392,1.025845461,-0.559768676,,,
2013/10/22,0.249811532,1.042618601,-0.542995537,,,
2013/10/29,0.212014337,1.004821406,-0.580792732,,,
2013/11/5,0.269939243,1.062746311,-0.522867826,,,
2013/11/12,0.195788219,0.988595288,-0.597018849,,,
2013/11/19,0.266185577,1.058992646,-0.526621492,,,
2013/11/26,0.228538344,1.021345413,-0.564268725,,,
2013/12/3,0.25525476,1.048061829,-0.537552309,,,
2013/12/10,0.271099749,1.063906818,-0.52170732,,,
2013/12/17,0.252250952,1.045058021,-0.540556116,,,
2013/12/24,0.280285529,1.073092597,-0.51252154,,,
2014/1/1,0.244598297,1.037405366,-0.548208772,,,
2014/1/8,0.299307923,1.092114992,-0.493499146,,,
2014/1/15,0.289946804,1.082753873,-0.502860265,,,
2014/1/22,0.311585939,1.104393008,-0.481221129,,,
2014/1/29,0.306554912,1.099361981,-0.486252157,,,
2014/2/5,0.339721943,1.132529012,-0.453085126,,,
2014/2/12,0.515389061,1.30819613,-0.277418007,,,
2014/2/19,0.464588863,1.257395932,-0.328218206,,,
2014/2/26,0.471285729,1.264092798,-0.32152134,,,
2014/3/5,0.536193103,1.329000172,-0.256613966,,,
2014/3/12,0.48959277,1.282399839,-0.303214299,,,
2014/3/19,0.56518672,1.357993789,-0.227620349,,,
2014/3/26,0.299355154,1.092162223,-0.493451914,,,
2014/4/2,0.445087316,1.237894384,-0.347719753,,,
2014/4/9,0.299198999,1.092006067,-0.49360807,,,
2014/4/16,0.321666356,1.114473425,-0.471140712,,,
2014/4/23,0.289171244,1.081978313,-0.503635825,,,
2014/4/30,0.203700364,0.996507433,-0.589106705,,,
2014/5/7,0.255319937,1.048127006,-0.537487132,,,
2014/5/14,0.241539363,1.034346432,-0.551267706,,,
2014/5/21,0.229303587,1.022110656,-0.563503482,,,
2014/5/28,0.239273022,1.032080091,-0.553534047,,,
2014/6/4,0.302303655,1.095110724,-0.490503414,,,
2014/6/11,0.29740077,1.090207839,-0.495406299,,,
2014/6/18,0.322668311,1.11547538,-0.470138757,,,
2014/6/25,0.342872124,1.135679192,-0.449934945,,,
2014/7/2,0.334774853,1.127581922,-0.458032216,,,
2014/7/9,0.35655057,1.149357639,-0.436256499,,,
2014/7/16,0.301612623,1.094419691,-0.491194446,,,
2014/7/23,0.351565358,1.144372426,-0.441241711,,,
2014/7/30,0.287451231,1.0802583,-0.505355838,,,
2014/12/17,0.279963572,1.07277064,-0.512843497,,,
2014/12/24,0.280421287,1.073228356,-0.512385782,,,
2014/12/31,0.224172379,1.016979448,-0.56863469,,,
2015/1/1,0.266871129,1.059678198,-0.525935939,,,
2015/1/8,0.212045869,1.004852937,-0.5807612,,,
2015/1/15,0.232370861,1.025177929,-0.560436208,,,
2015/1/22,0.207218811,1.00002588,-0.585588258,,,
2015/1/29,0.223857165,1.016664234,-0.568949903,,,
2015/2/5,0.209039415,1.001846483,-0.583767654,,,
2015/2/12,0.212670501,1.00547757,-0.580136568,,,
2015/2/19,0.202497414,0.995304483,-0.590309654,,,
2015/2/26,0.201826025,0.994633094,-0.590981044,,,
2015/3/5,0.207570114,1.000377183,-0.585236954,,,
2015/3/12,0.202622994,0.995430063,-0.590184075,,,
2015/3/19,0.238642012,1.031449081,-0.554165056,,,
2015/3/26,0.211002869,1.003809937,-0.5818042,,,
2015/4/2,0.279715389,1.072522457,-0.51309168,,,
2015/4/9,0.281702363,1.074509432,-0.511104705,,,
2015/4/16,0.273275376,1.066082445,-0.519531693,,,
2015/4/23,0.309629695,1.102436763,-0.483177374,,,
2015/4/30,0.27125685,1.064063919,-0.521550219,,,
2015/5/7,0.309935302,1.10274237,-0.482871767,,,
2015/5/14,0.258791999,1.051599068,-0.534015069,,,
2015/5/21,0.26876281,1.061569879,-0.524044258,,,
2015/5/28,0.306733476,1.099540545,-0.486073593,,,
2015/6/4,0.299503105,1.092310174,-0.493303963,,,
2015/6/11,0.313997599,1.106804667,-0.47880947,,,
2015/6/18,0.313333141,1.10614021,-0.479473927,,,
2015/6/25,0.307964772,1.100771841,-0.484842297,,,
2015/7/2,0.407003561,1.199810629,-0.385803508,,,
2015/7/9,0.355861184,1.148668253,-0.436945885,,,
2015/7/16,0.33987853,1.132685598,-0.452928539,,,
2015/7/23,0.357828307,1.150635375,-0.434978762,,,
2015/7/30,0.350810144,1.143617213,-0.441996925,,,
2015/8/6,0.414578956,1.207386025,-0.378228113,,,
2015/8/13,0.37392236,1.166729429,-0.418884709,,,
2015/8/20,0.380897036,1.173704105,-0.411910033,,,
2015/8/27,0.423846891,1.216653959,-0.368960178,,,
2015/9/3,0.382977256,1.175784324,-0.409829813,,,
2015/9/10,0.379196564,1.172003633,-0.413610505,,,
2015/9/17,0.38274275,1.175549819,-0.410064319,,,
2015/9/24,0.398863776,1.191670845,-0.393943293,,,
2015/10/1,0.369900457,1.162707526,-0.422906611,,,
2015/10/8,0.377547495,1.170354564,-0.415259574,,,
2015/10/15,0.376621629,1.169428698,-0.41618544,,,
2015/10/22,0.456159006,1.248966075,-0.336648062,,,
2015/10/29,0.320055364,1.112862433,-0.472751705,,,
2015/11/5,0.457930843,1.250737912,-0.334876225,,,
2015/11/12,0.385656039,1.178463108,-0.40715103,,,
2015/11/19,0.417661205,1.210468273,-0.375145864,,,
2015/11/26,0.548000275,1.340807344,-0.244806794,,,
2015/12/3,0.607841128,1.400648196,-0.184965941,,,
2015/12/10,0.579799428,1.372606497,-0.213007641,,,
2015/12/17,0.587683127,1.380490195,-0.205123942,,,
2015/12/24,0.523384273,1.316191342,-0.269422796,,,
2015/12/31,0.610864759,1.403671828,-0.18194231,,,
2016/1/8,0.42165548,1.214462549,-0.371151589,,,
2016/1/15,0.371533542,1.164340611,-0.421273526,,,
2016/1/22,0.387910916,1.180717985,-0.404896153,,,
2016/1/29,0.33857568,1.131382749,-0.454231388,,,
2016/2/5,0.422883643,1.215690712,-0.369923426,,,
2016/2/12,0.37793142,1.170738489,-0.414875648,,,
2016/2/19,0.397055221,1.18986229,-0.395751848,,,
2016/2/26,0.377667419,1.170474488,-0.415139649,,,
2016/3/4,0.470563161,1.26337023,-0.322243908,,,
2016/3/11,0.355633385,1.148440454,-0.437173683,,,
2016/3/18,0.45692913,1.249736199,-0.335877939,,,
2016/3/25,0.417143056,1.209950125,-0.375664013,,,
2016/4/1,0.484780761,1.27758783,-0.308026308,,,
2016/4/8,0.507790016,1.300597085,-0.285017052,,,
2016/4/15,0.554448701,1.34725577,-0.238358368,,,
2016/4/22,0.598711048,1.391518117,-0.19409602,,,
2016/4/29,0.593227265,1.386034334,-0.199579804,,,
2016/5/6,0.624051761,1.41685883,-0.168755308,,,
2016/5/13,0.634672056,1.427479125,-0.158135013,,,
2016/5/20,0.638896275,1.431703343,-0.153910794,,,
2016/5/27,0.584745313,1.377552382,-0.208061755,,,
2016/6/3,0.64642354,1.439230608,-0.146383529,,,
2016/6/10,0.695025026,1.487832095,-0.097782043,,,
2016/6/17,0.566835758,1.359642827,-0.225971311,,,
2016/6/24,0.69823263,1.491039698,-0.094574439,,,
2016/7/1,0.62855468,1.421361749,-0.164252389,,,
2016/7/8,0.782609892,1.575416961,-0.010197177,,,
2016/7/15,0.710062223,1.502869292,-0.082744846,,,
2016/7/22,0.756040936,1.548848004,-0.036766133,,,
2016/7/29,0.737178409,1.529985477,-0.05562866,,,
2016/8/5,0.77994878,1.572755848,-0.012858289,,,
2016/8/12,0.694929265,1.487736333,-0.097877804,,,
2016/8/19,0.696440907,1.489247976,-0.096366161,,,
2016/8/26,0.57280262,1.365609689,-0.220004448,,,
2016/9/2,0.550348422,1.34315549,-0.242458647,,,
