日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.969204631,2.153631515,-0.215222252,,,
2013/1/8,0.736651245,1.921078128,-0.447775639,,,
2013/1/15,0.728003815,1.912430698,-0.456423069,,,
2013/1/22,0.865223826,2.049650709,-0.319203058,,,
2013/1/29,1.232105417,2.416532301,0.047678534,,,
2013/2/5,1.102759947,2.287186831,-0.081666936,,,
2013/2/19,1.754053301,2.938480185,0.569626418,,,
2013/2/26,1.293317209,2.477744092,0.108890325,,,
2013/3/5,1.685055428,2.869482311,0.500628544,,,
2013/3/12,1.498497114,2.682923997,0.31407023,,,
2013/3/19,1.844236208,3.028663091,0.659809324,,,
2013/3/26,2.009431439,3.193858322,0.825004555,,,
2013/4/2,1.877854145,3.062281029,0.693427262,,,
2013/4/9,1.468696161,2.653123045,0.284269278,,,
2013/4/16,1.678269452,2.862696335,0.493842568,,,
2013/4/23,1.605343735,2.789770618,0.420916851,,,
2013/4/30,1.588459497,2.77288638,0.404032613,,,
2013/5/7,1.077620115,2.262046998,-0.106806769,,,
2013/5/14,1.002109966,2.186536849,-0.182316917,,,
2013/5/21,0.911385486,2.095812369,-0.273041398,,,
2013/5/28,1.230540062,2.414966945,0.046113178,,,
2013/6/4,1.291904086,2.476330969,0.107477202,,,
2013/6/11,1.221454061,2.405880945,0.037027178,,,
2013/6/18,0.9116489,2.096075784,-0.272777983,,,
2013/6/25,1.269726982,2.454153865,0.085300098,,,
2013/7/2,1.288630679,2.473057563,0.104203796,,,
2013/7/9,1.652807618,2.837234501,0.468380734,,,
2013/7/16,1.246793965,2.431220849,0.062367082,,,
2013/7/23,1.512121497,2.69654838,0.327694613,,,
2013/7/30,1.601463452,2.785890335,0.417036568,,,
2013/8/6,1.797859608,2.982286491,0.613432724,,,
2013/8/13,1.454370482,2.638797365,0.269943598,,,
2013/8/20,1.379032022,2.563458905,0.194605138,,,
2013/8/27,1.170339355,2.354766238,-0.014087529,,,
2013/9/3,1.246430838,2.430857722,0.062003955,,,
2013/9/10,1.293027426,2.477454309,0.108600542,,,
2013/9/17,1.18969252,2.374119404,0.005265637,,,
2013/9/24,1.166233425,2.350660309,-0.018193458,,,
2013/10/1,1.131069184,2.315496068,-0.053357699,,,
2013/10/8,1.082277552,2.266704436,-0.102149331,,,
2013/10/15,1.048928653,2.233355537,-0.13549823,,,
2013/10/22,0.955393714,2.139820598,-0.229033169,,,
2013/10/29,1.006735001,2.191161885,-0.177691882,,,
2013/11/5,0.816417546,2.000844429,-0.368009337,,,
2013/11/12,1.115416944,2.299843828,-0.069009939,,,
2013/11/19,1.09360303,2.278029914,-0.090823853,,,
2013/11/26,1.156854837,2.34128172,-0.027572047,,,
2013/12/3,1.486834483,2.671261366,0.302407599,,,
2013/12/10,1.312914802,2.497341685,0.128487918,,,
2013/12/17,1.254117834,2.438544718,0.069690951,,,
2013/12/24,1.304547155,2.488974038,0.120120271,,,
2014/1/1,1.47797369,2.662400573,0.293546806,,,
2014/1/8,1.451476603,2.635903487,0.26704972,,,
2014/1/15,1.469003865,2.653430749,0.284576982,,,
2014/1/22,1.224073019,2.408499902,0.039646135,,,
2014/1/29,1.320646646,2.505073529,0.136219762,,,
2014/2/5,1.128318489,2.312745372,-0.056108395,,,
2014/2/12,1.715045934,2.899472818,0.530619051,,,
2014/2/19,1.351870453,2.536297337,0.16744357,,,
2014/2/26,1.232574208,2.417001092,0.048147325,,,
2014/3/5,1.183925277,2.36835216,-0.000501607,,,
2014/3/12,1.481930954,2.666357837,0.29750407,,,
2014/3/19,1.301494558,2.485921442,0.117067675,,,
2014/3/26,1.300870287,2.485297171,0.116443404,,,
2014/4/2,0.964079971,2.148506854,-0.220346913,,,
2014/4/9,1.029743237,2.214170121,-0.154683646,,,
2014/4/16,0.869000129,2.053427012,-0.315426755,,,
2014/4/23,1.112368955,2.296795839,-0.072057928,,,
2014/4/30,0.821359816,2.0057867,-0.363067067,,,
2014/5/7,0.784577833,1.969004717,-0.39984905,,,
2014/5/14,0.823557918,2.007984801,-0.360868966,,,
2014/5/21,1.11583685,2.300263733,-0.068590034,,,
2014/5/28,1.05279783,2.237224714,-0.131629053,,,
2014/6/4,1.093412291,2.277839175,-0.091014592,,,
2014/6/11,1.128418219,2.312845103,-0.056008664,,,
2014/6/18,1.199393053,2.383819936,0.014966169,,,
2014/6/25,1.335943679,2.520370562,0.151516795,,,
2014/7/2,1.230825392,2.415252276,0.046398509,,,
2014/7/9,1.228935086,2.41336197,0.044508203,,,
2014/7/16,1.216393236,2.40082012,0.031966353,,,
2014/7/23,1.484285681,2.668712564,0.299858797,,,
2014/7/30,1.416061608,2.600488491,0.231634724,,,
2014/12/17,1.233313956,2.417740839,0.048887072,,,
2014/12/24,1.090938449,2.275365333,-0.093488434,,,
2014/12/31,1.153292132,2.337719015,-0.031134752,,,
2015/1/1,1.16169074,2.346117623,-0.022736144,,,
