日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.342642059,2.718448632,-0.033164514,,,
2013/1/8,1.429164258,2.804970831,0.053357686,,,
2013/1/15,2.534476819,3.910283391,1.158670246,,,
2013/1/22,3.069606907,4.445413479,1.693800334,,,
2013/1/29,4.094138219,5.469944792,2.718331647,,,
2013/2/5,2.782054924,4.157861497,1.406248351,,,
2013/2/19,2.181627026,3.557433599,0.805820454,,,
2013/2/26,3.075485415,4.451291987,1.699678842,,,
2013/3/5,2.834194041,4.210000613,1.458387468,,,
2013/3/12,4.219298784,5.595105356,2.843492211,,,
2013/3/19,4.907367773,6.283174346,3.5315612,,,
2013/3/26,4.80863948,6.184446052,3.432832907,,,
2013/4/2,3.072947711,4.448754284,1.697141139,,,
2013/4/9,2.12997251,3.505779083,0.754165938,,,
2013/4/16,2.182480401,3.558286973,0.806673828,,,
2013/4/23,2.236529736,3.612336309,0.860723163,,,
2013/4/30,2.808714671,4.184521244,1.432908098,,,
2013/5/7,2.277962847,3.653769419,0.902156274,,,
2013/5/14,2.045266855,3.421073428,0.669460282,,,
2013/5/21,3.024240075,4.400046648,1.648433503,,,
2013/5/28,1.751012625,3.126819198,0.375206053,,,
2013/6/4,1.875085116,3.250891689,0.499278544,,,
2013/6/11,1.415219851,2.791026424,0.039413279,,,
2013/6/18,1.297138419,2.672944991,-0.078668154,,,
2013/6/25,1.456077427,2.831884,0.080270854,,,
2013/7/2,1.578508272,2.954314845,0.202701699,,,
2013/7/9,1.78863084,3.164437412,0.412824267,,,
2013/7/16,1.520405484,2.896212056,0.144598911,,,
2013/7/23,1.704563428,3.080370001,0.328756855,,,
2013/7/30,1.865950149,3.241756722,0.490143577,,,
2013/8/6,1.574049032,2.949855605,0.19824246,,,
2013/8/13,1.524837949,2.900644521,0.149031376,,,
2013/8/20,1.193077866,2.568884439,-0.182728707,,,
2013/8/27,1.117891026,2.493697599,-0.257915546,,,
2013/9/3,1.712015698,3.087822271,0.336209126,,,
2013/9/10,1.237158306,2.612964878,-0.138648267,,,
2013/9/17,1.621820215,2.997626787,0.246013642,,,
2013/9/24,2.417650846,3.793457419,1.041844274,,,
2013/10/1,1.739525011,3.115331584,0.363718439,,,
2013/10/8,0.957531467,2.33333804,-0.418275105,,,
2013/10/15,1.126880572,2.502687145,-0.248926,,,
2013/10/22,1.516240165,2.892046738,0.140433593,,,
2013/10/29,1.398158319,2.773964892,0.022351747,,,
2013/11/5,1.905081778,3.280888351,0.529275206,,,
2013/11/12,2.288183014,3.663989586,0.912376441,,,
2013/11/19,4.477258135,5.853064708,3.101451563,,,
2013/11/26,2.675515443,4.051322015,1.29970887,,,
2013/12/3,1.670551659,3.046358231,0.294745086,,,
2013/12/10,2.33915801,3.714964583,0.963351438,,,
2013/12/17,2.197224872,3.573031445,0.8214183,,,
