日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.428646767,1.070657851,-0.213364318,,,
2013/1/8,0.34310151,0.985112594,-0.298909575,,,
2013/1/15,0.288546746,0.93055783,-0.353464339,,,
2013/1/22,0.293477086,0.93548817,-0.348533999,,,
2013/1/29,0.269323666,0.911334751,-0.372687418,,,
2013/2/5,0.244535211,0.886546295,-0.397475874,,,
2013/2/19,0.215229102,0.857240186,-0.426781983,,,
2013/2/26,0.206000741,0.848011826,-0.436010343,,,
2013/3/5,0.272776115,0.9147872,-0.369234969,,,
2013/3/12,0.216327345,0.858338429,-0.42568374,,,
2013/3/19,0.217601202,0.859612286,-0.424409883,,,
2013/3/26,0.22700498,0.869016064,-0.415006104,,,
2013/4/2,0.259053539,0.901064624,-0.382957545,,,
2013/4/9,0.255158702,0.897169787,-0.386852382,,,
2013/4/16,0.204609859,0.846620943,-0.437401226,,,
2013/4/23,0.231314239,0.873325324,-0.410696845,,,
2013/4/30,0.239204866,0.88121595,-0.402806218,,,
2013/5/7,0.193157365,0.835168449,-0.44885372,,,
2013/5/14,0.193532916,0.835544,-0.448478169,,,
2013/5/21,0.231362946,0.87337403,-0.410648138,,,
2013/5/28,0.268069378,0.910080463,-0.373941706,,,
2013/6/4,0.233354184,0.875365268,-0.4086569,,,
2013/6/11,0.221069363,0.863080447,-0.420941721,,,
2013/6/18,0.25073956,0.892750644,-0.391271524,,,
2013/6/25,0.280018373,0.922029457,-0.361992711,,,
2013/7/2,0.236828655,0.878839739,-0.40518243,,,
2013/7/9,0.235325472,0.877336557,-0.406685612,,,
2013/7/16,0.230927579,0.872938664,-0.411083505,,,
2013/7/23,0.231354539,0.873365623,-0.410656546,,,
2013/7/30,0.230611885,0.872622969,-0.4113992,,,
2013/8/6,0.24764547,0.889656555,-0.394365614,,,
2013/8/13,0.26226819,0.904279274,-0.379742895,,,
2013/8/20,0.234396445,0.876407529,-0.407614639,,,
2013/8/27,0.20442044,0.846431525,-0.437590644,,,
2013/9/3,0.232584551,0.874595635,-0.409426533,,,
2013/9/10,0.211516729,0.853527813,-0.430494356,,,
2013/9/17,0.203535192,0.845546277,-0.438475892,,,
2013/9/24,0.243217516,0.8852286,-0.398793568,,,
2013/10/1,0.215982222,0.857993306,-0.426028863,,,
2013/10/8,0.205929865,0.847940949,-0.43608122,,,
2013/10/15,0.18759242,0.829603505,-0.454418664,,,
2013/10/22,0.228670605,0.87068169,-0.413340479,,,
2013/10/29,0.230567346,0.872578431,-0.411443738,,,
2013/11/5,0.17109433,0.813105414,-0.470916755,,,
2013/11/12,0.19578305,0.837794134,-0.446228034,,,
2013/11/19,0.200707936,0.84271902,-0.441303149,,,
2013/11/26,0.181301279,0.823312364,-0.460709805,,,
2013/12/3,0.197794141,0.839805226,-0.444216943,,,
2013/12/10,0.199825736,0.84183682,-0.442185349,,,
2013/12/17,0.240455649,0.882466733,-0.401555436,,,
2013/12/24,0.21261183,0.854622914,-0.429399254,,,
2014/1/1,0.209858406,0.85186949,-0.432152678,,,
2014/1/8,0.223736746,0.865747831,-0.418274338,,,
2014/1/15,0.226433009,0.868444093,-0.415578076,,,
2014/1/22,0.238848723,0.880859808,-0.403162361,,,
2014/1/29,0.250041238,0.892052322,-0.391969847,,,
2014/2/5,0.247511029,0.889522114,-0.394500055,,,
2014/2/12,0.257870602,0.899881686,-0.384140482,,,
2014/2/19,0.233292936,0.87530402,-0.408718148,,,
2014/2/26,0.240138669,0.882149754,-0.401872415,,,
2014/3/5,0.246043742,0.888054826,-0.395967343,,,
2014/3/12,0.234110731,0.876121815,-0.407900354,,,
2014/3/19,0.243308222,0.885319307,-0.398702862,,,
2014/3/26,0.22852091,0.870531994,-0.413490175,,,
2014/4/2,0.234185434,0.876196518,-0.407825651,,,
2014/4/9,0.225555596,0.86756668,-0.416455488,,,
2014/4/16,0.209237489,0.851248573,-0.432773596,,,
2014/4/23,0.224457284,0.866468368,-0.417553801,,,
2014/4/30,0.203891203,0.845902288,-0.438119881,,,
2014/5/7,0.188790525,0.830801609,-0.45322056,,,
2014/5/14,0.193751088,0.835762172,-0.448259996,,,
2014/5/21,0.199065845,0.841076929,-0.44294524,,,
2014/5/28,0.225628249,0.867639333,-0.416382836,,,
2014/6/4,0.29721528,0.939226365,-0.344795804,,,
2014/6/11,0.250273127,0.892284212,-0.391737957,,,
2014/6/18,0.336567366,0.97857845,-0.305443719,,,
2014/6/25,0.327311885,0.969322969,-0.3146992,,,
2014/7/2,0.36815059,1.010161674,-0.273860495,,,
2014/7/9,0.381044099,1.023055183,-0.260966986,,,
2014/7/16,0.278429302,0.920440387,-0.363581782,,,
2014/7/23,0.36424106,1.006252144,-0.277770024,,,
2014/7/30,0.302644759,0.944655844,-0.339366325,,,
2014/12/17,0.299063002,0.941074087,-0.342948082,,,
2014/12/24,0.25961785,0.901628935,-0.382393234,,,
2014/12/31,0.236300031,0.878311116,-0.405711053,,,
2015/1/1,0.351904882,0.993915967,-0.290106202,,,
2015/1/8,0.359473236,1.00148432,-0.282537849,,,
2015/1/15,0.307460873,0.949471958,-0.334550211,,,
2015/1/22,0.275567033,0.917578118,-0.366444051,,,
2015/1/29,0.298623785,0.940634869,-0.343387299,,,
2015/2/5,0.364873647,1.006884732,-0.277137437,,,
2015/2/12,0.309252727,0.951263811,-0.332758358,,,
2015/2/19,0.2313988,0.873409884,-0.410612285,,,
2015/2/26,0.222157334,0.864168419,-0.41985375,,,
2015/3/5,0.273978856,0.91598994,-0.368032229,,,
2015/3/12,0.24649007,0.888501155,-0.395521014,,,
2015/3/19,0.225252466,0.867263551,-0.416758618,,,
2015/3/26,0.227394858,0.869405942,-0.414616227,,,
2015/4/2,0.279737017,0.921748101,-0.362274068,,,
2015/4/9,0.291882235,0.93389332,-0.350128849,,,
2015/4/16,0.260938281,0.902949365,-0.381072803,,,
2015/4/23,0.233042947,0.875054032,-0.408968137,,,
2015/4/30,0.255249014,0.897260098,-0.386762071,,,
2015/5/7,0.246917017,0.888928102,-0.395094067,,,
2015/5/14,0.25380525,0.895816335,-0.388205834,,,
2015/5/21,0.23575748,0.877768565,-0.406253604,,,
2015/5/28,0.346128644,0.988139728,-0.295882441,,,
2015/6/4,0.365687802,1.007698886,-0.276323282,,,
2015/6/11,0.318310333,0.960321418,-0.323700751,,,
2015/6/18,0.291979508,0.933990592,-0.350031577,,,
2015/6/25,0.329615068,0.971626152,-0.312396017,,,
2015/7/2,0.355581733,0.997592818,-0.286429351,,,
2015/7/9,0.276375312,0.918386397,-0.365635772,,,
2015/7/16,0.223973598,0.865984683,-0.418037486,,,
2015/7/23,0.261916016,0.9039271,-0.380095068,,,
2015/7/30,0.223827839,0.865838923,-0.418183246,,,
2015/8/6,0.217854305,0.85986539,-0.424156779,,,
2015/8/13,0.215448449,0.857459533,-0.426562635,,,
2015/8/20,0.286327296,0.92833838,-0.355683789,,,
2015/8/27,0.289123334,0.931134419,-0.35288775,,,
