日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.706751761,1.476808179,-0.063304656,,,
2013/1/8,0.779860843,1.549917261,0.009804426,,,
2013/1/15,0.930785176,1.700841593,0.160728758,,,
2013/1/22,0.815411136,1.585467554,0.045354719,,,
2013/1/29,0.791013315,1.561069733,0.020956898,,,
2013/2/5,0.911451188,1.681507605,0.14139477,,,
2013/2/19,1.007622862,1.777679279,0.237566444,,,
2013/2/26,0.817997759,1.588054177,0.047941342,,,
2013/3/5,0.815894922,1.585951339,0.045838505,,,
2013/3/12,0.789008927,1.559065344,0.01895251,,,
2013/3/19,0.664033487,1.434089904,-0.106022931,,,
2013/3/26,0.712243143,1.48229956,-0.057813275,,,
2013/4/2,0.736937808,1.506994226,-0.033118609,,,
2013/4/9,0.556447148,1.326503565,-0.21360927,,,
2013/4/16,0.51249008,1.282546498,-0.257566337,,,
2013/4/23,0.55223093,1.322287347,-0.217825487,,,
2013/4/30,0.388388799,1.158445216,-0.381667618,,,
2013/5/7,0.459818487,1.229874904,-0.310237931,,,
2013/5/14,0.374249565,1.144305983,-0.395806852,,,
2013/5/21,0.353966233,1.12402265,-0.416090185,,,
2013/5/28,0.348822349,1.118878766,-0.421234069,,,
2013/6/4,0.389376747,1.159433165,-0.38067967,,,
2013/6/11,0.369687604,1.139744021,-0.400368814,,,
2013/6/18,0.459812764,1.229869182,-0.310243653,,,
2013/6/25,0.539276403,1.309332821,-0.230780014,,,
2013/7/2,0.507210604,1.277267021,-0.262845814,,,
2013/7/9,0.57445158,1.344507997,-0.195604837,,,
2013/7/16,0.532558358,1.302614775,-0.23749806,,,
2013/7/23,0.503676152,1.273732569,-0.266380266,,,
2013/7/30,0.462059561,1.232115979,-0.307996856,,,
2013/8/6,0.477890635,1.247947052,-0.292165783,,,
2013/8/13,0.428652253,1.198708671,-0.341404164,,,
2013/8/20,0.436908076,1.206964493,-0.333148342,,,
2013/8/27,0.368516468,1.138572885,-0.40153995,,,
2013/9/3,0.376726916,1.146783333,-0.393329502,,,
2013/9/10,0.333129694,1.103186112,-0.436926723,,,
2013/9/17,0.313351686,1.083408103,-0.456704732,,,
2013/9/24,0.309742148,1.079798565,-0.460314269,,,
2013/10/1,0.388306666,1.158363084,-0.381749751,,,
2013/10/8,0.388469757,1.158526174,-0.381586661,,,
2013/10/15,0.354763602,1.124820019,-0.415292816,,,
2013/10/22,0.33911047,1.109166887,-0.430945947,,,
2013/10/29,0.369929595,1.139986012,-0.400126823,,,
2013/11/5,0.366742027,1.136798444,-0.403314391,,,
2013/11/12,0.399855192,1.16991161,-0.370201225,,,
2013/11/19,0.377455438,1.147511856,-0.392600979,,,
2013/11/26,0.379964318,1.150020736,-0.390092099,,,
2013/12/3,0.349712483,1.119768901,-0.420343934,,,
2013/12/10,0.367175084,1.137231502,-0.402881333,,,
2013/12/17,0.351221676,1.121278094,-0.418834741,,,
2013/12/24,0.373682026,1.143738443,-0.396374392,,,
2014/1/1,0.423226973,1.193283391,-0.346829444,,,
2014/1/8,0.54275642,1.312812838,-0.227299997,,,
2014/1/15,0.461450633,1.23150705,-0.308605784,,,
2014/1/22,0.556851884,1.326908302,-0.213204533,,,
2014/1/29,0.646804138,1.416860555,-0.12325228,,,
2014/2/5,0.573459492,1.34351591,-0.196596925,,,
2014/2/12,0.628421104,1.398477522,-0.141635313,,,
2014/2/19,0.620583469,1.390639887,-0.149472948,,,
2014/2/26,0.505613646,1.275670064,-0.264442771,,,
2014/3/5,0.521033215,1.291089632,-0.249023203,,,
2014/3/12,0.527741158,1.297797575,-0.24231526,,,
2014/3/19,0.452108815,1.222165233,-0.317947602,,,
2014/3/26,0.457547762,1.227604179,-0.312508656,,,
2014/4/2,0.420442646,1.190499064,-0.349613771,,,
2014/4/9,0.465074069,1.235130486,-0.304982349,,,
2014/4/16,0.41719642,1.187252837,-0.352859998,,,
2014/4/23,0.437707429,1.207763846,-0.332348989,,,
2014/4/30,0.372195768,1.142252186,-0.397860649,,,
2014/5/7,0.383357639,1.153414057,-0.386698778,,,
2014/5/14,0.342383326,1.112439743,-0.427673091,,,
2014/5/21,0.366091809,1.136148226,-0.403964609,,,
2014/5/28,0.421706979,1.191763396,-0.348349439,,,
2014/6/4,0.423960351,1.194016768,-0.346096067,,,
2014/6/11,0.446772543,1.21682896,-0.323283875,,,
2014/6/18,0.621132968,1.391189385,-0.14892345,,,
2014/6/25,0.614085252,1.384141669,-0.155971166,,,
2014/7/2,0.602843368,1.372899785,-0.167213049,,,
2014/7/9,0.583486145,1.353542562,-0.186570273,,,
2014/7/16,0.564100209,1.334156626,-0.205956209,,,
2014/7/23,0.722943175,1.492999593,-0.047113242,,,
2014/7/30,0.664107088,1.434163505,-0.105949329,,,
2014/12/17,0.534541725,1.304598142,-0.235514693,,,
2014/12/24,0.530914707,1.300971125,-0.23914171,,,
2014/12/31,0.57317456,1.343230977,-0.196881858,,,
2015/1/1,0.433810829,1.203867246,-0.336245588,,,
2015/1/8,0.54102633,1.311082748,-0.229030087,,,
2015/1/15,0.440261324,1.210317741,-0.329795094,,,
2015/1/22,0.448669854,1.218726272,-0.321386563,,,
2015/1/29,0.367561127,1.137617545,-0.40249529,,,
2015/2/5,0.470623539,1.240679956,-0.299432879,,,
2015/2/12,0.53824925,1.308305668,-0.231807167,,,
2015/2/19,0.550700007,1.320756424,-0.219356411,,,
2015/2/26,0.498910744,1.268967161,-0.271145674,,,
2015/3/5,0.492464531,1.262520948,-0.277591887,,,
2015/3/12,0.483161157,1.253217574,-0.286895261,,,
2015/3/19,0.435251728,1.205308145,-0.334804689,,,
2015/3/26,0.484234521,1.254290939,-0.285821896,,,
2015/4/2,0.466223716,1.236280133,-0.303832702,,,
2015/4/9,0.466882346,1.236938763,-0.303174072,,,
2015/4/16,0.436484536,1.206540953,-0.333571881,,,
2015/4/23,0.460418313,1.23047473,-0.309638104,,,
2015/4/30,0.4210016,1.191058018,-0.349054817,,,
2015/5/7,0.441731721,1.211788139,-0.328324696,,,
2015/5/14,0.438202562,1.20825898,-0.331853855,,,
2015/5/21,0.353701314,1.123757731,-0.416355104,,,
2015/5/28,0.429632465,1.199688883,-0.340423952,,,
2015/6/4,0.382099406,1.152155824,-0.387957011,,,
2015/6/11,0.37250304,1.142559458,-0.397553377,,,
2015/6/18,0.549230342,1.319286759,-0.220826075,,,
2015/6/25,0.501359198,1.271415615,-0.26869722,,,
2015/7/2,0.405488279,1.175544697,-0.364568138,,,
2015/7/9,0.396957141,1.167013559,-0.373099276,,,
2015/7/16,0.419633194,1.189689611,-0.350423224,,,
2015/7/23,0.363199577,1.133255995,-0.40685684,,,
2015/7/30,0.590502186,1.360558604,-0.179554231,,,
2015/8/6,0.558354969,1.328411386,-0.211701448,,,
2015/8/13,0.50223482,1.272291238,-0.267821597,,,
2015/8/20,0.419419614,1.189476032,-0.350636803,,,
2015/8/27,0.468156344,1.238212762,-0.301900073,,,
2015/9/3,0.395305637,1.165362054,-0.374750781,,,
2015/9/10,0.404745656,1.174802073,-0.365310762,,,
2015/9/17,0.401076401,1.171132818,-0.368980017,,,
2015/9/24,0.32616936,1.096225777,-0.443887058,,,
2015/10/1,0.325529886,1.095586304,-0.444526531,,,
2015/10/8,0.393249227,1.163305645,-0.37680719,,,
2015/10/15,0.385675174,1.155731592,-0.384381243,,,
2015/10/22,0.349165463,1.11922188,-0.420890955,,,
2015/10/29,0.34824136,1.118297777,-0.421815057,,,
2015/11/5,0.331784678,1.101841095,-0.43827174,,,
2015/11/12,0.307660846,1.077717263,-0.462395572,,,
2015/11/19,0.342148149,1.112204566,-0.427908269,,,
2015/11/26,0.360333774,1.130390192,-0.409722643,,,
2015/12/3,0.348428493,1.11848491,-0.421627925,,,
2015/12/10,0.374930792,1.14498721,-0.395125625,,,
2015/12/17,0.383372407,1.153428825,-0.38668401,,,
2015/12/24,0.318219908,1.088276325,-0.45183651,,,
2015/12/31,0.388854374,1.158910792,-0.381202043,,,
2016/1/8,0.422383572,1.192439989,-0.347672846,,,
2016/1/15,0.409525059,1.179581476,-0.360531359,,,
2016/1/22,0.471049905,1.241106323,-0.299006512,,,
2016/1/29,0.459859517,1.229915934,-0.3101969,,,
2016/2/5,0.751317271,1.521373689,-0.018739146,,,
2016/2/12,0.690580296,1.460636714,-0.079476121,,,
2016/2/19,0.616155751,1.386212169,-0.153900666,,,
2016/2/26,0.616379424,1.386435842,-0.153676993,,,
2016/3/4,0.619644701,1.389701118,-0.150411717,,,
2016/3/11,0.545504881,1.315561298,-0.224551536,,,
2016/3/18,0.730521667,1.500578084,-0.039534751,,,
2016/3/25,0.567026342,1.337082759,-0.203030076,,,
2016/4/1,0.554784626,1.324841043,-0.215271792,,,
2016/4/8,0.481889733,1.25194615,-0.288166684,,,
2016/4/15,0.597868825,1.367925243,-0.172187592,,,
2016/4/22,0.621890444,1.391946862,-0.148165973,,,
2016/4/29,0.62220744,1.392263858,-0.147848977,,,
2016/5/6,0.539661101,1.309717518,-0.230395317,,,
2016/5/13,0.5387937,1.308850117,-0.231262718,,,
2016/5/20,0.47212,1.242176417,-0.297936418,,,
2016/5/27,0.562871535,1.332927952,-0.207184882,,,
2016/6/3,0.567703177,1.337759594,-0.202353241,,,
2016/6/10,0.562491601,1.332548018,-0.207564817,,,
2016/6/17,0.538413049,1.308469467,-0.231643368,,,
2016/6/24,0.511758839,1.281815257,-0.258297578,,,
2016/7/1,0.463969634,1.234026052,-0.306086783,,,
2016/7/8,0.564702734,1.334759151,-0.205353684,,,
2016/7/15,0.501776493,1.27183291,-0.268279925,,,
2016/7/22,0.488120782,1.2581772,-0.281935635,,,
2016/7/29,0.452713626,1.222770043,-0.317342792,,,
2016/8/5,0.481823308,1.251879726,-0.288233109,,,
2016/8/12,0.480406527,1.250462944,-0.289649891,,,
2016/8/19,0.487603667,1.257660084,-0.282452751,,,
2016/8/26,0.525316141,1.295372558,-0.244740276,,,
2016/9/2,0.516077395,1.286133813,-0.253979022,,,
2016/9/9,0.490845241,1.260901659,-0.279211176,,,
2016/9/16,0.446841217,1.216897634,-0.323215201,,,
2016/9/23,0.701409272,1.471465689,-0.068647145,,,
2016/9/30,0.558315585,1.328372003,-0.211740832,,,
2016/10/7,0.526567895,1.296624313,-0.243488522,,,
2016/10/14,0.470455465,1.240511882,-0.299600953,,,
2016/10/21,0.536120945,1.306177363,-0.233935472,,,
2016/10/28,0.362767195,1.132823613,-0.407289222,,,
2016/11/4,0.541103937,1.311160354,-0.228952481,,,
2016/11/11,0.449081176,1.219137594,-0.320975241,,,
2016/11/18,0.510407118,1.280463536,-0.259649299,,,
2016/11/25,0.44510141,1.215157827,-0.324955008,,,
