日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.497768636,2.095509037,-1.099971766,,,
2013/1/8,0.459208423,2.056948824,-1.138531978,,,
2013/1/15,0.441488068,2.039228469,-1.156252334,,,
2013/1/22,0.415263751,2.013004152,-1.182476651,,,
2013/1/29,0.403631979,2.001372381,-1.194108422,,,
2013/2/5,0.381373025,1.979113427,-1.216367376,,,
2013/2/19,0.376837567,1.974577969,-1.220902834,,,
2013/2/26,0.383954238,1.98169464,-1.213786163,,,
2013/3/5,0.368199772,1.965940173,-1.229540629,,,
2013/3/12,0.358848404,1.956588805,-1.238891997,,,
2013/3/19,0.338075571,1.935815972,-1.25966483,,,
2013/3/26,0.326733494,1.924473895,-1.271006907,,,
2013/4/2,0.313569544,1.911309946,-1.284170857,,,
2013/4/9,0.303594795,1.901335196,-1.294145607,,,
2013/4/16,0.320454446,1.918194848,-1.277285955,,,
2013/4/23,0.317383251,1.915123652,-1.280357151,,,
2013/4/30,0.317125333,1.914865734,-1.280615069,,,
2013/5/7,0.306211042,1.903951444,-1.291529359,,,
2013/5/14,0.318124857,1.915865258,-1.279615544,,,
2013/5/21,0.310702126,1.908442527,-1.287038276,,,
2013/5/28,0.305434726,1.903175128,-1.292305675,,,
2013/6/4,0.307917396,1.905657797,-1.289823005,,,
2013/6/11,0.312111761,1.909852163,-1.28562864,,,
2013/6/18,0.314746122,1.912486523,-1.282994279,,,
2013/6/25,0.314256564,1.911996965,-1.283483838,,,
2013/7/2,0.33078051,1.928520911,-1.266959891,,,
2013/7/9,0.32986243,1.927602832,-1.267877971,,,
2013/7/16,0.321232836,1.918973238,-1.276507565,,,
2013/7/23,0.327216927,1.924957328,-1.270523474,,,
2013/7/30,0.320081268,1.91782167,-1.277659133,,,
2013/8/6,0.322614514,1.920354915,-1.275125888,,,
2013/8/13,0.31836076,1.916101161,-1.279379641,,,
2013/8/20,0.317216065,1.914956467,-1.280524336,,,
2013/8/27,0.318410306,1.916150707,-1.279330096,,,
2013/9/3,0.319199075,1.916939477,-1.278541326,,,
2013/9/10,0.311953926,1.909694328,-1.285786475,,,
2013/9/17,0.318664967,1.916405368,-1.279075435,,,
