日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.195668936,3.354714989,-0.963377116,,,
2013/1/8,1.078600439,3.237646491,-1.080445614,,,
2013/1/15,2.327268117,4.48631417,0.168222065,,,
2013/1/22,1.63536521,3.794411262,-0.523680843,,,
2013/1/29,0.955302462,3.114348515,-1.20374359,,,
2013/2/5,1.952423975,4.111470027,-0.206622078,,,
2013/2/19,1.63874262,3.797788672,-0.520303433,,,
2013/2/26,1.266348617,3.425394669,-0.892697436,,,
2013/3/5,0.432110739,2.591156791,-1.726935314,,,
2013/3/12,1.77694455,3.935990603,-0.382101502,,,
2013/3/19,1.623006884,3.782052937,-0.536039168,,,
2013/3/26,1.091630078,3.25067613,-1.067415974,,,
2013/4/2,0.710044454,2.869090506,-1.449001598,,,
2013/4/9,1.467651614,3.626697667,-0.691394438,,,
2013/4/16,1.17523674,3.334282793,-0.983809312,,,
2013/4/23,0.640142708,2.79918876,-1.518903345,,,
2013/4/30,0.592328586,2.751374639,-1.566717466,,,
2013/5/7,1.009070604,3.168116656,-1.149975449,,,
2013/5/14,0.740529473,2.899575526,-1.418516579,,,
2013/5/21,0.763423841,2.922469893,-1.395622211,,,
2013/5/28,1.053596667,3.21264272,-1.105449385,,,
2013/6/4,1.210386934,3.369432986,-0.948659118,,,
2013/6/11,0.817472318,2.97651837,-1.341573734,,,
2013/6/18,0.705319018,2.86436507,-1.453727035,,,
2013/6/25,1.081246847,3.240292899,-1.077799206,,,
2013/7/2,0.915590848,3.0746369,-1.243455205,,,
2013/7/9,0.824230991,2.983277043,-1.334815061,,,
2013/7/16,0.785462934,2.944508987,-1.373583118,,,
2013/7/23,0.940050361,3.099096413,-1.218995692,,,
2013/7/30,0.778100273,2.937146326,-1.380945779,,,
2013/8/6,0.487794197,2.646840249,-1.671251855,,,
2013/8/13,1.115092546,3.274138599,-1.043953506,,,
2013/8/20,0.893645847,3.052691899,-1.265400206,,,
2013/8/27,0.973399435,3.132445488,-1.185646617,,,
2013/9/3,0.752470612,2.911516664,-1.406575441,,,
2013/9/10,0.786054781,2.945100833,-1.372991272,,,
2013/9/17,0.796832654,2.955878706,-1.362213399,,,
2013/9/24,0.684686085,2.843732138,-1.474359967,,,
2013/10/1,1.001175339,3.160221391,-1.157870713,,,
2013/10/8,0.955009869,3.114055922,-1.204036183,,,
2013/10/15,0.942818432,3.101864485,-1.21622762,,,
2013/10/22,0.636715438,2.79576149,-1.522330615,,,
2013/10/29,0.907446301,3.066492353,-1.251599752,,,
2013/11/5,1.215469059,3.374515111,-0.943576994,,,
2013/11/12,1.047240356,3.206286409,-1.111805696,,,
2013/11/19,1.604056515,3.763102568,-0.554989537,,,
2013/11/26,1.556920283,3.715966335,-0.60212577,,,
2013/12/3,0.937866589,3.096912642,-1.221179463,,,
2013/12/10,1.04690149,3.205947543,-1.112144562,,,
2013/12/17,1.799839872,3.958885925,-0.35920618,,,
2013/12/24,2.930597605,5.089643657,0.771551552,,,
2014/1/1,2.124318936,4.283364989,-0.034727116,,,
2014/1/8,1.782005404,3.941051456,-0.377040649,,,
2014/1/15,1.58736511,3.746411163,-0.571680942,,,
2014/1/22,1.42899459,3.588040642,-0.730051463,,,
2014/1/29,1.233641123,3.392687176,-0.925404929,,,
2014/2/5,1.069756801,3.228802854,-1.089289251,,,
2014/2/12,1.276638951,3.435685003,-0.882407102,,,
2014/2/19,1.455892308,3.614938361,-0.703153744,,,
2014/2/26,1.001251073,3.160297126,-1.157794979,,,
2014/3/5,1.346328871,3.505374924,-0.812717181,,,
2014/3/12,1.630336462,3.789382514,-0.528709591,,,
2014/3/19,1.869864856,4.028910908,-0.289181196,,,
2014/3/26,2.039176158,4.198222211,-0.119869894,,,
2014/4/2,1.902222331,4.061268383,-0.256823722,,,
2014/4/9,1.602885025,3.761931077,-0.556161027,,,
2014/4/16,1.120755175,3.279801227,-1.038290878,,,
2014/4/23,1.387809187,3.546855239,-0.771236865,,,
2014/4/30,1.165950708,3.324996761,-0.993095344,,,
2014/5/7,0.825674227,2.984720279,-1.333371825,,,
2014/5/14,1.218070402,3.377116454,-0.940975651,,,
2014/5/21,1.380300774,3.539346826,-0.778745279,,,
2014/5/28,1.51070625,3.669752303,-0.648339802,,,
2014/6/4,1.199118491,3.358164543,-0.959927561,,,
2014/6/11,1.154077088,3.31312314,-1.004968964,,,
2014/6/18,1.586340744,3.745386797,-0.572705308,,,
2014/6/25,1.506617417,3.665663469,-0.652428636,,,
2014/7/2,1.539755963,3.698802015,-0.619290089,,,
2014/7/9,1.775108434,3.934154486,-0.383937618,,,
2014/7/16,2.113660934,4.272706987,-0.045385118,,,
2014/7/23,2.678006998,4.83705305,0.518960946,,,
2014/7/30,1.802666269,3.961712322,-0.356379783,,,
2014/12/17,2.469309559,4.628355611,0.310263506,,,
2014/12/24,2.141233309,4.300279361,-0.017812743,,,
2014/12/31,2.21435731,4.373403362,0.055311258,,,
2015/1/1,2.178204491,4.337250543,0.019158439,,,
2015/1/8,1.834961748,3.9940078,-0.324084305,,,
2015/1/15,2.837544312,4.996590364,0.678498259,,,
2015/1/22,1.397207746,3.556253799,-0.761838306,,,
2015/1/29,1.917969346,4.077015398,-0.241076707,,,
2015/2/5,1.795912149,3.954958201,-0.363133904,,,
2015/2/12,3.321324979,5.480371031,1.162278926,,,
2015/2/19,1.819624059,3.978670111,-0.339421993,,,
2015/2/26,1.764540192,3.923586244,-0.394505861,,,
2015/3/5,2.577933743,4.736979796,0.418887691,,,
2015/3/12,2.832820008,4.99186606,0.673773956,,,
2015/3/19,2.136961518,4.29600757,-0.022084535,,,
2015/3/26,1.192356861,3.351402913,-0.966689191,,,
2015/4/2,2.724149452,4.883195504,0.5651034,,,
2015/4/9,1.887045096,4.046091148,-0.272000957,,,
2015/4/16,1.520421388,3.67946744,-0.638624665,,,
2015/4/23,1.765438119,3.924484172,-0.393607933,,,
2015/4/30,2.668628783,4.827674835,0.509582731,,,
2015/5/7,2.337384742,4.496430794,0.178338689,,,
2015/5/14,1.464138336,3.623184388,-0.694907717,,,
2015/5/21,1.515355977,3.67440203,-0.643690075,,,
2015/5/28,2.101099012,4.260145065,-0.05794704,,,
2015/6/4,2.385337156,4.544383208,0.226291103,,,
2015/6/11,3.071237649,5.230283701,0.912191596,,,
2015/6/18,3.749028448,5.9080745,1.589982395,,,
2015/6/25,4.501674758,6.66072081,2.342628705,,,
2015/7/2,3.430215658,5.58926171,1.271169606,,,
2015/7/9,1.851905495,4.010951547,-0.307140557,,,
2015/7/16,2.732305676,4.891351729,0.573259624,,,
2015/7/23,2.694899084,4.853945136,0.535853031,,,
2015/7/30,2.863194222,5.022240274,0.704148169,,,
2015/8/6,1.302577006,3.461623058,-0.856469046,,,
2015/8/13,2.078043433,4.237089485,-0.08100262,,,
2015/8/20,3.464309196,5.623355248,1.305263144,,,
2015/8/27,2.930945298,5.08999135,0.771899246,,,
2015/9/3,1.656468989,3.815515041,-0.502577064,,,
2015/9/10,2.284473515,4.443519568,0.125427463,,,
2015/9/17,3.052552909,5.211598961,0.893506857,,,
2015/9/24,4.717635765,6.876681818,2.558589713,,,
2015/10/1,3.512323087,5.671369139,1.353277035,,,
2015/10/8,3.98573763,6.144783683,1.826691578,,,
2015/10/15,3.212526215,5.371572267,1.053480163,,,
2015/10/22,3.035076119,5.194122171,0.876030067,,,
2015/10/29,3.103047355,5.262093408,0.944001303,,,
2015/11/5,2.072378441,4.231424493,-0.086667612,,,
2015/11/12,2.989788204,5.148834256,0.830742152,,,
2015/11/19,2.604027064,4.763073117,0.444981012,,,
2015/11/26,2.893855235,5.052901287,0.734809182,,,
2015/12/3,1.331780088,3.49082614,-0.827265964,,,
2015/12/10,2.040426661,4.199472714,-0.118619391,,,
2015/12/17,2.145826991,4.304873043,-0.013219061,,,
2015/12/24,2.765350505,4.924396557,0.606304453,,,
2015/12/31,1.628345982,3.787392035,-0.53070007,,,
2016/1/8,1.488738145,3.647784197,-0.670307908,,,
2016/1/15,1.536906484,3.695952537,-0.622139568,,,
2016/1/22,1.823544776,3.982590828,-0.335501277,,,
2016/1/29,1.71221369,3.871259743,-0.446832362,,,
2016/2/5,1.669544832,3.828590884,-0.489501221,,,
2016/2/12,1.65230435,3.811350403,-0.506741702,,,
2016/2/19,0.834899205,2.993945257,-1.324146848,,,
2016/2/26,1.728053673,3.887099726,-0.430992379,,,
2016/3/4,2.625195014,4.784241067,0.466148962,,,
2016/3/11,1.819193782,3.978239835,-0.33985227,,,
2016/3/18,1.12445375,3.283499803,-1.034592302,,,
2016/3/25,1.86918287,4.028228922,-0.289863183,,,
2016/4/1,1.844137899,4.003183951,-0.314908154,,,
2016/4/8,1.378912725,3.537958778,-0.780133327,,,
2016/4/15,1.614422577,3.773468629,-0.544623475,,,
2016/4/22,2.967884196,5.126930249,0.808838144,,,
2016/4/29,1.420245486,3.579291538,-0.738800567,,,
2016/5/6,1.223811255,3.382857307,-0.935234797,,,
2016/5/13,1.135616159,3.294662212,-1.023429893,,,
2016/5/20,1.922372901,4.081418953,-0.236673151,,,
2016/5/27,1.866850231,4.025896283,-0.292195822,,,
2016/6/3,1.67924509,3.838291143,-0.479800962,,,
2016/6/10,1.848617509,4.007663561,-0.310428544,,,
2016/6/17,1.157092814,3.316138866,-1.001953238,,,
2016/6/24,1.134627076,3.293673128,-1.024418976,,,
2016/7/1,2.211355956,4.370402008,0.052309903,,,
2016/7/8,1.878422847,4.0374689,-0.280623205,,,
2016/7/15,2.053722881,4.212768933,-0.105323172,,,
2016/7/22,2.539745499,4.698791551,0.380699446,,,
2016/7/29,2.571149771,4.730195824,0.412103719,,,
2016/8/5,2.696960825,4.856006878,0.537914773,,,
2016/8/12,2.34792578,4.506971833,0.188879728,,,
2016/8/19,2.979169263,5.138215316,0.820123211,,,
2016/8/26,3.069955977,5.229002029,0.910909925,,,
2016/9/2,3.096121502,5.255167555,0.93707545,,,
2016/9/9,1.982620389,4.141666442,-0.176425663,,,
2016/9/16,2.001073477,4.16011953,-0.157972575,,,
2016/9/23,2.553895469,4.712941521,0.394849416,,,
2016/9/30,2.421807431,4.580853483,0.262761378,,,
2016/10/7,2.29268549,4.451731543,0.133639438,,,
2016/10/14,2.752899552,4.911945605,0.5938535,,,
2016/10/21,3.292211009,5.451257061,1.133164957,,,
2016/10/28,2.718353647,4.877399699,0.559307595,,,
2016/11/4,2.037019021,4.196065073,-0.122027031,,,
2016/11/11,1.875776193,4.034822245,-0.28326986,,,
2016/11/18,2.803640381,4.962686434,0.644594329,,,
2016/11/25,2.51266769,4.671713742,0.353621637,,,
2016/12/2,2.133616959,4.292663012,-0.025429093,,,
2016/12/9,1.702437145,3.861483198,-0.456608907,,,
2016/12/16,2.740124594,4.899170646,0.581078541,,,
2016/12/23,2.377764117,4.536810169,0.218718065,,,
2016/12/30,3.246282597,5.405328649,1.087236544,,,
2017/1/1,1.895413793,4.054459845,-0.263632259,,,
2017/1/8,2.444893821,4.603939874,0.285847769,,,
2017/1/15,3.184618372,5.343664425,1.02557232,,,
2017/1/22,4.356985412,6.516031464,2.197939359,,,
2017/1/29,2.638363803,4.797409855,0.47931775,,,
2017/2/5,2.250156377,4.409202429,0.091110325,,,
2017/2/12,1.531967933,3.691013985,-0.627078119,,,
2017/2/19,3.578816732,5.737862784,1.419770679,,,
2017/2/26,3.386863671,5.545909723,1.227817618,,,
2017/3/5,2.17574235,4.334788402,0.016696298,,,
2017/3/12,1.937849009,4.096895062,-0.221197043,,,
2017/3/19,3.554428813,5.713474865,1.395382761,,,
2017/3/26,2.523461928,4.68250798,0.364415875,,,
2017/4/2,1.638326486,3.797372539,-0.520719566,,,
2017/4/9,1.531215354,3.690261407,-0.627830698,,,
2017/4/16,2.796278038,4.95532409,0.637231985,,,
2017/4/23,2.340355087,4.499401139,0.181309034,,,
2017/4/30,1.090374225,3.249420278,-1.068671827,,,
2017/5/7,1.081296198,3.24034225,-1.077749855,,,
2017/5/14,2.056945238,4.21599129,-0.102100815,,,
2017/5/21,2.168905729,4.327951782,0.009859677,,,
2017/5/28,1.348345406,3.507391458,-0.810700646,,,
2017/6/4,1.383673305,3.542719358,-0.775372747,,,
2017/6/11,2.326088607,4.48513466,0.167042555,,,
2017/6/18,2.133473807,4.292519859,-0.025572245,,,
2017/6/25,1.960352027,4.119398079,-0.198694025,,,
2017/7/2,1.900219102,4.059265155,-0.25882695,,,
2017/7/9,1.946702008,4.105748061,-0.212344044,,,
2017/7/16,2.445925357,4.604971409,0.286879305,,,
2017/7/23,1.540654635,3.699700687,-0.618391418,,,
2017/7/30,2.789079919,4.948125971,0.630033866,,,
2017/8/6,1.743403792,3.902449844,-0.415642261,,,
2017/8/13,2.557800335,4.716846387,0.398754283,,,
2017/8/20,2.337166561,4.496212614,0.178120509,,,
2017/8/27,2.82070336,4.979749412,0.661657308,,,
2017/9/3,2.357098426,4.516144478,0.198052374,,,
2017/9/10,2.039563376,4.198609428,-0.119482677,,,
2017/9/17,3.114036728,5.27308278,0.954990675,,,
2017/9/24,2.382056158,4.54110221,0.223010105,,,
2017/10/1,3.062007753,5.221053805,0.902961701,,,
2017/10/8,2.75854489,4.917590943,0.599498838,,,
2017/10/15,2.389447642,4.548493694,0.23040159,,,
2017/10/22,1.382973007,3.542019059,-0.776073046,,,
2017/10/29,3.592852289,5.751898341,1.433806236,,,
2017/11/5,2.201405269,4.360451321,0.042359217,,,
2017/11/12,2.041265488,4.20031154,-0.117780564,,,
2017/11/19,4.235643804,6.394689857,2.076597752,,,
2017/11/26,4.461547604,6.620593656,2.302501551,,,
2017/12/3,5.117081331,7.276127383,2.958035279,,,
2017/12/10,2.801187965,4.960234018,0.642141913,,,
2017/12/17,2.810418026,4.969464078,0.651371974,,,
2017/12/24,3.457261541,5.616307593,1.298215489,,,
2017/12/31,1.895413793,4.054459845,-0.263632259,,,
