日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.175413601,3.60596462,-1.255137418,,,
2013/1/8,0.722488023,3.153039042,-1.708062996,,,
2013/1/15,0.737647498,3.168198517,-1.692903521,,,
2013/1/22,0.974836668,3.405387687,-1.455714351,,,
2013/1/29,1.025824938,3.456375957,-1.404726081,,,
2013/2/5,0.947029827,3.377580845,-1.483521192,,,
2013/2/19,0.731432514,3.161983533,-1.699118505,,,
2013/2/26,0.905153675,3.335704694,-1.525397344,,,
2013/3/5,0.769425656,3.199976675,-1.661125363,,,
2013/3/12,0.732104888,3.162655907,-1.698446131,,,
2013/3/19,0.875720984,3.306272002,-1.554830035,,,
2013/3/26,1.391685621,3.82223664,-1.038865398,,,
2013/4/2,1.55667238,3.987223399,-0.873878639,,,
2013/4/9,1.485410457,3.915961476,-0.945140562,,,
2013/4/16,1.435888174,3.866439193,-0.994662845,,,
2013/4/23,0.906979428,3.337530447,-1.523571591,,,
2013/4/30,0.841050021,3.27160104,-1.589500998,,,
2013/5/7,1.060892407,3.491443426,-1.369658612,,,
2013/5/14,1.12161891,3.552169929,-1.308932109,,,
2013/5/21,1.793544388,4.224095407,-0.637006631,,,
2013/5/28,2.506885921,4.93743694,0.076334902,,,
2013/6/4,2.671876195,5.102427214,0.241325176,,,
2013/6/11,3.890717033,6.321268052,1.460166014,,,
2013/6/18,3.872738286,6.303289305,1.442187267,,,
2013/6/25,2.069261048,4.499812067,-0.361289971,,,
2013/7/2,1.105518931,3.53606995,-1.325032088,,,
2013/7/9,1.648940142,4.079491161,-0.781610877,,,
2013/7/16,2.50488865,4.935439669,0.074337631,,,
2013/7/23,2.201788205,4.632339224,-0.228762814,,,
2013/7/30,1.745778483,4.176329502,-0.684772536,,,
2013/8/6,1.728264858,4.158815877,-0.702286161,,,
2013/8/13,1.686905666,4.117456685,-0.743645353,,,
2013/8/20,1.232789358,3.663340377,-1.197761661,,,
2013/8/27,0.703172982,3.133724001,-1.727378037,,,
2013/9/3,0.921180995,3.351732014,-1.509370024,,,
2013/9/10,1.303289982,3.733841001,-1.127261037,,,
2013/9/17,1.018040642,3.448591661,-1.412510377,,,
2013/9/24,1.010399634,3.440950653,-1.420151385,,,
2013/10/1,0.756739461,3.187290479,-1.673811558,,,
2013/10/8,0.720265422,3.150816441,-1.710285597,,,
2013/10/15,1.440061501,3.87061252,-0.990489518,,,
2013/10/22,1.681493476,4.112044495,-0.749057543,,,
2013/10/29,1.16497615,3.595527169,-1.265574869,,,
2013/11/5,1.076435358,3.506986377,-1.354115661,,,
2013/11/12,0.78136778,3.211918799,-1.649183239,,,
2013/11/19,1.146804007,3.577355026,-1.283747012,,,
2013/11/26,1.131357326,3.561908345,-1.299193693,,,
2013/12/3,1.095854015,3.526405034,-1.334697004,,,
2013/12/10,1.325463937,3.756014956,-1.105087082,,,
2013/12/17,1.342468441,3.77301946,-1.088082578,,,
2013/12/24,1.418403655,3.848954674,-1.012147363,,,
2014/1/1,1.489690562,3.920241581,-0.940860457,,,
2014/1/8,1.089139517,3.519690536,-1.341411502,,,
2014/1/15,1.380339217,3.810890236,-1.050211802,,,
2014/1/22,0.974681641,3.40523266,-1.455869378,,,
2014/1/29,1.307553995,3.738105014,-1.122997024,,,
2014/2/5,1.243920512,3.674471531,-1.186630507,,,
2014/2/12,1.000146861,3.43069788,-1.430404158,,,
2014/2/19,1.606092442,4.036643461,-0.824458576,,,
2014/2/26,1.027770066,3.458321085,-1.402780953,,,
2014/3/5,1.095338562,3.525889581,-1.335212457,,,
2014/3/12,0.894290702,3.324841721,-1.536260317,,,
2014/3/19,0.953217099,3.383768118,-1.477333919,,,
2014/3/26,1.405770871,3.83632189,-1.024780148,,,
2014/4/2,1.300844131,3.73139515,-1.129706888,,,
2014/4/9,1.581776098,4.012327117,-0.848774921,,,
2014/4/16,1.311869798,3.742420817,-1.118681221,,,
2014/4/23,1.044065795,3.474616814,-1.386485224,,,
2014/4/30,0.95933638,3.389887398,-1.471214639,,,
2014/5/7,1.054877802,3.485428821,-1.375673217,,,
2014/5/14,2.15898944,4.589540459,-0.271561579,,,
2014/5/21,1.882837769,4.313388788,-0.54771325,,,
2014/5/28,2.15090399,4.581455009,-0.279647029,,,
2014/6/4,1.779346447,4.209897466,-0.651204572,,,
2014/6/11,1.772533309,4.203084328,-0.65801771,,,
2014/6/18,1.620225527,4.050776545,-0.810325492,,,
2014/6/25,1.9310953,4.361646319,-0.499455719,,,
2014/7/2,1.751544985,4.182096004,-0.679006033,,,
2014/7/9,2.36889831,4.799449329,-0.061652708,,,
2014/7/16,3.014213985,5.444765004,0.583662966,,,
2014/7/23,2.789782203,5.220333222,0.359231184,,,
2014/7/30,1.721127674,4.151678693,-0.709423345,,,
2014/12/17,1.483705431,3.91425645,-0.946845588,,,
2014/12/24,2.155089127,4.585640146,-0.275461892,,,
2014/12/31,2.356472052,4.787023071,-0.074078966,,,
2015/1/1,4.907092531,7.33764355,2.476541512,,,
2015/1/8,2.348846703,4.779397722,-0.081704316,,,
2015/1/15,1.605500787,4.036051806,-0.825050232,,,
2015/1/22,1.302024159,3.732575178,-1.12852686,,,
2015/1/29,2.06144162,4.491992639,-0.369109399,,,
2015/2/5,2.239550255,4.670101274,-0.191000764,,,
2015/2/12,1.66000051,4.090551529,-0.770550509,,,
2015/2/19,1.780898628,4.211449647,-0.649652391,,,
2015/2/26,2.166447472,4.596998491,-0.264103547,,,
2015/3/5,1.455960617,3.886511636,-0.974590401,,,
2015/3/12,1.467782902,3.898333921,-0.962768117,,,
2015/3/19,0.915605843,3.346156862,-1.514945176,,,
2015/3/26,2.325862216,4.756413235,-0.104688802,,,
2015/4/2,2.587832825,5.018383844,0.157281806,,,
2015/4/9,2.916572408,5.347123427,0.486021389,,,
2015/4/16,2.040961127,4.471512146,-0.389589892,,,
2015/4/23,1.795989729,4.226540748,-0.634561289,,,
2015/4/30,2.124209466,4.554760485,-0.306341553,,,
2015/5/7,1.945383573,4.375934592,-0.485167446,,,
2015/5/14,2.890967284,5.321518303,0.460416265,,,
2015/5/21,3.347346745,5.777897764,0.916795726,,,
2015/5/28,3.100894806,5.531445825,0.670343787,,,
2015/6/4,3.254123312,5.684674331,0.823572293,,,
2015/6/11,2.526159462,4.956710481,0.095608443,,,
2015/6/18,1.960202811,4.39075383,-0.470348208,,,
2015/6/25,1.703335899,4.133886918,-0.72721512,,,
2015/7/2,1.674337612,4.104888631,-0.756213407,,,
2015/7/9,1.801803953,4.232354972,-0.628747066,,,
2015/7/16,1.523203187,3.953754206,-0.907347832,,,
2015/7/23,1.655567962,4.086118981,-0.774983057,,,
2015/7/30,1.823740224,4.254291243,-0.606810794,,,
2015/8/6,1.491108651,3.921659669,-0.939442368,,,
2015/8/13,1.112049587,3.542600606,-1.318501432,,,
2015/8/20,0.669803839,3.100354858,-1.76074718,,,
2015/8/27,0.909784685,3.340335704,-1.520766334,,,
2015/9/3,1.239606105,3.670157124,-1.190944914,,,
2015/9/10,0.88354813,3.314099149,-1.547002889,,,
2015/9/17,1.161726283,3.592277302,-1.268824735,,,
2015/9/24,1.46810146,3.898652479,-0.962449559,,,
2015/10/1,2.198819747,4.629370766,-0.231731272,,,
2015/10/8,1.888283881,4.3188349,-0.542267138,,,
2015/10/15,1.795674247,4.226225266,-0.634876772,,,
2015/10/22,1.822906561,4.25345758,-0.607644458,,,
2015/10/29,2.360976089,4.791527108,-0.06957493,,,
2015/11/5,1.876143309,4.306694328,-0.55440771,,,
2015/11/12,2.037158778,4.467709797,-0.393392241,,,
2015/11/19,2.440691383,4.871242401,0.010140364,,,
2015/11/26,4.784358033,7.214909052,2.353807015,,,
2015/12/3,3.966190817,6.396741835,1.535639798,,,
2015/12/10,2.413303472,4.843854491,-0.017247547,,,
2015/12/17,0.929000175,3.359551194,-1.501550844,,,
2015/12/24,1.7675493,4.198100319,-0.663001719,,,
2015/12/31,1.986109306,4.416660325,-0.444441713,,,
2016/1/8,1.720738935,4.151289954,-0.709812084,,,
2016/1/15,1.719332333,4.149883352,-0.711218685,,,
2016/1/22,1.826961008,4.257512027,-0.603590011,,,
2016/1/29,1.855648795,4.286199814,-0.574902224,,,
2016/2/5,1.224160772,3.654711791,-1.206390247,,,
2016/2/12,1.019875663,3.450426681,-1.410675356,,,
2016/2/19,1.3595627,3.790113719,-1.070988319,,,
2016/2/26,1.307929088,3.738480107,-1.122621931,,,
2016/3/4,1.1268883,3.557439319,-1.303662719,,,
2016/3/11,1.091198719,3.521749738,-1.3393523,,,
2016/3/18,1.21665358,3.647204599,-1.213897439,,,
2016/3/25,1.323535248,3.754086266,-1.107015771,,,
2016/4/1,1.385483275,3.816034294,-1.045067744,,,
2016/4/8,1.348911676,3.779462694,-1.081639343,,,
2016/4/15,1.474129237,3.904680256,-0.956421782,,,
2016/4/22,1.191945145,3.622496164,-1.238605873,,,
2016/4/29,1.365754472,3.796305491,-1.064796547,,,
2016/5/6,1.045792392,3.476343411,-1.384758627,,,
2016/5/13,0.986469038,3.417020057,-1.444081981,,,
2016/5/20,1.177745365,3.608296384,-1.252805654,,,
2016/5/27,1.48186982,3.912420839,-0.948681198,,,
2016/6/3,1.594739885,4.025290904,-0.835811134,,,
2016/6/10,1.386036225,3.816587244,-1.044514794,,,
2016/6/17,1.452066042,3.882617061,-0.978484977,,,
2016/6/24,1.902588929,4.333139948,-0.527962089,,,
2016/7/1,2.366988174,4.797539193,-0.063562844,,,
2016/7/8,1.827638758,4.258189777,-0.602912261,,,
2016/7/15,1.626673665,4.057224684,-0.803877354,,,
2016/7/22,1.550168814,3.980719833,-0.880382205,,,
2016/7/29,2.117169847,4.547720866,-0.313381172,,,
2016/8/5,2.179900396,4.610451415,-0.250650623,,,
2016/8/12,1.707478683,4.138029702,-0.723072336,,,
2016/8/19,1.936527299,4.367078318,-0.49402372,,,
2016/8/26,1.995886475,4.426437494,-0.434664544,,,
2016/9/2,2.219930933,4.650481952,-0.210620086,,,
2016/9/9,3.03946774,5.470018759,0.608916721,,,
2016/9/16,5.25737564,7.687926659,2.826824621,,,
2016/9/23,4.815667273,7.246218292,2.385116254,,,
2016/9/30,2.282672391,4.71322341,-0.147878628,,,
2016/10/7,1.596752241,4.02730326,-0.833798778,,,
2016/10/14,1.576692799,4.007243818,-0.85385822,,,
2016/10/21,2.39568924,4.826240259,-0.034861779,,,
2016/10/28,2.562339096,4.992890114,0.131788077,,,
2016/11/4,2.442405498,4.872956517,0.011854479,,,
2016/11/11,2.755554613,5.186105632,0.325003594,,,
2016/11/18,3.514698778,5.945249797,1.084147759,,,
2016/11/25,2.643656546,5.074207565,0.213105527,,,
2016/12/2,2.052823797,4.483374816,-0.377727221,,,
2016/12/9,1.216680999,3.647232018,-1.21387002,,,
2016/12/16,1.991454905,4.422005924,-0.439096113,,,
2016/12/23,2.465138557,4.895689576,0.034587538,,,
2016/12/30,2.056541513,4.487092532,-0.374009506,,,
2017/1/1,1.556559545,3.987110564,-0.873991474,,,
2017/1/8,2.052148662,4.482699681,-0.378402357,,,
2017/1/15,1.619630051,4.05018107,-0.810920968,,,
2017/1/22,1.866806201,4.29735722,-0.563744818,,,
2017/1/29,2.408877768,4.839428787,-0.021673251,,,
2017/2/5,1.720110284,4.150661303,-0.710440735,,,
2017/2/12,1.481785543,3.912336562,-0.948765476,,,
2017/2/19,1.07534144,3.505892459,-1.355209579,,,
2017/2/26,1.442770911,3.87332193,-0.987780108,,,
2017/3/5,1.454779342,3.885330361,-0.975771677,,,
2017/3/12,1.196686432,3.627237451,-1.233864587,,,
2017/3/19,1.274276132,3.70482715,-1.156274887,,,
2017/3/26,1.777413386,4.207964405,-0.653137633,,,
2017/4/2,1.882520326,4.313071345,-0.548030693,,,
2017/4/9,1.592271493,4.022822512,-0.838279526,,,
2017/4/16,1.055447174,3.485998193,-1.375103845,,,
2017/4/23,1.016648933,3.447199952,-1.413902086,,,
2017/4/30,1.358589675,3.789140694,-1.071961344,,,
2017/5/7,2.167147569,4.597698587,-0.26340345,,,
2017/5/14,2.511592449,4.942143468,0.08104143,,,
2017/5/21,3.293748418,5.724299436,0.863197399,,,
2017/5/28,4.442931169,6.873482188,2.01238015,,,
2017/6/4,2.386472511,4.817023529,-0.044078508,,,
2017/6/11,2.554639725,4.985190744,0.124088706,,,
2017/6/18,1.835009248,4.265560267,-0.595541771,,,
2017/6/25,2.156874126,4.587425145,-0.273676893,,,
2017/7/2,2.168688563,4.599239582,-0.261862456,,,
2017/7/9,2.298533646,4.729084665,-0.132017373,,,
2017/7/16,3.402557639,5.833108658,0.97200662,,,
2017/7/23,3.520332391,5.95088341,1.089781372,,,
2017/7/30,2.306940496,4.737491515,-0.123610523,,,
2017/8/6,2.351165923,4.781716941,-0.079385096,,,
2017/8/13,1.612902309,4.043453328,-0.81764871,,,
2017/8/20,2.310702092,4.741253111,-0.119848927,,,
2017/8/27,1.693998965,4.124549984,-0.736552054,,,
2017/9/3,1.498307622,3.928858641,-0.932243397,,,
2017/9/10,4.185138873,6.615689892,1.754587854,,,
2017/9/17,4.865162457,7.295713476,2.434611438,,,
2017/9/24,3.905515909,6.336066928,1.47496489,,,
2017/10/1,2.011911857,4.442462876,-0.418639162,,,
2017/10/8,1.328278678,3.758829697,-1.102272341,,,
2017/10/15,1.526648341,3.957199359,-0.903902678,,,
2017/10/22,1.376691548,3.807242567,-1.053859471,,,
2017/10/29,1.672176166,4.102727185,-0.758374853,,,
2017/11/5,1.87844782,4.308998839,-0.552103199,,,
2017/11/12,1.462494454,3.893045473,-0.968056565,,,
2017/11/19,2.254934363,4.685485382,-0.175616656,,,
2017/11/26,6.064453243,8.495004262,3.633902224,,,
2017/12/3,1.94714764,4.377698659,-0.483403379,,,
2017/12/10,2.470497081,4.9010481,0.039946063,,,
2017/12/17,1.081108514,3.511659533,-1.349442504,,,
2017/12/24,1.580127967,4.010678986,-0.850423052,,,
2017/12/31,1.556559545,3.987110564,-0.873991474,,,
2018/1/1,1.91455563,4.345106648,-0.515995389,,,
2018/1/8,2.312045648,4.742596667,-0.118505371,,,
2018/1/15,1.744792046,4.175343065,-0.685758973,,,
2018/1/22,1.219170271,3.64972129,-1.211380748,,,
2018/1/29,1.599074269,4.029625288,-0.83147675,,,
2018/2/5,0.495946707,2.926497726,-1.934604312,,,
2018/2/12,2.076753763,4.507304782,-0.353797255,,,
2018/2/19,0.635203751,3.06575477,-1.795347267,,,
2018/2/26,1.928529204,4.359080223,-0.502021815,,,
2018/3/5,1.106769708,3.537320727,-1.323781311,,,
2018/3/12,0.973355361,3.40390638,-1.457195658,,,
2018/3/19,0.511990548,2.942541567,-1.918560471,,,
2018/3/26,2.13784761,4.568398629,-0.292703409,,,
2018/4/2,4.099705713,6.530256732,1.669154694,,,
2018/4/9,4.816424641,7.24697566,2.385873622,,,
2018/4/16,5.086852402,7.517403421,2.656301383,,,
2018/4/23,2.290344034,4.720895053,-0.140206985,,,
2018/4/30,1.864697819,4.295248838,-0.5658532,,,
2018/5/7,2.172458473,4.603009492,-0.258092546,,,
2018/5/14,4.037547564,6.468098583,1.606996545,,,
2018/5/21,3.441318112,5.871869131,1.010767093,,,
2018/5/28,5.214109848,7.644660867,2.783558829,,,
2018/6/4,4.763880203,7.194431222,2.333329184,,,
2018/6/11,3.564474081,5.9950251,1.133923062,,,
2018/6/18,3.827055797,6.257606815,1.396504778,,,
2018/6/25,2.217107353,4.647658372,-0.213443666,,,
2018/7/2,2.302861647,4.733412666,-0.127689372,,,
2018/7/9,2.712189307,5.142740326,0.281638288,,,
2018/7/16,2.131957429,4.562508448,-0.29859359,,,
2018/7/23,3.470048686,5.900599704,1.039497667,,,
2018/7/30,1.762384855,4.192935874,-0.668166164,,,
2018/8/6,2.140011549,4.570562568,-0.29053947,,,
