日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.868452465,1.482480963,0.254423967,,,
2013/1/8,0.786879527,1.400908025,0.172851029,,,
2013/1/15,0.776732009,1.390760507,0.162703511,,,
2013/1/22,0.769868923,1.38389742,0.155840425,,,
2013/1/29,0.843929102,1.4579576,0.229900604,,,
2013/2/5,0.882277002,1.4963055,0.268248504,,,
2013/2/19,0.847553871,1.461582369,0.233525374,,,
2013/2/26,0.746892356,1.360920853,0.132863858,,,
2013/3/5,0.808454656,1.422483154,0.194426158,,,
2013/3/12,0.766504187,1.380532685,0.152475689,,,
2013/3/19,0.739771155,1.353799653,0.125742657,,,
2013/3/26,0.689756418,1.303784916,0.07572792,,,
2013/4/2,0.811042639,1.425071137,0.197014141,,,
2013/4/9,0.738290544,1.352319041,0.124262046,,,
2013/4/16,0.711869388,1.325897886,0.09784089,,,
2013/4/23,0.652382734,1.266411232,0.038354236,,,
2013/4/30,0.620326053,1.234354551,0.006297555,,,
2013/5/7,0.514553812,1.12858231,-0.099474686,,,
2013/5/14,0.691749338,1.305777836,0.07772084,,,
2013/5/21,0.862683899,1.476712397,0.248655401,,,
2013/5/28,0.835982783,1.450011281,0.221954285,,,
2013/6/4,0.788940486,1.402968984,0.174911988,,,
2013/6/11,0.744005866,1.358034363,0.129977368,,,
2013/6/18,0.77038324,1.384411738,0.156354742,,,
2013/6/25,0.716016947,1.330045444,0.101988449,,,
2013/7/2,0.807849623,1.421878121,0.193821125,,,
2013/7/9,0.743819459,1.357847957,0.129790961,,,
2013/7/16,0.785232133,1.399260631,0.171203635,,,
2013/7/23,0.785665567,1.399694064,0.171637069,,,
2013/7/30,0.860756743,1.474785241,0.246728245,,,
2013/8/6,0.752362193,1.36639069,0.138333695,,,
2013/8/13,0.739167639,1.353196137,0.125139141,,,
2013/8/20,0.725019682,1.33904818,0.110991184,,,
2013/8/27,0.676301904,1.290330402,0.062273407,,,
2013/9/3,0.757590236,1.371618734,0.143561738,,,
2013/9/10,0.820399701,1.434428199,0.206371203,,,
2013/9/17,0.778625108,1.392653606,0.16459661,,,
2013/9/24,0.697945064,1.311973562,0.083916566,,,
2013/10/1,0.793656298,1.407684796,0.1796278,,,
2013/10/8,0.859074155,1.473102653,0.245045657,,,
2013/10/15,0.801927574,1.415956072,0.187899076,,,
2013/10/22,0.769071459,1.383099957,0.155042961,,,
2013/10/29,0.732170098,1.346198596,0.1181416,,,
2013/11/5,0.722630781,1.336659279,0.108602284,,,
2013/11/12,0.775490887,1.389519385,0.161462389,,,
2013/11/19,0.793057197,1.407085695,0.179028699,,,
2013/11/26,0.743363934,1.357392432,0.129335436,,,
2013/12/3,0.710171201,1.324199699,0.096142703,,,
2013/12/10,0.702468137,1.316496634,0.088439639,,,
2013/12/17,0.717027032,1.33105553,0.102998534,,,
2013/12/24,0.675303189,1.289331687,0.061274691,,,
2014/1/1,0.624155043,1.23818354,0.010126545,,,
2014/1/8,0.66267385,1.276702348,0.048645353,,,
2014/1/15,0.768365417,1.382393915,0.154336919,,,
2014/1/22,0.830200943,1.444229441,0.216172445,,,
2014/1/29,0.712534596,1.326563093,0.098506098,,,
2014/2/5,0.777748756,1.391777254,0.163720258,,,
2014/2/12,0.722925749,1.336954246,0.108897251,,,
2014/2/19,0.688570806,1.302599304,0.074542308,,,
2014/2/26,0.729280679,1.343309177,0.115252181,,,
2014/3/5,0.763313471,1.377341969,0.149284973,,,
2014/3/12,0.753884296,1.367912794,0.139855798,,,
2014/3/19,0.749154026,1.363182524,0.135125528,,,
2014/3/26,0.76981123,1.383839728,0.155782732,,,
2014/4/2,0.791958928,1.405987425,0.17793043,,,
2014/4/9,0.692173707,1.306202205,0.078145209,,,
2014/4/16,0.763640017,1.377668515,0.14961152,,,
2014/4/23,0.792296586,1.406325084,0.178268088,,,
2014/4/30,0.725474107,1.339502605,0.11144561,,,
2014/5/7,0.783871882,1.39790038,0.169843384,,,
2014/5/14,0.750039993,1.364068491,0.136011495,,,
2014/5/21,0.769715309,1.383743807,0.155686811,,,
2014/5/28,0.923793529,1.537822027,0.309765031,,,
2014/6/4,0.886810859,1.500839357,0.272782361,,,
2014/6/11,0.883807232,1.49783573,0.269778734,,,
2014/6/18,0.793042384,1.407070881,0.179013886,,,
2014/6/25,0.989282853,1.603311351,0.375254355,,,
2014/7/2,1.015578691,1.629607189,0.401550193,,,
2014/7/9,0.982037711,1.596066209,0.368009213,,,
2014/7/16,0.896981991,1.511010489,0.282953493,,,
2014/7/23,0.932722816,1.546751314,0.318694318,,,
2014/7/30,0.86881275,1.482841247,0.254784252,,,
2014/12/17,0.894325941,1.508354439,0.280297443,,,
2014/12/24,0.876732767,1.490761265,0.262704269,,,
2014/12/31,0.884992176,1.499020674,0.270963678,,,
2015/1/1,0.824974765,1.439003262,0.210946267,,,
2015/1/8,0.803053196,1.417081694,0.189024698,,,
2015/1/15,0.855638537,1.469667035,0.241610039,,,
2015/1/22,0.8211945,1.435222997,0.207166002,,,
2015/1/29,0.691790566,1.305819064,0.077762068,,,
2015/2/5,0.723853948,1.337882446,0.10982545,,,
2015/2/12,0.733553297,1.347581795,0.119524799,,,
2015/2/19,0.714956827,1.328985325,0.100928329,,,
2015/2/26,0.694273956,1.308302454,0.080245458,,,
2015/3/5,0.818068087,1.432096585,0.204039589,,,
2015/3/12,0.742662372,1.35669087,0.128633874,,,
2015/3/19,0.675880285,1.289908783,0.061851787,,,
2015/3/26,0.784169135,1.398197633,0.170140637,,,
2015/4/2,0.785068976,1.399097474,0.171040478,,,
2015/4/9,0.750965307,1.364993804,0.136936809,,,
2015/4/16,0.854405217,1.468433714,0.240376719,,,
2015/4/23,0.859862518,1.473891016,0.24583402,,,
2015/4/30,0.79071069,1.404739188,0.176682192,,,
2015/5/7,0.873643661,1.487672158,0.259615163,,,
2015/5/14,0.982595348,1.596623846,0.36856685,,,
2015/5/21,1.02524439,1.639272888,0.411215893,,,
2015/5/28,1.000987982,1.61501648,0.386959485,,,
2015/6/4,1.083243894,1.697272392,0.469215397,,,
