日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.321158808,7.571415794,-4.929098179,,,
2013/1/8,1.063118854,7.313375841,-5.187138132,,,
2013/1/15,1.09935395,7.349610936,-5.150903037,,,
2013/1/22,0.991311407,7.241568393,-5.258945579,,,
2013/1/29,0.976243215,7.226500201,-5.274013771,,,
2013/2/5,1.005460477,7.255717463,-5.24479651,,,
2013/2/19,0.884610537,7.134867523,-5.36564645,,,
2013/2/26,0.962678402,7.212935388,-5.287578584,,,
2013/3/5,0.808938452,7.059195438,-5.441318534,,,
2013/3/12,0.801186931,7.051443917,-5.449070056,,,
2013/3/19,0.98728432,7.237541306,-5.262972666,,,
2013/3/26,0.856073453,7.106330439,-5.394183533,,,
2013/4/2,0.762323198,7.012580184,-5.487933788,,,
2013/4/9,1.015401689,7.265658675,-5.234855297,,,
2013/4/16,0.824203897,7.074460883,-5.426053089,,,
2013/4/23,0.901743944,7.15200093,-5.348513042,,,
2013/4/30,0.944429347,7.194686333,-5.305827639,,,
2013/5/7,0.838693409,7.088950395,-5.411563577,,,
2013/5/14,0.799609964,7.04986695,-5.450647022,,,
2013/5/21,0.847414285,7.097671271,-5.402842702,,,
2013/5/28,0.818453464,7.06871045,-5.431803522,,,
2013/6/4,0.951173351,7.201430337,-5.299083635,,,
2013/6/11,0.825755484,7.07601247,-5.424501503,,,
2013/6/18,0.835952013,7.086208999,-5.414304974,,,
2013/6/25,0.774789772,7.025046758,-5.475467214,,,
2013/7/2,0.817969996,7.068226982,-5.43228699,,,
2013/7/9,0.809799365,7.060056351,-5.440457621,,,
2013/7/16,0.855720184,7.10597717,-5.394536802,,,
2013/7/23,2.30679474,8.557051726,-3.943462246,,,
2013/7/30,2.226998731,8.477255717,-4.023258255,,,
2013/8/6,2.696219585,8.946476571,-3.554037401,,,
2013/8/13,3.155491761,9.405748747,-3.094765225,,,
2013/8/20,2.339684725,8.589941711,-3.910572261,,,
2013/8/27,2.281492043,8.531749029,-3.968764943,,,
2013/9/3,2.135286039,8.385543025,-4.114970947,,,
2013/9/10,4.293123796,10.54338078,-1.95713319,,,
2013/9/17,5.755163487,12.00542047,-0.495093499,,,
2013/9/24,4.782539872,11.03279686,-1.467717114,,,
2013/10/1,7.003218772,13.25347576,0.752961786,,,
2013/10/8,9.735072533,15.98532952,3.484815547,,,
2013/10/15,8.481381661,14.73163865,2.231124675,,,
2013/10/22,7.928009623,14.17826661,1.677752637,,,
2013/10/29,10.49105151,16.7413085,4.240794523,,,
2013/11/5,6.774025333,13.02428232,0.523768347,,,
2013/11/12,3.925379292,10.17563628,-2.324877694,,,
2013/11/19,5.63181994,11.88207693,-0.618437046,,,
2013/11/26,2.231214863,8.481471849,-4.019042123,,,
2013/12/3,1.710397789,7.960654775,-4.539859198,,,
2013/12/10,1.120742735,7.370999721,-5.129514251,,,
2013/12/17,0.379159897,6.629416883,-5.87109709,,,
2013/12/24,0.229477607,6.479734594,-6.020779379,,,
2014/1/1,3.155138211,9.405395197,-3.095118776,,,
2014/1/8,1.555949767,7.806206753,-4.69430722,,,
2014/1/15,3.01762178,9.267878766,-3.232635207,,,
2014/1/22,2.698140908,8.948397894,-3.552116078,,,
2014/1/29,3.004909322,9.255166308,-3.245347665,,,
2014/2/5,1.61196566,7.862222646,-4.638291327,,,
2014/2/12,5.278922115,11.5291791,-0.971334871,,,
2014/2/19,4.16502623,10.41528322,-2.085230756,,,
2014/2/26,3.258314454,9.50857144,-2.991942533,,,
2014/3/5,4.337453099,10.58771009,-1.912803887,,,
2014/3/12,1.634752184,7.88500917,-4.615504802,,,
2014/3/19,0.665627327,6.915884313,-5.58462966,,,
2014/3/26,0.162803351,6.413060337,-6.087453635,,,
2014/4/2,1.032040914,7.2822979,-5.218216072,,,
2014/4/9,4.398761376,10.64901836,-1.851495611,,,
2014/4/16,3.669883684,9.92014067,-2.580373302,,,
2014/4/23,3.491645508,9.741902494,-2.758611478,,,
2014/4/30,6.81784725,13.06810424,0.567590264,,,
2014/5/7,3.682245674,9.93250266,-2.568011312,,,
2014/5/14,2.324063355,8.574320341,-3.926193632,,,
2014/5/21,2.209068766,8.459325752,-4.04118822,,,
2014/5/28,1.242561006,7.492817993,-5.00769598,,,
2014/6/4,-0.277593097,5.972663889,-6.527850083,,,
2014/6/11,1.201699239,7.451956225,-5.048557748,,,
2014/6/18,0.582199592,6.832456578,-5.668057395,,,
2014/6/25,2.42316806,8.673425046,-3.827088926,,,
2014/7/2,1.636486724,7.88674371,-4.613770262,,,
2014/7/9,1.034791371,7.285048357,-5.215465616,,,
2014/7/16,1.192971886,7.443228872,-5.0572851,,,
2014/7/23,1.205238723,7.455495709,-5.045018264,,,
2014/7/30,0.884894289,7.135151275,-5.365362698,,,
2014/12/17,1.049500358,7.299757344,-5.200756629,,,
2014/12/24,0.85731982,7.107576807,-5.392937166,,,
2014/12/31,0.553504429,6.803761416,-5.696752557,,,
2015/1/1,0.756221223,7.006478209,-5.494035763,,,
2015/1/8,0.655519774,6.905776761,-5.594737212,,,
2015/1/15,0.625342226,6.875599212,-5.62491476,,,
2015/1/22,0.642508037,6.892765023,-5.60774895,,,
2015/1/29,0.691742424,6.94199941,-5.558514562,,,
2015/2/5,0.748935203,6.999192189,-5.501321783,,,
2015/2/12,1.559604777,7.809861763,-4.690652209,,,
2015/2/19,1.234006851,7.484263837,-5.016250135,,,
2015/2/26,1.095337065,7.345594051,-5.154919921,,,
2015/3/5,1.609819487,7.860076473,-4.640437499,,,
2015/3/12,1.095181473,7.345438459,-5.155075513,,,
2015/3/19,0.88585507,7.136112056,-5.364401916,,,
2015/3/26,0.721805222,6.972062209,-5.528451764,,,
2015/4/2,2.988526726,9.238783712,-3.261730261,,,
2015/4/9,2.551659001,8.801915987,-3.698597985,,,
2015/4/16,2.551272836,8.801529823,-3.69898415,,,
2015/4/23,5.063353145,11.31361013,-1.186903841,,,
2015/4/30,3.710798772,9.961055758,-2.539458214,,,
2015/5/7,3.987193961,10.23745095,-2.263063025,,,
2015/5/14,3.114400681,9.364657667,-3.135856305,,,
2015/5/21,1.547150072,7.797407058,-4.703106915,,,
2015/5/28,1.304145484,7.55440247,-4.946111502,,,
2015/6/4,0.37797021,6.628227197,-5.872286776,,,
2015/6/11,0.021164588,6.271421574,-6.229092398,,,
2015/6/18,0.783683388,7.033940374,-5.466573598,,,
2015/6/25,0.902955072,7.153212058,-5.347301914,,,
