日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.017116805,2.154363811,-0.120130201,,,
2013/1/8,0.7665345,1.903781506,-0.370712506,,,
2013/1/15,0.83827767,1.975524677,-0.298969336,,,
2013/1/22,0.780638167,1.917885173,-0.356608839,,,
2013/1/29,1.032265743,2.169512749,-0.104981263,,,
2013/2/5,0.900048411,2.037295418,-0.237198595,,,
2013/2/19,0.829951171,1.967198178,-0.307295835,,,
2013/2/26,0.701331418,1.838578424,-0.435915588,,,
2013/3/5,0.688577212,1.825824218,-0.448669795,,,
2013/3/12,0.68784898,1.825095986,-0.449398026,,,
2013/3/19,1.07864359,2.215890596,-0.058603416,,,
2013/3/26,0.744027293,1.881274299,-0.393219713,,,
2013/4/2,1.298848464,2.43609547,0.161601458,,,
2013/4/9,1.632742648,2.769989654,0.495495642,,,
2013/4/16,2.252310008,3.389557014,1.115063002,,,
2013/4/23,1.51782229,2.655069296,0.380575284,,,
2013/4/30,1.520241483,2.657488489,0.382994477,,,
2013/5/7,0.948724405,2.085971411,-0.188522601,,,
2013/5/14,1.378457606,2.515704612,0.2412106,,,
2013/5/21,1.336396097,2.473643103,0.199149091,,,
2013/5/28,1.161282448,2.298529455,0.024035442,,,
2013/6/4,1.642031653,2.779278659,0.504784647,,,
2013/6/11,1.473610111,2.610857117,0.336363105,,,
2013/6/18,1.38096625,2.518213256,0.243719244,,,
2013/6/25,1.005747007,2.142994013,-0.1315,,,
2013/7/2,0.831136631,1.968383638,-0.306110375,,,
2013/7/9,0.819315928,1.956562934,-0.317931078,,,
2013/7/16,1.128272724,2.26551973,-0.008974282,,,
2013/7/23,1.063324055,2.200571061,-0.073922951,,,
2013/7/30,0.851289795,1.988536801,-0.285957212,,,
2013/8/6,1.012300093,2.149547099,-0.124946913,,,
2013/8/13,0.756340781,1.893587787,-0.380906225,,,
2013/8/20,0.762194348,1.899441354,-0.375052658,,,
2013/8/27,0.866488322,2.003735328,-0.270758684,,,
2013/9/3,1.100396205,2.237643212,-0.036850801,,,
2013/9/10,0.921248753,2.058495759,-0.215998253,,,
2013/9/17,0.887224035,2.024471042,-0.250022971,,,
2013/9/24,1.135322557,2.272569563,-0.001924449,,,
2013/10/1,0.897076607,2.034323614,-0.240170399,,,
2013/10/8,0.845191602,1.982438608,-0.292055404,,,
2013/10/15,0.889857219,2.027104225,-0.247389787,,,
2013/10/22,1.016990292,2.154237298,-0.120256714,,,
2013/10/29,0.963368377,2.100615383,-0.173878629,,,
2013/11/5,1.015291231,2.152538237,-0.121955775,,,
2013/11/12,1.003963481,2.141210487,-0.133283525,,,
2013/11/19,1.012658034,2.14990504,-0.124588972,,,
2013/11/26,1.191494517,2.328741523,0.054247511,,,
2013/12/3,1.006697282,2.143944288,-0.130549724,,,
2013/12/10,1.130358203,2.267605209,-0.006888803,,,
2013/12/17,0.925171326,2.062418332,-0.21207568,,,
