日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,2.554710727,6.562165975,-1.45274452,,,
2013/1/8,2.398809199,6.406264447,-1.608646048,,,
2013/1/15,1.393069451,5.400524698,-2.614385797,,,
2013/1/22,0.965581363,4.97303661,-3.041873885,,,
2013/1/29,1.152405231,5.159860479,-2.855050016,,,
2013/2/5,1.64769374,5.655148988,-2.359761507,,,
2013/2/19,2.231139318,6.238594565,-1.77631593,,,
2013/2/26,1.851488202,5.858943449,-2.155967046,,,
2013/3/5,2.65333815,6.660793397,-1.354117098,,,
2013/3/12,1.781569172,5.78902442,-2.225886076,,,
2013/3/19,1.810987069,5.818442316,-2.196468179,,,
2013/3/26,2.20039773,6.207852978,-1.807057518,,,
2013/4/2,5.065436986,9.072892233,1.057981738,,,
2013/4/9,13.55403624,17.56149149,9.546580996,,,
2013/4/16,20.4412156,24.44867085,16.43376035,,,
2013/4/23,23.2302749,27.23773015,19.22281965,,,
2013/4/30,23.42247113,27.42992638,19.41501589,,,
2013/5/7,21.93478983,25.94224507,17.92733458,,,
2013/5/14,18.04804333,22.05549858,14.04058808,,,
2013/5/21,11.83595288,15.84340812,7.828497628,,,
2013/5/28,9.401765487,13.40922073,5.39431024,,,
2013/6/4,8.350595289,12.35805054,4.343140042,,,
2013/6/11,6.139965784,10.14742103,2.132510536,,,
2013/6/18,7.26474296,11.27219821,3.257287712,,,
2013/6/25,8.310938459,12.31839371,4.303483211,,,
2013/7/2,6.664583134,10.67203838,2.657127886,,,
2013/7/9,5.290645045,9.298100293,1.283189798,,,
2013/7/16,4.853322105,8.860777353,0.845866858,,,
2013/7/23,4.964453498,8.971908746,0.95699825,,,
2013/7/30,3.971630368,7.979085615,-0.03582488,,,
2013/8/6,3.848575357,7.856030604,-0.158879891,,,
2013/8/13,3.275890715,7.283345963,-0.731564533,,,
