日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.207402236,2.245023673,0.169780799,,,
2013/1/8,1.023647063,2.0612685,-0.013974374,,,
2013/1/15,1.023944015,2.061565452,-0.013677422,,,
2013/1/22,1.198911373,2.23653281,0.161289936,,,
2013/1/29,1.377131909,2.414753346,0.339510472,,,
2013/2/5,0.983594379,2.021215816,-0.054027058,,,
2013/2/19,0.75592588,1.793547318,-0.281695557,,,
2013/2/26,0.645299294,1.682920731,-0.392322143,,,
2013/3/5,0.739417256,1.777038693,-0.298204182,,,
2013/3/12,0.675825961,1.713447399,-0.361795476,,,
2013/3/19,0.677218214,1.714839651,-0.360403224,,,
2013/3/26,0.753794142,1.791415579,-0.283827295,,,
2013/4/2,0.874047139,1.911668576,-0.163574298,,,
2013/4/9,0.697543919,1.735165356,-0.340077518,,,
2013/4/16,0.659281602,1.69690304,-0.378339835,,,
2013/4/23,0.724855367,1.762476804,-0.31276607,,,
2013/4/30,1.018369692,2.055991129,-0.019251746,,,
2013/5/7,0.713486026,1.751107463,-0.324135411,,,
2013/5/14,0.642426408,1.680047846,-0.395195029,,,
2013/5/21,0.605816729,1.643438166,-0.431804708,,,
2013/5/28,0.671627318,1.709248755,-0.365994119,,,
2013/6/4,0.614364488,1.651985925,-0.423256949,,,
2013/6/11,0.59308851,1.630709947,-0.444532928,,,
2013/6/18,0.643856959,1.681478396,-0.393764478,,,
2013/6/25,0.78226641,1.819887847,-0.255355028,,,
2013/7/2,0.725529273,1.76315071,-0.312092164,,,
2013/7/9,0.883461659,1.921083096,-0.154159778,,,
2013/7/16,0.948680675,1.986302112,-0.088940762,,,
2013/7/23,1.160458149,2.198079586,0.122836711,,,
2013/7/30,0.943507528,1.981128965,-0.09411391,,,
2013/8/6,1.083505923,2.121127361,0.045884486,,,
2013/8/13,0.912438576,1.950060013,-0.125182861,,,
2013/8/20,0.824090873,1.86171231,-0.213530565,,,
2013/8/27,0.674470845,1.712092283,-0.363150592,,,
2013/9/3,0.758781547,1.796402984,-0.278839891,,,
2013/9/10,0.678194814,1.715816252,-0.359426623,,,
2013/9/17,0.733459216,1.771080654,-0.304162221,,,
2013/9/24,0.914463575,1.952085012,-0.123157862,,,
2013/10/1,0.703584854,1.741206291,-0.334036583,,,
2013/10/8,0.680616703,1.71823814,-0.357004734,,,
2013/10/15,0.62909006,1.666711497,-0.408531378,,,
2013/10/22,0.584868347,1.622489784,-0.45275309,,,
2013/10/29,0.692657942,1.730279379,-0.344963495,,,
