日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.39561658,3.048055462,-0.256822301,,,
2013/1/8,1.106268906,2.758707787,-0.546169975,,,
2013/1/15,1.209914878,2.86235376,-0.442524003,,,
2013/1/22,1.474486306,3.126925187,-0.177952576,,,
2013/1/29,1.269560379,2.921999261,-0.382878502,,,
2013/2/5,1.508453665,3.160892546,-0.143985217,,,
2013/2/19,0.971782799,2.624221681,-0.680656082,,,
2013/2/26,1.026300383,2.678739265,-0.626138498,,,
2013/3/5,0.906495578,2.558934459,-0.745943303,,,
2013/3/12,0.966987649,2.61942653,-0.685451232,,,
2013/3/19,2.708339522,4.360778403,1.055900641,,,
2013/3/26,1.591955901,3.244394783,-0.06048298,,,
2013/4/2,2.230465475,3.882904357,0.578026594,,,
2013/4/9,3.249229074,4.901667956,1.596790193,,,
2013/4/16,3.010310289,4.662749171,1.357871408,,,
2013/4/23,3.495780299,5.14821918,1.843341417,,,
2013/4/30,2.63198019,4.284419071,0.979541309,,,
2013/5/7,2.813329706,4.465768587,1.160890825,,,
2013/5/14,2.346335707,3.998774588,0.693896826,,,
2013/5/21,2.027236385,3.679675267,0.374797504,,,
2013/5/28,2.922318057,4.574756938,1.269879176,,,
2013/6/4,2.56341716,4.215856042,0.910978279,,,
2013/6/11,2.273096352,3.925535233,0.62065747,,,
2013/6/18,2.557758627,4.210197508,0.905319746,,,
2013/6/25,3.003199079,4.65563796,1.350760198,,,
2013/7/2,3.247128846,4.899567727,1.594689965,,,
2013/7/9,3.724627951,5.377066832,2.072189069,,,
2013/7/16,3.646527996,5.298966877,1.994089115,,,
2013/7/23,4.317216174,5.969655055,2.664777292,,,
2013/7/30,4.206658902,5.859097783,2.554220021,,,
2013/8/6,4.173058004,5.825496885,2.520619123,,,
2013/8/13,3.859145855,5.511584737,2.206706974,,,
2013/8/20,3.13310384,4.785542721,1.480664958,,,
2013/8/27,2.511562703,4.164001585,0.859123822,,,
2013/9/3,2.481767076,4.134205957,0.829328195,,,
2013/9/10,2.270143566,3.922582448,0.617704685,,,
2013/9/17,2.356663778,4.009102659,0.704224897,,,
2013/9/24,2.261691998,3.91413088,0.609253117,,,
2013/10/1,2.930310212,4.582749093,1.277871331,,,
2013/10/8,3.059294251,4.711733133,1.40685537,,,
2013/10/15,3.115227366,4.767666247,1.462788484,,,
2013/10/22,2.55416657,4.206605451,0.901727689,,,
2013/10/29,2.27465043,3.927089311,0.622211549,,,
2013/11/5,2.030281531,3.682720412,0.37784265,,,
2013/11/12,2.053163816,3.705602697,0.400724935,,,
2013/11/19,2.384952913,4.037391794,0.732514032,,,
2013/11/26,1.921596245,3.574035127,0.269157364,,,
2013/12/3,2.260602732,3.913041613,0.608163851,,,
2013/12/10,2.200760528,3.853199409,0.548321646,,,
2013/12/17,2.786214174,4.438653055,1.133775293,,,
2013/12/24,2.965116836,4.617555718,1.312677955,,,
2014/1/1,3.227972498,4.88041138,1.575533617,,,
2014/1/8,3.348685786,5.001124667,1.696246904,,,
2014/1/15,2.861517099,4.513955981,1.209078218,,,
2014/1/22,2.805368535,4.457807416,1.152929654,,,
2014/1/29,2.765448224,4.417887105,1.113009343,,,
2014/2/5,2.817683813,4.470122695,1.165244932,,,
2014/2/12,2.121105367,3.773544248,0.468666485,,,
2014/2/19,2.534745192,4.187184073,0.882306311,,,
2014/2/26,1.968428176,3.620867057,0.315989295,,,
2014/3/5,2.333317385,3.985756266,0.680878504,,,
2014/3/12,2.278068665,3.930507546,0.625629784,,,
2014/3/19,2.444040809,4.096479691,0.791601928,,,
2014/3/26,2.238865331,3.891304212,0.586426449,,,
2014/4/2,1.843960139,3.49639902,0.191521258,,,
2014/4/9,2.128210069,3.780648951,0.475771188,,,
2014/4/16,2.481764966,4.134203847,0.829326085,,,
2014/4/23,2.386218688,4.038657569,0.733779807,,,
2014/4/30,2.214022364,3.866461245,0.561583482,,,
2014/5/7,2.10636567,3.758804552,0.453926789,,,
2014/5/14,2.01453817,3.666977051,0.362099288,,,
2014/5/21,2.126239983,3.778678864,0.473801101,,,
2014/5/28,2.026126143,3.678565025,0.373687262,,,
2014/6/4,1.91374637,3.566185251,0.261307489,,,
2014/6/11,1.862254196,3.514693078,0.209815315,,,
2014/6/18,2.076710885,3.729149766,0.424272003,,,
2014/6/25,2.504360733,4.156799614,0.851921852,,,
2014/7/2,2.629851801,4.282290682,0.97741292,,,
2014/7/9,2.677554192,4.329993074,1.025115311,,,
2014/7/16,2.274174179,3.92661306,0.621735298,,,
2014/7/23,2.86789257,4.520331451,1.215453689,,,
2014/7/30,3.293265233,4.945704115,1.640826352,,,
2014/12/17,3.879312489,5.53175137,2.226873607,,,
2014/12/24,3.178338249,4.83077713,1.525899368,,,
2014/12/31,3.016960099,4.66939898,1.364521218,,,
2015/1/1,3.307368039,4.95980692,1.654929158,,,
2015/1/8,3.208033977,4.860472858,1.555595096,,,
2015/1/15,3.794964427,5.447403308,2.142525545,,,
2015/1/22,3.183651185,4.836090067,1.531212304,,,
2015/1/29,4.229531643,5.881970524,2.577092762,,,
2015/2/5,3.671739134,5.324178015,2.019300253,,,
2015/2/12,3.856655301,5.509094182,2.204216419,,,
2015/2/19,3.933430839,5.58586972,2.280991958,,,
2015/2/26,3.88713657,5.539575451,2.234697688,,,
2015/3/5,3.69003121,5.342470091,2.037592329,,,
2015/3/12,3.451872196,5.104311077,1.799433315,,,
2015/3/19,3.275273498,4.927712379,1.622834616,,,
2015/3/26,3.791837489,5.44427637,2.139398607,,,
2015/4/2,3.416282132,5.068721014,1.763843251,,,
2015/4/9,3.927949747,5.580388629,2.275510866,,,
2015/4/16,3.80219753,5.454636412,2.149758649,,,
2015/4/23,4.065497619,5.7179365,2.413058738,,,
2015/4/30,3.868956683,5.521395565,2.216517802,,,
2015/5/7,3.770203469,5.42264235,2.117764588,,,
2015/5/14,4.173202319,5.8256412,2.520763437,,,
2015/5/21,4.272705007,5.925143888,2.620266126,,,
2015/5/28,4.047536008,5.699974889,2.395097127,,,
2015/6/4,4.206426451,5.858865332,2.55398757,,,
2015/6/11,3.722874564,5.375313445,2.070435682,,,
2015/6/18,3.898583015,5.551021897,2.246144134,,,
2015/6/25,3.99589753,5.648336411,2.343458648,,,
2015/7/2,3.615916142,5.268355023,1.963477261,,,
2015/7/9,3.77652129,5.428960171,2.124082408,,,
2015/7/16,2.965824575,4.618263456,1.313385693,,,
2015/7/23,3.507397811,5.159836692,1.854958929,,,
2015/7/30,3.035390535,4.687829416,1.382951653,,,
2015/8/6,3.260398982,4.912837864,1.607960101,,,
2015/8/13,2.933314311,4.585753193,1.28087543,,,
2015/8/20,2.622797282,4.275236163,0.970358401,,,
2015/8/27,2.723844849,4.37628373,1.071405967,,,
2015/9/3,2.997729927,4.650168808,1.345291046,,,
2015/9/10,3.460628915,5.113067797,1.808190034,,,
2015/9/17,3.361030866,5.013469747,1.708591985,,,
2015/9/24,3.183163598,4.835602479,1.530724716,,,
2015/10/1,2.816280939,4.468719821,1.163842058,,,
2015/10/8,3.109587557,4.762026438,1.457148676,,,
2015/10/15,3.135250888,4.787689769,1.482812007,,,
2015/10/22,3.104585945,4.757024826,1.452147063,,,
2015/10/29,2.929938683,4.582377564,1.277499801,,,
2015/11/5,2.7682135,4.420652381,1.115774618,,,
2015/11/12,3.016914873,4.669353755,1.364475992,,,
2015/11/19,3.093784799,4.746223681,1.441345918,,,
2015/11/26,2.9257691,4.578207981,1.273330219,,,
2015/12/3,3.074212565,4.726651446,1.421773684,,,
