日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,2.424579113,3.363297613,1.485860614,,,
2013/1/8,3.606128573,4.544847073,2.667410074,,,
2013/1/15,2.475933896,3.414652396,1.537215397,,,
2013/1/22,1.946233668,2.884952167,1.007515168,,,
2013/1/29,1.835631257,2.774349757,0.896912758,,,
2013/2/5,1.891529904,2.830248404,0.952811405,,,
2013/2/19,1.894627148,2.833345648,0.955908649,,,
2013/2/26,1.675827993,2.614546492,0.737109493,,,
2013/3/5,1.459717473,2.398435973,0.520998974,,,
2013/3/12,1.269751177,2.208469677,0.331032678,,,
2013/3/19,1.203487448,2.142205948,0.264768949,,,
2013/3/26,1.510862128,2.449580627,0.572143628,,,
2013/4/2,1.579626824,2.518345323,0.640908324,,,
2013/4/9,1.3686729,2.307391399,0.4299544,,,
2013/4/16,1.288496111,2.22721461,0.349777611,,,
2013/4/23,1.434004109,2.372722608,0.495285609,,,
2013/4/30,1.364184019,2.302902518,0.425465519,,,
2013/5/7,1.177367786,2.116086286,0.238649287,,,
2013/5/14,1.69099089,2.629709389,0.752272391,,,
2013/5/21,1.791184367,2.729902866,0.852465867,,,
2013/5/28,1.646781298,2.585499797,0.708062798,,,
2013/6/4,1.460739896,2.399458396,0.522021397,,,
2013/6/11,1.433047792,2.371766291,0.494329292,,,
2013/6/18,1.403115829,2.341834328,0.464397329,,,
2013/6/25,1.553251497,2.491969997,0.614532998,,,
2013/7/2,1.710015477,2.648733976,0.771296977,,,
2013/7/9,1.842365911,2.781084411,0.903647412,,,
2013/7/16,1.689199832,2.627918331,0.750481332,,,
2013/7/23,1.750547469,2.689265968,0.811828969,,,
2013/7/30,1.936620703,2.875339203,0.997902204,,,
2013/8/6,1.927709163,2.866427662,0.988990663,,,
2013/8/13,1.854187417,2.792905916,0.915468918,,,
2013/8/20,1.553048431,2.49176693,0.614329931,,,
2013/8/27,1.384690586,2.323409085,0.445972086,,,
2013/9/3,1.57328905,2.51200755,0.634570551,,,
2013/9/10,1.507373034,2.446091533,0.568654534,,,
2013/9/17,1.439918376,2.378636876,0.501199877,,,
2013/9/24,1.634362131,2.573080631,0.695643632,,,
2013/10/1,1.508692513,2.447411012,0.569974013,,,
2013/10/8,1.565350996,2.504069495,0.626632496,,,
2013/10/15,1.354386015,2.293104515,0.415667516,,,
2013/10/22,1.605234584,2.543953083,0.666516084,,,
2013/10/29,1.77724893,2.71596743,0.838530431,,,
2013/11/5,1.675567325,2.614285825,0.736848826,,,
2013/11/12,1.461101062,2.399819562,0.522382563,,,
2013/11/19,1.711496515,2.650215015,0.772778016,,,
2013/11/26,1.552239504,2.490958004,0.613521005,,,
2013/12/3,1.806756675,2.745475174,0.868038175,,,
2013/12/10,1.624561472,2.563279972,0.685842973,,,
2013/12/17,1.596756136,2.535474635,0.658037636,,,
2013/12/24,1.796219773,2.734938272,0.857501273,,,
2014/1/1,1.988994045,2.927712544,1.050275545,,,
2014/1/8,2.018784919,2.957503419,1.08006642,,,
2014/1/15,2.024853715,2.963572215,1.086135216,,,
2014/1/22,1.595555233,2.534273732,0.656836733,,,
2014/1/29,1.776359908,2.715078407,0.837641408,,,
2014/2/5,1.636970726,2.575689225,0.698252226,,,
2014/2/12,1.647336619,2.586055118,0.708618119,,,
2014/2/19,1.663211971,2.60193047,0.724493471,,,
2014/2/26,1.392285202,2.331003701,0.453566702,,,
2014/3/5,1.51026131,2.44897981,0.571542811,,,
2014/3/12,1.48348137,2.422199869,0.54476287,,,
2014/3/19,1.344540063,2.283258562,0.405821563,,,
2014/3/26,1.379885858,2.318604357,0.441167359,,,
2014/4/2,1.165398868,2.104117367,0.226680368,,,
2014/4/9,1.364536877,2.303255376,0.425818377,,,
2014/4/16,1.955544872,2.894263371,1.016826372,,,
2014/4/23,1.323493436,2.262211936,0.384774937,,,
2014/4/30,1.084364099,2.023082599,0.1456456,,,
2014/5/7,1.101347727,2.040066226,0.162629228,,,
2014/5/14,1.313186357,2.251904857,0.374467858,,,
2014/5/21,1.589142286,2.527860785,0.650423786,,,
2014/5/28,1.457612911,2.39633141,0.518894411,,,
2014/6/4,1.276069661,2.214788161,0.337351162,,,
2014/6/11,1.290763187,2.229481686,0.352044687,,,
2014/6/18,1.126279928,2.064998428,0.187561429,,,
2014/6/25,1.371870471,2.310588971,0.433151972,,,
2014/7/2,1.274849944,2.213568443,0.336131444,,,
2014/7/9,1.422330231,2.361048731,0.483611732,,,
2014/7/16,1.433184965,2.371903465,0.494466466,,,
2014/7/23,1.522599475,2.461317974,0.583880975,,,
2014/7/30,1.984918018,2.923636518,1.046199519,,,
2014/12/17,1.94841639,2.887134889,1.00969789,,,
2014/12/24,1.589906243,2.528624743,0.651187744,,,
2014/12/31,1.796588241,2.735306741,0.857869742,,,
2015/1/1,1.556151432,2.494869932,0.617432933,,,
2015/1/8,1.922826343,2.861544842,0.984107843,,,
2015/1/15,1.786669136,2.725387636,0.847950637,,,
2015/1/22,1.666175004,2.604893504,0.727456505,,,
2015/1/29,1.553523103,2.492241603,0.614804604,,,
2015/2/5,1.482055019,2.420773519,0.54333652,,,
2015/2/12,1.863306449,2.802024949,0.92458795,,,
2015/2/19,1.58546849,2.524186989,0.64674999,,,
2015/2/26,1.789501886,2.728220385,0.850783386,,,
2015/3/5,1.987701979,2.926420479,1.04898348,,,
2015/3/12,2.132034348,3.070752847,1.193315848,,,
2015/3/19,1.949085955,2.887804455,1.010367456,,,
2015/3/26,1.803822591,2.74254109,0.865104091,,,
2015/4/2,1.799276981,2.73799548,0.860558481,,,
2015/4/9,1.815191577,2.753910076,0.876473077,,,
2015/4/16,1.940958158,2.879676658,1.002239659,,,
2015/4/23,1.815840809,2.754559309,0.87712231,,,
2015/4/30,1.677668585,2.616387085,0.738950086,,,
2015/5/7,1.618673852,2.557392351,0.679955352,,,
2015/5/14,1.871905535,2.810624034,0.933187035,,,
2015/5/21,1.873832322,2.812550822,0.935113823,,,
2015/5/28,1.695373275,2.634091775,0.756654776,,,
2015/6/4,1.797745236,2.736463736,0.859026737,,,
2015/6/11,1.827608301,2.7663268,0.888889801,,,
2015/6/18,2.028532798,2.967251297,1.089814298,,,
2015/6/25,2.482001091,3.42071959,1.543282592,,,
2015/7/2,2.018130049,2.956848549,1.07941155,,,
2015/7/9,2.243685463,3.182403962,1.304966963,,,
2015/7/16,2.203242342,3.141960841,1.264523842,,,
2015/7/23,2.151140813,3.089859313,1.212422314,,,
2015/7/30,2.225233728,3.163952227,1.286515229,,,
2015/8/6,2.343184398,3.281902897,1.404465898,,,
2015/8/13,2.353216983,3.291935483,1.414498484,,,
2015/8/20,2.339255874,3.277974373,1.400537374,,,
2015/8/27,2.153189161,3.091907661,1.214470662,,,
2015/9/3,2.26429106,3.203009559,1.32557256,,,
2015/9/10,2.173557202,3.112275701,1.234838702,,,
2015/9/17,2.301147072,3.239865571,1.362428572,,,
2015/9/24,1.982086577,2.920805077,1.043368078,,,
2015/10/1,1.945249581,2.88396808,1.006531081,,,
2015/10/8,1.888497095,2.827215594,0.949778595,,,
2015/10/15,2.362936747,3.301655247,1.424218248,,,
2015/10/22,2.200945108,3.139663607,1.262226608,,,
2015/10/29,2.257100113,3.195818612,1.318381613,,,
2015/11/5,2.071306736,3.010025235,1.132588236,,,
2015/11/12,1.975758431,2.91447693,1.037039931,,,
2015/11/19,2.149421906,3.088140406,1.210703407,,,
2015/11/26,2.011677196,2.950395696,1.072958697,,,
2015/12/3,2.141834925,3.080553424,1.203116425,,,
2015/12/10,2.188307877,3.127026377,1.249589378,,,
2015/12/17,1.648080046,2.586798546,0.709361547,,,
2015/12/24,1.782104247,2.720822747,0.843385748,,,
