日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.608121626,1.251671147,-0.035427896,,,
2013/1/8,0.553421436,1.196970958,-0.090128085,,,
2013/1/15,0.53364756,1.177197081,-0.109901962,,,
2013/1/22,0.518261515,1.161811037,-0.125288006,,,
2013/1/29,0.560149906,1.203699428,-0.083399615,,,
2013/2/5,0.576477969,1.220027491,-0.067071552,,,
2013/2/19,0.590165536,1.233715058,-0.053383985,,,
2013/2/26,0.604697475,1.248246996,-0.038852047,,,
2013/3/5,0.602977221,1.246526743,-0.040572301,,,
2013/3/12,0.60048494,1.244034462,-0.043064581,,,
2013/3/19,0.537059844,1.180609365,-0.106489678,,,
2013/3/26,0.572932133,1.216481655,-0.070617389,,,
2013/4/2,0.5599544,1.203503921,-0.083595122,,,
2013/4/9,0.578874962,1.222424484,-0.064674559,,,
2013/4/16,0.549864355,1.193413876,-0.093685167,,,
2013/4/23,0.560440921,1.203990442,-0.083108601,,,
2013/4/30,0.537787099,1.18133662,-0.105762423,,,
2013/5/7,0.535725666,1.179275187,-0.107823856,,,
2013/5/14,0.492292261,1.135841782,-0.151257261,,,
2013/5/21,0.521067121,1.164616643,-0.1224824,,,
2013/5/28,0.468049128,1.111598649,-0.175500394,,,
2013/6/4,0.50392809,1.147477611,-0.139621432,,,
2013/6/11,0.458574893,1.102124415,-0.184974628,,,
2013/6/18,0.481889779,1.1254393,-0.161659743,,,
2013/6/25,0.474136198,1.11768572,-0.169413324,,,
2013/7/2,0.516456122,1.160005644,-0.127093399,,,
2013/7/9,0.555775251,1.199324772,-0.087774271,,,
2013/7/16,0.582201998,1.225751519,-0.061347524,,,
2013/7/23,0.569049949,1.21259947,-0.074499573,,,
2013/7/30,0.542190734,1.185740255,-0.101358788,,,
2013/8/6,0.5529614,1.196510922,-0.090588121,,,
2013/8/13,0.570672829,1.214222351,-0.072876693,,,
2013/8/20,0.574243605,1.217793127,-0.069305916,,,
2013/8/27,0.577282459,1.22083198,-0.066267063,,,
2013/9/3,0.614752732,1.258302254,-0.028796789,,,
2013/9/10,0.640268392,1.283817914,-0.00328113,,,
2013/9/17,0.589208325,1.232757846,-0.054341197,,,
2013/9/24,0.562150969,1.20570049,-0.081398553,,,
2013/10/1,0.555112805,1.198662327,-0.088436717,,,
2013/10/8,0.526273525,1.169823046,-0.117275997,,,
2013/10/15,0.508820496,1.152370017,-0.134729026,,,
2013/10/22,0.528917981,1.172467503,-0.11463154,,,
2013/10/29,0.526028472,1.169577994,-0.117521049,,,
2013/11/5,0.51468562,1.158235142,-0.128863901,,,
2013/11/12,0.552821553,1.196371074,-0.090727969,,,
2013/11/19,0.492169478,1.135719,-0.151380043,,,
2013/11/26,0.477414893,1.120964414,-0.166134629,,,
2013/12/3,0.499560402,1.143109924,-0.14398912,,,
2013/12/10,0.491513143,1.135062665,-0.152036378,,,
2013/12/17,0.492536196,1.136085718,-0.151013325,,,
2013/12/24,0.516883384,1.160432905,-0.126666138,,,
2014/1/1,0.481828394,1.125377915,-0.161721128,,,
2014/1/8,0.52825272,1.171802242,-0.115296801,,,
2014/1/15,0.523078753,1.166628275,-0.120470768,,,
2014/1/22,0.517359713,1.160909235,-0.126189808,,,
2014/1/29,0.485697606,1.129247128,-0.157851915,,,
2014/2/5,0.514451054,1.158000576,-0.129098468,,,
2014/2/12,0.50945189,1.153001412,-0.134097631,,,
2014/2/19,0.510791596,1.154341117,-0.132757926,,,
2014/2/26,0.504866051,1.148415572,-0.138683471,,,
2014/3/5,0.496383064,1.139932586,-0.147166457,,,
2014/3/12,0.502278283,1.145827805,-0.141271238,,,
2014/3/19,0.500854451,1.144403973,-0.14269507,,,
2014/3/26,0.509723076,1.153272597,-0.133826446,,,
2014/4/2,0.503311631,1.146861153,-0.140237891,,,
2014/4/9,0.493771911,1.137321433,-0.14977761,,,
2014/4/16,0.48100422,1.124553742,-0.162545301,,,
2014/4/23,0.497283998,1.140833519,-0.146265524,,,
2014/4/30,0.460736515,1.104286037,-0.182813006,,,
2014/5/7,0.479087553,1.122637074,-0.164461969,,,
2014/5/14,0.471831838,1.115381359,-0.171717684,,,
2014/5/21,0.492045839,1.13559536,-0.151503683,,,
2014/5/28,0.473039305,1.116588826,-0.170510217,,,
2014/6/4,0.491395866,1.134945387,-0.152153656,,,
2014/6/11,0.470541208,1.11409073,-0.173008313,,,
2014/6/18,0.482435233,1.125984754,-0.161114289,,,
2014/6/25,0.47025916,1.113808682,-0.173290361,,,
2014/7/2,0.486284511,1.129834032,-0.157265011,,,
2014/7/9,0.498316734,1.141866256,-0.145232788,,,
2014/7/16,0.513125759,1.156675281,-0.130423762,,,
2014/7/23,0.493929398,1.13747892,-0.149620124,,,
2014/7/30,0.50203843,1.145587952,-0.141511091,,,
2014/12/17,0.515672885,1.159222407,-0.127876636,,,
2014/12/24,0.503238754,1.146788275,-0.140310768,,,
2014/12/31,0.477860461,1.121409983,-0.16568906,,,
2015/1/1,0.516508494,1.160058016,-0.127041027,,,
2015/1/8,0.502492296,1.146041818,-0.141057226,,,
2015/1/15,0.499086967,1.142636489,-0.144462554,,,
2015/1/22,0.495437256,1.138986778,-0.148112265,,,
2015/1/29,0.463962864,1.107512386,-0.179586657,,,
2015/2/5,0.485384552,1.128934074,-0.158164969,,,
2015/2/12,0.502428613,1.145978135,-0.141120908,,,
2015/2/19,0.460310583,1.103860104,-0.183238939,,,
2015/2/26,0.452851739,1.096401261,-0.190697783,,,
2015/3/5,0.504063647,1.147613168,-0.139485875,,,
2015/3/12,0.481549547,1.125099068,-0.161999975,,,
2015/3/19,0.502868748,1.146418269,-0.140680774,,,
2015/3/26,0.492301405,1.135850926,-0.151248117,,,
2015/4/2,0.520020156,1.163569678,-0.123529365,,,
2015/4/9,0.533263262,1.176812783,-0.11028626,,,
2015/4/16,0.555733769,1.199283291,-0.087815752,,,
2015/4/23,0.521284569,1.164834091,-0.122264952,,,
2015/4/30,0.551067952,1.194617473,-0.09248157,,,
2015/5/7,0.583685391,1.227234913,-0.05986413,,,
2015/5/14,0.58580321,1.229352731,-0.057746312,,,
2015/5/21,0.561226198,1.20477572,-0.082323323,,,
2015/5/28,0.584315305,1.227864827,-0.059234217,,,
2015/6/4,0.563708431,1.207257953,-0.07984109,,,
2015/6/11,0.576260027,1.219809548,-0.067289495,,,
2015/6/18,0.567508302,1.211057823,-0.07604122,,,
2015/6/25,0.628176634,1.271726156,-0.015372887,,,
2015/7/2,0.594254734,1.237804256,-0.049294788,,,
2015/7/9,0.603949881,1.247499402,-0.039599641,,,
2015/7/16,0.546102706,1.189652227,-0.097446816,,,
2015/7/23,0.602880243,1.246429765,-0.040669278,,,
2015/7/30,0.585552441,1.229101962,-0.057997081,,,
2015/8/6,0.606990572,1.250540094,-0.036558949,,,
2015/8/13,0.559890098,1.20343962,-0.083659423,,,
2015/8/20,0.627529494,1.271079016,-0.016020027,,,
2015/8/27,0.618438318,1.261987839,-0.025111204,,,
2015/9/3,0.649010215,1.292559737,0.005460694,,,
2015/9/10,0.560623819,1.204173341,-0.082925702,,,
2015/9/17,0.588613881,1.232163403,-0.05493564,,,
