日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.937187715,4.088165903,-0.213790473,,,
2013/1/8,3.128736981,5.27971517,0.977758793,,,
2013/1/15,1.985523425,4.136501613,-0.165454764,,,
2013/1/22,2.800557121,4.951535309,0.649578933,,,
2013/1/29,2.966833082,5.117811271,0.815854894,,,
2013/2/5,2.301967826,4.452946015,0.150989638,,,
2013/2/19,1.689497438,3.840475626,-0.46148075,,,
2013/2/26,2.898441006,5.049419194,0.747462818,,,
2013/3/5,2.753668237,4.904646425,0.602690049,,,
2013/3/12,2.513629473,4.664607661,0.362651284,,,
2013/3/19,2.109588168,4.260566356,-0.04139002,,,
2013/3/26,2.240088316,4.391066505,0.089110128,,,
2013/4/2,2.599056079,4.750034267,0.448077891,,,
2013/4/9,2.422223262,4.57320145,0.271245074,,,
2013/4/16,1.481161454,3.632139642,-0.669816734,,,
2013/4/23,1.690659149,3.841637338,-0.460319039,,,
2013/4/30,1.816043975,3.967022164,-0.334934213,,,
2013/5/7,1.439047274,3.590025463,-0.711930914,,,
2013/5/14,1.308612423,3.459590611,-0.842365765,,,
2013/5/21,1.231699412,3.3826776,-0.919278776,,,
2013/5/28,1.245205437,3.396183626,-0.905772751,,,
2013/6/4,1.282939491,3.433917679,-0.868038698,,,
2013/6/11,1.164712077,3.315690265,-0.986266112,,,
2013/6/18,0.913640126,3.064618314,-1.237338063,,,
2013/6/25,0.916561091,3.067539279,-1.234417097,,,
2013/7/2,1.08156829,3.232546478,-1.069409898,,,
2013/7/9,1.131155693,3.282133881,-1.019822495,,,
2013/7/16,1.055906829,3.206885017,-1.09507136,,,
2013/7/23,1.249440704,3.400418892,-0.901537484,,,
2013/7/30,1.091508557,3.242486746,-1.059469631,,,
2013/8/6,1.198100627,3.349078815,-0.952877562,,,
2013/8/13,1.390810912,3.5417891,-0.760167276,,,
2013/8/20,1.495005558,3.645983746,-0.65597263,,,
2013/8/27,1.056462174,3.207440362,-1.094516015,,,
2013/9/3,1.197483031,3.348461219,-0.953495157,,,
2013/9/10,1.189845628,3.340823816,-0.96113256,,,
2013/9/17,1.257336423,3.408314611,-0.893641765,,,
2013/9/24,2.096280705,4.247258893,-0.054697483,,,
2013/10/1,1.74188833,3.892866518,-0.409089859,,,
2013/10/8,0.980824694,3.131802883,-1.170153494,,,
2013/10/15,1.29744585,3.448424038,-0.853532338,,,
2013/10/22,1.7236197,3.874597889,-0.427358488,,,
2013/10/29,0.959044441,3.110022629,-1.191933747,,,
2013/11/5,1.139625932,3.29060412,-1.011352257,,,
2013/11/12,1.405072224,3.556050412,-0.745905964,,,
2013/11/19,1.441746227,3.592724415,-0.709231961,,,
2013/11/26,1.379533096,3.530511284,-0.771445093,,,
2013/12/3,1.466199323,3.617177511,-0.684778866,,,
2013/12/10,1.037029923,3.188008111,-1.113948265,,,
2013/12/17,0.967268937,3.118247125,-1.183709252,,,
2013/12/24,1.187022281,3.338000469,-0.963955907,,,
2014/1/1,1.182306532,3.33328472,-0.968671656,,,
2014/1/8,1.000717833,3.151696021,-1.150260355,,,
2014/1/15,1.130807053,3.281785241,-1.020171135,,,
2014/1/22,1.060206127,3.211184315,-1.090772062,,,
2014/1/29,1.006990485,3.157968673,-1.143987703,,,
2014/2/5,0.988695899,3.139674087,-1.162282289,,,
2014/2/12,0.905938679,3.056916867,-1.245039509,,,
2014/2/19,0.895680848,3.046659036,-1.25529734,,,
2014/2/26,1.066235613,3.217213801,-1.084742576,,,
2014/3/5,1.273956441,3.424934629,-0.877021747,,,
2014/3/12,1.323015612,3.473993801,-0.827962576,,,
2014/3/19,1.174838998,3.325817186,-0.97613919,,,
