日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.244005315,2.378732965,0.109277664,,,
2013/1/8,1.50064278,2.63537043,0.36591513,,,
2013/1/15,1.062204879,2.196932529,-0.072522771,,,
2013/1/22,1.415251445,2.549979095,0.280523795,,,
2013/1/29,1.206757192,2.341484842,0.072029542,,,
2013/2/5,0.92487744,2.05960509,-0.209850211,,,
2013/2/19,1.037624106,2.172351756,-0.097103545,,,
2013/2/26,1.064609262,2.199336912,-0.070118389,,,
2013/3/5,0.978735374,2.113463025,-0.155992276,,,
2013/3/12,0.821783913,1.956511563,-0.312943738,,,
2013/3/19,0.68133403,1.816061681,-0.45339362,,,
2013/3/26,0.807253286,1.941980936,-0.327474364,,,
2013/4/2,0.614526866,1.749254516,-0.520200784,,,
2013/4/9,0.698055665,1.832783315,-0.436671985,,,
2013/4/16,0.54311356,1.67784121,-0.59161409,,,
2013/4/23,0.58893639,1.72366404,-0.545791261,,,
2013/4/30,0.52797623,1.66270388,-0.60675142,,,
2013/5/7,0.46388568,1.59861333,-0.67084197,,,
2013/5/14,0.570261754,1.704989404,-0.564465896,,,
2013/5/21,0.494694172,1.629421822,-0.640033478,,,
2013/5/28,0.646018042,1.780745692,-0.488709608,,,
2013/6/4,0.518257657,1.652985307,-0.616469993,,,
2013/6/11,0.434851688,1.569579338,-0.699875963,,,
2013/6/18,0.543538344,1.678265994,-0.591189306,,,
2013/6/25,0.479420535,1.614148185,-0.655307115,,,
2013/7/2,0.537639171,1.672366821,-0.59708848,,,
2013/7/9,0.486827345,1.621554996,-0.647900305,,,
2013/7/16,0.612487844,1.747215494,-0.522239806,,,
2013/7/23,0.737148803,1.871876453,-0.397578847,,,
2013/7/30,0.531569181,1.666296831,-0.603158469,,,
2013/8/6,0.58689555,1.7216232,-0.547832101,,,
2013/8/13,0.677389589,1.812117239,-0.457338061,,,
