日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.233522762,2.329250815,0.137794709,,,
2013/1/8,1.547638375,2.643366428,0.451910322,,,
2013/1/15,1.604416426,2.700144479,0.508688373,,,
2013/1/22,1.566830657,2.66255871,0.471102604,,,
2013/1/29,1.362441678,2.458169731,0.266713625,,,
2013/2/5,1.285453855,2.381181908,0.189725802,,,
2013/2/19,1.39737743,2.493105483,0.301649377,,,
2013/2/26,1.669387019,2.765115072,0.573658966,,,
2013/3/5,1.684678873,2.780406926,0.58895082,,,
2013/3/12,1.672441256,2.768169309,0.576713203,,,
2013/3/19,1.481665535,2.577393588,0.385937482,,,
2013/3/26,1.2912129,2.386940953,0.195484847,,,
2013/4/2,1.202635793,2.298363846,0.10690774,,,
2013/4/9,1.059107329,2.154835382,-0.036620724,,,
2013/4/16,1.032570071,2.128298124,-0.063157982,,,
2013/4/23,1.178708749,2.274436802,0.082980696,,,
2013/4/30,1.137447374,2.233175428,0.041719321,,,
2013/5/7,1.017216948,2.112945001,-0.078511105,,,
2013/5/14,0.953212395,2.048940448,-0.142515658,,,
2013/5/21,0.954296387,2.05002444,-0.141431666,,,
2013/5/28,1.046991364,2.142719417,-0.048736689,,,
2013/6/4,0.919586026,2.015314079,-0.176142027,,,
2013/6/11,0.886013101,1.981741154,-0.209714952,,,
2013/6/18,0.806066334,1.901794387,-0.289661719,,,
2013/6/25,0.906034962,2.001763015,-0.189693091,,,
2013/7/2,0.925591069,2.021319122,-0.170136984,,,
2013/7/9,0.99201913,2.087747183,-0.103708923,,,
2013/7/16,1.029316853,2.125044906,-0.0664112,,,
2013/7/23,0.984077101,2.079805154,-0.111650952,,,
2013/7/30,0.837066809,1.932794862,-0.258661244,,,
2013/8/6,0.964356743,2.060084796,-0.13137131,,,
2013/8/13,1.059208806,2.154936859,-0.036519247,,,
2013/8/20,1.011201192,2.106929245,-0.084526861,,,
2013/8/27,0.913373565,2.009101618,-0.182354488,,,
2013/9/3,0.84653981,1.942267863,-0.249188243,,,
2013/9/10,0.894356903,1.990084956,-0.20137115,,,
2013/9/17,0.862936655,1.958664708,-0.232791398,,,
2013/9/24,0.778193229,1.873921282,-0.317534824,,,
2013/10/1,0.69470147,1.790429523,-0.401026583,,,
2013/10/8,0.698108144,1.793836197,-0.397619909,,,
2013/10/15,0.675801941,1.771529994,-0.419926112,,,
2013/10/22,0.60948587,1.705213923,-0.486242183,,,
2013/10/29,0.605756692,1.701484745,-0.489971361,,,
2013/11/5,0.615468619,1.711196672,-0.480259434,,,
2013/11/12,0.585784933,1.681512986,-0.50994312,,,
2013/11/19,0.614760919,1.710488972,-0.480967134,,,
2013/11/26,0.528425819,1.624153872,-0.567302234,,,
2013/12/3,0.543569749,1.639297802,-0.552158305,,,
2013/12/10,0.593509032,1.689237085,-0.502219021,,,
2013/12/17,0.558120839,1.653848892,-0.537607215,,,
2013/12/24,0.596969225,1.692697278,-0.498758828,,,
2014/1/1,0.547319398,1.643047451,-0.548408655,,,
2014/1/8,0.640597202,1.736325255,-0.455130851,,,
2014/1/15,0.692477508,1.788205561,-0.403250545,,,
2014/1/22,0.808295689,1.904023742,-0.287432364,,,
2014/1/29,0.656060239,1.751788292,-0.439667814,,,
2014/2/5,0.620275855,1.716003908,-0.475452198,,,
2014/2/12,0.55259352,1.648321573,-0.543134533,,,
2014/2/19,0.63761301,1.733341063,-0.458115043,,,
2014/2/26,0.631300176,1.727028229,-0.464427877,,,
2014/3/5,0.613984778,1.709712831,-0.481743275,,,
2014/3/12,0.572185505,1.667913558,-0.523542548,,,
2014/3/19,0.667607392,1.763335445,-0.428120661,,,
2014/3/26,0.593894229,1.689622282,-0.501833824,,,
2014/4/2,0.621255533,1.716983586,-0.47447252,,,
2014/4/9,0.497924115,1.593652168,-0.597803938,,,
2014/4/16,0.575425144,1.671153197,-0.520302909,,,
2014/4/23,0.535047132,1.630775185,-0.560680921,,,
2014/4/30,0.52851012,1.624238173,-0.567217933,,,
2014/5/7,0.581810034,1.677538087,-0.513918019,,,
2014/5/14,0.594834041,1.690562094,-0.500894012,,,
2014/5/21,0.61799111,1.713719163,-0.477736944,,,
2014/5/28,0.624270756,1.719998809,-0.471457297,,,
2014/6/4,0.622465027,1.71819308,-0.473263026,,,
2014/6/11,0.625830612,1.721558665,-0.469897441,,,
2014/6/18,0.667289108,1.763017161,-0.428438945,,,
