日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.744346191,2.231672786,-0.742980404,,,
2013/1/8,0.691854605,2.1791812,-0.79547199,,,
2013/1/15,0.692940453,2.180267048,-0.794386141,,,
2013/1/22,0.743727365,2.23105396,-0.743599229,,,
2013/1/29,0.710228883,2.197555478,-0.777097711,,,
2013/2/5,0.798434537,2.285761131,-0.688892058,,,
2013/2/19,0.701356338,2.188682933,-0.785970257,,,
2013/2/26,0.745959374,2.233285969,-0.741367221,,,
2013/3/5,0.665334494,2.152661089,-0.821992101,,,
2013/3/12,0.700155364,2.187481959,-0.787171231,,,
2013/3/19,0.640045391,2.127371986,-0.847281204,,,
2013/3/26,0.631582118,2.118908713,-0.855744477,,,
2013/4/2,0.572350894,2.059677489,-0.914975701,,,
2013/4/9,0.587803908,2.075130503,-0.899522687,,,
2013/4/16,0.572661915,2.05998851,-0.91466468,,,
2013/4/23,0.610966258,2.098292853,-0.876360337,,,
2013/4/30,0.552472386,2.039798981,-0.934854209,,,
2013/5/7,0.552275801,2.039602395,-0.935050794,,,
2013/5/14,0.459225301,1.946551896,-1.028101294,,,
2013/5/21,0.456705744,1.944032339,-1.030620851,,,
2013/5/28,0.462843151,1.950169746,-1.024483444,,,
2013/6/4,0.442515911,1.929842506,-1.044810684,,,
2013/6/11,0.407194855,1.894521449,-1.08013174,,,
2013/6/18,0.41087957,1.898206165,-1.076447025,,,
2013/6/25,0.406253048,1.893579643,-1.081073547,,,
2013/7/2,0.392577552,1.879904147,-1.094749043,,,
2013/7/9,0.389586747,1.876913342,-1.097739848,,,
2013/7/16,0.416996828,1.904323423,-1.070329767,,,
2013/7/23,0.406102791,1.893429386,-1.081223804,,,
2013/7/30,0.420375075,1.90770167,-1.06695152,,,
2013/8/6,0.408877906,1.896204501,-1.078448689,,,
2013/8/13,0.434452824,1.921779419,-1.052873771,,,
2013/8/20,0.425585514,1.912912108,-1.061741081,,,
2013/8/27,0.415465138,1.902791733,-1.071861457,,,
2013/9/3,0.397701289,1.885027884,-1.089625305,,,
2013/9/10,0.400440368,1.887766963,-1.086886227,,,
2013/9/17,0.400323751,1.887650346,-1.087002844,,,
2013/9/24,0.435216627,1.922543222,-1.052109968,,,
2013/10/1,0.452718952,1.940045547,-1.034607643,,,
2013/10/8,0.454983386,1.942309981,-1.032343209,,,
2013/10/15,0.442738909,1.930065504,-1.044587686,,,
2013/10/22,0.427782115,1.91510871,-1.059544479,,,
2013/10/29,0.438718286,1.926044881,-1.048608309,,,
2013/11/5,0.421083935,1.90841053,-1.06624266,,,
2013/11/12,0.425793415,1.91312001,-1.06153318,,,
2013/11/19,0.445895306,1.933221901,-1.041431289,,,
2013/11/26,0.445933521,1.933260116,-1.041393074,,,
2013/12/3,0.447408088,1.934734683,-1.039918507,,,
2013/12/10,0.465435812,1.952762407,-1.021890783,,,
2013/12/17,0.479217306,1.966543901,-1.008109288,,,
2013/12/24,0.469735741,1.957062336,-1.017590854,,,
2014/1/1,0.435504224,1.922830819,-1.051822371,,,
2014/1/8,0.458092663,1.945419258,-1.029233932,,,
2014/1/15,0.444804803,1.932131397,-1.042521792,,,
2014/1/22,0.44687253,1.934199125,-1.040454065,,,
2014/1/29,0.478730821,1.966057416,-1.008595774,,,
2014/2/5,0.469210149,1.956536744,-1.018116446,,,
2014/2/12,0.508342293,1.995668887,-0.978984302,,,
2014/2/19,0.475168045,1.96249464,-1.012158549,,,
2014/2/26,0.49881882,1.986145415,-0.988507775,,,
2014/3/5,0.510457782,1.997784377,-0.976868813,,,
2014/3/12,0.502083838,1.989410433,-0.985242757,,,
2014/3/19,0.528683882,2.016010477,-0.958642713,,,
2014/3/26,0.503877645,1.99120424,-0.98344895,,,
2014/4/2,0.524571012,2.011897607,-0.962755582,,,
2014/4/9,0.497312036,1.984638631,-0.990014559,,,
2014/4/16,0.518765787,2.006092382,-0.968560808,,,
2014/4/23,0.532707825,2.02003442,-0.95461877,,,
2014/4/30,0.536454744,2.023781339,-0.95087185,,,
2014/5/7,0.561764562,2.049091157,-0.925562033,,,
2014/5/14,0.542109071,2.029435665,-0.945217524,,,
2014/5/21,0.544106361,2.031432956,-0.943220234,,,
2014/5/28,0.510500237,1.997826832,-0.976826358,,,
2014/6/4,0.51704562,2.004372215,-0.970280975,,,
2014/6/11,0.526694556,2.014021151,-0.960632039,,,
2014/6/18,0.553933731,2.041260326,-0.933392864,,,
2014/6/25,0.536395212,2.023721807,-0.950931383,,,
2014/7/2,0.527669927,2.014996522,-0.959656668,,,
2014/7/9,0.520466378,2.007792973,-0.966860217,,,
2014/7/16,0.533473962,2.020800557,-0.953852633,,,
2014/7/23,0.503311522,1.990638117,-0.984015072,,,
2014/7/30,0.519045037,2.006371632,-0.968281558,,,
2014/12/17,0.495331801,1.982658396,-0.991994794,,,
2014/12/24,0.506071292,1.993397887,-0.981255303,,,
2014/12/31,0.516895549,2.004222144,-0.970431046,,,
2015/1/1,0.803886728,2.291213323,-0.683439867,,,
2015/1/8,0.646952194,2.134278789,-0.840374401,,,
2015/1/15,0.761974642,2.249301237,-0.725351953,,,
2015/1/22,0.568566344,2.055892939,-0.918760251,,,
2015/1/29,0.696630571,2.183957166,-0.790696024,,,
2015/2/5,0.602566639,2.089893234,-0.884759956,,,
2015/2/12,0.639146343,2.126472938,-0.848180252,,,
2015/2/19,0.660676668,2.148003263,-0.826649927,,,
2015/2/26,0.660760307,2.148086902,-0.826566288,,,
2015/3/5,0.590591526,2.077918121,-0.896735069,,,
2015/3/12,0.765061796,2.252388391,-0.722264799,,,
2015/3/19,0.8736418,2.360968395,-0.613684795,,,
2015/3/26,0.892266622,2.379593217,-0.595059973,,,
2015/4/2,0.643628904,2.130955499,-0.843697691,,,
2015/4/9,0.64880341,2.136130005,-0.838523185,,,
