日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.411940762,2.447490879,-1.623609354,,,
2013/1/8,0.258724738,2.294274855,-1.776825379,,,
2013/1/15,0.20830679,2.243856907,-1.827243327,,,
2013/1/22,0.408236715,2.443786832,-1.627313402,,,
2013/1/29,0.207672653,2.24322277,-1.827877464,,,
2013/2/5,0.222309056,2.257859173,-1.81324106,,,
2013/2/19,0.279173195,2.314723312,-1.756376922,,,
2013/2/26,0.253502165,2.289052282,-1.782047952,,,
2013/3/5,0.303590774,2.339140891,-1.731959343,,,
2013/3/12,0.15745531,2.193005426,-1.878094807,,,
2013/3/19,0.139770921,2.175321038,-1.895779195,,,
2013/3/26,0.303906405,2.339456522,-1.731643712,,,
2013/4/2,0.193188,2.228738117,-1.842362117,,,
2013/4/9,0.232696739,2.268246856,-1.802853377,,,
2013/4/16,0.200896335,2.236446452,-1.834653782,,,
2013/4/23,0.156401917,2.191952034,-1.8791482,,,
2013/4/30,0.383578467,2.419128584,-1.65197165,,,
2013/5/7,0.238544846,2.274094963,-1.797005271,,,
2013/5/14,0.245339661,2.280889778,-1.790210456,,,
2013/5/21,0.18637291,2.221923027,-1.849177207,,,
2013/5/28,0.21596393,2.251514047,-1.819586187,,,
2013/6/4,0.192028347,2.227578464,-1.84352177,,,
2013/6/11,0.201071321,2.236621438,-1.834478796,,,
2013/6/18,0.248894401,2.284444518,-1.786655716,,,
2013/6/25,0.197876949,2.233427066,-1.837673168,,,
2013/7/2,0.273138776,2.308688893,-1.762411341,,,
2013/7/9,0.205403257,2.240953374,-1.83014686,,,
2013/7/16,0.162978531,2.198528648,-1.872571586,,,
2013/7/23,0.19135269,2.226902807,-1.844197427,,,
2013/7/30,0.314632096,2.350182213,-1.720918021,,,
2013/8/6,0.20253373,2.238083847,-1.833016387,,,
2013/8/13,0.162683869,2.198233986,-1.872866248,,,
2013/8/20,0.157332425,2.192882542,-1.878217692,,,
2013/8/27,0.159393904,2.194944021,-1.876156212,,,
2013/9/3,0.191140489,2.226690606,-1.844409628,,,
2013/9/10,0.187488559,2.223038676,-1.848061557,,,
2013/9/17,0.139415543,2.174965659,-1.896134574,,,
2013/9/24,0.217338567,2.252888683,-1.81821155,,,
2013/10/1,0.178386628,2.213936745,-1.857163489,,,
2013/10/8,0.108874514,2.144424631,-1.926675603,,,
2013/10/15,0.163980776,2.199530893,-1.871569341,,,
2013/10/22,0.145508954,2.181059071,-1.890041163,,,
2013/10/29,0.184511893,2.22006201,-1.851038223,,,
2013/11/5,0.18049355,2.216043667,-1.855056567,,,
2013/11/12,0.178647466,2.214197583,-1.85690265,,,
