日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.649306398,1.201033423,0.097579373,,,
2013/1/8,0.458387191,1.010114216,-0.093339834,,,
2013/1/15,0.742236449,1.293963474,0.190509424,,,
2013/1/22,0.681409408,1.233136434,0.129682383,,,
2013/1/29,0.829867877,1.381594903,0.278140852,,,
2013/2/5,0.775019824,1.326746849,0.223292798,,,
2013/2/19,0.754242416,1.305969441,0.202515391,,,
2013/2/26,0.920615802,1.472342827,0.368888777,,,
2013/3/5,0.925344078,1.477071103,0.373617053,,,
2013/3/12,0.90105568,1.452782705,0.349328655,,,
2013/3/19,0.923427676,1.475154702,0.371700651,,,
2013/3/26,0.907905598,1.459632623,0.356178572,,,
2013/4/2,0.863222517,1.414949543,0.311495492,,,
2013/4/9,0.638760697,1.190487723,0.087033672,,,
2013/4/16,0.703180822,1.254907847,0.151453797,,,
2013/4/23,0.630859424,1.182586449,0.079132399,,,
2013/4/30,0.783737656,1.335464681,0.232010631,,,
2013/5/7,0.527640828,1.079367853,-0.024086197,,,
2013/5/14,0.577216727,1.128943752,0.025489702,,,
2013/5/21,0.811315774,1.363042799,0.259588749,,,
2013/5/28,0.692207084,1.243934109,0.140480059,,,
2013/6/4,0.858976639,1.410703664,0.307249614,,,
2013/6/11,0.673867641,1.225594666,0.122140616,,,
2013/6/18,0.665725507,1.217452532,0.113998482,,,
2013/6/25,0.628906714,1.180633739,0.077179689,,,
2013/7/2,0.592556734,1.14428376,0.040829709,,,
2013/7/9,0.574265724,1.125992749,0.022538698,,,
2013/7/16,0.71158737,1.263314396,0.159860345,,,
2013/7/23,0.633745807,1.185472832,0.082018781,,,
2013/7/30,0.608292783,1.160019808,0.056565757,,,
2013/8/6,0.613496085,1.16522311,0.06176906,,,
2013/8/13,0.643163108,1.194890133,0.091436083,,,
2013/8/20,0.541472738,1.093199763,-0.010254287,,,
2013/8/27,0.585959131,1.137686156,0.034232106,,,
2013/9/3,0.590172359,1.141899384,0.038445334,,,
2013/9/10,0.558203421,1.109930446,0.006476396,,,
2013/9/17,0.511841327,1.063568352,-0.039885698,,,
2013/9/24,0.541191082,1.092918107,-0.010535943,,,
2013/10/1,0.470948882,1.022675907,-0.080778144,,,
2013/10/8,0.454558552,1.006285578,-0.097168473,,,
2013/10/15,0.40245509,0.954182115,-0.149271935,,,
2013/10/22,0.417504706,0.969231731,-0.134222319,,,
2013/10/29,0.404761713,0.956488739,-0.146965312,,,
2013/11/5,0.429034531,0.980761557,-0.122692494,,,
2013/11/12,0.370379176,0.922106201,-0.181347849,,,
2013/11/19,0.467408764,1.019135789,-0.084318261,,,
2013/11/26,0.441900956,0.993627982,-0.109826069,,,
2013/12/3,0.39012324,0.941850265,-0.161603785,,,
2013/12/10,0.430616805,0.98234383,-0.12111022,,,
2013/12/17,0.439998022,0.991725048,-0.111729003,,,
2013/12/24,0.437790166,0.989517191,-0.113936859,,,
2014/1/1,0.448606832,1.000333857,-0.103120193,,,
2014/1/8,0.431350516,0.983077541,-0.120376509,,,
2014/1/15,0.479449948,1.031176973,-0.072277077,,,
2014/1/22,0.453757398,1.005484423,-0.097969627,,,
2014/1/29,0.430274609,0.982001634,-0.121452416,,,
2014/2/5,0.411694457,0.963421482,-0.140032569,,,
2014/2/12,0.460387187,1.012114212,-0.091339838,,,
2014/2/19,0.441505506,0.993232532,-0.110221519,,,
2014/2/26,0.495645054,1.047372079,-0.056081971,,,
2014/3/5,0.485478476,1.037205501,-0.06624855,,,
2014/3/12,0.514428105,1.06615513,-0.03729892,,,
2014/3/19,0.475136561,1.026863587,-0.076590464,,,
2014/3/26,0.514396205,1.06612323,-0.037330821,,,
2014/4/2,0.47579107,1.027518095,-0.075935955,,,
2014/4/9,0.518328796,1.070055821,-0.033398229,,,
2014/4/16,0.489451828,1.041178853,-0.062275197,,,
2014/4/23,0.492924535,1.04465156,-0.05880249,,,
2014/4/30,0.43564101,0.987368035,-0.116086015,,,
2014/5/7,0.476303044,1.028030069,-0.075423981,,,
2014/5/14,0.430467564,0.982194589,-0.121259461,,,
2014/5/21,0.539327732,1.091054757,-0.012399293,,,
2014/5/28,0.540218673,1.091945698,-0.011508352,,,
2014/6/4,0.625605763,1.177332788,0.073878738,,,
2014/6/11,0.627586566,1.179313591,0.075859541,,,
2014/6/18,0.683821074,1.235548099,0.132094049,,,
2014/6/25,0.653385209,1.205112234,0.101658184,,,
2014/7/2,0.671796713,1.223523738,0.120069688,,,
2014/7/9,0.65618049,1.207907515,0.104453465,,,
2014/7/16,0.669797149,1.221524174,0.118070124,,,
2014/7/23,0.647967511,1.199694536,0.096240486,,,
2014/7/30,0.660394638,1.212121663,0.108667613,,,
2014/12/17,0.661352301,1.213079326,0.109625276,,,
2014/12/24,0.613942144,1.165669169,0.062215119,,,
2014/12/31,0.592156893,1.143883918,0.040429868,,,
2015/1/1,0.540924203,1.092651228,-0.010802822,,,
2015/1/8,0.565098248,1.116825274,0.013371223,,,
2015/1/15,0.563252793,1.114979819,0.011525768,,,
2015/1/22,0.541353537,1.093080562,-0.010373488,,,
2015/1/29,0.54792084,1.099647865,-0.003806185,,,
2015/2/5,0.625612077,1.177339102,0.073885052,,,
2015/2/12,0.493562262,1.045289287,-0.058164763,,,
2015/2/19,0.50769989,1.059426915,-0.044027135,,,
2015/2/26,0.462609921,1.014336946,-0.089117104,,,
2015/3/5,0.670603954,1.22233098,0.118876929,,,
2015/3/12,0.606546514,1.158273539,0.054819489,,,
2015/3/19,0.733562713,1.285289738,0.181835688,,,
2015/3/26,0.694123026,1.245850051,0.142396,,,
2015/4/2,0.838796765,1.39052379,0.28706974,,,
2015/4/9,0.770455452,1.322182477,0.218728427,,,
2015/4/16,0.699666792,1.251393817,0.147939766,,,
2015/4/23,0.687898582,1.239625607,0.136171556,,,
2015/4/30,0.800377945,1.352104971,0.24865092,,,
2015/5/7,0.741209054,1.292936079,0.189482029,,,
2015/5/14,0.756220452,1.307947477,0.204493427,,,
2015/5/21,0.74440536,1.296132385,0.192678335,,,
2015/5/28,0.755770211,1.307497236,0.204043186,,,
2015/6/4,0.665830041,1.217557066,0.114103016,,,
2015/6/11,0.607518654,1.159245679,0.055791629,,,
2015/6/18,0.536388337,1.088115363,-0.015338688,,,
