日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.459675969,0.881962785,0.037389153,,,
2013/1/8,0.391400897,0.813687714,-0.030885919,,,
2013/1/15,0.312755063,0.73504188,-0.109531753,,,
2013/1/22,0.290135155,0.712421971,-0.132151661,,,
2013/1/29,0.289861942,0.712148758,-0.132424874,,,
2013/2/5,0.269890485,0.692177301,-0.152396332,,,
2013/2/19,0.26270277,0.684989586,-0.159584046,,,
2013/2/26,0.233662356,0.655949172,-0.18862446,,,
2013/3/5,0.248889841,0.671176658,-0.173396975,,,
2013/3/12,0.279952945,0.702239761,-0.142333871,,,
2013/3/19,0.224878858,0.647165674,-0.197407958,,,
2013/3/26,0.261310495,0.683597311,-0.160976322,,,
2013/4/2,0.281917785,0.704204602,-0.140369031,,,
2013/4/9,0.19753018,0.619816996,-0.224756636,,,
2013/4/16,0.240690596,0.662977412,-0.181596221,,,
2013/4/23,0.207820229,0.630107045,-0.214466587,,,
2013/4/30,0.183030055,0.605316871,-0.239256761,,,
2013/5/7,0.222629635,0.644916452,-0.199657181,,,
2013/5/14,0.14107781,0.563364626,-0.281209006,,,
2013/5/21,0.214346557,0.636633373,-0.207940259,,,
2013/5/28,0.216591659,0.638878475,-0.205695158,,,
2013/6/4,0.174871517,0.597158333,-0.247415299,,,
2013/6/11,0.236817825,0.659104641,-0.185468991,,,
2013/6/18,0.20244136,0.624728177,-0.219845456,,,
2013/6/25,0.187197616,0.609484432,-0.235089201,,,
2013/7/2,0.192874386,0.615161202,-0.22941243,,,
2013/7/9,0.206651998,0.628938814,-0.215634819,,,
2013/7/16,0.209524106,0.631810922,-0.21276271,,,
2013/7/23,0.196983394,0.619270211,-0.225303422,,,
2013/7/30,0.206890702,0.629177519,-0.215396114,,,
2013/8/6,0.231979448,0.654266264,-0.190307368,,,
2013/8/13,0.211616453,0.63390327,-0.210670363,,,
2013/8/20,0.221836972,0.644123788,-0.200449844,,,
2013/8/27,0.194784384,0.6170712,-0.227502432,,,
2013/9/3,0.213987752,0.636274568,-0.208299064,,,
2013/9/10,0.215125964,0.63741278,-0.207160852,,,
2013/9/17,0.206948964,0.62923578,-0.215337853,,,
2013/9/24,0.246535077,0.668821893,-0.175751739,,,
2013/10/1,0.236873379,0.659160195,-0.185413438,,,
2013/10/8,0.211727728,0.634014544,-0.210559088,,,
2013/10/15,0.226120558,0.648407374,-0.196166258,,,
2013/10/22,0.211603341,0.633890157,-0.210683475,,,
2013/10/29,0.21923804,0.641524857,-0.203048776,,,
2013/11/5,0.206706631,0.628993447,-0.215580186,,,
2013/11/12,0.202242053,0.624528869,-0.220044764,,,
2013/11/19,0.216890426,0.639177242,-0.20539639,,,
2013/11/26,0.223773524,0.646060341,-0.198513292,,,
2013/12/3,0.198926625,0.621213441,-0.223360191,,,
2013/12/10,0.239484562,0.661771378,-0.182802254,,,
2013/12/17,0.223261246,0.645548062,-0.19902557,,,
2013/12/24,0.213955947,0.636242763,-0.208330869,,,
2014/1/1,0.226782123,0.649068939,-0.195504693,,,
2014/1/8,0.211080994,0.63336781,-0.211205822,,,
2014/1/15,0.281416227,0.703703043,-0.140870589,,,
2014/1/22,0.224751593,0.647038409,-0.197535223,,,
2014/1/29,0.234743418,0.657030234,-0.187543398,,,
2014/2/5,0.277027675,0.699314491,-0.145259141,,,
2014/2/12,0.196406347,0.618693163,-0.22588047,,,
2014/2/19,0.231783709,0.654070525,-0.190503107,,,
2014/2/26,0.238381272,0.660668088,-0.183905545,,,
2014/3/5,0.268997561,0.691284377,-0.153289255,,,
2014/3/12,0.269735035,0.692021851,-0.152551781,,,
2014/3/19,0.243428966,0.665715782,-0.17885785,,,
2014/3/26,0.278797783,0.701084599,-0.143489033,,,
2014/4/2,0.294662253,0.716949069,-0.127624563,,,
2014/4/9,0.207514602,0.629801418,-0.214772214,,,
2014/4/16,0.302959537,0.725246354,-0.119327279,,,
2014/4/23,0.255331617,0.677618433,-0.166955199,,,
2014/4/30,0.255951112,0.678237928,-0.166335705,,,
2014/5/7,0.297005494,0.71929231,-0.125281322,,,
2014/5/14,0.253091695,0.675378511,-0.169195122,,,
2014/5/21,0.352390355,0.774677171,-0.069896461,,,
2014/5/28,0.286592699,0.708879515,-0.135694118,,,
2014/6/4,0.362006525,0.784293341,-0.060280291,,,
2014/6/11,0.35427696,0.776563776,-0.068009856,,,
2014/6/18,0.318920371,0.741207187,-0.103366446,,,
2014/6/25,0.337574858,0.759861674,-0.084711958,,,
2014/7/2,0.387183343,0.80947016,-0.035103473,,,
2014/7/9,0.340516217,0.762803033,-0.081770599,,,
2014/7/16,0.340885171,0.763171987,-0.081401645,,,
2014/7/23,0.35746644,0.779753256,-0.064820376,,,
2014/7/30,0.385678278,0.807965094,-0.036608538,,,
2014/12/17,0.511060723,0.933347539,0.088773907,,,
2014/12/24,0.333781988,0.756068804,-0.088504828,,,
2014/12/31,0.420323502,0.842610318,-0.001963314,,,
2015/1/1,0.465500584,0.8877874,0.043213768,,,
2015/1/8,0.34932203,0.771608846,-0.072964786,,,
2015/1/15,0.321750558,0.744037374,-0.100536258,,,
2015/1/22,0.398806199,0.821093015,-0.023480617,,,
2015/1/29,0.278718999,0.701005815,-0.143567817,,,
2015/2/5,0.414363958,0.836650774,-0.007922858,,,
2015/2/12,0.32181462,0.744101436,-0.100472197,,,
2015/2/19,0.218959173,0.641245989,-0.203327643,,,
2015/2/26,0.447805,0.870091816,0.025518184,,,
2015/3/5,0.248666045,0.670952861,-0.173620771,,,
2015/3/12,0.264604882,0.686891698,-0.157681934,,,
2015/3/19,0.371743772,0.794030588,-0.050543044,,,
2015/3/26,0.312827293,0.735114109,-0.109459523,,,
2015/4/2,0.347912925,0.770199741,-0.074373892,,,
2015/4/9,0.369482884,0.7917697,-0.052803932,,,
2015/4/16,0.312097457,0.734384273,-0.110189359,,,
2015/4/23,0.400426756,0.822713572,-0.02186006,,,
2015/4/30,0.364172362,0.786459178,-0.058114454,,,
2015/5/7,0.347022341,0.769309157,-0.075264475,,,
2015/5/14,0.384983136,0.807269952,-0.03730368,,,
2015/5/21,0.314961065,0.737247881,-0.107325751,,,
2015/5/28,0.361774862,0.784061678,-0.060511954,,,
2015/6/4,0.39669861,0.818985427,-0.025588206,,,
2015/6/11,0.34108133,0.763368146,-0.081205486,,,
2015/6/18,0.378910747,0.801197563,-0.04337607,,,
2015/6/25,0.340370399,0.762657215,-0.081916417,,,
2015/7/2,0.314098959,0.736385775,-0.108187857,,,
2015/7/9,0.364518899,0.786805715,-0.057767917,,,
2015/7/16,0.318405774,0.74069259,-0.103881043,,,
2015/7/23,0.348033495,0.770320311,-0.074253321,,,
2015/7/30,0.3883224,0.810609216,-0.033964417,,,
2015/8/6,0.398150531,0.820437347,-0.024136285,,,
2015/8/13,0.346272281,0.768559097,-0.076014535,,,
2015/8/20,0.330819887,0.753106704,-0.091466929,,,
2015/8/27,0.338643608,0.760930424,-0.083643209,,,
