日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.467095819,1.111667942,-0.177476304,,,
2013/1/8,0.244123824,0.888695947,-0.400448298,,,
2013/1/15,0.347199991,0.991772114,-0.297372132,,,
2013/1/22,0.299028367,0.94360049,-0.345543756,,,
2013/1/29,0.357426062,1.001998185,-0.287146061,,,
2013/2/5,0.265482764,0.910054887,-0.379089358,,,
2013/2/19,0.309603206,0.954175329,-0.334968917,,,
2013/2/26,0.235479734,0.880051857,-0.409092389,,,
2013/3/5,0.28884836,0.933420483,-0.355723763,,,
2013/3/12,0.477492414,1.122064537,-0.167079708,,,
2013/3/19,0.301976982,0.946549105,-0.342595141,,,
2013/3/26,0.356883488,1.00145561,-0.287688635,,,
2013/4/2,0.3224645,0.967036623,-0.322107623,,,
2013/4/9,0.260041931,0.904614054,-0.384530192,,,
2013/4/16,0.334308751,0.978880874,-0.310263372,,,
2013/4/23,0.214382594,0.858954716,-0.430189529,,,
2013/4/30,0.250006874,0.894578997,-0.394565249,,,
2013/5/7,0.146840498,0.791412621,-0.497731625,,,
2013/5/14,0.222364483,0.866936606,-0.42220764,,,
2013/5/21,0.196788113,0.841360235,-0.44778401,,,
2013/5/28,0.159337676,0.803909798,-0.485234447,,,
2013/6/4,0.320240544,0.964812667,-0.324331578,,,
2013/6/11,0.192973607,0.83754573,-0.451598516,,,
2013/6/18,0.218904791,0.863476914,-0.425667332,,,
2013/6/25,0.273307069,0.917879192,-0.371265054,,,
2013/7/2,0.21770673,0.862278853,-0.426865392,,,
2013/7/9,0.264675285,0.909247408,-0.379896838,,,
2013/7/16,0.262471187,0.90704331,-0.382100936,,,
2013/7/23,0.26996473,0.914536853,-0.374607393,,,
2013/7/30,0.258906679,0.903478801,-0.385665444,,,
2013/8/6,0.270117711,0.914689833,-0.374454412,,,
2013/8/13,0.247711044,0.892283167,-0.396861079,,,
2013/8/20,0.249161497,0.893733619,-0.395410626,,,
2013/8/27,0.228208936,0.872781058,-0.416363187,,,
2013/9/3,0.235787137,0.88035926,-0.408784986,,,
2013/9/10,0.226470447,0.871042569,-0.418101676,,,
2013/9/17,0.218835151,0.863407274,-0.425736972,,,
2013/9/24,0.253127288,0.89769941,-0.391444835,,,
2013/10/1,0.203098215,0.847670338,-0.441473908,,,
2013/10/8,0.202806448,0.84737857,-0.441765675,,,
2013/10/15,0.186533211,0.831105334,-0.458038911,,,
2013/10/22,0.183957774,0.828529897,-0.460614349,,,
2013/10/29,0.195534651,0.840106773,-0.449037472,,,
2013/11/5,0.198594491,0.843166614,-0.445977632,,,
2013/11/12,0.245575938,0.89014806,-0.398996185,,,
2013/11/19,0.218268426,0.862840548,-0.426303697,,,
2013/11/26,0.251101035,0.895673158,-0.393471087,,,
2013/12/3,0.23567987,0.880251993,-0.408892253,,,
2013/12/10,0.26106614,0.905638263,-0.383505983,,,
2013/12/17,0.347337062,0.991909184,-0.297235061,,,
2013/12/24,0.330628088,0.97520021,-0.313944035,,,
2014/1/1,0.292215863,0.936787986,-0.352356259,,,
2014/1/8,0.386684709,1.031256831,-0.257887414,,,
2014/1/15,0.316394221,0.960966343,-0.328177902,,,
2014/1/22,0.342193919,0.986766041,-0.302378204,,,
2014/1/29,0.3842167,1.028788822,-0.260355423,,,
2014/2/5,0.371498924,1.016071047,-0.273073199,,,
2014/2/12,0.408474459,1.053046582,-0.236097664,,,
2014/2/19,0.32850137,0.973073493,-0.316070753,,,
2014/2/26,0.31018807,0.954760192,-0.334384053,,,
2014/3/5,0.359712797,1.004284919,-0.284859326,,,
2014/3/12,0.340639385,0.985211508,-0.303932738,,,
2014/3/19,0.34136526,0.985937383,-0.303206862,,,
2014/3/26,0.378377576,1.022949698,-0.266194547,,,
2014/4/2,0.405489108,1.050061231,-0.239083014,,,
2014/4/9,0.361381481,1.005953604,-0.283190641,,,
2014/4/16,0.284201898,0.928774021,-0.360370225,,,
2014/4/23,0.37412449,1.018696612,-0.270447633,,,
2014/4/30,0.295288792,0.939860915,-0.349283331,,,
2014/5/7,0.309390532,0.953962655,-0.335181591,,,
2014/5/14,0.31984684,0.964418963,-0.324725283,,,
2014/5/21,0.286043984,0.930616106,-0.358528139,,,
2014/5/28,0.38209479,1.026666913,-0.262477333,,,
2014/6/4,0.418179163,1.062751286,-0.22639296,,,
2014/6/11,0.309307831,0.953879954,-0.335264292,,,
2014/6/18,0.366716393,1.011288516,-0.277855729,,,
