日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.316656047,0.806668123,-0.17335603,,,
2013/1/8,0.218492012,0.708504088,-0.271520065,,,
2013/1/15,0.280405268,0.770417345,-0.209606808,,,
2013/1/22,0.257803399,0.747815475,-0.232208677,,,
2013/1/29,0.288933796,0.778945873,-0.20107828,,,
2013/2/5,0.25663001,0.746642086,-0.233382067,,,
2013/2/19,0.178975856,0.668987933,-0.31103622,,,
2013/2/26,0.24475231,0.734764387,-0.245259766,,,
2013/3/5,0.161402925,0.651415001,-0.328609151,,,
2013/3/12,0.258615521,0.748627597,-0.231396556,,,
2013/3/19,0.203210308,0.693222384,-0.286801768,,,
2013/3/26,0.172832637,0.662844714,-0.317179439,,,
2013/4/2,0.172496435,0.662508511,-0.317515641,,,
2013/4/9,0.2092411,0.699253176,-0.280770976,,,
2013/4/16,0.292657634,0.78266971,-0.197354442,,,
2013/4/23,0.218850643,0.708862719,-0.271161433,,,
2013/4/30,0.193837861,0.683849938,-0.296174215,,,
2013/5/7,0.151629547,0.641641623,-0.338382529,,,
2013/5/14,0.273919581,0.763931657,-0.216092496,,,
2013/5/21,0.236939691,0.726951767,-0.253072385,,,
2013/5/28,0.251976573,0.74198865,-0.238035503,,,
2013/6/4,0.213079915,0.703091991,-0.276932161,,,
2013/6/11,0.156863281,0.646875357,-0.333148795,,,
2013/6/18,0.205819689,0.695831765,-0.284192387,,,
2013/6/25,0.222723705,0.712735782,-0.267288371,,,
2013/7/2,0.221655815,0.711667891,-0.268356261,,,
2013/7/9,0.176401504,0.66641358,-0.313610573,,,
2013/7/16,0.23943202,0.729444096,-0.250580056,,,
2013/7/23,0.242443049,0.732455125,-0.247569028,,,
2013/7/30,0.358290431,0.848302507,-0.131721645,,,
2013/8/6,0.20684044,0.696852516,-0.283171636,,,
2013/8/13,0.21122005,0.701232126,-0.278792026,,,
2013/8/20,0.158011087,0.648023164,-0.332000989,,,
2013/8/27,0.159728704,0.64974078,-0.330283372,,,
2013/9/3,0.185917652,0.675929728,-0.304094424,,,
2013/9/10,0.158639236,0.648651312,-0.33137284,,,
2013/9/17,0.165063718,0.655075794,-0.324948358,,,
2013/9/24,0.154345959,0.644358035,-0.335666117,,,
2013/10/1,0.154119653,0.644131729,-0.335892423,,,
2013/10/8,0.142713569,0.632725645,-0.347298507,,,
2013/10/15,0.154479738,0.644491814,-0.335532339,,,
2013/10/22,0.115973644,0.60598572,-0.374038432,,,
2013/10/29,0.124602699,0.614614775,-0.365409377,,,
2013/11/5,0.146936617,0.636948693,-0.343075459,,,
2013/11/12,0.158182118,0.648194194,-0.331829959,,,
2013/11/19,0.146844424,0.6368565,-0.343167652,,,
2013/11/26,0.138367476,0.628379553,-0.3516446,,,
2013/12/3,0.150536706,0.640548782,-0.33947537,,,
2013/12/10,0.145906133,0.635918209,-0.344105943,,,
2013/12/17,0.195025386,0.685037462,-0.29498669,,,
2013/12/24,0.185081884,0.675093961,-0.304930192,,,
2014/1/1,0.236848843,0.72686092,-0.253163233,,,
2014/1/8,0.197448312,0.687460389,-0.292563764,,,
2014/1/15,0.242063783,0.732075859,-0.247948294,,,
2014/1/22,0.194689613,0.684701689,-0.295322463,,,
2014/1/29,0.170662632,0.660674709,-0.319349444,,,
2014/2/5,0.157385278,0.647397354,-0.332626799,,,
2014/2/12,0.27261877,0.762630846,-0.217393306,,,
2014/2/19,0.227574041,0.717586117,-0.262438035,,,
2014/2/26,0.216769171,0.706781247,-0.273242905,,,
2014/3/5,0.198465498,0.688477574,-0.291546579,,,
2014/3/12,0.175942678,0.665954754,-0.314069399,,,
2014/3/19,0.199393959,0.689406035,-0.290618117,,,
2014/3/26,0.179552449,0.669564525,-0.310459628,,,
2014/4/2,0.193851492,0.683863568,-0.296160585,,,
2014/4/9,0.149840344,0.63985242,-0.340171732,,,
2014/4/16,0.159684145,0.649696221,-0.330327932,,,
2014/4/23,0.167363533,0.65737561,-0.322648543,,,
2014/4/30,0.27994028,0.769952356,-0.210071796,,,
2014/5/7,0.194325079,0.684337155,-0.295686997,,,
2014/5/14,0.202307563,0.692319639,-0.287704514,,,
2014/5/21,0.200336948,0.690349024,-0.289675129,,,
2014/5/28,0.173633253,0.663645329,-0.316378824,,,
2014/6/4,0.203614327,0.693626403,-0.286397749,,,
2014/6/11,0.165883466,0.655895542,-0.32412861,,,
2014/6/18,0.194535266,0.684547342,-0.295476811,,,
2014/6/25,0.175317016,0.665329093,-0.31469506,,,
2014/7/2,0.182195093,0.672207169,-0.307816983,,,
2014/7/9,0.24600502,0.736017096,-0.244007057,,,
2014/7/16,0.284211374,0.77422345,-0.205800702,,,
2014/7/23,0.243746809,0.733758885,-0.246265267,,,
2014/7/30,0.198990384,0.689002461,-0.291021692,,,
2014/12/17,0.169419724,0.6594318,-0.320592352,,,
2014/12/24,0.169049575,0.659061651,-0.320962501,,,
2014/12/31,0.197831561,0.687843637,-0.292180515,,,
2015/1/1,0.180269684,0.67028176,-0.309742392,,,
2015/1/8,0.200664745,0.690676821,-0.289347331,,,
2015/1/15,0.158168033,0.648180109,-0.331844043,,,
2015/1/22,0.162862855,0.652874931,-0.327149221,,,
2015/1/29,0.215880439,0.705892515,-0.274131637,,,
2015/2/5,0.180737706,0.670749782,-0.30927437,,,
2015/2/12,0.271531747,0.761543823,-0.218480329,,,
2015/2/19,0.206484155,0.696496231,-0.283527922,,,
2015/2/26,0.196209662,0.686221738,-0.293802414,,,
2015/3/5,0.157378896,0.647390972,-0.33263318,,,
2015/3/12,0.133460855,0.623472931,-0.356551221,,,
2015/3/19,0.163269871,0.653281948,-0.326742205,,,
2015/3/26,0.177829786,0.667841862,-0.31218229,,,
2015/4/2,0.16611171,0.656123786,-0.323900367,,,
2015/4/9,0.194261827,0.684273903,-0.29575025,,,
2015/4/16,0.161401209,0.651413286,-0.328610867,,,
2015/4/23,0.200386238,0.690398314,-0.289625838,,,
2015/4/30,0.190716779,0.680728855,-0.299295297,,,
2015/5/7,0.165893462,0.655905538,-0.324118614,,,
2015/5/14,0.181465595,0.671477671,-0.308546481,,,
2015/5/21,0.291009391,0.781021467,-0.199002685,,,
2015/5/28,0.282835497,0.772847573,-0.207176579,,,
2015/6/4,0.267486019,0.757498096,-0.222526057,,,
2015/6/11,0.201040312,0.691052388,-0.288971765,,,
2015/6/18,0.166636124,0.6566482,-0.323375952,,,
2015/6/25,0.180758084,0.67077016,-0.309253992,,,
2015/7/2,0.188041704,0.67805378,-0.301970373,,,
2015/7/9,0.188631146,0.678643222,-0.30138093,,,
2015/7/16,0.135400582,0.625412658,-0.354611495,,,
2015/7/23,0.122636403,0.612648479,-0.367375673,,,
2015/7/30,0.289542039,0.779554115,-0.200470037,,,
2015/8/6,0.40095983,0.890971906,-0.089052247,,,
2015/8/13,0.305367627,0.795379703,-0.184644449,,,
2015/8/20,0.23861879,0.728630866,-0.251393286,,,
2015/8/27,0.186950599,0.676962676,-0.303061477,,,
2015/9/3,0.175328264,0.66534034,-0.314683813,,,
2015/9/10,0.208028729,0.698040805,-0.281983347,,,
2015/9/17,0.198091054,0.68810313,-0.291921022,,,
2015/9/24,0.183736604,0.67374868,-0.306275472,,,
2015/10/1,0.140118526,0.630130602,-0.349893551,,,
2015/10/8,0.272911585,0.762923662,-0.217100491,,,
2015/10/15,0.320667394,0.810679471,-0.169344682,,,
2015/10/22,0.307635936,0.797648013,-0.18237614,,,
2015/10/29,0.219555951,0.709568027,-0.270456125,,,
2015/11/5,0.216726256,0.706738332,-0.27328582,,,
2015/11/12,0.231233443,0.721245519,-0.258778633,,,
2015/11/19,0.254517483,0.744529559,-0.235494593,,,
2015/11/26,0.216049449,0.706061525,-0.273962627,,,
2015/12/3,0.264319903,0.754331979,-0.225692173,,,
2015/12/10,0.194339237,0.684351314,-0.295672839,,,
2015/12/17,0.206256457,0.696268533,-0.28375562,,,
2015/12/24,0.197189084,0.68720116,-0.292822992,,,
2015/12/31,0.148940029,0.638952105,-0.341072048,,,
2016/1/8,0.135494144,0.62550622,-0.354517932,,,
2016/1/15,0.188251358,0.678263434,-0.301760718,,,
2016/1/22,0.166278761,0.656290837,-0.323733315,,,
2016/1/29,0.259805451,0.749817527,-0.230206625,,,
2016/2/5,0.203026942,0.693039018,-0.286985135,,,
2016/2/12,0.211789925,0.701802001,-0.278222151,,,
2016/2/19,0.462478024,0.9524901,-0.027534052,,,
2016/2/26,0.271262849,0.761274925,-0.218749227,,,
2016/3/4,0.419390913,0.909402989,-0.070621163,,,
2016/3/11,0.199728148,0.689740224,-0.290283928,,,
2016/3/18,0.219018936,0.709031013,-0.27099314,,,
2016/3/25,0.189113197,0.679125273,-0.300898879,,,
2016/4/1,0.249716851,0.739728927,-0.240295225,,,
2016/4/8,0.251293794,0.74130587,-0.238718282,,,
2016/4/15,0.227581851,0.717593927,-0.262430225,,,
2016/4/22,0.194936965,0.684949042,-0.295075111,,,
2016/4/29,0.181744795,0.671756872,-0.308267281,,,
2016/5/6,0.26391666,0.753928736,-0.226095417,,,
2016/5/13,0.23515014,0.725162216,-0.254861936,,,
2016/5/20,0.233681212,0.723693288,-0.256330865,,,
2016/5/27,0.209863795,0.699875871,-0.280148281,,,
2016/6/3,0.171528599,0.661540676,-0.318483477,,,
2016/6/10,0.221302039,0.711314115,-0.268710037,,,
2016/6/17,0.268509498,0.758521575,-0.221502578,,,
2016/6/24,0.232933943,0.722946019,-0.257078134,,,
2016/7/1,0.2259089,0.715920976,-0.264103177,,,
2016/7/8,0.222923582,0.712935658,-0.267088495,,,
2016/7/15,0.280303639,0.770315715,-0.209708438,,,
2016/7/22,0.247720111,0.737732187,-0.242291965,,,
2016/7/29,0.269883931,0.759896007,-0.220128146,,,
2016/8/5,0.200618471,0.690630547,-0.289393605,,,
2016/8/12,0.190009118,0.680021194,-0.300002958,,,
2016/8/19,0.259049217,0.749061293,-0.23096286,,,
2016/8/26,0.243738161,0.733750237,-0.246273916,,,
2016/9/2,0.255331248,0.745343324,-0.234680828,,,
2016/9/9,0.18501212,0.675024196,-0.304999956,,,
2016/9/16,0.230191951,0.720204027,-0.259820125,,,
2016/9/23,0.218255708,0.708267784,-0.271756369,,,
2016/9/30,0.229483581,0.719495657,-0.260528495,,,
2016/10/7,0.164047778,0.654059854,-0.325964298,,,
2016/10/14,0.160273313,0.650285389,-0.329738763,,,
2016/10/21,0.199874049,0.689886126,-0.290138027,,,
2016/10/28,0.178529238,0.668541315,-0.311482838,,,
2016/11/4,0.246735711,0.736747787,-0.243276366,,,
2016/11/11,0.170268632,0.660280708,-0.319743444,,,
2016/11/18,0.193039621,0.683051697,-0.296972456,,,
2016/11/25,0.455381819,0.945393896,-0.034630257,,,
2016/12/2,0.316686588,0.806698665,-0.173325488,,,
