日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.457251253,1.1508744,-0.236371894,,,
2013/1/8,0.2787368,0.972359947,-0.414886346,,,
2013/1/15,0.267887565,0.961510712,-0.425735582,,,
2013/1/22,0.291330261,0.984953407,-0.402292886,,,
2013/1/29,0.253341742,0.946964889,-0.440281404,,,
2013/2/5,0.235679957,0.929303104,-0.457943189,,,
2013/2/19,0.260890506,0.954513653,-0.432732641,,,
2013/2/26,0.308594848,1.002217995,-0.385028299,,,
2013/3/5,0.296993378,0.990616524,-0.396629769,,,
2013/3/12,0.323042782,1.016665929,-0.370580365,,,
2013/3/19,0.354127649,1.047750796,-0.339495498,,,
2013/3/26,0.294103457,0.987726604,-0.39951969,,,
2013/4/2,0.318451491,1.012074638,-0.375171656,,,
2013/4/9,0.324374889,1.017998036,-0.369248258,,,
2013/4/16,0.331366021,1.024989168,-0.362257125,,,
2013/4/23,0.250848798,0.944471944,-0.442774349,,,
2013/4/30,0.19828043,0.891903576,-0.495342717,,,
2013/5/7,0.267412803,0.961035949,-0.426210344,,,
2013/5/14,0.263525295,0.957148441,-0.430097852,,,
2013/5/21,0.28565511,0.979278257,-0.407968037,,,
2013/5/28,0.386341232,1.079964378,-0.307281915,,,
2013/6/4,0.284190228,0.977813375,-0.409432919,,,
2013/6/11,0.244697121,0.938320268,-0.448926026,,,
2013/6/18,0.377411461,1.071034607,-0.316211686,,,
2013/6/25,0.337695397,1.031318544,-0.35592775,,,
2013/7/2,0.32457117,1.018194317,-0.369051977,,,
2013/7/9,0.212047806,0.905670953,-0.481575341,,,
2013/7/16,0.284616819,0.978239966,-0.409006328,,,
2013/7/23,0.483858296,1.177481443,-0.209764851,,,
2013/7/30,0.384730946,1.078354093,-0.308892201,,,
2013/8/6,0.414236781,1.107859928,-0.279386366,,,
2013/8/13,0.421975579,1.115598725,-0.271647568,,,
2013/8/20,0.381080564,1.074703711,-0.312542582,,,
2013/8/27,0.317705794,1.011328941,-0.375917353,,,
2013/9/3,0.305640323,0.99926347,-0.387982824,,,
2013/9/10,0.327852656,1.021475803,-0.365770491,,,
2013/9/17,0.330149775,1.023772922,-0.363473372,,,
2013/9/24,0.587144947,1.280768094,-0.106478199,,,
2013/10/1,0.43826296,1.131886107,-0.255360187,,,
2013/10/8,0.330852637,1.024475784,-0.36277051,,,
2013/10/15,0.544832364,1.238455511,-0.148790782,,,
2013/10/22,0.437432439,1.131055586,-0.256190707,,,
2013/10/29,0.422608215,1.116231361,-0.271014932,,,
2013/11/5,0.171991139,0.865614286,-0.521632008,,,
2013/11/12,0.256335043,0.94995819,-0.437288104,,,
2013/11/19,0.567437811,1.261060957,-0.126185336,,,
2013/11/26,0.336220688,1.029843835,-0.357402459,,,
2013/12/3,0.408615116,1.102238262,-0.285008031,,,
2013/12/10,0.342684353,1.0363075,-0.350938793,,,
2013/12/17,0.281928879,0.975552026,-0.411694268,,,
2013/12/24,0.284203044,0.97782619,-0.409420103,,,
2014/1/1,0.269314129,0.962937275,-0.424309018,,,
2014/1/8,0.308744073,1.00236722,-0.384879074,,,
2014/1/15,0.350683831,1.044306978,-0.342939316,,,
2014/1/22,0.28988706,0.983510207,-0.403736086,,,
2014/1/29,0.375362053,1.068985199,-0.318261094,,,
2014/2/5,0.392935675,1.086558822,-0.300687472,,,
2014/2/12,0.294873306,0.988496453,-0.398749841,,,
2014/2/19,0.385958919,1.079582066,-0.307664228,,,
2014/2/26,0.440460463,1.13408361,-0.253162684,,,
2014/3/5,0.419131404,1.112754551,-0.274491743,,,
2014/3/12,0.463915774,1.157538921,-0.229707373,,,
2014/3/19,0.402851538,1.096474685,-0.290771608,,,
2014/3/26,0.394003267,1.087626414,-0.29961988,,,
2014/4/2,0.329282694,1.022905841,-0.364340452,,,
2014/4/9,0.338053239,1.031676386,-0.355569908,,,
2014/4/16,0.451166762,1.144789909,-0.242456385,,,
2014/4/23,0.355693532,1.049316679,-0.337929614,,,
2014/4/30,0.378094531,1.071717678,-0.315528616,,,
2014/5/7,0.306454162,1.000077309,-0.387168985,,,
2014/5/14,0.313526043,1.00714919,-0.380097104,,,
2014/5/21,0.272888925,0.966512072,-0.420734222,,,
2014/5/28,0.273144571,0.966767718,-0.420478576,,,
2014/6/4,0.313646929,1.007270076,-0.379976218,,,
2014/6/11,0.265633785,0.959256932,-0.427989361,,,
2014/6/18,0.275274985,0.968898132,-0.418348161,,,
2014/6/25,0.287802886,0.981426032,-0.405820261,,,
2014/7/2,0.251889475,0.945512622,-0.441733672,,,
2014/7/9,0.28684308,0.980466226,-0.406780067,,,
2014/7/16,0.330244117,1.023867264,-0.363379029,,,
2014/7/23,0.320804136,1.014427283,-0.372819011,,,
2014/7/30,0.294299839,0.987922985,-0.399323308,,,
2014/12/17,0.365622464,1.059245611,-0.328000683,,,
