日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.563531561,1.238631651,-0.111568528,,,
2013/1/8,0.434111401,1.10921149,-0.240988688,,,
2013/1/15,0.415224174,1.090324264,-0.259875915,,,
2013/1/22,0.450655842,1.125755931,-0.224444247,,,
2013/1/29,0.51153783,1.18663792,-0.163562259,,,
2013/2/5,0.563164504,1.238264593,-0.111935586,,,
2013/2/19,0.582148426,1.257248515,-0.092951664,,,
2013/2/26,0.536013065,1.211113154,-0.139087024,,,
2013/3/5,0.589452617,1.264552707,-0.085647472,,,
2013/3/12,0.529328059,1.204428149,-0.14577203,,,
2013/3/19,0.4119009,1.087000989,-0.263199189,,,
2013/3/26,0.514072188,1.189172277,-0.161027901,,,
2013/4/2,0.422479095,1.097579184,-0.252620994,,,
2013/4/9,0.558290042,1.233390132,-0.116810047,,,
2013/4/16,0.369540491,1.044640581,-0.305559598,,,
2013/4/23,0.471110852,1.146210941,-0.203989238,,,
2013/4/30,0.344712806,1.019812895,-0.330387284,,,
2013/5/7,0.351421758,1.026521848,-0.323678331,,,
2013/5/14,0.499809614,1.174909703,-0.175290475,,,
2013/5/21,0.532834894,1.207934983,-0.142265195,,,
2013/5/28,0.734987349,1.410087438,0.059887259,,,
2013/6/4,0.881896495,1.556996584,0.206796406,,,
2013/6/11,0.786436555,1.461536644,0.111336466,,,
2013/6/18,0.788702213,1.463802302,0.113602124,,,
2013/6/25,0.659253349,1.334353438,-0.01584674,,,
2013/7/2,0.399540166,1.074640256,-0.275559923,,,
2013/7/9,0.502751145,1.177851234,-0.172348945,,,
2013/7/16,0.438819693,1.113919782,-0.236280396,,,
2013/7/23,0.692954561,1.36805465,0.017854472,,,
2013/7/30,0.726582445,1.401682535,0.051482356,,,
2013/8/6,0.724578369,1.399678458,0.04947828,,,
2013/8/13,0.858613812,1.533713901,0.183513723,,,
2013/8/20,0.725856718,1.400956807,0.050756629,,,
2013/8/27,0.524983304,1.200083393,-0.150116786,,,
2013/9/3,0.532768156,1.207868245,-0.142331933,,,
2013/9/10,0.466079332,1.141179421,-0.209020757,,,
2013/9/17,0.488705913,1.163806002,-0.186394176,,,
2013/9/24,0.602850378,1.277950467,-0.072249711,,,
2013/10/1,0.541119406,1.216219496,-0.133980683,,,
2013/10/8,0.50279783,1.177897919,-0.172302259,,,
2013/10/15,0.488697639,1.163797728,-0.18640245,,,
2013/10/22,0.551209633,1.226309722,-0.123890457,,,
2013/10/29,0.315292836,0.990392925,-0.359807254,,,
2013/11/5,0.435546977,1.110647066,-0.239553112,,,
2013/11/12,0.548177787,1.223277876,-0.126922303,,,
2013/11/19,0.373664618,1.048764708,-0.301435471,,,
2013/11/26,0.578931828,1.254031918,-0.096168261,,,
2013/12/3,0.617391983,1.292492072,-0.057708106,,,
2013/12/10,0.442896024,1.117996113,-0.232204066,,,
2013/12/17,0.37488716,1.04998725,-0.300212929,,,
2013/12/24,0.452143269,1.127243359,-0.22295682,,,
2014/1/1,0.321749289,0.996849379,-0.3533508,,,
2014/1/8,0.537764195,1.212864284,-0.137335895,,,
2014/1/15,0.527257918,1.202358007,-0.147842171,,,
2014/1/22,0.561145406,1.236245495,-0.113954683,,,
2014/1/29,0.534339566,1.209439656,-0.140760523,,,
2014/2/5,0.490252588,1.165352677,-0.184847501,,,
2014/2/12,0.445157604,1.120257693,-0.229942486,,,
2014/2/19,0.360749278,1.035849367,-0.314350812,,,
2014/2/26,0.391289075,1.066389164,-0.283811014,,,
2014/3/5,0.453473937,1.128574026,-0.221626152,,,
2014/3/12,0.518550886,1.193650976,-0.156549203,,,
2014/3/19,0.681825373,1.356925462,0.006725284,,,
2014/3/26,0.782428967,1.457529056,0.107328878,,,
2014/4/2,0.764114306,1.439214396,0.089014217,,,
2014/4/9,0.726022719,1.401122809,0.05092263,,,
2014/4/16,0.568185206,1.243285296,-0.106914883,,,
2014/4/23,0.546387244,1.221487334,-0.128712845,,,
2014/4/30,0.457583961,1.13268405,-0.217516128,,,
2014/5/7,0.458980882,1.134080972,-0.216119207,,,
2014/5/14,0.38781369,1.062913779,-0.287286399,,,
2014/5/21,0.569705738,1.244805827,-0.105394351,,,
2014/5/28,0.763637618,1.438737708,0.088537529,,,
2014/6/4,0.839021223,1.514121312,0.163921134,,,
2014/6/11,0.670208731,1.345308821,-0.004891358,,,
2014/6/18,0.664416836,1.339516926,-0.010683253,,,
2014/6/25,0.743511457,1.418611546,0.068411368,,,
2014/7/2,0.739462138,1.414562227,0.064362049,,,
2014/7/9,0.57345048,1.24855057,-0.101649609,,,
2014/7/16,0.612610306,1.287710395,-0.062489783,,,
2014/7/23,0.455512553,1.130612642,-0.219587537,,,
2014/7/30,0.703597348,1.378697438,0.028497259,,,
2014/12/17,0.461542915,1.136643005,-0.213557174,,,
2014/12/24,0.606130389,1.281230478,-0.068969701,,,
2014/12/31,0.52782271,1.202922799,-0.14727738,,,
2015/1/1,0.541941488,1.217041577,-0.133158601,,,
2015/1/8,0.544799044,1.219899133,-0.130301046,,,
2015/1/15,0.484994985,1.160095074,-0.190105104,,,
2015/1/22,0.485425789,1.160525879,-0.1896743,,,
2015/1/29,0.452942802,1.128042892,-0.222157287,,,
2015/2/5,0.448219039,1.123319128,-0.22688105,,,
2015/2/12,0.461455981,1.136556071,-0.213644108,,,
2015/2/19,0.37124433,1.046344419,-0.303855759,,,
2015/2/26,0.378560113,1.053660202,-0.296539976,,,
2015/3/5,0.291631893,0.966731982,-0.383468196,,,
2015/3/12,0.346999062,1.022099151,-0.328101027,,,
2015/3/19,0.488721881,1.16382197,-0.186378208,,,
2015/3/26,0.562688737,1.237788826,-0.112411352,,,
2015/4/2,0.562707379,1.237807469,-0.11239271,,,
2015/4/9,0.459895922,1.134996011,-0.215204168,,,
2015/4/16,0.728750719,1.403850808,0.053650629,,,
2015/4/23,0.766189184,1.441289273,0.091089094,,,
2015/4/30,0.564759505,1.239859594,-0.110340584,,,
2015/5/7,0.643728719,1.318828808,-0.03137137,,,
2015/5/14,0.615875741,1.29097583,-0.059224348,,,
2015/5/21,0.928791809,1.603891899,0.25369172,,,
2015/5/28,0.618009471,1.293109561,-0.057090618,,,
2015/6/4,0.820155465,1.495255555,0.145055376,,,
2015/6/11,0.750203512,1.425303601,0.075103422,,,
2015/6/18,0.771522564,1.446622654,0.096422475,,,
2015/6/25,0.738972271,1.414072361,0.063872182,,,
2015/7/2,0.575571974,1.250672064,-0.099528115,,,
2015/7/9,0.554645691,1.22974578,-0.120454398,,,
2015/7/16,0.574135038,1.249235127,-0.100965052,,,
2015/7/23,0.733113139,1.408213228,0.058013049,,,
2015/7/30,0.624592596,1.299692686,-0.050507493,,,
2015/8/6,0.69152881,1.366628899,0.01642872,,,
2015/8/13,0.833456138,1.508556227,0.158356049,,,
2015/8/20,1.060890196,1.735990286,0.385790107,,,
2015/8/27,0.708494122,1.383594211,0.033394032,,,
2015/9/3,0.718134901,1.39323499,0.043034811,,,
