日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.502611241,1.309967296,-0.304744814,,,
2013/1/8,0.405611297,1.212967352,-0.401744758,,,
2013/1/15,0.571920804,1.379276859,-0.235435251,,,
2013/1/22,0.405617732,1.212973786,-0.401738323,,,
2013/1/29,0.397353004,1.204709059,-0.410003051,,,
2013/2/5,0.412678643,1.220034698,-0.394677412,,,
2013/2/19,0.486756213,1.294112268,-0.320599842,,,
2013/2/26,0.387625147,1.194981201,-0.419730908,,,
2013/3/5,0.357495376,1.164851431,-0.449860678,,,
2013/3/12,0.401838138,1.209194193,-0.405517916,,,
2013/3/19,0.266737668,1.074093723,-0.540618387,,,
2013/3/26,0.334023143,1.141379198,-0.473332912,,,
2013/4/2,0.33513494,1.142490995,-0.472221115,,,
2013/4/9,0.370733143,1.178089198,-0.436622911,,,
2013/4/16,0.35294279,1.160298845,-0.454413264,,,
2013/4/23,0.281377364,1.088733419,-0.525978691,,,
2013/4/30,0.305477054,1.112833109,-0.501879001,,,
2013/5/7,0.31196838,1.119324435,-0.495387675,,,
2013/5/14,0.361495428,1.168851483,-0.445860626,,,
2013/5/21,0.335327083,1.142683138,-0.472028972,,,
2013/5/28,0.296601552,1.103957607,-0.510754503,,,
2013/6/4,0.316782768,1.124138822,-0.490573287,,,
2013/6/11,0.283768712,1.091124767,-0.523587342,,,
2013/6/18,0.31226299,1.119619045,-0.495093065,,,
2013/6/25,0.312308237,1.119664292,-0.495047817,,,
2013/7/2,0.300662621,1.108018676,-0.506693434,,,
2013/7/9,0.284938789,1.092294844,-0.522417266,,,
2013/7/16,0.311927905,1.11928396,-0.49542815,,,
2013/7/23,0.284623676,1.091979731,-0.522732379,,,
2013/7/30,0.289642424,1.096998478,-0.517713631,,,
2013/8/6,0.346293723,1.153649778,-0.461062332,,,
2013/8/13,0.28040611,1.087762165,-0.526949945,,,
2013/8/20,0.265722006,1.073078061,-0.541634049,,,
2013/8/27,0.252432259,1.059788314,-0.554923796,,,
2013/9/3,0.288002691,1.095358746,-0.519353364,,,
2013/9/10,0.221980349,1.029336404,-0.585375706,,,
2013/9/17,0.266455432,1.073811486,-0.540900623,,,
2013/9/24,0.345671937,1.153027992,-0.461684118,,,
2013/10/1,0.337007831,1.144363885,-0.470348224,,,
2013/10/8,0.332444557,1.139800612,-0.474911498,,,
2013/10/15,0.32473826,1.132094315,-0.482617795,,,
2013/10/22,0.344636286,1.151992341,-0.462719769,,,
2013/10/29,0.255081783,1.062437838,-0.552274272,,,
2013/11/5,0.279412025,1.086768079,-0.52794403,,,
2013/11/12,0.297294081,1.104650136,-0.510061974,,,
2013/11/19,0.29615344,1.103509495,-0.511202614,,,
2013/11/26,0.270363524,1.077719579,-0.53699253,,,
2013/12/3,0.266693353,1.074049408,-0.540662702,,,
2013/12/10,0.312879684,1.120235739,-0.494476371,,,
2013/12/17,0.295900186,1.103256241,-0.511455869,,,
2013/12/24,0.276885503,1.084241558,-0.530470552,,,
2014/1/1,0.278971307,1.086327362,-0.528384748,,,
2014/1/8,0.269202991,1.076559046,-0.538153063,,,
2014/1/15,0.230029802,1.037385857,-0.577326252,,,
2014/1/22,0.237718555,1.04507461,-0.569637499,,,
2014/1/29,0.333481763,1.140837818,-0.473874292,,,
2014/2/5,0.313824233,1.121180288,-0.493531822,,,
2014/2/12,0.289275398,1.096631452,-0.518080657,,,
2014/2/19,0.312068441,1.119424496,-0.495287614,,,
2014/2/26,0.336574934,1.143930989,-0.470781121,,,
2014/3/5,0.300720558,1.108076613,-0.506635497,,,
2014/3/12,0.308056374,1.115412429,-0.499299681,,,
2014/3/19,0.320780229,1.128136284,-0.486575826,,,
2014/3/26,0.305101594,1.112457649,-0.502254461,,,
2014/4/2,0.293090671,1.100446726,-0.514265384,,,
2014/4/9,0.335758422,1.143114476,-0.471597633,,,
2014/4/16,0.312892753,1.120248808,-0.494463302,,,
2014/4/23,0.299091948,1.106448003,-0.508264107,,,
2014/4/30,0.275671441,1.083027496,-0.531684614,,,
2014/5/7,0.283073582,1.090429637,-0.524282473,,,
2014/5/14,0.363053425,1.170409479,-0.44430263,,,
2014/5/21,0.296072119,1.103428174,-0.511283936,,,
2014/5/28,0.316774096,1.124130151,-0.490581959,,,
2014/6/4,0.320673633,1.128029688,-0.486682422,,,
2014/6/11,0.319844468,1.127200523,-0.487511587,,,
2014/6/18,0.306928826,1.114284881,-0.500427229,,,
2014/6/25,0.352742135,1.160098189,-0.45461392,,,
