日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.965765433,2.700625426,1.23090544,,,
2013/1/8,2.63853581,3.373395803,1.903675817,,,
2013/1/15,2.27487584,3.009735833,1.540015848,,,
2013/1/22,2.105004623,2.839864616,1.37014463,,,
2013/1/29,2.033590211,2.768450204,1.298730219,,,
2013/2/5,1.873040478,2.607900471,1.138180485,,,
2013/2/19,1.90083629,2.635696283,1.165976297,,,
2013/2/26,2.032932321,2.767792314,1.298072328,,,
2013/3/5,2.032211352,2.767071345,1.297351359,,,
2013/3/12,1.964687054,2.699547047,1.229827061,,,
2013/3/19,2.156786978,2.891646971,1.421926985,,,
2013/3/26,2.460960764,3.195820757,1.726100771,,,
2013/4/2,1.857552983,2.592412976,1.12269299,,,
2013/4/9,1.811098476,2.545958469,1.076238483,,,
2013/4/16,1.953801955,2.688661948,1.218941963,,,
2013/4/23,1.430334346,2.165194338,0.695474353,,,
2013/4/30,1.576014052,2.310874044,0.841154059,,,
2013/5/7,1.400525627,2.13538562,0.665665634,,,
2013/5/14,1.014492653,1.749352646,0.27963266,,,
2013/5/21,0.735068992,1.469928985,0.000208999,,,
2013/5/28,1.673167123,2.408027116,0.93830713,,,
2013/6/4,0.962927351,1.697787344,0.228067358,,,
2013/6/11,1.02896747,1.763827463,0.294107477,,,
2013/6/18,1.072248925,1.807108918,0.337388932,,,
2013/6/25,1.110062482,1.844922475,0.375202489,,,
2013/7/2,0.806503723,1.541363716,0.07164373,,,
2013/7/9,0.941251627,1.67611162,0.206391634,,,
2013/7/16,0.987368415,1.722228408,0.252508422,,,
2013/7/23,0.735910257,1.47077025,0.001050264,,,
2013/7/30,0.956493267,1.69135326,0.221633274,,,
2013/8/6,1.133765328,1.868625321,0.398905335,,,
2013/8/13,0.901041709,1.635901702,0.166181716,,,
2013/8/20,0.831459626,1.566319619,0.096599633,,,
2013/8/27,0.748831913,1.483691906,0.01397192,,,
2013/9/3,0.701077882,1.435937875,-0.033782111,,,
2013/9/10,1.178669954,1.913529947,0.443809961,,,
2013/9/17,1.159226527,1.89408652,0.424366534,,,
2013/9/24,0.903846159,1.638706152,0.168986166,,,
2013/10/1,1.049803535,1.784663528,0.314943542,,,
2013/10/8,0.664778262,1.399638255,-0.070081731,,,
2013/10/15,0.942108634,1.676968627,0.207248641,,,
2013/10/22,0.723804208,1.458664201,-0.011055785,,,
2013/10/29,0.713625,1.448484993,-0.021234993,,,
2013/11/5,0.836714596,1.571574589,0.101854603,,,
2013/11/12,1.237285072,1.972145064,0.502425079,,,
2013/11/19,1.053837136,1.788697129,0.318977143,,,
2013/11/26,0.943902711,1.678762704,0.209042718,,,
2013/12/3,1.13630672,1.871166713,0.401446727,,,
2013/12/10,1.003821123,1.738681115,0.26896113,,,
2013/12/17,1.059496078,1.794356071,0.324636085,,,
2013/12/24,1.003329809,1.738189802,0.268469816,,,
2014/1/1,0.868160953,1.603020946,0.13330096,,,
2014/1/8,0.7988142,1.533674193,0.063954207,,,
2014/1/15,0.975389565,1.710249558,0.240529572,,,
2014/1/22,1.108880991,1.843740984,0.374020998,,,
2014/1/29,0.878085016,1.612945009,0.143225023,,,
2014/2/5,1.09978293,1.834642923,0.364922937,,,
2014/2/12,0.945738765,1.680598758,0.210878772,,,
2014/2/19,0.86213032,1.596990313,0.127270327,,,
2014/2/26,0.941883097,1.67674309,0.207023104,,,
2014/3/5,0.790088871,1.524948864,0.055228878,,,
2014/3/12,0.834211817,1.56907181,0.099351825,,,
2014/3/19,0.821137852,1.555997845,0.086277859,,,
2014/3/26,0.923950553,1.658810546,0.189090561,,,
2014/4/2,0.646133343,1.380993336,-0.08872665,,,
2014/4/9,0.695580196,1.430440189,-0.039279797,,,
2014/4/16,0.904446435,1.639306428,0.169586442,,,
2014/4/23,0.9539937,1.688853693,0.219133707,,,
2014/4/30,0.795511291,1.530371284,0.060651298,,,
2014/5/7,0.826561721,1.561421714,0.091701728,,,
2014/5/14,0.720923655,1.455783648,-0.013936337,,,
2014/5/21,0.79077503,1.525635023,0.055915037,,,
