日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.431609065,0.971231355,-0.108013225,,,
2013/1/8,0.365677981,0.905300271,-0.173944309,,,
2013/1/15,0.340187965,0.879810255,-0.199434325,,,
2013/1/22,0.375954502,0.915576792,-0.163667788,,,
2013/1/29,0.573123202,1.112745492,0.033500912,,,
2013/2/5,0.597937103,1.137559394,0.058314813,,,
2013/2/19,0.532474648,1.072096938,-0.007147642,,,
2013/2/26,0.451363927,0.990986217,-0.088258363,,,
2013/3/5,0.434689691,0.974311981,-0.104932599,,,
2013/3/12,0.351297213,0.890919503,-0.188325077,,,
2013/3/19,0.365053448,0.904675738,-0.174568842,,,
2013/3/26,0.370643694,0.910265984,-0.168978596,,,
2013/4/2,0.425504554,0.965126844,-0.114117736,,,
2013/4/9,0.490923699,1.030545989,-0.048698591,,,
2013/4/16,0.410837212,0.950459502,-0.128785078,,,
2013/4/23,0.421576086,0.961198376,-0.118046204,,,
2013/4/30,0.352120907,0.891743197,-0.187501383,,,
2013/5/7,0.336470442,0.876092732,-0.203151848,,,
2013/5/14,0.300690196,0.840312486,-0.238932094,,,
2013/5/21,0.378505947,0.918128237,-0.161116344,,,
2013/5/28,0.403545639,0.943167929,-0.136076651,,,
2013/6/4,0.345945323,0.885567613,-0.193676967,,,
2013/6/11,0.311235843,0.850858133,-0.228386447,,,
2013/6/18,0.291180338,0.830802628,-0.248441952,,,
2013/6/25,0.293203265,0.832825555,-0.246419025,,,
2013/7/2,0.349047685,0.888669975,-0.190574605,,,
2013/7/9,0.351712176,0.891334466,-0.187910114,,,
2013/7/16,0.335009802,0.874632092,-0.204612489,,,
2013/7/23,0.36489118,0.904513471,-0.17473111,,,
2013/7/30,0.316181632,0.855803922,-0.223440658,,,
2013/8/6,0.317316859,0.856939149,-0.222305431,,,
2013/8/13,0.311651049,0.851273339,-0.227971241,,,
2013/8/20,0.267077443,0.806699733,-0.272544847,,,
2013/8/27,0.264645356,0.804267646,-0.274976934,,,
2013/9/3,0.272795519,0.812417809,-0.266826771,,,
2013/9/10,0.252680139,0.792302429,-0.286942151,,,
2013/9/17,0.281057856,0.820680146,-0.258564434,,,
2013/9/24,0.276442592,0.816064882,-0.263179698,,,
2013/10/1,0.271894306,0.811516596,-0.267727984,,,
2013/10/8,0.27843637,0.81805866,-0.26118592,,,
2013/10/15,0.254793492,0.794415782,-0.284828798,,,
2013/10/22,0.245446433,0.785068723,-0.294175857,,,
2013/10/29,0.265443687,0.805065977,-0.274178603,,,
2013/11/5,0.260254397,0.799876687,-0.279367893,,,
2013/11/12,0.261098832,0.800721122,-0.278523458,,,
2013/11/19,0.275359165,0.814981455,-0.264263125,,,
2013/11/26,0.256680267,0.796302557,-0.282942023,,,
2013/12/3,0.25386076,0.79348305,-0.28576153,,,
2013/12/10,0.308945503,0.848567793,-0.230676787,,,
2013/12/17,0.308349941,0.847972231,-0.231272349,,,
2013/12/24,0.298089198,0.837711488,-0.241533092,,,
2014/1/1,0.281617781,0.821240071,-0.258004509,,,
2014/1/8,0.268868668,0.808490958,-0.270753622,,,
2014/1/15,0.261319104,0.800941394,-0.278303186,,,
2014/1/22,0.305374158,0.844996449,-0.234248132,,,
2014/1/29,0.294914553,0.834536843,-0.244707738,,,
2014/2/5,0.317842237,0.857464527,-0.221780053,,,
2014/2/12,0.324935081,0.864557371,-0.214687209,,,
2014/2/19,0.285249631,0.824871921,-0.254372659,,,
2014/2/26,0.295750718,0.835373008,-0.243871572,,,
2014/3/5,0.34198459,0.88160688,-0.1976377,,,
2014/3/12,0.346759639,0.886381929,-0.192862652,,,
2014/3/19,0.310911075,0.850533365,-0.228711215,,,
2014/3/26,0.320715825,0.860338115,-0.218906465,,,
2014/4/2,0.295922969,0.835545259,-0.243699321,,,
2014/4/9,0.278062804,0.817685094,-0.261559486,,,
2014/4/16,0.269615743,0.809238033,-0.270006547,,,
2014/4/23,0.276635187,0.816257477,-0.262987103,,,
2014/4/30,0.281138982,0.820761272,-0.258483308,,,
2014/5/7,0.324177204,0.863799494,-0.215445086,,,
2014/5/14,0.280848585,0.820470875,-0.258773705,,,
2014/5/21,0.32905609,0.86867838,-0.2105662,,,
2014/5/28,0.314609597,0.854231887,-0.225012693,,,
2014/6/4,0.303714104,0.843336394,-0.235908186,,,
2014/6/11,0.396816257,0.936438547,-0.142806033,,,
2014/6/18,0.376321879,0.915944169,-0.163300411,,,
2014/6/25,0.343044638,0.882666928,-0.196577652,,,
2014/7/2,0.341029718,0.880652009,-0.198592572,,,
2014/7/9,0.39182665,0.93144894,-0.14779564,,,
2014/7/16,0.384665216,0.924287506,-0.154957074,,,
2014/7/23,0.396470381,0.936092671,-0.143151909,,,
2014/7/30,0.399077483,0.938699773,-0.140544807,,,
2014/12/17,0.463946589,1.003568879,-0.075675701,,,
2014/12/24,0.452380665,0.992002955,-0.087241625,,,
2014/12/31,0.436527962,0.976150253,-0.103094328,,,
2015/1/1,0.779285237,1.318907527,0.239662947,,,
2015/1/8,0.653187374,1.192809664,0.113565084,,,
2015/1/15,0.468623375,1.008245665,-0.070998915,,,
2015/1/22,0.367287921,0.906910211,-0.172334369,,,
2015/1/29,0.415628254,0.955250544,-0.123994036,,,
2015/2/5,0.402000262,0.941622552,-0.137622028,,,
2015/2/12,0.478739285,1.018361575,-0.060883005,,,
2015/2/19,0.400120137,0.939742427,-0.139502153,,,
2015/2/26,0.518585836,1.058208126,-0.021036454,,,
2015/3/5,0.621570277,1.161192567,0.081947987,,,
2015/3/12,0.398946881,0.938569171,-0.140675409,,,
2015/3/19,0.512295529,1.051917819,-0.027326761,,,
2015/3/26,0.417942875,0.957565165,-0.121679415,,,
2015/4/2,0.362594935,0.902217225,-0.177027355,,,
2015/4/9,0.345332713,0.884955003,-0.194289577,,,
2015/4/16,0.314744756,0.854367046,-0.224877534,,,
2015/4/23,0.332250771,0.871873061,-0.207371519,,,
2015/4/30,0.335928232,0.875550522,-0.203694058,,,
2015/5/7,0.37659692,0.91621921,-0.16302537,,,
2015/5/14,0.385683855,0.925306146,-0.153938435,,,
2015/5/21,0.378914903,0.918537193,-0.160707387,,,
2015/5/28,0.38946102,0.92908331,-0.15016127,,,
2015/6/4,0.331138152,0.870760442,-0.208484138,,,
2015/6/11,0.349057982,0.888680272,-0.190564308,,,
2015/6/18,0.302421564,0.842043854,-0.237200726,,,
2015/6/25,0.327000538,0.866622828,-0.212621752,,,
2015/7/2,0.300827377,0.840449667,-0.238794913,,,
2015/7/9,0.301009955,0.840632245,-0.238612335,,,
2015/7/16,0.281507416,0.821129706,-0.258114874,,,
2015/7/23,0.35679728,0.896419571,-0.18282501,,,
2015/7/30,0.388894145,0.928516435,-0.150728145,,,
2015/8/6,0.556855969,1.096478259,0.017233679,,,
2015/8/13,0.497319897,1.036942187,-0.042302393,,,
2015/8/20,0.39286148,0.93248377,-0.14676081,,,
2015/8/27,0.373001971,0.912624261,-0.166620319,,,
2015/9/3,0.377694348,0.917316638,-0.161927942,,,
2015/9/10,0.351683388,0.891305678,-0.187938902,,,
2015/9/17,0.408445758,0.948068048,-0.131176532,,,
2015/9/24,0.407011799,0.946634089,-0.132610491,,,
2015/10/1,0.45094862,0.99057091,-0.08867367,,,
2015/10/8,0.545914454,1.085536744,0.006292164,,,
2015/10/15,0.593418616,1.133040906,0.053796326,,,
2015/10/22,0.595093078,1.134715368,0.055470788,,,
2015/10/29,0.491736896,1.031359186,-0.047885394,,,
2015/11/5,0.403686833,0.943309123,-0.135935457,,,
2015/11/12,0.380949851,0.920572141,-0.158672439,,,
2015/11/19,0.338039887,0.877662177,-0.201582403,,,
2015/11/26,0.444916148,0.984538438,-0.094706142,,,
2015/12/3,0.388791352,0.928413642,-0.150830938,,,
2015/12/10,0.505040297,1.044662587,-0.034581993,,,
2015/12/17,0.531351196,1.070973486,-0.008271094,,,
2015/12/24,0.378456224,0.918078514,-0.161166066,,,
2015/12/31,0.463795077,1.003417367,-0.075827213,,,
2016/1/8,0.321009532,0.860631823,-0.218612758,,,
2016/1/15,0.348335276,0.887957567,-0.191287014,,,
2016/1/22,0.317833992,0.857456282,-0.221788298,,,
2016/1/29,0.336727196,0.876349486,-0.202895094,,,
2016/2/5,0.298904263,0.838526553,-0.240718027,,,
2016/2/12,0.3355319,0.87515419,-0.204090391,,,
2016/2/19,0.336021661,0.875643951,-0.203600629,,,
2016/2/26,0.316287156,0.855909446,-0.223335134,,,
2016/3/4,0.28925401,0.8288763,-0.25036828,,,
2016/3/11,0.3025615,0.84218379,-0.23706079,,,
2016/3/18,0.32407873,0.86370102,-0.215543561,,,
2016/3/25,0.338353063,0.877975353,-0.201269227,,,
2016/4/1,0.350847822,0.890470112,-0.188774468,,,
