日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.553950472,1.415540803,-0.307639859,,,
2013/1/8,0.33131005,1.192900381,-0.530280281,,,
2013/1/15,0.285660602,1.147250933,-0.57592973,,,
2013/1/22,0.442991032,1.304581363,-0.418599299,,,
2013/1/29,0.284291329,1.14588166,-0.577299002,,,
2013/2/5,0.304835675,1.166426006,-0.556754656,,,
2013/2/19,0.280667779,1.14225811,-0.580922552,,,
2013/2/26,0.256683917,1.118274248,-0.604906414,,,
2013/3/5,0.203125457,1.064715788,-0.658464874,,,
2013/3/12,0.208726309,1.07031664,-0.652864022,,,
2013/3/19,0.238326513,1.099916844,-0.623263818,,,
2013/3/26,0.398051797,1.259642128,-0.463538534,,,
2013/4/2,0.287301212,1.148891543,-0.574289119,,,
2013/4/9,0.170619875,1.032210206,-0.690970457,,,
2013/4/16,0.24752956,1.109119891,-0.614060771,,,
2013/4/23,0.19007931,1.051669641,-0.671511021,,,
2013/4/30,0.194577344,1.056167675,-0.667012987,,,
2013/5/7,0.248359935,1.109950266,-0.613230396,,,
2013/5/14,0.206735066,1.068325397,-0.654855265,,,
2013/5/21,0.125870899,0.987461231,-0.735719432,,,
2013/5/28,0.361284909,1.22287524,-0.500305422,,,
2013/6/4,0.226156075,1.087746407,-0.635434256,,,
2013/6/11,0.176123142,1.037713474,-0.685467189,,,
2013/6/18,0.239318318,1.100908649,-0.622272013,,,
2013/6/25,0.185331331,1.046921662,-0.676259,,,
2013/7/2,0.194480151,1.056070483,-0.66711018,,,
2013/7/9,0.307146377,1.168736708,-0.554443954,,,
2013/7/16,0.233069481,1.094659812,-0.62852085,,,
2013/7/23,0.145203599,1.00679393,-0.716386732,,,
2013/7/30,0.254117366,1.115707697,-0.607472965,,,
2013/8/6,0.2079359,1.069526231,-0.653654431,,,
2013/8/13,0.246004019,1.10759435,-0.615586312,,,
2013/8/20,0.283798974,1.145389305,-0.577791357,,,
2013/8/27,0.220561038,1.082151369,-0.641029293,,,
2013/9/3,0.187714807,1.049305138,-0.673875524,,,
2013/9/10,0.224484489,1.08607482,-0.637105843,,,
2013/9/17,0.204864972,1.066455304,-0.656725359,,,
2013/9/24,0.235098912,1.096689243,-0.626491419,,,
2013/10/1,0.258433197,1.120023528,-0.603157135,,,
2013/10/8,0.162705077,1.024295408,-0.698885254,,,
2013/10/15,0.20023211,1.061822441,-0.661358221,,,
2013/10/22,0.287240629,1.14883096,-0.574349702,,,
2013/10/29,0.197142251,1.058732583,-0.66444808,,,
2013/11/5,0.23970442,1.101294751,-0.621885911,,,
2013/11/12,0.269120362,1.130710693,-0.592469969,,,
2013/11/19,0.180586466,1.042176797,-0.681003865,,,
2013/11/26,0.182327006,1.043917337,-0.679263326,,,
2013/12/3,0.261597296,1.123187627,-0.599993035,,,
2013/12/10,0.420768671,1.282359002,-0.44082166,,,
2013/12/17,0.281895431,1.143485762,-0.5796949,,,
2013/12/24,0.286369629,1.147959961,-0.575220702,,,
2014/1/1,0.290781571,1.152371902,-0.57080876,,,
2014/1/8,0.294114335,1.155704666,-0.567475996,,,
2014/1/15,0.425509224,1.287099555,-0.436081107,,,
2014/1/22,0.469325341,1.330915672,-0.39226499,,,
2014/1/29,0.421466254,1.283056585,-0.440124078,,,
2014/2/5,0.496140888,1.357731219,-0.365449443,,,
2014/2/12,0.384557206,1.246147537,-0.477033125,,,
2014/2/19,0.461165428,1.322755759,-0.400424903,,,
2014/2/26,0.404846903,1.266437234,-0.456743428,,,
2014/3/5,0.355691684,1.217282016,-0.505898647,,,
2014/3/12,0.398673111,1.260263443,-0.46291722,,,
2014/3/19,0.446294445,1.307884776,-0.415295886,,,
2014/3/26,0.398280468,1.259870799,-0.463309863,,,
2014/4/2,0.415327381,1.276917712,-0.44626295,,,
2014/4/9,0.626850707,1.488441038,-0.234739624,,,
