日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.752368971,1.566676194,-0.061938252,,,
2013/1/8,0.798942055,1.613249278,-0.015365169,,,
2013/1/15,0.893707818,1.708015041,0.079400594,,,
2013/1/22,0.953908053,1.768215277,0.13960083,,,
2013/1/29,1.120258895,1.934566118,0.305951671,,,
2013/2/5,1.15690475,1.971211973,0.342597526,,,
2013/2/19,1.095437855,1.909745078,0.281130631,,,
2013/2/26,1.369577212,2.183884436,0.555269989,,,
2013/3/5,1.683406361,2.497713585,0.869099138,,,
2013/3/12,1.20006654,2.014373763,0.385759316,,,
2013/3/19,1.233252444,2.047559668,0.418945221,,,
2013/3/26,0.990965304,1.805272527,0.17665808,,,
2013/4/2,1.321093377,2.1354006,0.506786153,,,
2013/4/9,1.275393574,2.089700798,0.461086351,,,
2013/4/16,0.877817946,1.69212517,0.063510723,,,
2013/4/23,0.976835527,1.79114275,0.162528303,,,
2013/4/30,0.72630999,1.540617213,-0.087997234,,,
2013/5/7,0.804082173,1.618389396,-0.010225051,,,
2013/5/14,0.772419477,1.586726701,-0.041887746,,,
2013/5/21,0.602700747,1.417007971,-0.211606476,,,
2013/5/28,0.705428365,1.519735588,-0.108878858,,,
2013/6/4,0.708476666,1.522783889,-0.105830558,,,
2013/6/11,0.633717,1.448024223,-0.180590224,,,
2013/6/18,0.792609852,1.606917076,-0.021697371,,,
2013/6/25,0.740016005,1.554323228,-0.074291219,,,
2013/7/2,0.87224895,1.686556173,0.057941726,,,
2013/7/9,0.715603043,1.529910267,-0.09870418,,,
2013/7/16,0.761883287,1.57619051,-0.052423937,,,
2013/7/23,0.758199492,1.572506716,-0.056107731,,,
2013/7/30,0.800369864,1.614677087,-0.01393736,,,
2013/8/6,0.819657517,1.63396474,0.005350293,,,
2013/8/13,0.739336717,1.553643941,-0.074970506,,,
2013/8/20,0.733138114,1.547445338,-0.081169109,,,
2013/8/27,0.738916533,1.553223756,-0.075390691,,,
2013/9/3,1.064791917,1.87909914,0.250484693,,,
2013/9/10,0.821349149,1.635656373,0.007041926,,,
2013/9/17,0.667612756,1.481919979,-0.146694468,,,
2013/9/24,0.808204551,1.622511775,-0.006102672,,,
2013/10/1,0.936960209,1.751267433,0.122652986,,,
2013/10/8,0.745599208,1.559906431,-0.068708016,,,
2013/10/15,0.490119965,1.304427188,-0.324187258,,,
2013/10/22,0.707098044,1.521405267,-0.10720918,,,
2013/10/29,0.784627901,1.598935124,-0.029679323,,,
2013/11/5,0.70427206,1.518579283,-0.110035164,,,
2013/11/12,0.741796448,1.556103672,-0.072510775,,,
2013/11/19,0.770481154,1.584788377,-0.043826069,,,
2013/11/26,0.708290235,1.522597459,-0.106016988,,,
2013/12/3,0.749656122,1.563963346,-0.064651101,,,
2013/12/10,0.836586477,1.6508937,0.022279253,,,
2013/12/17,0.826445883,1.640753106,0.012138659,,,
2013/12/24,0.806244012,1.620551236,-0.008063211,,,
2014/1/1,0.8199293,1.634236523,0.005622076,,,
2014/1/8,0.798957116,1.61326434,-0.015350107,,,
2014/1/15,0.774109137,1.588416361,-0.040198086,,,
2014/1/22,0.722801733,1.537108956,-0.091505491,,,
2014/1/29,0.736515385,1.550822608,-0.077791839,,,
2014/2/5,0.699109868,1.513417092,-0.115197355,,,
2014/2/12,0.917008571,1.731315795,0.102701348,,,
2014/2/19,0.719252613,1.533559836,-0.09505461,,,
2014/2/26,0.694266862,1.508574085,-0.120040362,,,
