日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.088037977,1.923323222,0.252752732,,,
2013/1/8,1.381221363,2.216506608,0.545936118,,,
2013/1/15,1.199160805,2.03444605,0.363875561,,,
2013/1/22,1.107150515,1.942435759,0.27186527,,,
2013/1/29,1.120820706,1.95610595,0.285535461,,,
2013/2/5,1.360630382,2.195915626,0.525345137,,,
2013/2/19,1.38530507,2.220590314,0.550019825,,,
2013/2/26,1.311709218,2.146994463,0.476423974,,,
2013/3/5,1.039480354,1.874765598,0.204195109,,,
2013/3/12,1.147292647,1.982577891,0.312007402,,,
2013/3/19,1.321628628,2.156913872,0.486343383,,,
2013/3/26,1.157888886,1.993174131,0.322603641,,,
2013/4/2,1.313063913,2.148349158,0.477778668,,,
2013/4/9,1.086170947,1.921456191,0.250885702,,,
2013/4/16,1.23475362,2.070038865,0.399468375,,,
2013/4/23,1.440072882,2.275358126,0.604787637,,,
2013/4/30,1.239241135,2.07452638,0.403955891,,,
2013/5/7,1.178897938,2.014183182,0.343612693,,,
2013/5/14,0.940506528,1.775791772,0.105221283,,,
2013/5/21,1.497960083,2.333245327,0.662674838,,,
2013/5/28,1.352900572,2.188185817,0.517615328,,,
2013/6/4,1.162480804,1.997766048,0.327195559,,,
2013/6/11,1.033147496,1.86843274,0.197862251,,,
2013/6/18,0.842357731,1.677642976,0.007072487,,,
2013/6/25,1.326896853,2.162182098,0.491611609,,,
2013/7/2,1.011586951,1.846872196,0.176301707,,,
2013/7/9,1.084988506,1.92027375,0.249703261,,,
2013/7/16,1.196625529,2.031910774,0.361340284,,,
2013/7/23,0.943323269,1.778608513,0.108038024,,,
2013/7/30,1.044796483,1.880081727,0.209511238,,,
2013/8/6,1.039055871,1.874341115,0.203770626,,,
2013/8/13,1.144682336,1.979967581,0.309397092,,,
2013/8/20,0.965082106,1.800367351,0.129796862,,,
2013/8/27,0.911199625,1.74648487,0.075914381,,,
2013/9/3,1.074827179,1.910112424,0.239541935,,,
2013/9/10,1.082662377,1.917947622,0.247377133,,,
2013/9/17,1.008115958,1.843401203,0.172830714,,,
2013/9/24,0.742823671,1.578108916,-0.092461574,,,
2013/10/1,0.947402107,1.782687352,0.112116863,,,
2013/10/8,1.153848416,1.989133661,0.318563172,,,
2013/10/15,0.943512557,1.778797801,0.108227312,,,
2013/10/22,0.810660996,1.64594624,-0.024624249,,,
2013/10/29,0.812471049,1.647756293,-0.022814196,,,
2013/11/5,1.053628831,1.888914076,0.218343587,,,
2013/11/12,0.907864695,1.74314994,0.072579451,,,
2013/11/19,0.863440794,1.698726039,0.02815555,,,
2013/11/26,0.829261866,1.66454711,-0.006023379,,,
2013/12/3,0.819067175,1.654352419,-0.01621807,,,
2013/12/10,0.860672481,1.695957726,0.025387237,,,
2013/12/17,0.818119528,1.653404773,-0.017165717,,,
2013/12/24,0.843412348,1.678697593,0.008127104,,,
2014/1/1,0.852317659,1.687602904,0.017032415,,,
2014/1/8,0.867307664,1.702592909,0.03202242,,,
2014/1/15,0.857810788,1.693096033,0.022525544,,,
2014/1/22,0.976404726,1.81168997,0.141119481,,,
2014/1/29,0.783806519,1.619091764,-0.051478725,,,
2014/2/5,0.826056905,1.66134215,-0.00922834,,,
2014/2/12,1.015068799,1.850354043,0.179783554,,,
2014/2/19,1.001740369,1.837025613,0.166455124,,,
2014/2/26,0.898299695,1.733584939,0.06301445,,,
2014/3/5,0.862484645,1.697769889,0.0271994,,,
2014/3/12,0.95031407,1.785599315,0.115028826,,,
2014/3/19,0.954251042,1.789536287,0.118965798,,,
2014/3/26,0.837133242,1.672418486,0.001847997,,,
2014/4/2,0.792761583,1.628046827,-0.042523662,,,
2014/4/9,0.817787587,1.653072832,-0.017497657,,,
2014/4/16,0.888988831,1.724274075,0.053703586,,,
2014/4/23,0.795094491,1.630379736,-0.040190753,,,
2014/4/30,0.68420819,1.519493435,-0.151077054,,,
2014/5/7,0.731309419,1.566594663,-0.103975826,,,
2014/5/14,0.785588178,1.620873423,-0.049697066,,,
2014/5/21,0.780221892,1.615507137,-0.055063352,,,
2014/5/28,0.73622095,1.571506194,-0.099064295,,,
2014/6/4,0.678233837,1.513519081,-0.157051408,,,
2014/6/11,0.798294873,1.633580117,-0.036990372,,,
2014/6/18,0.789916108,1.625201353,-0.045369136,,,
2014/6/25,0.7290748,1.564360045,-0.106210444,,,
2014/7/2,0.738292,1.573577245,-0.096993244,,,
2014/7/9,0.791619719,1.626904963,-0.043665526,,,
2014/7/16,0.843308993,1.678594238,0.008023749,,,
2014/7/23,0.756691862,1.591977107,-0.078593382,,,
2014/7/30,0.793543203,1.628828447,-0.041742042,,,
2014/12/17,0.806380198,1.641665442,-0.028905047,,,
2014/12/24,0.769561882,1.604847126,-0.065723363,,,
2014/12/31,0.769323802,1.604609046,-0.065961443,,,
2015/1/1,0.732669136,1.567954381,-0.102616109,,,
2015/1/8,0.800680297,1.635965542,-0.034604947,,,
2015/1/15,0.802756364,1.638041609,-0.03252888,,,
2015/1/22,0.830726347,1.666011592,-0.004558897,,,
2015/1/29,0.724139756,1.559425001,-0.111145489,,,
2015/2/5,0.693641518,1.528926762,-0.141643727,,,
2015/2/12,0.813359184,1.648644429,-0.02192606,,,
2015/2/19,0.822811109,1.658096353,-0.012474136,,,
2015/2/26,0.785673329,1.620958574,-0.049611915,,,
2015/3/5,0.751373858,1.586659103,-0.083911387,,,
2015/3/12,0.80071644,1.636001685,-0.034568804,,,
2015/3/19,0.895223702,1.730508946,0.059938457,,,
2015/3/26,0.765826837,1.601112082,-0.069458407,,,
2015/4/2,0.691584293,1.526869537,-0.143700952,,,
2015/4/9,0.795462257,1.630747502,-0.039822987,,,
2015/4/16,0.909543464,1.744828709,0.07425822,,,
2015/4/23,0.77896786,1.614253105,-0.056317384,,,
2015/4/30,0.776058991,1.611344236,-0.059226253,,,
2015/5/7,0.733974235,1.56925948,-0.101311009,,,
2015/5/14,0.874625307,1.709910551,0.039340062,,,
2015/5/21,0.888236616,1.72352186,0.052951371,,,
2015/5/28,0.809392122,1.644677367,-0.025893122,,,
2015/6/4,0.772317718,1.607602962,-0.062967527,,,
2015/6/11,0.791976231,1.627261476,-0.043309013,,,
2015/6/18,1.034908262,1.870193506,0.199623017,,,
2015/6/25,0.846872805,1.68215805,0.011587561,,,
2015/7/2,0.831065861,1.666351106,-0.004219383,,,
2015/7/9,0.979080877,1.814366122,0.143795632,,,
2015/7/16,0.956356113,1.791641357,0.121070868,,,
