日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.515047894,0.982084451,0.048011337,,,
2013/1/8,0.429616991,0.896653549,-0.037419566,,,
2013/1/15,0.26762133,0.734657887,-0.199415227,,,
2013/1/22,0.253948383,0.720984941,-0.213088174,,,
2013/1/29,0.373249594,0.840286152,-0.093786963,,,
2013/2/5,0.290697396,0.757733953,-0.176339161,,,
2013/2/19,0.310822567,0.777859124,-0.156213991,,,
2013/2/26,0.264162927,0.731199484,-0.20287363,,,
2013/3/5,0.199290841,0.666327398,-0.267745716,,,
2013/3/12,0.234747753,0.70178431,-0.232288804,,,
2013/3/19,0.28075795,0.747794508,-0.186278607,,,
2013/3/26,0.295793839,0.762830396,-0.171242719,,,
2013/4/2,0.269295568,0.736332125,-0.197740989,,,
2013/4/9,0.249837301,0.716873858,-0.217199256,,,
2013/4/16,0.190393017,0.657429575,-0.27664354,,,
2013/4/23,0.253451368,0.720487926,-0.213585189,,,
2013/4/30,0.28264319,0.749679747,-0.184393367,,,
2013/5/7,0.346458903,0.81349546,-0.120577655,,,
2013/5/14,0.269621251,0.736657809,-0.197415306,,,
2013/5/21,0.219503626,0.686540183,-0.247532931,,,
2013/5/28,0.281442402,0.748478959,-0.185594155,,,
2013/6/4,0.287027233,0.754063791,-0.180009324,,,
2013/6/11,0.319818286,0.786854843,-0.147218271,,,
2013/6/18,0.239084727,0.706121285,-0.22795183,,,
2013/6/25,0.202313321,0.669349878,-0.264723236,,,
2013/7/2,0.178521504,0.645558061,-0.288515054,,,
2013/7/9,0.243908321,0.710944878,-0.223128236,,,
2013/7/16,0.223387959,0.690424516,-0.243648598,,,
2013/7/23,0.194416746,0.661453303,-0.272619811,,,
2013/7/30,0.197901574,0.664938131,-0.269134983,,,
2013/8/6,0.178683618,0.645720175,-0.288352939,,,
2013/8/13,0.216610149,0.683646706,-0.250426409,,,
2013/8/20,0.170506578,0.637543136,-0.296529979,,,
2013/8/27,0.154515927,0.621552484,-0.31252063,,,
2013/9/3,0.195743823,0.66278038,-0.271292734,,,
2013/9/10,0.181439503,0.648476061,-0.285597054,,,
2013/9/17,0.13969414,0.606730697,-0.327342417,,,
2013/9/24,0.204035456,0.671072013,-0.263001102,,,
2013/10/1,0.188701654,0.655738211,-0.278334903,,,
2013/10/8,0.152006293,0.61904285,-0.315030265,,,
2013/10/15,0.163410074,0.630446632,-0.303626483,,,
2013/10/22,0.159450322,0.626486879,-0.307586235,,,
2013/10/29,0.156196791,0.623233348,-0.310839767,,,
2013/11/5,0.153692264,0.620728822,-0.313344293,,,
2013/11/12,0.169350408,0.636386965,-0.297686149,,,
2013/11/19,0.160708301,0.627744858,-0.306328256,,,
2013/11/26,0.241071657,0.708108214,-0.225964901,,,
2013/12/3,0.170133988,0.637170545,-0.296902569,,,
2013/12/10,0.161162649,0.628199206,-0.305873908,,,
2013/12/17,0.201299164,0.668335722,-0.265737393,,,
2013/12/24,0.214883675,0.681920232,-0.252152882,,,
2014/1/1,0.189354556,0.656391114,-0.277682001,,,
2014/1/8,0.182593644,0.649630202,-0.284442913,,,
2014/1/15,0.201525575,0.668562133,-0.265510982,,,
2014/1/22,0.180201028,0.647237585,-0.286835529,,,
2014/1/29,0.225163958,0.692200515,-0.241872599,,,
2014/2/5,0.2562761,0.723312657,-0.210760457,,,
2014/2/12,0.184944682,0.651981239,-0.282091875,,,
2014/2/19,0.144631151,0.611667708,-0.322405406,,,
2014/2/26,0.212436805,0.679473362,-0.254599752,,,
2014/3/5,0.180538024,0.647574581,-0.286498533,,,
2014/3/12,0.182728468,0.649765025,-0.284308089,,,
2014/3/19,0.174952387,0.641988944,-0.292084171,,,
2014/3/26,0.169509567,0.636546124,-0.29752699,,,
2014/4/2,0.156321194,0.623357751,-0.310715364,,,
2014/4/9,0.251503437,0.718539994,-0.21553312,,,
2014/4/16,0.219300394,0.686336951,-0.247736163,,,
2014/4/23,0.14884973,0.615886287,-0.318186828,,,
2014/4/30,0.168491838,0.635528395,-0.298544719,,,
2014/5/7,0.161955163,0.62899172,-0.305081395,,,
2014/5/14,0.190300547,0.657337104,-0.27673601,,,
2014/5/21,0.213376608,0.680413165,-0.25365995,,,
2014/5/28,0.194572393,0.661608951,-0.272464164,,,
2014/6/4,0.204788803,0.671825361,-0.262247754,,,
2014/6/11,0.254438594,0.721475152,-0.212597963,,,
2014/6/18,0.235051721,0.702088278,-0.231984836,,,
2014/6/25,0.224249454,0.691286011,-0.242787103,,,
2014/7/2,0.243481336,0.710517893,-0.223555221,,,
2014/7/9,0.264354541,0.731391098,-0.202682016,,,
2014/7/16,0.270306564,0.737343121,-0.196729993,,,
2014/7/23,0.198956309,0.665992866,-0.268080249,,,
2014/7/30,0.27435068,0.741387238,-0.192685877,,,
2014/12/17,0.396821464,0.863858021,-0.070215094,,,
2014/12/24,0.246140715,0.713177272,-0.220895842,,,
2014/12/31,0.249710744,0.716747301,-0.217325813,,,
2015/1/1,0.297919935,0.764956493,-0.169116622,,,
2015/1/8,0.24388793,0.710924487,-0.223148627,,,
2015/1/15,0.22964833,0.696684887,-0.237388227,,,
2015/1/22,0.220308057,0.687344614,-0.2467285,,,
2015/1/29,0.173598373,0.64063493,-0.293438184,,,
2015/2/5,0.200783416,0.667819974,-0.266253141,,,
2015/2/12,0.227734151,0.694770708,-0.239302406,,,
2015/2/19,0.163503767,0.630540324,-0.30353279,,,
2015/2/26,0.160290042,0.6273266,-0.306746515,,,
2015/3/5,0.17459718,0.641633738,-0.292439377,,,
2015/3/12,0.220713039,0.687749596,-0.246323518,,,
2015/3/19,0.209171436,0.676207993,-0.257865121,,,
2015/3/26,0.191076744,0.658113301,-0.275959813,,,
2015/4/2,0.220105075,0.687141632,-0.246931482,,,
2015/4/9,0.221470411,0.688506968,-0.245566146,,,
2015/4/16,0.209584113,0.67662067,-0.257452444,,,
2015/4/23,0.202297634,0.669334191,-0.264738923,,,
2015/4/30,0.195844376,0.662880933,-0.271192181,,,
2015/5/7,0.186165896,0.653202453,-0.280870661,,,
2015/5/14,0.198669955,0.665706512,-0.268366602,,,
2015/5/21,0.184940142,0.6519767,-0.282096415,,,
2015/5/28,0.204558525,0.671595082,-0.262478032,,,
2015/6/4,0.215896536,0.682933093,-0.251140022,,,
2015/6/11,0.365776225,0.832812782,-0.101260332,,,
2015/6/18,0.299348422,0.766384979,-0.167688135,,,
2015/6/25,0.184820724,0.651857281,-0.282215833,,,
2015/7/2,0.259495469,0.726532026,-0.207541088,,,
2015/7/9,0.240754936,0.707791493,-0.226281621,,,
2015/7/16,0.247535824,0.714572381,-0.219500733,,,
2015/7/23,0.212015102,0.67905166,-0.255021455,,,
2015/7/30,0.203854069,0.670890626,-0.263182488,,,
2015/8/6,0.162108761,0.629145318,-0.304927796,,,
2015/8/13,0.225402375,0.692438932,-0.241634183,,,
2015/8/20,0.444728632,0.911765189,-0.022307925,,,
2015/8/27,0.314623006,0.781659564,-0.152413551,,,
2015/9/3,0.229321043,0.6963576,-0.237715514,,,
