日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.487670671,1.354373816,-0.379032474,,,
2013/1/8,0.212383375,1.07908652,-0.65431977,,,
2013/1/15,0.203223517,1.069926662,-0.663479628,,,
2013/1/22,0.217526983,1.084230128,-0.649176163,,,
2013/1/29,0.294390732,1.161093877,-0.572312414,,,
2013/2/5,0.200002811,1.066705956,-0.666700335,,,
2013/2/19,0.238964489,1.105667635,-0.627738656,,,
2013/2/26,0.196278835,1.06298198,-0.67042431,,,
2013/3/5,0.27284225,1.139545395,-0.593860895,,,
2013/3/12,0.230311249,1.097014394,-0.636391897,,,
2013/3/19,0.188115284,1.054818429,-0.678587861,,,
2013/3/26,0.183563928,1.050267073,-0.683139217,,,
2013/4/2,0.170727504,1.037430649,-0.695975641,,,
2013/4/9,0.1909634,1.057666545,-0.675739746,,,
2013/4/16,0.206475672,1.073178817,-0.660227473,,,
2013/4/23,0.171880941,1.038584086,-0.694822204,,,
2013/4/30,0.180433966,1.047137111,-0.686269179,,,
2013/5/7,0.181530441,1.048233587,-0.685172704,,,
2013/5/14,0.180375927,1.047079072,-0.686327219,,,
2013/5/21,0.190614453,1.057317598,-0.676088693,,,
2013/5/28,0.203835826,1.070538971,-0.662867319,,,
2013/6/4,0.321584363,1.188287508,-0.545118782,,,
2013/6/11,0.203655043,1.070358188,-0.663048103,,,
2013/6/18,0.254587789,1.121290935,-0.612115356,,,
2013/6/25,0.200671205,1.067374351,-0.66603194,,,
2013/7/2,0.203027071,1.069730216,-0.663676075,,,
2013/7/9,0.345941609,1.212644754,-0.520761536,,,
2013/7/16,0.253017706,1.119720851,-0.613685439,,,
2013/7/23,0.266627789,1.133330934,-0.600075356,,,
2013/7/30,0.236796705,1.10349985,-0.62990644,,,
2013/8/6,0.2427989,1.109502045,-0.623904245,,,
2013/8/13,0.357480888,1.224184033,-0.509222257,,,
2013/8/20,0.320855875,1.18755902,-0.54584727,,,
2013/8/27,0.369255539,1.235958684,-0.497447606,,,
2013/9/3,0.256671644,1.123374789,-0.610031501,,,
2013/9/10,0.297562624,1.164265769,-0.569140522,,,
2013/9/17,0.21665755,1.083360695,-0.650045595,,,
2013/9/24,0.284289515,1.15099266,-0.582413631,,,
2013/10/1,0.22813507,1.094838216,-0.638568075,,,
2013/10/8,0.242143483,1.108846628,-0.624559662,,,
2013/10/15,0.179803594,1.04650674,-0.686899551,,,
2013/10/22,0.214299105,1.08100225,-0.65240404,,,
2013/10/29,0.179115346,1.045818491,-0.687587799,,,
2013/11/5,0.233116733,1.099819878,-0.633586412,,,
2013/11/12,0.294804608,1.161507754,-0.571898537,,,
2013/11/19,0.488294445,1.35499759,-0.3784087,,,
2013/11/26,0.254051973,1.120755118,-0.612651172,,,
2013/12/3,0.329151356,1.195854501,-0.53755179,,,
2013/12/10,0.23958318,1.106286325,-0.627119965,,,
2013/12/17,0.328862527,1.195565673,-0.537840618,,,
2013/12/24,0.318007115,1.184710261,-0.54869603,,,
2014/1/1,0.329626667,1.196329812,-0.537076479,,,
2014/1/8,0.318858523,1.185561668,-0.547844623,,,
2014/1/15,0.315666605,1.18236975,-0.55103654,,,
2014/1/22,0.348653584,1.21535673,-0.518049561,,,
2014/1/29,0.300275836,1.166978981,-0.566427309,,,
2014/2/5,0.444229743,1.310932888,-0.422473402,,,
2014/2/12,0.324049101,1.190752246,-0.542654044,,,
2014/2/19,0.321219677,1.187922822,-0.545483468,,,
2014/2/26,0.330852756,1.197555901,-0.535850389,,,
2014/3/5,0.255663966,1.122367111,-0.61103918,,,
2014/3/12,0.308395391,1.175098536,-0.558307754,,,
2014/3/19,0.285557245,1.15226039,-0.5811459,,,
2014/3/26,0.339736392,1.206439537,-0.526966753,,,
2014/4/2,0.227253968,1.093957113,-0.639449177,,,
2014/4/9,0.332209332,1.198912477,-0.534493814,,,
2014/4/16,0.307507985,1.174211131,-0.55919516,,,
2014/4/23,0.219901866,1.086605011,-0.646801279,,,
