日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.603863851,1.298273947,-0.090546244,,,
2013/1/8,0.521963602,1.216373697,-0.172446494,,,
2013/1/15,0.47972549,1.174135586,-0.214684606,,,
2013/1/22,0.47610666,1.170516756,-0.218303436,,,
2013/1/29,0.502679777,1.197089873,-0.191730319,,,
2013/2/5,0.519906941,1.214317037,-0.174503154,,,
2013/2/19,0.495921671,1.190331767,-0.198488425,,,
2013/2/26,0.505623644,1.20003374,-0.188786451,,,
2013/3/5,0.464778851,1.159188947,-0.229631244,,,
2013/3/12,0.511842151,1.206252246,-0.182567945,,,
2013/3/19,0.612109833,1.306519928,-0.082300263,,,
2013/3/26,0.694375406,1.388785502,-3.47E-05,,,
2013/4/2,0.633873226,1.328283322,-0.06053687,,,
2013/4/9,0.621188106,1.315598202,-0.07322199,,,
2013/4/16,0.631463961,1.325874057,-0.062946135,,,
2013/4/23,0.759244867,1.453654963,0.064834772,,,
2013/4/30,0.730035414,1.42444551,0.035625318,,,
2013/5/7,0.736670292,1.431080388,0.042260196,,,
2013/5/14,0.724353299,1.418763395,0.029943203,,,
2013/5/21,0.581561403,1.275971499,-0.112848693,,,
2013/5/28,0.7060366,1.400446696,0.011626505,,,
2013/6/4,0.584197823,1.278607919,-0.110212272,,,
2013/6/11,0.695220235,1.38963033,0.000810139,,,
2013/6/18,0.776990612,1.471400708,0.082580517,,,
2013/6/25,0.827397429,1.521807524,0.132987333,,,
2013/7/2,0.662044528,1.356454624,-0.032365567,,,
2013/7/9,0.586447209,1.280857305,-0.107962886,,,
2013/7/16,0.630460463,1.324870559,-0.063949632,,,
2013/7/23,0.762980539,1.457390634,0.068570443,,,
2013/7/30,0.572954744,1.26736484,-0.121455351,,,
2013/8/6,0.782005531,1.476415626,0.087595435,,,
2013/8/13,0.636485871,1.330895967,-0.057924225,,,
2013/8/20,0.63832809,1.332738185,-0.056082006,,,
2013/8/27,0.53913825,1.233548346,-0.155271845,,,
2013/9/3,0.660616429,1.355026524,-0.033793667,,,
2013/9/10,0.570745221,1.265155317,-0.123664875,,,
2013/9/17,0.517658281,1.212068376,-0.176751815,,,
2013/9/24,0.508718518,1.203128614,-0.185691577,,,
2013/10/1,0.545845503,1.240255598,-0.148564593,,,
2013/10/8,0.447733821,1.142143917,-0.246676275,,,
2013/10/15,0.450411663,1.144821759,-0.243998432,,,
2013/10/22,0.480111696,1.174521791,-0.2142984,,,
2013/10/29,0.515971583,1.210381679,-0.178438513,,,
2013/11/5,0.430331298,1.124741394,-0.264078797,,,
2013/11/12,0.527594794,1.222004889,-0.166815302,,,
2013/11/19,0.570535148,1.264945244,-0.123874947,,,
2013/11/26,0.536568878,1.230978973,-0.157841218,,,
2013/12/3,0.597859644,1.29226974,-0.096550452,,,
2013/12/10,0.713159161,1.407569257,0.018749066,,,
2013/12/17,0.750250302,1.444660398,0.055840206,,,
2013/12/24,0.671273532,1.365683628,-0.023136563,,,
2014/1/1,0.634102293,1.328512388,-0.060307803,,,
2014/1/8,0.672927235,1.36733733,-0.021482861,,,
2014/1/15,0.811363366,1.505773461,0.11695327,,,
2014/1/22,0.627662518,1.322072614,-0.066747578,,,
2014/1/29,0.756667505,1.4510776,0.062257409,,,
2014/2/5,0.624584973,1.318995068,-0.069825123,,,
2014/2/12,0.731887952,1.426298048,0.037477856,,,
2014/2/19,0.705039499,1.399449595,0.010629403,,,
2014/2/26,0.712799129,1.407209225,0.018389034,,,
2014/3/5,0.631093141,1.325503237,-0.063316955,,,
2014/3/12,0.582047386,1.276457482,-0.11236271,,,
2014/3/19,0.629851469,1.324261565,-0.064558626,,,
2014/3/26,0.55931729,1.253727386,-0.135092806,,,
2014/4/2,0.743698851,1.438108947,0.049288756,,,
2014/4/9,0.649546883,1.343956979,-0.044863213,,,
2014/4/16,0.684651644,1.37906174,-0.009758452,,,
2014/4/23,0.676907415,1.371317511,-0.017502681,,,
2014/4/30,0.636314204,1.330724299,-0.058095892,,,
2014/5/7,0.582601008,1.277011103,-0.111809088,,,
2014/5/14,0.597892868,1.292302964,-0.096517228,,,
2014/5/21,0.670790319,1.365200415,-0.023619776,,,
2014/5/28,0.659735927,1.354146022,-0.034674169,,,
2014/6/4,0.636722651,1.331132747,-0.057687444,,,
2014/6/11,0.645301144,1.33971124,-0.049108952,,,
2014/6/18,0.602451444,1.29686154,-0.091958652,,,
2014/6/25,0.6457904,1.340200496,-0.048619696,,,
2014/7/2,0.629717529,1.324127624,-0.064692567,,,
2014/7/9,0.615862688,1.310272784,-0.078547407,,,
2014/7/16,0.667152063,1.361562159,-0.027258032,,,
2014/7/23,0.632747192,1.327157288,-0.061662903,,,
2014/7/30,0.645134383,1.339544478,-0.049275713,,,
2014/12/17,0.709440091,1.403850186,0.015029995,,,
2014/12/24,0.702957538,1.397367634,0.008547443,,,
2014/12/31,0.638556398,1.332966494,-0.055853698,,,
2015/1/1,0.551653765,1.246063861,-0.14275633,,,
2015/1/8,0.574516244,1.268926339,-0.119893852,,,
2015/1/15,0.590679778,1.285089874,-0.103730318,,,
2015/1/22,0.500832581,1.195242677,-0.193577515,,,
2015/1/29,0.602742644,1.29715274,-0.091667451,,,
2015/2/5,0.490830057,1.185240153,-0.203580039,,,
2015/2/12,0.515226344,1.20963644,-0.179183752,,,
2015/2/19,0.467778181,1.162188277,-0.226631915,,,
2015/2/26,0.467457429,1.161867524,-0.226952667,,,
2015/3/5,0.432244249,1.126654345,-0.262165846,,,
2015/3/12,0.453999052,1.148409148,-0.240411044,,,
2015/3/19,0.418670782,1.113080878,-0.275739313,,,
2015/3/26,0.450949524,1.14535962,-0.243460572,,,
2015/4/2,0.430903456,1.125313551,-0.26350664,,,
2015/4/9,0.480101104,1.174511199,-0.214308992,,,
2015/4/16,0.464230337,1.158640433,-0.230179758,,,
2015/4/23,0.49499556,1.189405656,-0.199414536,,,
2015/4/30,0.715487838,1.409897934,0.021077742,,,
2015/5/7,0.758188404,1.452598499,0.063778308,,,
2015/5/14,0.569370441,1.263780536,-0.125039655,,,
2015/5/21,0.488093153,1.182503249,-0.206316943,,,
2015/5/28,0.489496279,1.183906374,-0.204913817,,,
2015/6/4,0.69070548,1.385115576,-0.003704616,,,
2015/6/11,0.546717348,1.241127444,-0.147692747,,,
2015/6/18,0.829492773,1.523902869,0.135082678,,,
2015/6/25,0.63556424,1.329974336,-0.058845856,,,
2015/7/2,0.491539806,1.185949902,-0.20287029,,,
2015/7/9,0.493973775,1.188383871,-0.200436321,,,
2015/7/16,0.54355935,1.237969446,-0.150850746,,,
2015/7/23,0.502914958,1.197325053,-0.191495138,,,
2015/7/30,0.554046466,1.248456562,-0.14036363,,,
2015/8/6,0.49811941,1.192529505,-0.196290686,,,
2015/8/13,0.580878527,1.275288623,-0.113531569,,,
2015/8/20,0.582692125,1.27710222,-0.111717971,,,
2015/8/27,0.557250026,1.251660122,-0.13716007,,,
2015/9/3,0.518062639,1.212472734,-0.176347457,,,
2015/9/10,0.607238298,1.301648394,-0.087171797,,,
2015/9/17,0.625261971,1.319672067,-0.069148125,,,
2015/9/24,0.528826409,1.223236505,-0.165583686,,,
2015/10/1,0.631779864,1.32618996,-0.062630232,,,
2015/10/8,0.607102068,1.301512164,-0.087308028,,,
2015/10/15,0.743878292,1.438288387,0.049468196,,,
2015/10/22,0.830168323,1.524578418,0.135758227,,,
2015/10/29,0.813647599,1.508057694,0.119237503,,,
2015/11/5,0.594121815,1.288531911,-0.100288281,,,
2015/11/12,0.604489391,1.298899487,-0.089920705,,,
2015/11/19,0.787329994,1.48174009,0.092919898,,,
2015/11/26,0.75472357,1.449133665,0.060313474,,,
2015/12/3,0.934137236,1.628547331,0.23972714,,,
2015/12/10,0.742734275,1.437144371,0.048324179,,,
2015/12/17,0.694449353,1.388859449,3.93E-05,,,
2015/12/24,0.591508409,1.285918505,-0.102901687,,,
