日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.51261416,1.019171043,0.006057277,,,
2013/1/8,0.464469404,0.971026287,-0.04208748,,,
2013/1/15,0.409775135,0.916332019,-0.096781748,,,
2013/1/22,0.527361175,1.033918058,0.020804292,,,
2013/1/29,0.325544611,0.832101494,-0.181012272,,,
2013/2/5,0.612712265,1.119269149,0.106155382,,,
2013/2/19,0.818429415,1.324986298,0.311872531,,,
2013/2/26,0.7908287,1.297385584,0.284271817,,,
2013/3/5,0.466381625,0.972938508,-0.040175258,,,
2013/3/12,0.483787191,0.990344074,-0.022769692,,,
2013/3/19,0.392987208,0.899544091,-0.113569675,,,
2013/3/26,0.874565447,1.38112233,0.368008564,,,
2013/4/2,0.387242416,0.8937993,-0.119314467,,,
2013/4/9,0.466789779,0.973346663,-0.039767104,,,
2013/4/16,0.487243379,0.993800262,-0.019313504,,,
2013/4/23,0.478388694,0.984945578,-0.028168189,,,
2013/4/30,0.466344486,0.972901369,-0.040212397,,,
2013/5/7,0.277538507,0.78409539,-0.229018376,,,
2013/5/14,0.43861635,0.945173234,-0.067940533,,,
2013/5/21,0.328101019,0.834657902,-0.178455864,,,
2013/5/28,0.404811714,0.911368597,-0.10174517,,,
2013/6/4,0.399005215,0.905562099,-0.107551668,,,
2013/6/11,0.342928101,0.849484984,-0.163628782,,,
2013/6/18,0.482290771,0.988847655,-0.024266112,,,
2013/6/25,0.381295468,0.887852351,-0.125261415,,,
2013/7/2,0.670438947,1.17699583,0.163882064,,,
2013/7/9,0.433520374,0.940077257,-0.073036509,,,
2013/7/16,0.344043131,0.850600014,-0.162513752,,,
2013/7/23,0.343644397,0.85020128,-0.162912486,,,
2013/7/30,0.275707951,0.782264835,-0.230848932,,,
2013/8/6,0.3348532,0.841410083,-0.171703684,,,
2013/8/13,0.358625214,0.865182097,-0.14793167,,,
2013/8/20,0.235862768,0.742419651,-0.270694115,,,
2013/8/27,0.242745885,0.749302768,-0.263810998,,,
2013/9/3,0.37455181,0.881108693,-0.132005073,,,
2013/9/10,0.246537431,0.753094315,-0.260019452,,,
2013/9/17,0.233738726,0.740295609,-0.272818158,,,
2013/9/24,0.848394912,1.354951795,0.341838029,,,
2013/10/1,0.566681055,1.073237939,0.060124172,,,
2013/10/8,0.387128206,0.893685089,-0.119428677,,,
2013/10/15,0.493506629,1.000063513,-0.013050254,,,
2013/10/22,0.426926976,0.933483859,-0.079629907,,,
2013/10/29,0.503177372,1.009734256,-0.003379511,,,
2013/11/5,0.52822621,1.034783093,0.021669326,,,
2013/11/12,0.378496412,0.885053296,-0.128060471,,,
2013/11/19,0.487024928,0.993581812,-0.019531955,,,
2013/11/26,0.202717662,0.709274546,-0.303839221,,,
2013/12/3,0.273349092,0.779905975,-0.233207792,,,
2013/12/10,0.278401843,0.784958727,-0.22815504,,,
2013/12/17,0.253878155,0.760435038,-0.252678729,,,
2013/12/24,0.417658673,0.924215556,-0.08889821,,,
2014/1/1,0.324088766,0.830645649,-0.182468118,,,
2014/1/8,0.327095662,0.833652545,-0.179461221,,,
2014/1/15,0.328926967,0.83548385,-0.177629916,,,
2014/1/22,0.264805608,0.771362491,-0.241751276,,,
2014/1/29,0.369016892,0.875573775,-0.137539992,,,
2014/2/5,0.358926892,0.865483775,-0.147629992,,,
2014/2/12,1.088525454,1.595082337,0.581968571,,,
2014/2/19,0.250247206,0.756804089,-0.256309677,,,
2014/2/26,0.376626393,0.883183276,-0.12993049,,,
2014/3/5,0.368032758,0.874589641,-0.138524125,,,
2014/3/12,0.308361391,0.814918274,-0.198195492,,,
2014/3/19,0.35597895,0.862535833,-0.150577933,,,
2014/3/26,0.256460865,0.763017749,-0.250096018,,,
2014/4/2,0.267620871,0.774177754,-0.238936013,,,
2014/4/9,0.343862579,0.850419462,-0.162694304,,,
2014/4/16,0.32200247,0.828559353,-0.184554413,,,
2014/4/23,0.160349104,0.666905987,-0.346207779,,,
2014/4/30,0.180833786,0.687390669,-0.325723097,,,
2014/5/7,0.249660858,0.756217741,-0.256896025,,,
2014/5/14,0.297192864,0.803749747,-0.20936402,,,
2014/5/21,0.309357578,0.815914461,-0.197199305,,,
2014/5/28,0.351977498,0.858534381,-0.154579386,,,
2014/6/4,0.293492608,0.800049491,-0.213064275,,,
2014/6/11,0.285006598,0.791563481,-0.221550285,,,
2014/6/18,0.263587533,0.770144416,-0.242969351,,,
2014/6/25,0.292971027,0.799527911,-0.213585856,,,
2014/7/2,0.328361279,0.834918162,-0.178195604,,,
2014/7/9,0.302567145,0.809124029,-0.203989738,,,
2014/7/16,0.309780876,0.81633776,-0.196776007,,,
2014/7/23,0.379638782,0.886195665,-0.126918102,,,
2014/7/30,0.48002468,0.986581563,-0.026532203,,,
2014/12/17,0.276812516,0.783369399,-0.229744367,,,
2014/12/24,0.364222549,0.870779432,-0.142334334,,,
2014/12/31,0.244353818,0.750910701,-0.262203066,,,
2015/1/1,0.521622485,1.028179368,0.015065602,,,
2015/1/8,0.332806952,0.839363836,-0.173749931,,,
2015/1/15,0.266303426,0.772860309,-0.240253457,,,
2015/1/22,0.314673915,0.821230798,-0.191882968,,,
2015/1/29,0.30800341,0.814560293,-0.198553474,,,
2015/2/5,0.259459567,0.76601645,-0.247097316,,,
2015/2/12,0.368268561,0.874825444,-0.138288322,,,
2015/2/19,0.1986019,0.705158783,-0.307954983,,,
2015/2/26,0.419246893,0.925803776,-0.08730999,,,
2015/3/5,0.614772985,1.121329869,0.108216102,,,
