日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.507852378,1.956394804,-0.940690047,,,
2013/1/8,0.243404617,1.691947042,-1.205137809,,,
2013/1/15,0.453412616,1.901955042,-0.995129809,,,
2013/1/22,0.415179847,1.863722273,-1.033362578,,,
2013/1/29,0.242513841,1.691056266,-1.206028585,,,
2013/2/5,0.314487845,1.763030271,-1.13405458,,,
2013/2/19,0.311202673,1.759745099,-1.137339752,,,
2013/2/26,0.314229929,1.762772355,-1.134312496,,,
2013/3/5,0.252459664,1.70100209,-1.196082761,,,
2013/3/12,0.246734129,1.695276554,-1.201808297,,,
2013/3/19,0.25891498,1.707457406,-1.189627445,,,
2013/3/26,0.212290042,1.660832467,-1.236252384,,,
2013/4/2,0.260055061,1.708597487,-1.188487364,,,
2013/4/9,0.572296295,2.020838721,-0.87624613,,,
2013/4/16,0.438601536,1.887143961,-1.00994089,,,
2013/4/23,0.330363735,1.77890616,-1.118178691,,,
2013/4/30,0.279831676,1.728374101,-1.16871075,,,
2013/5/7,0.355829642,1.804372067,-1.092712784,,,
2013/5/14,0.305809021,1.754351446,-1.142733405,,,
2013/5/21,0.255015986,1.703558411,-1.19352644,,,
2013/5/28,0.231587942,1.680130367,-1.216954484,,,
2013/6/4,0.259361947,1.707904373,-1.189180478,,,
2013/6/11,0.19638343,1.644925855,-1.252158996,,,
2013/6/18,0.185664253,1.634206679,-1.262878172,,,
2013/6/25,0.237562131,1.686104556,-1.210980295,,,
2013/7/2,0.315824991,1.764367417,-1.132717434,,,
2013/7/9,0.235458831,1.684001257,-1.213083594,,,
2013/7/16,0.214045868,1.662588294,-1.234496557,,,
2013/7/23,0.187407248,1.635949673,-1.261135178,,,
2013/7/30,0.190778386,1.639320812,-1.257764039,,,
2013/8/6,0.213954663,1.662497089,-1.234587762,,,
2013/8/13,0.213627251,1.662169676,-1.234915175,,,
2013/8/20,0.179711943,1.628254369,-1.268830482,,,
2013/8/27,0.18077472,1.629317145,-1.267767706,,,
2013/9/3,0.224947348,1.673489774,-1.223595077,,,
2013/9/10,0.162721215,1.611263641,-1.28582121,,,
2013/9/17,0.146875558,1.595417983,-1.301666868,,,
