日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.756883078,1.69533267,-0.181566513,,,
2013/1/8,0.633694518,1.572144109,-0.304755073,,,
2013/1/15,0.587634176,1.526083768,-0.350815415,,,
2013/1/22,0.662140712,1.600590304,-0.276308879,,,
2013/1/29,0.575431557,1.513881148,-0.363018034,,,
2013/2/5,0.497322111,1.435771702,-0.44112748,,,
2013/2/19,0.684200703,1.622650294,-0.254248888,,,
2013/2/26,0.556815677,1.495265268,-0.381633914,,,
2013/3/5,0.686696056,1.625145647,-0.251753536,,,
2013/3/12,0.798724323,1.737173915,-0.139725268,,,
2013/3/19,0.675903856,1.614353448,-0.262545735,,,
2013/3/26,0.773282224,1.711731816,-0.165167367,,,
2013/4/2,0.53621062,1.474660211,-0.402238972,,,
2013/4/9,0.622572257,1.561021848,-0.315877334,,,
2013/4/16,0.705047289,1.64349688,-0.233402302,,,
2013/4/23,0.559481077,1.497930669,-0.378968514,,,
2013/4/30,0.687491935,1.625941527,-0.250957656,,,
2013/5/7,0.402867372,1.341316963,-0.53558222,,,
2013/5/14,0.582547541,1.520997132,-0.35590205,,,
2013/5/21,0.691727466,1.630177057,-0.246722126,,,
2013/5/28,0.549812655,1.488262246,-0.388636936,,,
2013/6/4,0.758152593,1.696602184,-0.180296998,,,
2013/6/11,0.429827591,1.368277182,-0.508622001,,,
2013/6/18,0.556594345,1.495043936,-0.381855247,,,
2013/6/25,0.52619844,1.464648032,-0.412251151,,,
2013/7/2,0.667864554,1.606314146,-0.270585037,,,
2013/7/9,0.712188847,1.650638438,-0.226260744,,,
2013/7/16,0.591941889,1.53039148,-0.346507703,,,
2013/7/23,0.7918189,1.730268492,-0.146630691,,,
2013/7/30,0.708948293,1.647397885,-0.229501298,,,
2013/8/6,0.701653322,1.640102914,-0.236796269,,,
2013/8/13,0.824593079,1.763042671,-0.113856512,,,
2013/8/20,0.679682448,1.618132039,-0.258767144,,,
2013/8/27,0.653444047,1.591893639,-0.285005544,,,
2013/9/3,0.557571933,1.496021524,-0.380877658,,,
2013/9/10,0.566906918,1.505356509,-0.371542674,,,
2013/9/17,0.602577255,1.541026846,-0.335872337,,,
2013/9/24,0.759715885,1.698165476,-0.178733707,,,
2013/10/1,0.619890737,1.558340328,-0.318558855,,,
2013/10/8,0.483700008,1.422149599,-0.454749583,,,
2013/10/15,0.555273666,1.493723257,-0.383175926,,,
2013/10/22,0.597012258,1.535461849,-0.341437333,,,
2013/10/29,0.6581925,1.596642091,-0.280257091,,,
2013/11/5,0.497187104,1.435636695,-0.441262488,,,
2013/11/12,0.488917202,1.427366794,-0.449532389,,,
2013/11/19,0.629055198,1.567504789,-0.309394394,,,
2013/11/26,0.600068971,1.538518563,-0.33838062,,,
