日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.526385168,1.087266174,-0.034495839,,,
2013/1/8,0.274666348,0.835547355,-0.286214659,,,
2013/1/15,0.462318127,1.023199134,-0.09856288,,,
2013/1/22,0.54698869,1.107869697,-0.013892317,,,
2013/1/29,0.491959006,1.052840013,-0.068922001,,,
2013/2/5,0.377474876,0.938355883,-0.183406131,,,
2013/2/19,0.370995844,0.931876851,-0.189885163,,,
2013/2/26,0.332821953,0.89370296,-0.228059053,,,
2013/3/5,0.335085197,0.895966204,-0.22579581,,,
2013/3/12,0.310739352,0.871620359,-0.250141655,,,
2013/3/19,0.326641373,0.88752238,-0.234239634,,,
2013/3/26,0.421264987,0.982145994,-0.13961602,,,
2013/4/2,0.362347781,0.923228788,-0.198533226,,,
2013/4/9,0.263481584,0.824362591,-0.297399423,,,
2013/4/16,0.259076013,0.81995702,-0.301804994,,,
2013/4/23,0.291495912,0.852376919,-0.269385095,,,
2013/4/30,0.259948805,0.820829812,-0.300932202,,,
2013/5/7,0.247504946,0.808385953,-0.313376061,,,
2013/5/14,0.38573893,0.946619937,-0.175142077,,,
2013/5/21,0.242308801,0.803189808,-0.318572206,,,
2013/5/28,0.38077163,0.941652636,-0.180109377,,,
2013/6/4,0.238754552,0.799635559,-0.322126455,,,
2013/6/11,0.343366839,0.904247846,-0.217514168,,,
2013/6/18,0.201018056,0.761899063,-0.359862951,,,
2013/6/25,0.402097524,0.96297853,-0.158783483,,,
2013/7/2,0.182680666,0.743561673,-0.378200341,,,
2013/7/9,0.348698652,0.909579659,-0.212182355,,,
2013/7/16,0.163624445,0.724505452,-0.397256562,,,
2013/7/23,0.3377774,0.898658407,-0.223103607,,,
2013/7/30,0.272271233,0.83315224,-0.288609774,,,
2013/8/6,0.347980027,0.908861033,-0.21290098,,,
2013/8/13,0.336693829,0.897574836,-0.224187178,,,
2013/8/20,0.307099427,0.867980434,-0.25378158,,,
2013/8/27,0.322863093,0.8837441,-0.238017914,,,
2013/9/3,0.335851044,0.896732051,-0.225029963,,,
2013/9/10,0.306531078,0.867412085,-0.254349928,,,
2013/9/17,0.271381807,0.832262814,-0.289499199,,,
2013/9/24,0.359745868,0.920626875,-0.201135138,,,
2013/10/1,0.314554892,0.875435899,-0.246326115,,,
2013/10/8,0.311230163,0.87211117,-0.249650844,,,
2013/10/15,0.260810007,0.821691014,-0.300071,,,
2013/10/22,0.296063619,0.856944626,-0.264817388,,,
2013/10/29,0.293167151,0.854048158,-0.267713855,,,
2013/11/5,0.526806356,1.087687362,-0.034074651,,,
2013/11/12,0.295430331,0.856311338,-0.265450676,,,
2013/11/19,0.372938952,0.933819959,-0.187942054,,,
2013/11/26,0.374689418,0.935570425,-0.186191588,,,
2013/12/3,0.433410384,0.994291391,-0.127470623,,,
2013/12/10,0.364732143,0.92561315,-0.196148863,,,
2013/12/17,0.405932075,0.966813082,-0.154948932,,,
2013/12/24,0.3339406,0.894821607,-0.226940407,,,
2014/1/1,0.463200994,1.024082,-0.097680013,,,
2014/1/8,0.396771551,0.957652558,-0.164109455,,,
2014/1/15,0.325313348,0.886194354,-0.235567659,,,
2014/1/22,0.285997998,0.846879004,-0.274883009,,,
2014/1/29,0.43832567,0.999206676,-0.122555337,,,
2014/2/5,0.55977658,1.120657587,-0.001104427,,,
2014/2/12,0.577484742,1.138365749,0.016603735,,,
2014/2/19,0.380844768,0.941725775,-0.180036239,,,
2014/2/26,0.352333433,0.91321444,-0.208547574,,,
2014/3/5,0.468312968,1.029193975,-0.092568039,,,
2014/3/12,0.513262311,1.074143318,-0.047618696,,,
2014/3/19,0.305279025,0.866160032,-0.255601981,,,
2014/3/26,0.335324208,0.896205214,-0.225556799,,,
2014/4/2,0.410800394,0.9716814,-0.150080613,,,
2014/4/9,0.485811659,1.046692666,-0.075069347,,,
2014/4/16,0.509749957,1.070630964,-0.05113105,,,
2014/4/23,0.331758668,0.892639675,-0.229122339,,,
2014/4/30,0.382157212,0.943038219,-0.178723795,,,
2014/5/7,0.412865624,0.973746631,-0.148015382,,,
2014/5/14,0.404463751,0.965344757,-0.156417256,,,
