日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.752826574,2.631791019,-1.12613787,,,
2013/1/8,0.749913985,2.628878429,-1.129050459,,,
2013/1/15,0.75043863,2.629403075,-1.128525814,,,
2013/1/22,0.754068528,2.633032972,-1.124895916,,,
2013/1/29,0.773534829,2.652499273,-1.105429615,,,
2013/2/5,0.770478656,2.649443101,-1.108485788,,,
2013/2/19,0.787621071,2.666585515,-1.091343374,,,
2013/2/26,0.779170534,2.658134978,-1.09979391,,,
2013/3/5,0.787853135,2.666817579,-1.091111309,,,
2013/3/12,0.78311392,2.662078364,-1.095850524,,,
2013/3/19,0.739622435,2.618586879,-1.139342009,,,
2013/3/26,0.723942115,2.602906559,-1.155022329,,,
2013/4/2,0.718759218,2.597723662,-1.160205227,,,
2013/4/9,0.74542543,2.624389874,-1.133539014,,,
2013/4/16,0.74289842,2.621862864,-1.136066024,,,
2013/4/23,0.729920856,2.6088853,-1.149043589,,,
2013/4/30,0.721976118,2.600940562,-1.156988326,,,
2013/5/7,0.727289193,2.606253637,-1.151675251,,,
2013/5/14,0.726044541,2.605008985,-1.152919903,,,
2013/5/21,0.740595704,2.619560148,-1.13836874,,,
2013/5/28,0.716824388,2.595788832,-1.162140057,,,
2013/6/4,0.721142831,2.600107275,-1.157821613,,,
2013/6/11,0.701660422,2.580624866,-1.177304022,,,
2013/6/18,0.705725667,2.584690111,-1.173238777,,,
2013/6/25,0.695156743,2.574121187,-1.183807701,,,
2013/7/2,0.714379916,2.59334436,-1.164584528,,,
2013/7/9,0.698821285,2.577785729,-1.18014316,,,
2013/7/16,0.707390777,2.586355222,-1.171573667,,,
2013/7/23,0.710865838,2.589830282,-1.168098607,,,
2013/7/30,0.737196292,2.616160737,-1.141768152,,,
2013/8/6,0.730702613,2.609667058,-1.148261831,,,
2013/8/13,0.746021584,2.624986028,-1.13294286,,,
2013/8/20,0.719032454,2.597996899,-1.15993199,,,
2013/8/27,0.711367052,2.590331497,-1.167597392,,,
2013/9/3,0.709295656,2.5882601,-1.169668788,,,
2013/9/10,0.699192694,2.578157138,-1.17977175,,,
2013/9/17,0.705984899,2.584949343,-1.172979546,,,
2013/9/24,0.720514681,2.599479126,-1.158449763,,,
2013/10/1,0.737277814,2.616242258,-1.14168663,,,
2013/10/8,0.759454555,2.638418999,-1.119509889,,,
2013/10/15,0.761959392,2.640923836,-1.117005052,,,
2013/10/22,0.753849059,2.632813503,-1.125115385,,,
2013/10/29,0.754514345,2.633478789,-1.1244501,,,
2013/11/5,0.721001195,2.599965639,-1.15796325,,,
2013/11/12,0.728481861,2.607446306,-1.150482583,,,
2013/11/19,0.7061574,2.585121844,-1.172807045,,,
2013/11/26,0.720938619,2.599903063,-1.158025826,,,
2013/12/3,0.781547858,2.660512302,-1.097416586,,,
2013/12/10,0.779945317,2.658909762,-1.099019127,,,
2013/12/17,0.785153576,2.66411802,-1.093810868,,,
2013/12/24,0.777473291,2.656437736,-1.101491153,,,
2014/1/1,0.736770043,2.615734487,-1.142194401,,,
2014/1/8,0.746218734,2.625183179,-1.13274571,,,
2014/1/15,0.736863688,2.615828133,-1.142100756,,,
2014/1/22,0.73466736,2.613631805,-1.144297084,,,
2014/1/29,0.767878801,2.646843245,-1.111085644,,,
2014/2/5,0.764796417,2.643760861,-1.114168027,,,
2014/2/12,0.768654842,2.647619286,-1.110309603,,,
2014/2/19,0.739290762,2.618255206,-1.139673682,,,
2014/2/26,0.732715369,2.611679813,-1.146249076,,,
2014/3/5,0.725173259,2.604137703,-1.153791185,,,
2014/3/12,0.726767375,2.605731819,-1.152197069,,,
2014/3/19,0.764689757,2.643654201,-1.114274687,,,
2014/3/26,0.76104567,2.640010115,-1.117918774,,,
2014/4/2,0.766487814,2.645452259,-1.11247663,,,
2014/4/9,0.765165881,2.644130326,-1.113798563,,,
2014/4/16,0.747929993,2.626894437,-1.131034451,,,
2014/4/23,0.725489631,2.604454075,-1.153474814,,,
2014/4/30,0.720039447,2.599003892,-1.158924997,,,
2014/5/7,0.719287437,2.598251881,-1.159677007,,,
2014/5/14,0.716768414,2.595732858,-1.16219603,,,
2014/5/21,0.743793734,2.622758178,-1.13517071,,,
2014/5/28,0.752998312,2.631962756,-1.125966133,,,
2014/6/4,0.749934471,2.628898915,-1.129029973,,,
2014/6/11,0.745215943,2.624180387,-1.133748502,,,
2014/6/18,0.740451582,2.619416027,-1.138512862,,,
2014/6/25,0.735076607,2.614041051,-1.143887838,,,
2014/7/2,0.745363251,2.624327696,-1.133601193,,,
2014/7/9,0.747854283,2.626818727,-1.131110162,,,
2014/7/16,0.751854748,2.630819192,-1.127109696,,,
2014/7/23,0.73896695,2.617931394,-1.139997494,,,
2014/7/30,0.744258968,2.623223412,-1.134705477,,,
2014/12/17,0.730978929,2.609943373,-1.147985515,,,
2014/12/24,0.733236396,2.612200841,-1.145728048,,,
2014/12/31,0.733664647,2.612629091,-1.145299797,,,
2015/1/1,0.732484774,2.611449219,-1.14647967,,,
2015/1/8,0.738411773,2.617376218,-1.140552671,,,
2015/1/15,0.734968433,2.613932877,-1.143996011,,,
2015/1/22,0.742892676,2.62185712,-1.136071768,,,
2015/1/29,0.709395298,2.588359742,-1.169569146,,,
2015/2/5,0.721381669,2.600346113,-1.157582775,,,
2015/2/12,0.726970449,2.605934893,-1.151993996,,,
2015/2/19,0.736197221,2.615161666,-1.142767223,,,
2015/2/26,0.743904432,2.622868876,-1.135060012,,,
2015/3/5,0.756339187,2.635303631,-1.122625258,,,
2015/3/12,0.740576166,2.61954061,-1.138388278,,,
2015/3/19,0.772211838,2.651176283,-1.106752606,,,
2015/3/26,0.736329684,2.615294128,-1.14263476,,,
2015/4/2,0.789334098,2.668298542,-1.089630346,,,
2015/4/9,0.760738445,2.639702889,-1.118225999,,,
2015/4/16,0.788942647,2.667907091,-1.090021798,,,
2015/4/23,0.749972389,2.628936833,-1.128992056,,,
2015/4/30,0.695868844,2.574833288,-1.1830956,,,
2015/5/7,0.728441303,2.607405748,-1.150523141,,,
2015/5/14,0.745754135,2.624718579,-1.133210309,,,
2015/5/21,0.742077149,2.621041593,-1.136887295,,,
2015/5/28,0.782359616,2.661324061,-1.096604828,,,
2015/6/4,0.737815887,2.616780331,-1.141148557,,,
2015/6/11,0.762246191,2.641210636,-1.116718253,,,
2015/6/18,0.750647715,2.62961216,-1.128316729,,,
2015/6/25,0.743159575,2.622124019,-1.135804869,,,
2015/7/2,0.727138221,2.606102666,-1.151826223,,,
2015/7/9,0.725527602,2.604492046,-1.153436843,,,
2015/7/16,0.71670113,2.595665574,-1.162263315,,,
2015/7/23,0.72139771,2.600362155,-1.157566734,,,
2015/7/30,0.73294773,2.611912174,-1.146016715,,,
2015/8/6,0.732060725,2.61102517,-1.146903719,,,
2015/8/13,0.731131667,2.610096112,-1.147832777,,,
2015/8/20,0.724101803,2.603066247,-1.154862642,,,
2015/8/27,0.717467309,2.596431753,-1.161497136,,,
2015/9/3,0.720560899,2.599525343,-1.158403545,,,
2015/9/10,0.735594014,2.614558458,-1.14337043,,,
2015/9/17,0.733974723,2.612939167,-1.144989721,,,
2015/9/24,0.731793838,2.610758283,-1.147170606,,,
2015/10/1,0.712367424,2.591331869,-1.16659702,,,
2015/10/8,0.70838512,2.587349564,-1.170579324,,,
2015/10/15,0.711770751,2.590735195,-1.167193693,,,
2015/10/22,0.731828311,2.610792755,-1.147136133,,,
2015/10/29,0.72604208,2.605006524,-1.152922364,,,
2015/11/5,0.718887327,2.597851771,-1.160077117,,,
2015/11/12,0.730179886,2.60914433,-1.148784558,,,
2015/11/19,0.730363006,2.60932745,-1.148601438,,,
2015/11/26,0.738973846,2.61793829,-1.139990598,,,
2015/12/3,0.730171118,2.609135562,-1.148793326,,,
2015/12/10,0.716279037,2.595243481,-1.162685408,,,
2015/12/17,0.716832831,2.595797276,-1.162131613,,,
2015/12/24,0.712157354,2.591121798,-1.16680709,,,
2015/12/31,0.718652658,2.597617102,-1.160311787,,,
2016/1/8,0.700233416,2.57919786,-1.178731028,,,
2016/1/15,0.69577786,2.574742304,-1.183186584,,,
