日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.690979613,1.402097217,-0.02013799,,,
2013/1/8,0.639255053,1.350372656,-0.071862551,,,
2013/1/15,0.671811887,1.382929491,-0.039305717,,,
2013/1/22,0.852525377,1.56364298,0.141407773,,,
2013/1/29,0.960971394,1.672088998,0.24985379,,,
2013/2/5,0.919215905,1.630333508,0.208098301,,,
2013/2/19,0.906575869,1.617693473,0.195458266,,,
2013/2/26,1.090294747,1.80141235,0.379177143,,,
2013/3/5,1.151465619,1.862583222,0.440348015,,,
2013/3/12,0.907299786,1.61841739,0.196182183,,,
2013/3/19,1.160529315,1.871646919,0.449411712,,,
2013/3/26,0.850053788,1.561171391,0.138936184,,,
2013/4/2,0.875876875,1.586994479,0.164759271,,,
2013/4/9,1.156031069,1.867148672,0.444913465,,,
2013/4/16,0.807672337,1.51878994,0.096554733,,,
2013/4/23,0.850703484,1.561821088,0.139585881,,,
2013/4/30,0.673834416,1.384952019,-0.037283188,,,
2013/5/7,0.766783304,1.477900907,0.0556657,,,
2013/5/14,0.679426355,1.390543959,-0.031691249,,,
2013/5/21,0.812111115,1.523228718,0.100993511,,,
2013/5/28,0.665071355,1.376188959,-0.046046248,,,
2013/6/4,0.68251053,1.393628133,-0.028607074,,,
2013/6/11,0.721108237,1.432225841,0.009990633,,,
2013/6/18,0.579318583,1.290436187,-0.13179902,,,
2013/6/25,0.565739495,1.276857099,-0.145378108,,,
2013/7/2,0.610770292,1.321887895,-0.100347312,,,
2013/7/9,0.740649801,1.451767405,0.029532198,,,
2013/7/16,0.650609727,1.361727331,-0.060507876,,,
2013/7/23,0.606472745,1.317590349,-0.104644859,,,
2013/7/30,0.663261131,1.374378734,-0.047856473,,,
2013/8/6,0.680100155,1.391217759,-0.031017449,,,
2013/8/13,0.780139369,1.491256973,0.069021765,,,
2013/8/20,0.634921172,1.346038776,-0.076196432,,,
2013/8/27,0.638715723,1.349833327,-0.072401881,,,
2013/9/3,0.719890779,1.431008383,0.008773175,,,
2013/9/10,0.760076854,1.471194458,0.04895925,,,
2013/9/17,0.594630807,1.30574841,-0.116486797,,,
2013/9/24,0.748933775,1.460051379,0.037816171,,,
2013/10/1,0.577569956,1.28868756,-0.133547647,,,
2013/10/8,0.714942242,1.426059846,0.003824638,,,
2013/10/15,0.566793338,1.277910942,-0.144324265,,,
2013/10/22,0.49836042,1.209478023,-0.212757184,,,
2013/10/29,0.652987901,1.364105505,-0.058129703,,,
2013/11/5,0.507981726,1.21909933,-0.203135877,,,
2013/11/12,0.629559131,1.340676735,-0.081558473,,,
2013/11/19,0.411697116,1.12281472,-0.299420487,,,
2013/11/26,0.595525337,1.306642941,-0.115592267,,,
2013/12/3,0.657023784,1.368141388,-0.05409382,,,
2013/12/10,0.631453113,1.342570717,-0.079664491,,,
2013/12/17,0.696568831,1.407686435,-0.014548773,,,
2013/12/24,0.620190893,1.331308497,-0.09092671,,,
2014/1/1,0.638277185,1.349394789,-0.072840419,,,
2014/1/8,0.590578067,1.301695671,-0.120539537,,,
2014/1/15,0.657167146,1.36828475,-0.053950458,,,
2014/1/22,0.618082621,1.329200224,-0.093034983,,,
2014/1/29,0.62548416,1.336601764,-0.085633444,,,
2014/2/5,0.587915796,1.299033399,-0.123201808,,,
2014/2/12,0.483203555,1.194321159,-0.227914049,,,
2014/2/19,0.486930594,1.198048198,-0.22418701,,,
2014/2/26,0.512298086,1.22341569,-0.198819517,,,
2014/3/5,0.523308005,1.234425609,-0.187809598,,,
2014/3/12,0.555179489,1.266297093,-0.155938115,,,
2014/3/19,0.593403637,1.304521241,-0.117713966,,,
2014/3/26,0.539541576,1.25065918,-0.171576028,,,
2014/4/2,0.528832152,1.239949755,-0.182285452,,,
2014/4/9,0.486321422,1.197439026,-0.224796182,,,
2014/4/16,0.61103222,1.322149824,-0.100085384,,,
2014/4/23,0.564311243,1.275428846,-0.146806361,,,
2014/4/30,0.57210862,1.283226224,-0.139008984,,,
2014/5/7,0.493479885,1.204597489,-0.217637718,,,
2014/5/14,0.555285839,1.266403443,-0.155831765,,,
2014/5/21,0.639822495,1.350940099,-0.071295109,,,
2014/5/28,0.503858758,1.214976362,-0.207258845,,,
2014/6/4,0.624661605,1.335779209,-0.086455999,,,
2014/6/11,0.487040838,1.198158441,-0.224076766,,,
2014/6/18,0.625688647,1.336806251,-0.085428956,,,
2014/6/25,0.582996267,1.29411387,-0.128121337,,,
2014/7/2,0.54080263,1.251920234,-0.170314973,,,
2014/7/9,0.630473025,1.341590629,-0.080644579,,,
2014/7/16,0.587191887,1.298309491,-0.123925717,,,
2014/7/23,0.61326694,1.324384544,-0.097850664,,,
2014/7/30,0.509258946,1.22037655,-0.201858658,,,
2014/12/17,0.593558697,1.304676301,-0.117558907,,,
2014/12/24,0.51813406,1.229251663,-0.192983544,,,
2014/12/31,0.521982896,1.2331005,-0.189134708,,,
2015/1/1,0.527765944,1.238883548,-0.18335166,,,
2015/1/8,0.449164654,1.160282258,-0.26195295,,,
2015/1/15,0.550214415,1.261332018,-0.160903189,,,
2015/1/22,0.471623837,1.182741441,-0.239493766,,,
2015/1/29,0.563114078,1.274231682,-0.148003526,,,
2015/2/5,0.490908077,1.20202568,-0.220209527,,,
2015/2/12,0.545689946,1.256807549,-0.165427658,,,
2015/2/19,0.466276791,1.177394395,-0.244840813,,,
2015/2/26,0.49878389,1.209901494,-0.212333714,,,
2015/3/5,0.621071848,1.332189452,-0.090045755,,,
2015/3/12,0.483994435,1.195112039,-0.227123169,,,
2015/3/19,0.648917647,1.360035251,-0.062199956,,,
2015/3/26,0.570195839,1.281313443,-0.140921765,,,
2015/4/2,0.553698049,1.264815652,-0.157419555,,,
2015/4/9,0.591286724,1.302404328,-0.11983088,,,
2015/4/16,0.514473471,1.225591074,-0.196644133,,,
2015/4/23,0.594221656,1.305339259,-0.116895948,,,
2015/4/30,0.588275298,1.299392902,-0.122842305,,,
2015/5/7,0.614134757,1.325252361,-0.096982847,,,
2015/5/14,0.577132242,1.288249846,-0.133985362,,,
2015/5/21,0.643378535,1.354496139,-0.067739069,,,
2015/5/28,0.650803865,1.361921469,-0.060313738,,,
2015/6/4,0.598793265,1.309910869,-0.112324339,,,
2015/6/11,0.585671802,1.296789406,-0.125445802,,,
2015/6/18,0.616891153,1.328008757,-0.094226451,,,
2015/6/25,0.574461147,1.285578751,-0.136656457,,,
2015/7/2,0.557489244,1.268606847,-0.15362836,,,
2015/7/9,0.49256378,1.203681384,-0.218553824,,,
2015/7/16,0.544777848,1.255895452,-0.166339756,,,
2015/7/23,0.526365431,1.237483035,-0.184752173,,,
2015/7/30,0.486144306,1.19726191,-0.224973297,,,
2015/8/6,0.513379103,1.224496707,-0.1977385,,,
2015/8/13,0.452515162,1.163632766,-0.258602441,,,
2015/8/20,0.633318867,1.344436471,-0.077798737,,,
2015/8/27,0.53152519,1.242642794,-0.179592414,,,
2015/9/3,0.510931616,1.22204922,-0.200185988,,,
2015/9/10,0.536713537,1.247831141,-0.174404066,,,
2015/9/17,0.575258174,1.286375778,-0.13585943,,,
2015/9/24,0.572177631,1.283295234,-0.138939973,,,
2015/10/1,0.492912881,1.204030485,-0.218204723,,,
2015/10/8,0.532640215,1.243757819,-0.178477389,,,
2015/10/15,0.541408389,1.252525992,-0.169709215,,,
2015/10/22,0.551483318,1.262600922,-0.159634286,,,
2015/10/29,0.543412508,1.254530111,-0.167705096,,,
2015/11/5,0.527063602,1.238181206,-0.184054001,,,
2015/11/12,0.515929906,1.22704751,-0.195187698,,,
2015/11/19,0.538439294,1.249556898,-0.172678309,,,
2015/11/26,0.520120524,1.231238128,-0.190997079,,,
2015/12/3,0.520102121,1.231219725,-0.191015483,,,
2015/12/10,0.60650936,1.317626964,-0.104608244,,,
2015/12/17,0.505558862,1.216676466,-0.205558742,,,
2015/12/24,0.528336544,1.239454148,-0.18278106,,,
2015/12/31,0.461129631,1.172247235,-0.249987973,,,
2016/1/8,0.453457833,1.164575437,-0.257659771,,,
2016/1/15,0.534841659,1.245959263,-0.176275944,,,
2016/1/22,0.462287581,1.173405184,-0.248830023,,,
