日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.561648965,1.252380435,-0.129082504,,,
2013/1/8,0.424097,1.114828469,-0.26663447,,,
2013/1/15,0.445700731,1.136432201,-0.245030738,,,
2013/1/22,0.415843141,1.10657461,-0.274888329,,,
2013/1/29,0.432204342,1.122935811,-0.258527128,,,
2013/2/5,0.512170753,1.202902223,-0.178560716,,,
2013/2/19,0.376818675,1.067550145,-0.313912794,,,
2013/2/26,0.405046207,1.095777676,-0.285685263,,,
2013/3/5,0.353301811,1.044033281,-0.337429658,,,
2013/3/12,0.298384092,0.989115562,-0.392347377,,,
2013/3/19,0.366474033,1.057205502,-0.324257437,,,
2013/3/26,0.288364983,0.979096453,-0.402366486,,,
2013/4/2,0.3050655,0.99579697,-0.385665969,,,
2013/4/9,0.296303133,0.987034602,-0.394428337,,,
2013/4/16,0.318050345,1.008781815,-0.372681124,,,
2013/4/23,0.321556461,1.01228793,-0.369175009,,,
2013/4/30,0.320222653,1.010954122,-0.370508817,,,
2013/5/7,0.291640304,0.982371774,-0.399091165,,,
2013/5/14,0.300886651,0.991618121,-0.389844818,,,
2013/5/21,0.297690382,0.988421852,-0.393041087,,,
2013/5/28,0.297902997,0.988634466,-0.392828473,,,
2013/6/4,0.364938657,1.055670126,-0.325792813,,,
2013/6/11,0.321563036,1.012294506,-0.369168433,,,
2013/6/18,0.336777528,1.027508997,-0.353953942,,,
2013/6/25,0.326742107,1.017473577,-0.363989362,,,
2013/7/2,0.307131467,0.997862936,-0.383600003,,,
2013/7/9,0.452490397,1.143221866,-0.238241073,,,
2013/7/16,0.452386938,1.143118408,-0.238344531,,,
2013/7/23,0.452258124,1.142989593,-0.238473346,,,
2013/7/30,0.474533733,1.165265203,-0.216197736,,,
2013/8/6,0.409625199,1.100356668,-0.281106271,,,
2013/8/13,0.530082831,1.220814301,-0.160648638,,,
2013/8/20,0.53533931,1.22607078,-0.155392159,,,
2013/8/27,0.499906951,1.190638421,-0.190824518,,,
2013/9/3,0.484466488,1.175197958,-0.206264981,,,
2013/9/10,0.423010352,1.113741821,-0.267721118,,,
2013/9/17,0.42455282,1.11528429,-0.266178649,,,
2013/9/24,0.4231399,1.113871369,-0.26759157,,,
2013/10/1,0.416678371,1.10740984,-0.274053099,,,
2013/10/8,0.372134052,1.062865521,-0.318597418,,,
2013/10/15,0.362538346,1.053269816,-0.328193123,,,
2013/10/22,0.32693348,1.01766495,-0.363797989,,,
2013/10/29,0.326779089,1.017510558,-0.363952381,,,
2013/11/5,0.335407893,1.026139362,-0.355323577,,,
2013/11/12,0.344336369,1.035067839,-0.3463951,,,
2013/11/19,0.373505607,1.064237077,-0.317225862,,,
2013/11/26,0.354282477,1.045013946,-0.336448993,,,
2013/12/3,0.333377453,1.024108922,-0.357354017,,,
2013/12/10,0.394142666,1.084874136,-0.296588803,,,
2013/12/17,0.377332927,1.068064397,-0.313398542,,,
2013/12/24,0.432125003,1.122856473,-0.258606466,,,
2014/1/1,0.421623636,1.112355105,-0.269107834,,,
2014/1/8,0.424772462,1.115503931,-0.265959008,,,
2014/1/15,0.437078515,1.127809985,-0.253652954,,,
2014/1/22,0.41826478,1.10899625,-0.272466689,,,
2014/1/29,0.424205262,1.114936732,-0.266526207,,,
2014/2/5,0.3967086,1.087440069,-0.29402287,,,
2014/2/12,0.438718584,1.129450053,-0.252012886,,,
2014/2/19,0.378788112,1.069519582,-0.311943357,,,
2014/2/26,0.391288756,1.082020225,-0.299442714,,,
2014/3/5,0.396056373,1.086787842,-0.294675097,,,
2014/3/12,0.393864804,1.084596273,-0.296866666,,,
2014/3/19,0.44752838,1.13825985,-0.243203089,,,
2014/3/26,0.413090814,1.103822284,-0.277640655,,,
2014/4/2,0.452308907,1.143040377,-0.238422562,,,
2014/4/9,0.415281948,1.106013418,-0.275449521,,,
2014/4/16,0.434537093,1.125268563,-0.256194376,,,
2014/4/23,0.431890774,1.122622244,-0.258840695,,,
2014/4/30,0.401572037,1.092303506,-0.289159433,,,
2014/5/7,0.413301855,1.104033325,-0.277429614,,,
2014/5/14,0.367123178,1.057854648,-0.323608291,,,
2014/5/21,0.386858042,1.077589512,-0.303873427,,,
2014/5/28,0.397453991,1.088185461,-0.293277478,,,
2014/6/4,0.373435301,1.06416677,-0.317296169,,,
2014/6/11,0.43634762,1.127079089,-0.25438385,,,
2014/6/18,0.429110625,1.119842095,-0.261620844,,,
2014/6/25,0.427221335,1.117952805,-0.263510134,,,
2014/7/2,0.435110399,1.125841868,-0.255621071,,,
2014/7/9,0.416243453,1.106974922,-0.274488017,,,
2014/7/16,0.406095518,1.096826988,-0.284635951,,,
2014/7/23,0.409820608,1.100552077,-0.280910862,,,
2014/7/30,0.380954475,1.071685944,-0.309776995,,,
2014/12/17,0.432949137,1.123680607,-0.257782332,,,
2014/12/24,0.41482122,1.105552689,-0.27591025,,,
2014/12/31,0.382697688,1.073429158,-0.308033781,,,
2015/1/1,0.418596625,1.109328095,-0.272134844,,,
2015/1/8,0.402358885,1.093090355,-0.288372584,,,
2015/1/15,0.436529236,1.127260706,-0.254202233,,,
2015/1/22,0.409449496,1.100180965,-0.281281974,,,
2015/1/29,0.383321967,1.074053437,-0.307409502,,,
2015/2/5,0.425264942,1.115996411,-0.265466528,,,
2015/2/12,0.434798023,1.125529493,-0.255933446,,,
2015/2/19,0.436170137,1.126901607,-0.254561332,,,
2015/2/26,0.357204812,1.047936281,-0.333526658,,,
2015/3/5,0.434847911,1.12557938,-0.255883559,,,
2015/3/12,0.440280065,1.131011535,-0.250451404,,,
2015/3/19,0.533865298,1.224596767,-0.156866172,,,
2015/3/26,0.552520954,1.243252423,-0.138210516,,,
2015/4/2,0.564360739,1.255092208,-0.126370731,,,
2015/4/9,0.590644028,1.281375498,-0.100087441,,,
2015/4/16,0.580776624,1.271508093,-0.109954846,,,
2015/4/23,0.641877892,1.332609362,-0.048853577,,,
2015/4/30,0.566975377,1.257706847,-0.123756092,,,
2015/5/7,0.574829675,1.265561144,-0.115901795,,,
2015/5/14,0.584022425,1.274753895,-0.106709044,,,
2015/5/21,0.556150006,1.246881475,-0.134581464,,,
2015/5/28,0.598914976,1.289646445,-0.091816494,,,
2015/6/4,0.584019908,1.274751377,-0.106711562,,,
2015/6/11,0.533366474,1.224097943,-0.157364996,,,
2015/6/18,0.579626691,1.270358161,-0.111104778,,,
2015/6/25,0.566318262,1.257049731,-0.124413208,,,
2015/7/2,0.561443307,1.252174776,-0.129288163,,,
2015/7/9,0.591579316,1.282310785,-0.099152154,,,
2015/7/16,0.481928187,1.172659656,-0.208803283,,,
2015/7/23,0.54069422,1.231425689,-0.15003725,,,
2015/7/30,0.529601033,1.220332502,-0.161130437,,,
2015/8/6,0.545284604,1.236016073,-0.145446866,,,
2015/8/13,0.542338113,1.233069582,-0.148393357,,,
2015/8/20,0.491282118,1.182013588,-0.199449351,,,
2015/8/27,0.590152312,1.280883781,-0.100579158,,,
2015/9/3,0.545084937,1.235816407,-0.145646532,,,
2015/9/10,0.499567089,1.190298558,-0.191164381,,,
2015/9/17,0.496154076,1.186885545,-0.194577394,,,
2015/9/24,0.424509793,1.115241263,-0.266221676,,,
2015/10/1,0.529240726,1.219972195,-0.161490744,,,
2015/10/8,0.542875546,1.233607016,-0.147855923,,,
2015/10/15,0.498138651,1.18887012,-0.192592819,,,
2015/10/22,0.522858386,1.213589855,-0.167873084,,,
2015/10/29,0.56779621,1.258527679,-0.12293526,,,
2015/11/5,0.627763571,1.318495041,-0.062967898,,,
2015/11/12,0.607357425,1.298088894,-0.083374045,,,
2015/11/19,0.629141974,1.319873443,-0.061589496,,,
2015/11/26,0.619036612,1.309768081,-0.071694858,,,
2015/12/3,0.65924942,1.349980889,-0.03148205,,,
2015/12/10,0.678100205,1.368831674,-0.012631265,,,
2015/12/17,0.646658133,1.337389602,-0.044073337,,,
2015/12/24,0.610181297,1.300912766,-0.080550173,,,
2015/12/31,0.561956797,1.252688266,-0.128774673,,,
2016/1/8,0.603473398,1.294204868,-0.087258071,,,
2016/1/15,0.553848072,1.244579542,-0.136883397,,,
2016/1/22,0.511946063,1.202677532,-0.178785407,,,
2016/1/29,0.539955985,1.230687455,-0.150775484,,,
2016/2/5,0.545598421,1.236329891,-0.145133048,,,
2016/2/12,0.596076663,1.286808132,-0.094654807,,,
2016/2/19,0.658423077,1.349154547,-0.032308392,,,
2016/2/26,0.613977352,1.304708822,-0.076754117,,,
2016/3/4,0.565193932,1.255925401,-0.125537538,,,
2016/3/11,0.672513965,1.363245434,-0.018217505,,,
2016/3/18,0.647865613,1.338597083,-0.042865856,,,
2016/3/25,0.754044631,1.4447761,0.063313161,,,
2016/4/1,0.7873388,1.47807027,0.096607331,,,
2016/4/8,0.773736577,1.464468046,0.083005107,,,
2016/4/15,0.836462998,1.527194468,0.145731529,,,
2016/4/22,0.771435277,1.462166747,0.080703808,,,
2016/4/29,0.795858624,1.486590093,0.105127154,,,
2016/5/6,0.69817261,1.38890408,0.007441141,,,
2016/5/13,0.693798695,1.384530164,0.003067225,,,
2016/5/20,0.658875529,1.349606999,-0.03185594,,,
2016/5/27,0.652384974,1.343116444,-0.038346495,,,
2016/6/3,0.650856367,1.341587837,-0.039875102,,,
