日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.612688589,1.406570098,-0.181192921,,,
2013/1/8,0.525813411,1.319694921,-0.268068098,,,
2013/1/15,1.369682491,2.163564001,0.575800982,,,
2013/1/22,1.973937788,2.767819298,1.180056279,,,
2013/1/29,1.473848304,2.267729814,0.679966795,,,
2013/2/5,1.433758104,2.227639613,0.639876594,,,
2013/2/19,1.355418756,2.149300265,0.561537246,,,
2013/2/26,1.145666132,1.939547641,0.351784622,,,
2013/3/5,1.159268793,1.953150302,0.365387283,,,
2013/3/12,1.655917513,2.449799022,0.862036003,,,
2013/3/19,0.829909974,1.623791483,0.036028464,,,
2013/3/26,1.086788046,1.880669556,0.292906537,,,
2013/4/2,0.807808978,1.601690487,0.013927468,,,
2013/4/9,0.469178298,1.263059808,-0.324703211,,,
2013/4/16,0.848721361,1.64260287,0.054839851,,,
2013/4/23,0.792036182,1.585917691,-0.001845328,,,
2013/4/30,0.582084887,1.375966396,-0.211796623,,,
2013/5/7,0.398654531,1.19253604,-0.395226979,,,
2013/5/14,0.512743429,1.306624939,-0.28113808,,,
2013/5/21,0.507578326,1.301459836,-0.286303183,,,
2013/5/28,0.733293599,1.527175109,-0.06058791,,,
2013/6/4,0.638748772,1.432630281,-0.155132738,,,
2013/6/11,0.719314922,1.513196432,-0.074566587,,,
2013/6/18,0.43068932,1.22457083,-0.363192189,,,
2013/6/25,0.528097603,1.321979112,-0.265783907,,,
2013/7/2,0.498367734,1.292249244,-0.295513775,,,
2013/7/9,0.601524701,1.39540621,-0.192356809,,,
2013/7/16,0.628891564,1.422773074,-0.164989945,,,
2013/7/23,0.672933747,1.466815256,-0.120947763,,,
2013/7/30,0.382358223,1.176239732,-0.411523287,,,
2013/8/6,0.628500963,1.422382472,-0.165380547,,,
2013/8/13,0.719237281,1.513118791,-0.074644228,,,
2013/8/20,0.365766984,1.159648493,-0.428114526,,,
2013/8/27,0.669841046,1.463722555,-0.124040464,,,
2013/9/3,0.770955689,1.564837198,-0.022925821,,,
2013/9/10,0.325177031,1.119058541,-0.468704478,,,
2013/9/17,0.85635605,1.65023756,0.062474541,,,
2013/9/24,0.407927661,1.201809171,-0.385953849,,,
2013/10/1,0.425098503,1.218980012,-0.368783007,,,
2013/10/8,0.429142178,1.223023687,-0.364739332,,,
2013/10/15,0.592327992,1.386209502,-0.201553517,,,
2013/10/22,0.319659341,1.11354085,-0.474222169,,,
2013/10/29,0.619798413,1.413679922,-0.174083097,,,
2013/11/5,0.617654393,1.411535902,-0.176227117,,,
2013/11/12,0.592937009,1.386818519,-0.2009445,,,
2013/11/19,0.665758511,1.45964002,-0.128122999,,,
2013/11/26,0.609702608,1.403584117,-0.184178902,,,
2013/12/3,0.436153102,1.230034612,-0.357728407,,,
2013/12/10,0.557456577,1.351338086,-0.236424933,,,
2013/12/17,0.615427344,1.409308853,-0.178454166,,,
2013/12/24,0.562364456,1.356245965,-0.231517054,,,
2014/1/1,0.583946206,1.377827716,-0.209935303,,,
2014/1/8,0.70826663,1.50214814,-0.08561488,,,
2014/1/15,0.607534397,1.401415907,-0.186347112,,,
2014/1/22,0.671821929,1.465703439,-0.12205958,,,
2014/1/29,0.582230083,1.376111592,-0.211651427,,,
2014/2/5,0.566102126,1.359983636,-0.227779383,,,
2014/2/12,0.699064837,1.492946347,-0.094816673,,,
2014/2/19,0.904759708,1.698641218,0.110878199,,,
2014/2/26,0.625634744,1.419516254,-0.168246765,,,
2014/3/5,0.718999302,1.512880811,-0.074882208,,,
2014/3/12,0.633267601,1.427149111,-0.160613908,,,
2014/3/19,0.593034447,1.386915956,-0.200847063,,,
2014/3/26,0.713913329,1.507794839,-0.07996818,,,
2014/4/2,0.749701183,1.543582693,-0.044180327,,,
2014/4/9,0.59494977,1.38883128,-0.198931739,,,
2014/4/16,0.710363902,1.504245412,-0.083517607,,,
2014/4/23,0.531988184,1.325869693,-0.261893326,,,
2014/4/30,0.628449089,1.422330599,-0.16543242,,,
2014/5/7,0.718174796,1.512056305,-0.075706714,,,
2014/5/14,0.628683449,1.422564959,-0.16519806,,,
2014/5/21,0.551647825,1.345529335,-0.242233684,,,
2014/5/28,0.716319852,1.510201361,-0.077561658,,,
2014/6/4,0.660845726,1.454727236,-0.133035783,,,
2014/6/11,0.925591622,1.719473132,0.131710113,,,
2014/6/18,0.796937041,1.590818551,0.003055531,,,
2014/6/25,0.756589749,1.550471259,-0.037291761,,,
2014/7/2,0.70551979,1.499401299,-0.08836172,,,
2014/7/9,0.784206467,1.578087977,-0.009675042,,,
2014/7/16,0.771719304,1.565600813,-0.022162206,,,
2014/7/23,0.778186335,1.572067844,-0.015695175,,,
2014/7/30,0.539571577,1.333453087,-0.254309932,,,
2014/12/17,0.649451427,1.443332936,-0.144430083,,,
2014/12/24,0.646107651,1.439989161,-0.147773858,,,
2014/12/31,0.543969916,1.337851426,-0.249911593,,,
2015/1/1,1.119694789,1.913576298,0.325813279,,,
2015/1/8,0.757394158,1.551275667,-0.036487352,,,
2015/1/15,0.746901745,1.540783255,-0.046979764,,,
2015/1/22,0.549759213,1.343640722,-0.244122297,,,
2015/1/29,0.611846434,1.405727943,-0.182035076,,,
2015/2/5,0.513709381,1.307590891,-0.280172128,,,
2015/2/12,0.73511663,1.52899814,-0.058764879,,,
2015/2/19,0.504192521,1.298074031,-0.289688988,,,
2015/2/26,0.277021849,1.070903358,-0.516859661,,,
2015/3/5,0.648746082,1.442627591,-0.145135428,,,
2015/3/12,0.916480674,1.710362183,0.122599164,,,
2015/3/19,0.708471368,1.502352878,-0.085410142,,,
2015/3/26,0.839342433,1.633223943,0.045460924,,,
2015/4/2,0.740118919,1.534000429,-0.05376259,,,
2015/4/9,0.854772908,1.648654418,0.060891399,,,
2015/4/16,0.622169186,1.416050696,-0.171712323,,,
2015/4/23,0.827188077,1.621069586,0.033306567,,,
2015/4/30,0.615757447,1.409638957,-0.178124063,,,
2015/5/7,0.802203859,1.596085368,0.008322349,,,
2015/5/14,0.74609493,1.53997644,-0.047786579,,,
2015/5/21,0.724510218,1.518391728,-0.069371291,,,
2015/5/28,0.733753074,1.527634584,-0.060128435,,,
2015/6/4,0.66967059,1.4635521,-0.124210919,,,
2015/6/11,0.64822201,1.442103519,-0.1456595,,,
2015/6/18,0.596797616,1.390679126,-0.197083893,,,
2015/6/25,0.656435925,1.450317435,-0.137445584,,,
2015/7/2,0.633549209,1.427430719,-0.1603323,,,
2015/7/9,0.63450842,1.42838993,-0.15937309,,,
2015/7/16,0.504759205,1.298640715,-0.289122305,,,
2015/7/23,0.540109871,1.33399138,-0.253771639,,,
2015/7/30,0.445556032,1.239437541,-0.348325478,,,
2015/8/6,0.659092413,1.452973922,-0.134789097,,,
2015/8/13,1.123710671,1.91759218,0.329829161,,,
2015/8/20,0.848774782,1.642656292,0.054893272,,,
2015/8/27,0.587178493,1.381060002,-0.206703017,,,
2015/9/3,0.46115079,1.2550323,-0.332730719,,,
2015/9/10,0.588612528,1.382494038,-0.205268981,,,
2015/9/17,0.457586133,1.251467642,-0.336295377,,,
2015/9/24,0.782471063,1.576352573,-0.011410446,,,
2015/10/1,0.568760157,1.362641667,-0.225121353,,,
2015/10/8,0.354924672,1.148806181,-0.438956838,,,
2015/10/15,0.535371673,1.329253183,-0.258509836,,,
2015/10/22,0.257586912,1.051468422,-0.536294598,,,
2015/10/29,0.684910911,1.478792421,-0.108970598,,,
2015/11/5,0.952603471,1.74648498,0.158721961,,,
2015/11/12,0.728717124,1.522598634,-0.065164385,,,
2015/11/19,0.711933812,1.505815321,-0.081947698,,,
2015/11/26,0.529295878,1.323177388,-0.264585631,,,
2015/12/3,0.506510898,1.300392407,-0.287370612,,,
2015/12/10,0.785814182,1.579695691,-0.008067328,,,
2015/12/17,0.822837824,1.616719333,0.028956314,,,
2015/12/24,0.673997715,1.467879224,-0.119883795,,,
2015/12/31,0.543144439,1.337025949,-0.25073707,,,
2016/1/8,0.547346488,1.341227997,-0.246535022,,,
2016/1/15,0.603016119,1.396897629,-0.19086539,,,
2016/1/22,0.909425525,1.703307034,0.115544015,,,
2016/1/29,0.714589901,1.50847141,-0.079291609,,,
2016/2/5,0.793287039,1.587168548,-0.000594471,,,
2016/2/12,0.616393553,1.410275063,-0.177487956,,,
2016/2/19,0.440269589,1.234151098,-0.353611921,,,
2016/2/26,0.689168714,1.483050224,-0.104712795,,,
2016/3/4,0.743387734,1.537269244,-0.050493775,,,
2016/3/11,0.691704169,1.485585679,-0.102177341,,,
2016/3/18,0.84582616,1.63970767,0.051944651,,,
2016/3/25,0.766648585,1.560530094,-0.027232925,,,
2016/4/1,0.474948253,1.268829763,-0.318933256,,,
2016/4/8,0.73890581,1.532787319,-0.0549757,,,
2016/4/15,0.645822962,1.439704472,-0.148058548,,,
2016/4/22,0.573137376,1.367018886,-0.220744133,,,
2016/4/29,0.810380841,1.60426235,0.016499331,,,
2016/5/6,0.643517461,1.43739897,-0.150364049,,,
2016/5/13,0.523283881,1.317165391,-0.270597628,,,
2016/5/20,0.501841949,1.295723458,-0.292039561,,,
2016/5/27,0.68283859,1.4767201,-0.111042919,,,
2016/6/3,0.626376008,1.420257517,-0.167505502,,,
2016/6/10,1.005732324,1.799613833,0.211850814,,,
2016/6/17,0.807697347,1.601578857,0.013815838,,,
2016/6/24,0.787837927,1.581719437,-0.006043583,,,
2016/7/1,0.61520484,1.40908635,-0.17867667,,,
2016/7/8,0.652060647,1.445942157,-0.141820862,,,
2016/7/15,0.559039911,1.352921421,-0.234841598,,,
2016/7/22,0.84060201,1.63448352,0.046720501,,,
2016/7/29,0.732540059,1.526421568,-0.061341451,,,
2016/8/5,0.671218287,1.465099797,-0.122663222,,,
2016/8/12,0.696492986,1.490374496,-0.097388523,,,
2016/8/19,0.540989757,1.334871266,-0.252891753,,,
2016/8/26,0.680730327,1.474611837,-0.113151182,,,
2016/9/2,0.680323847,1.474205357,-0.113557662,,,
2016/9/9,0.874495138,1.668376648,0.080613629,,,
2016/9/16,1.006492645,1.800374155,0.212611136,,,
2016/9/23,0.803868248,1.597749758,0.009986739,,,
2016/9/30,0.96285556,1.756737069,0.16897405,,,
2016/10/7,0.789163173,1.583044682,-0.004718337,,,
2016/10/14,0.71104061,1.50492212,-0.082840899,,,
2016/10/21,0.673808467,1.467689977,-0.120073042,,,
2016/10/28,0.804509704,1.598391214,0.010628195,,,
2016/11/4,0.820931945,1.614813455,0.027050436,,,
2016/11/11,0.793835192,1.587716702,-4.63E-05,,,
2016/11/18,0.858976414,1.652857924,0.065094905,,,
2016/11/25,0.640574321,1.43445583,-0.153307189,,,
2016/12/2,0.897399284,1.691280794,0.103517774,,,
2016/12/9,0.623172512,1.417054022,-0.170708997,,,
2016/12/16,0.910443186,1.704324695,0.116561676,,,
2016/12/23,0.982865028,1.776746538,0.188983519,,,
2016/12/30,0.80750988,1.60139139,0.01362837,,,
2017/1/1,0.366432038,1.160313548,-0.427449471,,,
2017/1/8,0.87658856,1.67047007,0.082707051,,,
2017/1/15,0.968873445,1.762754954,0.174991935,,,
2017/1/22,0.790934536,1.584816046,-0.002946973,,,
2017/1/29,1.108182993,1.902064502,0.314301483,,,
2017/2/5,0.767822616,1.561704126,-0.026058893,,,
2017/2/12,0.633347878,1.427229388,-0.160533631,,,
2017/2/19,0.735881494,1.529763004,-0.058000015,,,
2017/2/26,0.68426632,1.478147829,-0.10961519,,,
2017/3/5,0.509759484,1.303640994,-0.284122026,,,
2017/3/12,0.819364658,1.613246168,0.025483149,,,
2017/3/19,0.635979585,1.429861095,-0.157901924,,,
2017/3/26,0.536777664,1.330659173,-0.257103846,,,
2017/4/2,0.699545336,1.493426846,-0.094336174,,,
2017/4/9,0.488346831,1.28222834,-0.305534679,,,
2017/4/16,0.681494442,1.475375952,-0.112387067,,,
2017/4/23,0.606779507,1.400661016,-0.187102003,,,
