日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.916627503,2.40290138,-0.569646374,,,
2013/1/8,0.694650782,2.180924659,-0.791623095,,,
2013/1/15,0.742828867,2.229102744,-0.74344501,,,
2013/1/22,0.79088643,2.277160307,-0.695387447,,,
2013/1/29,0.700523535,2.186797412,-0.785750342,,,
2013/2/5,0.659594694,2.145868571,-0.826679183,,,
2013/2/19,0.699883016,2.186156893,-0.786390861,,,
2013/2/26,0.644714617,2.130988494,-0.84155926,,,
2013/3/5,0.824465018,2.310738895,-0.661808859,,,
2013/3/12,0.834351468,2.320625345,-0.651922409,,,
2013/3/19,0.926129679,2.412403556,-0.560144198,,,
2013/3/26,0.923002833,2.40927671,-0.563271044,,,
2013/4/2,1.699982388,3.186256265,0.213708511,,,
2013/4/9,0.871420682,2.357694559,-0.614853195,,,
2013/4/16,0.953384724,2.439658601,-0.532889153,,,
2013/4/23,0.984045681,2.470319558,-0.502228196,,,
2013/4/30,0.959231607,2.445505484,-0.52704227,,,
2013/5/7,1.002778768,2.489052645,-0.483495109,,,
2013/5/14,0.864955334,2.351229211,-0.621318543,,,
2013/5/21,0.931681037,2.417954914,-0.55459284,,,
2013/5/28,0.93244574,2.418719617,-0.553828137,,,
2013/6/4,0.984938476,2.471212353,-0.501335401,,,
2013/6/11,0.73620597,2.222479847,-0.750067907,,,
2013/6/18,1.292365202,2.77863908,-0.193908675,,,
2013/6/25,1.093089693,2.57936357,-0.393184185,,,
2013/7/2,2.11527206,3.601545937,0.628998182,,,
2013/7/9,1.66442905,3.150702927,0.178155173,,,
2013/7/16,1.618606404,3.104880281,0.132332527,,,
2013/7/23,1.505290791,2.991564668,0.019016914,,,
2013/7/30,2.641082294,4.127356171,1.154808417,,,
2013/8/6,2.009408725,3.495682602,0.523134848,,,
2013/8/13,2.01421708,3.500490957,0.527943203,,,
2013/8/20,2.029239384,3.515513261,0.542965507,,,
2013/8/27,1.449407101,2.935680978,-0.036866776,,,
2013/9/3,1.7507163,3.236990177,0.264442423,,,
2013/9/10,1.44696174,2.933235617,-0.039312137,,,
2013/9/17,1.502964302,2.989238179,0.016690425,,,
2013/9/24,2.033060227,3.519334105,0.54678635,,,
2013/10/1,1.643281545,3.129555422,0.157007668,,,
2013/10/8,0.936637618,2.422911495,-0.549636259,,,
2013/10/15,1.388102963,2.87437684,-0.098170914,,,
2013/10/22,1.37726023,2.863534107,-0.109013647,,,
2013/10/29,1.498506303,2.98478018,0.012232425,,,
2013/11/5,1.045356062,2.531629939,-0.440917815,,,
2013/11/12,1.259663419,2.745937296,-0.226610458,,,
2013/11/19,1.338685362,2.824959239,-0.147588515,,,
2013/11/26,1.226213157,2.712487034,-0.260060721,,,
2013/12/3,1.463414521,2.949688398,-0.022859356,,,
2013/12/10,1.538038979,3.024312856,0.051765102,,,
2013/12/17,1.878568933,3.36484281,0.392295055,,,
2013/12/24,1.354465229,2.840739106,-0.131808648,,,
2014/1/1,1.679080929,3.165354806,0.192807052,,,
2014/1/8,1.458972324,2.945246201,-0.027301553,,,
2014/1/15,1.630134354,3.116408231,0.143860477,,,
2014/1/22,1.169976395,2.656250272,-0.316297482,,,
2014/1/29,1.194301508,2.680575385,-0.291972369,,,
2014/2/5,1.406009392,2.892283269,-0.080264485,,,
2014/2/12,1.990552514,3.476826391,0.504278637,,,
2014/2/19,1.209312346,2.695586223,-0.276961531,,,
2014/2/26,1.144696178,2.630970055,-0.341577699,,,
2014/3/5,1.767845757,3.254119634,0.28157188,,,
2014/3/12,1.452617185,2.938891062,-0.033656692,,,
2014/3/19,1.698279639,3.184553516,0.212005762,,,
2014/3/26,1.37744444,2.863718317,-0.108829437,,,
2014/4/2,1.489300898,2.975574775,0.003027021,,,
2014/4/9,1.133507573,2.619781451,-0.352766304,,,
2014/4/16,1.017865931,2.504139808,-0.468407946,,,
2014/4/23,0.882640208,2.368914085,-0.603633669,,,
2014/4/30,1.103002096,2.589275973,-0.383271781,,,
2014/5/7,0.923540998,2.409814875,-0.562732879,,,
2014/5/14,0.911246785,2.397520662,-0.575027092,,,
2014/5/21,1.027005226,2.513279103,-0.459268651,,,
2014/5/28,1.099918906,2.586192783,-0.386354971,,,
2014/6/4,1.059539224,2.545813101,-0.426734653,,,
2014/6/11,1.150968226,2.637242103,-0.335305651,,,
2014/6/18,1.083863515,2.570137392,-0.402410362,,,
2014/6/25,1.143389086,2.629662963,-0.342884791,,,
2014/7/2,1.091453415,2.577727292,-0.394820463,,,
2014/7/9,1.108410962,2.594684839,-0.377862915,,,
2014/7/16,1.106393733,2.59266761,-0.379880144,,,
2014/7/23,1.188480893,2.67475477,-0.297792985,,,
2014/7/30,1.154308618,2.640582495,-0.331965259,,,
2014/12/17,1.04072979,2.527003667,-0.445544087,,,
2014/12/24,0.985621939,2.471895816,-0.500651939,,,
2014/12/31,1.082989786,2.569263664,-0.403284091,,,
2015/1/1,3.212701024,4.698974901,1.726427147,,,
2015/1/8,1.898269338,3.384543215,0.411995461,,,
2015/1/15,1.370308152,2.856582029,-0.115965726,,,
2015/1/22,1.396642548,2.882916425,-0.089631329,,,
2015/1/29,1.480954837,2.967228714,-0.00531904,,,
2015/2/5,1.359467156,2.845741033,-0.126806721,,,
2015/2/12,1.140055493,2.62632937,-0.346218384,,,
2015/2/19,1.284280826,2.770554703,-0.201993051,,,
2015/2/26,0.747390248,2.233664125,-0.738883629,,,
2015/3/5,0.658699897,2.144973774,-0.82757398,,,
2015/3/12,0.683134878,2.169408755,-0.803138999,,,
2015/3/19,1.315170778,2.801444655,-0.171103099,,,
2015/3/26,1.337503433,2.82377731,-0.148770444,,,
2015/4/2,0.882426305,2.368700182,-0.603847572,,,
2015/4/9,0.998778812,2.485052689,-0.487495065,,,
2015/4/16,1.223287753,2.70956163,-0.262986124,,,
2015/4/23,0.911508298,2.397782175,-0.574765579,,,
2015/4/30,0.986078336,2.472352213,-0.500195541,,,
2015/5/7,0.92044954,2.406723417,-0.565824337,,,
2015/5/14,0.817654486,2.303928363,-0.668619391,,,
2015/5/21,1.788227243,3.27450112,0.301953365,,,
2015/5/28,1.546707333,3.03298121,0.060433456,,,
2015/6/4,1.219102867,2.705376744,-0.26717101,,,
2015/6/11,1.925283139,3.411557016,0.439009262,,,
2015/6/18,1.300341292,2.786615169,-0.185932585,,,
2015/6/25,1.807147858,3.293421735,0.320873981,,,
2015/7/2,1.365071397,2.851345274,-0.12120248,,,
2015/7/9,1.720423354,3.206697231,0.234149477,,,
2015/7/16,1.550471111,3.036744988,0.064197234,,,
2015/7/23,1.050355588,2.536629465,-0.435918289,,,
2015/7/30,0.992224195,2.478498072,-0.494049682,,,
2015/8/6,1.027215141,2.513489018,-0.459058736,,,
2015/8/13,1.321800341,2.808074218,-0.164473536,,,
2015/8/20,0.765333642,2.251607519,-0.720940235,,,
2015/8/27,1.176075624,2.662349501,-0.310198253,,,
2015/9/3,1.044217871,2.530491748,-0.442056006,,,
2015/9/10,1.083553783,2.56982766,-0.402720094,,,
2015/9/17,0.985811564,2.472085441,-0.500462313,,,
2015/9/24,0.794053081,2.280326958,-0.692220796,,,
2015/10/1,1.128668928,2.614942805,-0.357604949,,,
2015/10/8,0.937086337,2.423360214,-0.54918754,,,
2015/10/15,0.883968448,2.370242325,-0.602305429,,,
2015/10/22,0.949864662,2.436138539,-0.536409216,,,
2015/10/29,0.99113307,2.477406947,-0.495140807,,,
2015/11/5,1.56153368,3.047807557,0.075259803,,,
2015/11/12,0.958936816,2.445210693,-0.527337061,,,
2015/11/19,0.945207348,2.431481225,-0.541066529,,,
2015/11/26,0.992185663,2.47845954,-0.494088214,,,
2015/12/3,1.054923072,2.54119695,-0.431350805,,,
2015/12/10,0.944863971,2.431137848,-0.541409906,,,
2015/12/17,0.68717913,2.173453007,-0.799094747,,,
2015/12/24,0.839939805,2.326213682,-0.646334072,,,
2015/12/31,0.742821702,2.229095579,-0.743452175,,,
2016/1/8,0.782471794,2.268745671,-0.703802083,,,
2016/1/15,0.57469753,2.060971407,-0.911576347,,,
2016/1/22,0.801709675,2.287983552,-0.684564202,,,
2016/1/29,0.867873081,2.354146958,-0.618400796,,,
2016/2/5,0.681678165,2.167952042,-0.804595712,,,
2016/2/12,0.618427911,2.104701788,-0.867845966,,,
2016/2/19,0.586234762,2.072508639,-0.900039115,,,
2016/2/26,0.650488347,2.136762224,-0.83578553,,,
2016/3/4,0.597860707,2.084134584,-0.88841317,,,
2016/3/11,0.650658086,2.136931963,-0.835615791,,,
2016/3/18,0.648535443,2.13480932,-0.837738434,,,
2016/3/25,0.679493402,2.165767279,-0.806780475,,,
2016/4/1,0.667558117,2.153831994,-0.81871576,,,
2016/4/8,0.654174792,2.14044867,-0.832099085,,,
2016/4/15,0.653935904,2.140209781,-0.832337973,,,
2016/4/22,0.740282684,2.226556561,-0.745991193,,,
2016/4/29,0.695506094,2.181779971,-0.790767783,,,
