日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.765687072,5.482274372,-1.950900227,,,
2013/1/8,1.522728524,5.239315824,-2.193858775,,,
2013/1/15,1.758403366,5.474990666,-1.958183933,,,
2013/1/22,1.443638835,5.160226134,-2.272948465,,,
2013/1/29,1.833309788,5.549897088,-1.883277511,,,
2013/2/5,1.427601433,5.144188732,-2.288985867,,,
2013/2/19,2.089114632,5.805701932,-1.627472667,,,
2013/2/26,1.375070842,5.091658142,-2.341516457,,,
2013/3/5,1.604725286,5.321312585,-2.111862014,,,
2013/3/12,1.352135399,5.068722698,-2.364451901,,,
2013/3/19,1.028204256,4.744791555,-2.688383044,,,
2013/3/26,1.402058113,5.118645412,-2.314529187,,,
2013/4/2,0.960290301,4.6768776,-2.756296999,,,
2013/4/9,2.050824301,5.7674116,-1.665762999,,,
2013/4/16,1.202379352,4.918966651,-2.514207948,,,
2013/4/23,1.449753398,5.166340698,-2.266833901,,,
2013/4/30,0.887429778,4.604017078,-2.829157521,,,
2013/5/7,1.251806808,4.968394107,-2.464780492,,,
2013/5/14,1.192350791,4.90893809,-2.524236509,,,
2013/5/21,1.496062352,5.212649652,-2.220524947,,,
2013/5/28,1.329532256,5.046119555,-2.387055044,,,
2013/6/4,1.515997331,5.232584631,-2.200589968,,,
2013/6/11,1.327511955,5.044099254,-2.389075345,,,
2013/6/18,1.831966545,5.548553845,-1.884620754,,,
2013/6/25,1.982468953,5.699056252,-1.734118347,,,
2013/7/2,1.723308629,5.439895928,-1.993278671,,,
2013/7/9,1.400049126,5.116636426,-2.316538173,,,
2013/7/16,0.909326066,4.625913365,-2.807261234,,,
2013/7/23,1.393703306,5.110290605,-2.322883994,,,
2013/7/30,1.575477261,5.29206456,-2.141110039,,,
2013/8/6,1.922990032,5.639577331,-1.793597268,,,
2013/8/13,2.037739091,5.754326391,-1.678848208,,,
2013/8/20,2.178468647,5.895055946,-1.538118653,,,
2013/8/27,2.244966292,5.961553592,-1.471621007,,,
2013/9/3,4.270410636,7.986997935,0.553823336,,,
2013/9/10,7.079333947,10.79592125,3.362746648,,,
2013/9/17,8.147212238,11.86379954,4.430624939,,,
2013/9/24,5.231605879,8.948193179,1.51501858,,,
2013/10/1,5.780591499,9.497178799,2.0640042,,,
2013/10/8,2.997628522,6.714215821,-0.718958778,,,
2013/10/15,4.299345784,8.015933084,0.582758485,,,
2013/10/22,2.758844232,6.475431532,-0.957743067,,,
2013/10/29,5.072297267,8.788884566,1.355709967,,,
2013/11/5,3.842438898,7.559026197,0.125851598,,,
2013/11/12,2.372010398,6.088597697,-1.344576902,,,
2013/11/19,2.638752487,6.355339787,-1.077834812,,,
2013/11/26,4.36129875,8.077886049,0.64471145,,,
2013/12/3,6.988959801,10.7055471,3.272372502,,,
2013/12/10,4.080582796,7.797170095,0.363995496,,,
2013/12/17,5.01107045,8.727657749,1.29448315,,,
2013/12/24,3.536868722,7.253456022,-0.179718577,,,
2014/1/1,3.915933137,7.632520437,0.199345838,,,
2014/1/8,2.295922572,6.012509872,-1.420664727,,,
2014/1/15,4.015567756,7.732155055,0.298980456,,,
2014/1/22,5.822375623,9.538962923,2.105788324,,,
2014/1/29,6.073943107,9.790530407,2.357355808,,,
2014/2/5,8.129218303,11.8458056,4.412631003,,,
2014/2/12,4.193327974,7.909915273,0.476740674,,,
2014/2/19,7.932640281,11.64922758,4.216052981,,,
2014/2/26,5.498745515,9.215332815,1.782158216,,,
2014/3/5,7.559342599,11.2759299,3.8427553,,,
2014/3/12,6.025305891,9.74189319,2.308718591,,,
2014/3/19,4.332291329,8.048878629,0.61570403,,,
2014/3/26,6.978817076,10.69540438,3.262229776,,,
2014/4/2,1.278566948,4.995154247,-2.438020352,,,
2014/4/9,5.30244162,9.01902892,1.585854321,,,
2014/4/16,5.781775974,9.498363273,2.065188674,,,
2014/4/23,5.820131055,9.536718355,2.103543756,,,
2014/4/30,4.756986635,8.473573934,1.040399335,,,
2014/5/7,2.420835356,6.137422656,-1.295751943,,,
2014/5/14,5.0946452,8.8112325,1.378057901,,,
2014/5/21,3.867389925,7.583977225,0.150802626,,,
2014/5/28,3.411757018,7.128344317,-0.304830282,,,
2014/6/4,5.580034634,9.296621934,1.863447335,,,
2014/6/11,3.547175194,7.263762494,-0.169412105,,,
2014/6/18,6.054237905,9.770825205,2.337650606,,,
2014/6/25,4.460606,8.1771933,0.744018701,,,
2014/7/2,6.551238877,10.26782618,2.834651577,,,
2014/7/9,6.248585259,9.965172558,2.531997959,,,
2014/7/16,3.850459079,7.567046378,0.133871779,,,
2014/7/23,2.324022016,6.040609316,-1.392565283,,,
2014/7/30,1.472601673,5.189188972,-2.243985627,,,
2014/12/17,0.265410305,3.981997605,-3.451176994,,,
2014/12/24,2.22004151,5.936628809,-1.49654579,,,
2014/12/31,2.463498876,6.180086176,-1.253088423,,,
2015/1/1,1.888703362,5.605290661,-1.827883938,,,
2015/1/8,1.91412039,5.630707689,-1.80246691,,,
2015/1/15,1.609126115,5.325713415,-2.107461184,,,
2015/1/22,2.345016416,6.061603715,-1.371570884,,,
2015/1/29,2.196387596,5.912974895,-1.520199704,,,
2015/2/5,2.300267736,6.016855035,-1.416319564,,,
2015/2/12,1.688327328,5.404914627,-2.028259972,,,
2015/2/19,1.798847387,5.515434686,-1.917739913,,,
2015/2/26,1.705115362,5.421702662,-2.011471937,,,
2015/3/5,2.153123677,5.869710976,-1.563463623,,,
2015/3/12,1.757533543,5.474120843,-1.959053756,,,
2015/3/19,0.951467928,4.668055227,-2.765119372,,,
2015/3/26,0.63885193,4.35543923,-3.077735369,,,
2015/4/2,1.035486178,4.752073477,-2.681101122,,,
2015/4/9,1.135557983,4.852145282,-2.581029317,,,
2015/4/16,1.153100413,4.869687713,-2.563486886,,,
2015/4/23,1.122774187,4.839361486,-2.593813113,,,
2015/4/30,1.701041782,5.417629082,-2.015545517,,,
2015/5/7,2.608106647,6.324693946,-1.108480653,,,
2015/5/14,2.009391965,5.725979264,-1.707195335,,,
2015/5/21,2.478533958,6.195121258,-1.238053341,,,
2015/5/28,1.443712069,5.160299369,-2.27287523,,,
2015/6/4,1.553439971,5.270027271,-2.163147328,,,
2015/6/11,0.6407335,4.3573208,-3.075853799,,,
2015/6/18,1.798628917,5.515216217,-1.917958382,,,
2015/6/25,1.56072819,5.27731549,-2.155859109,,,
2015/7/2,2.072832561,5.789419861,-1.643754738,,,
2015/7/9,2.119519188,5.836106487,-1.597068112,,,
2015/7/16,1.965991337,5.682578636,-1.750595962,,,
2015/7/23,2.394592596,6.111179895,-1.321994704,,,
2015/7/30,1.711420954,5.428008254,-2.005166345,,,
2015/8/6,2.093771436,5.810358735,-1.622815864,,,
2015/8/13,1.920429458,5.637016758,-1.796157841,,,
2015/8/20,2.18902696,5.905614259,-1.52756034,,,
2015/8/27,2.014123366,5.730710666,-1.702463933,,,
2015/9/3,2.390384626,6.106971926,-1.326202673,,,
2015/9/10,1.955469588,5.672056888,-1.761117711,,,
2015/9/17,1.98457248,5.701159779,-1.73201482,,,
2015/9/24,1.716208481,5.432795781,-2.000378818,,,
2015/10/1,1.668020179,5.384607479,-2.04856712,,,
2015/10/8,1.508277747,5.224865047,-2.208309552,,,
2015/10/15,1.364635049,5.081222348,-2.351952251,,,
2015/10/22,1.195996025,4.912583324,-2.520591275,,,
2015/10/29,1.767114511,5.48370181,-1.949472789,,,
2015/11/5,1.25460801,4.971195309,-2.46197929,,,
2015/11/12,1.857734146,5.574321445,-1.858853153,,,
2015/11/19,1.973263209,5.689850508,-1.743324091,,,
2015/11/26,1.62174464,5.338331939,-2.09484266,,,
2015/12/3,1.669627546,5.386214845,-2.046959754,,,
2015/12/10,1.532846769,5.249434068,-2.18374053,,,
2015/12/17,4.312310894,8.028898194,0.595723595,,,
2015/12/24,5.142609316,8.859196616,1.426022017,,,
2015/12/31,7.318201943,11.03478924,3.601614644,,,
2016/1/8,6.469312949,10.18590025,2.752725649,,,
2016/1/15,7.532812312,11.24939961,3.816225012,,,
2016/1/22,6.03244044,9.749027739,2.31585314,,,
2016/1/29,4.84514106,8.561728359,1.12855376,,,
2016/2/5,3.875534725,7.592122024,0.158947425,,,
2016/2/12,2.568617807,6.285205107,-1.147969492,,,
2016/2/19,2.304366346,6.020953646,-1.412220953,,,
2016/2/26,0.429914361,4.14650166,-3.286672939,,,
2016/3/4,2.241402207,5.957989507,-1.475185092,,,
2016/3/11,2.117507039,5.834094338,-1.599080261,,,
2016/3/18,1.598010883,5.314598183,-2.118576416,,,
2016/3/25,1.469100994,5.185688293,-2.247486306,,,
2016/4/1,1.517196692,5.233783991,-2.199390608,,,
2016/4/8,1.772930453,5.489517753,-1.943656846,,,
2016/4/15,1.935113788,5.651701088,-1.781473511,,,
2016/4/22,1.029296484,4.745883784,-2.687290815,,,
2016/4/29,1.976171867,5.692759167,-1.740415432,,,
2016/5/6,1.500380966,5.216968266,-2.216206333,,,
2016/5/13,2.269060731,5.98564803,-1.447526569,,,
2016/5/20,1.883363374,5.599950674,-1.833223925,,,
2016/5/27,2.057302635,5.773889934,-1.659284665,,,
2016/6/3,1.353852824,5.070440124,-2.362734475,,,
2016/6/10,1.773333803,5.489921103,-1.943253496,,,
2016/6/17,1.405135017,5.121722317,-2.311452282,,,
2016/6/24,1.557554216,5.274141516,-2.159033083,,,
2016/7/1,2.507378587,6.223965887,-1.209208712,,,
2016/7/8,1.982819139,5.699406439,-1.73376816,,,
2016/7/15,2.21668276,5.933270059,-1.49990454,,,
2016/7/22,1.473412299,5.189999599,-2.243175,,,
2016/7/29,1.722996978,5.439584277,-1.993590322,,,
2016/8/5,1.327209285,5.043796584,-2.389378015,,,
2016/8/12,1.679380772,5.395968072,-2.037206527,,,
2016/8/19,1.997784846,5.714372145,-1.718802454,,,
2016/8/26,1.642203069,5.358790368,-2.074384231,,,
2016/9/2,1.603544669,5.320131968,-2.113042631,,,
2016/9/9,1.148658207,4.865245506,-2.567929093,,,
2016/9/16,1.536760074,5.253347373,-2.179827226,,,
2016/9/23,1.51060475,5.22719205,-2.205982549,,,
2016/9/30,1.406180142,5.122767442,-2.310407157,,,
2016/10/7,1.385868581,5.10245588,-2.330718719,,,
2016/10/14,1.220555163,4.937142462,-2.496032137,,,
2016/10/21,1.255132135,4.971719434,-2.461455165,,,
2016/10/28,1.379504018,5.096091318,-2.337083281,,,
2016/11/4,1.348122614,5.064709913,-2.368464686,,,
2016/11/11,1.697715465,5.414302764,-2.018871835,,,
2016/11/18,1.700888759,5.417476058,-2.015698541,,,
2016/11/25,1.422509347,5.139096646,-2.294077953,,,
2016/12/2,1.325102016,5.041689315,-2.391485284,,,
2016/12/9,1.445486528,5.162073827,-2.271100772,,,
2016/12/16,1.144378141,4.860965441,-2.572209158,,,
2016/12/23,1.185008065,4.901595365,-2.531579234,,,
2016/12/30,1.340332411,5.056919711,-2.376254888,,,
2017/1/1,2.96868936,6.68527666,-0.747897939,,,
2017/1/8,1.117472749,4.834060049,-2.59911455,,,
2017/1/15,1.440530614,5.157117913,-2.276056686,,,
2017/1/22,1.249137119,4.965724419,-2.46745018,,,
2017/1/29,1.463328956,5.179916255,-2.253258344,,,
2017/2/5,5.782589135,9.499176435,2.066001836,,,
2017/2/12,5.104467473,8.821054772,1.387880173,,,
2017/2/19,5.229605185,8.946192484,1.513017885,,,
2017/2/26,6.345070347,10.06165765,2.628483047,,,
2017/3/5,6.934651816,10.65123912,3.218064517,,,
2017/3/12,5.468938958,9.185526258,1.752351659,,,
2017/3/19,4.280882169,7.997469468,0.564294869,,,
2017/3/26,7.981426505,11.6980138,4.264839205,,,
2017/4/2,6.744154822,10.46074212,3.027567523,,,
2017/4/9,6.7282784,10.4448657,3.0116911,,,
2017/4/16,7.543051034,11.25963833,3.826463735,,,
2017/4/23,6.221778737,9.938366037,2.505191438,,,
2017/4/30,9.128591511,12.84517881,5.412004211,,,
2017/5/7,7.231934326,10.94852163,3.515347026,,,
2017/5/14,8.276287826,11.99287513,4.559700527,,,
2017/5/21,6.755811536,10.47239884,3.039224237,,,
2017/5/28,3.09963745,6.816224749,-0.616949849,,,
2017/6/4,2.464292328,6.180879627,-1.252294972,,,
2017/6/11,-0.234401844,3.482185456,-3.950989143,,,
2017/6/18,3.410513538,7.127100838,-0.306073761,,,
2017/6/25,3.088257414,6.804844714,-0.628329885,,,
2017/7/2,3.116035784,6.832623083,-0.600551516,,,
2017/7/9,1.898785803,5.615373103,-1.817801496,,,
2017/7/16,1.178072232,4.894659531,-2.538515068,,,
2017/7/23,2.720484785,6.437072084,-0.996102515,,,
2017/7/30,2.130604155,5.847191454,-1.585983145,,,
2017/8/6,4.618121245,8.334708545,0.901533946,,,
2017/8/13,5.36793734,9.084524639,1.65135004,,,
2017/8/20,6.8870148,10.6036021,3.1704275,,,
2017/8/27,7.599482111,11.31606941,3.882894811,,,
2017/9/3,8.240822698,11.95741,4.524235398,,,
2017/9/10,4.049853346,7.766440645,0.333266046,,,
2017/9/17,2.22678598,5.94337328,-1.489801319,,,
2017/9/24,4.487045785,8.203633084,0.770458485,,,
2017/10/1,1.56986788,5.28645518,-2.146719419,,,
2017/10/8,1.909383971,5.625971271,-1.807203328,,,
2017/10/15,0.486321219,4.202908518,-3.230266081,,,
2017/10/22,2.807218669,6.523805969,-0.90936863,,,
2017/10/29,3.604503059,7.321090358,-0.112084241,,,
2017/11/5,2.198848507,5.915435806,-1.517738792,,,
2017/11/12,3.882443474,7.599030774,0.165856175,,,
2017/11/19,2.56370998,6.280297279,-1.15287732,,,
2017/11/26,2.651910907,6.368498207,-1.064676392,,,
2017/12/3,0.051402956,3.767990255,-3.665184344,,,
2017/12/10,2.273308097,5.989895396,-1.443279203,,,
2017/12/17,2.833279637,6.549866937,-0.883307662,,,
2017/12/24,3.565730663,7.282317963,-0.150856636,,,
2017/12/31,2.96868936,6.68527666,-0.747897939,,,
2018/1/1,2.128878669,5.845465969,-1.58770863,,,
2018/1/8,2.032866451,5.749453751,-1.683720848,,,
2018/1/15,2.178957967,5.895545267,-1.537629332,,,
2018/1/22,0.299693927,4.016281227,-3.416893372,,,
2018/1/29,0.924563786,4.641151085,-2.792023514,,,
2018/2/5,2.207323333,5.923910633,-1.509263966,,,
2018/2/12,0.744487832,4.461075131,-2.972099468,,,
2018/2/19,2.00464338,5.72123068,-1.711943919,,,
2018/2/26,-0.114238524,3.602348775,-3.830825824,,,
2018/3/5,1.718476247,5.435063547,-1.998111052,,,
2018/3/12,1.128196669,4.844783969,-2.58839063,,,
2018/3/19,1.734547267,5.451134566,-1.982040033,,,
2018/3/26,1.712130547,5.428717846,-2.004456753,,,
2018/4/2,1.535864308,5.252451608,-2.180722991,,,
2018/4/9,1.07477321,4.791360509,-2.64181409,,,
2018/4/16,1.10772978,4.82431708,-2.608857519,,,
2018/4/23,0.822475374,4.539062674,-2.894111925,,,
2018/4/30,1.494226975,5.210814274,-2.222360324,,,
2018/5/7,1.822770846,5.539358146,-1.893816453,,,
2018/5/14,2.881160785,6.597748084,-0.835426515,,,
2018/5/21,2.267890899,5.984478199,-1.4486964,,,
2018/5/28,2.36413608,6.080723379,-1.35245122,,,
2018/6/4,1.869821207,5.586408507,-1.846766092,,,
2018/6/11,1.912313498,5.628900798,-1.804273801,,,
2018/6/18,1.177684077,4.894271377,-2.538903222,,,
2018/6/25,1.042599302,4.759186601,-2.673987998,,,
2018/7/2,1.326364826,5.042952125,-2.390222474,,,
2018/7/9,0.934997495,4.651584795,-2.781589804,,,
2018/7/16,1.902187553,5.618774852,-1.814399747,,,
2018/7/23,1.288015299,5.004602599,-2.428572,,,
2018/7/30,2.056350956,5.772938255,-1.660236344,,,
2018/8/6,2.065006663,5.781593963,-1.651580636,,,
2018/8/13,1.628638654,5.345225953,-2.087948646,,,
2018/8/20,1.425892349,5.142479648,-2.290694951,,,
2018/8/27,1.197919531,4.914506831,-2.518667768,,,
2018/9/3,1.42626114,5.142848439,-2.290326159,,,
2018/9/10,0.839664175,4.556251474,-2.876923125,,,
2018/9/17,1.249092559,4.965679858,-2.467494741,,,
2018/9/24,1.437726655,5.154313954,-2.278860645,,,
2018/10/1,2.049930253,5.766517553,-1.666657046,,,
2018/10/8,1.662844467,5.379431767,-2.053742832,,,
2018/10/15,2.03283439,5.749421689,-1.68375291,,,
2018/10/22,1.873023766,5.589611066,-1.843563533,,,
2018/10/29,1.841121935,5.557709234,-1.875465365,,,
2018/11/5,1.961983964,5.678571264,-1.754603335,,,
2018/11/12,1.73729616,5.45388346,-1.979291139,,,
2018/11/19,1.790095964,5.506683264,-1.926491335,,,
2018/11/26,0.871524827,4.588112126,-2.845062473,,,
2018/12/3,1.809050891,5.525638191,-1.907536408,,,
2018/12/10,0.78630027,4.502887569,-2.93028703,,,
2018/12/17,1.677190592,5.393777891,-2.039396708,,,
2018/12/24,1.486376456,5.202963755,-2.230210844,,,
2018/12/31,1.345284591,5.06187189,-2.371302708,,,
2019/1/1,1.483708512,5.200295811,-2.232878788,,,
2019/1/8,1.027612693,4.744199992,-2.688974607,,,
2019/1/15,1.696490104,5.413077404,-2.020097195,,,
2019/1/22,1.529864665,5.246451964,-2.186722635,,,
2019/1/29,1.199489131,4.916076431,-2.517098168,,,
2019/2/5,1.276368841,4.99295614,-2.440218459,,,
2019/2/12,0.901902101,4.618489401,-2.814685198,,,
