日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,8.866403073,11.65069028,6.082115869,,,
2013/1/8,12.70173271,15.48601992,9.91744551,,,
2013/1/15,10.58015738,13.36444458,7.795870174,,,
2013/1/22,8.261165032,11.04545224,5.476877827,,,
2013/1/29,6.512203029,9.296490233,3.727915824,,,
2013/2/5,7.100983377,9.885270581,4.316696173,,,
2013/2/19,7.13810529,9.922392495,4.353818086,,,
2013/2/26,5.283513052,8.067800256,2.499225848,,,
2013/3/5,5.385271211,8.169558415,2.600984007,,,
2013/3/12,5.858067931,8.642355136,3.073780727,,,
2013/3/19,3.807527633,6.591814837,1.023240429,,,
2013/3/26,5.209561778,7.993848982,2.425274574,,,
2013/4/2,4.048660854,6.832948058,1.264373649,,,
2013/4/9,4.429912554,7.214199758,1.64562535,,,
2013/4/16,5.248501341,8.032788546,2.464214137,,,
2013/4/23,5.283305337,8.067592541,2.499018132,,,
2013/4/30,6.350338873,9.134626077,3.566051668,,,
2013/5/7,5.615569323,8.399856527,2.831282118,,,
2013/5/14,4.112029742,6.896316946,1.327742537,,,
2013/5/21,4.720287557,7.504574761,1.936000352,,,
2013/5/28,5.457598791,8.241885996,2.673311587,,,
2013/6/4,3.960236689,6.744523894,1.175949485,,,
2013/6/11,5.359938414,8.144225618,2.575651209,,,
2013/6/18,4.383220437,7.167507642,1.598933233,,,
2013/6/25,5.838345543,8.622632747,3.054058338,,,
2013/7/2,5.581830632,8.366117837,2.797543428,,,
2013/7/9,5.291046795,8.075333999,2.50675959,,,
2013/7/16,4.345589564,7.129876768,1.561302359,,,
2013/7/23,4.578480422,7.362767627,1.794193218,,,
2013/7/30,4.454640245,7.238927449,1.670353041,,,
2013/8/6,4.038731283,6.823018488,1.254444079,,,
2013/8/13,4.666058915,7.450346119,1.88177171,,,
2013/8/20,3.697816062,6.482103267,0.913528858,,,
2013/8/27,4.32740666,7.111693864,1.543119456,,,
2013/9/3,3.435374539,6.219661744,0.651087335,,,
2013/9/10,4.235366626,7.01965383,1.451079421,,,
2013/9/17,3.421995326,6.206282531,0.637708122,,,
2013/9/24,3.713493084,6.497780289,0.92920588,,,
2013/10/1,3.697013642,6.481300846,0.912726437,,,
2013/10/8,3.529318954,6.313606159,0.74503175,,,
2013/10/15,3.236697142,6.020984347,0.452409938,,,
2013/10/22,2.630474092,5.414761296,-0.153813113,,,
2013/10/29,2.868032093,5.652319297,0.083744888,,,
2013/11/5,3.536190382,6.320477586,0.751903177,,,
2013/11/12,2.719527908,5.503815112,-0.064759297,,,
2013/11/19,4.048016812,6.832304017,1.263729608,,,
2013/11/26,2.694206229,5.478493433,-0.090080975,,,
2013/12/3,3.704917566,6.48920477,0.920630362,,,
2013/12/10,2.799980655,5.584267859,0.015693451,,,
2013/12/17,3.004365269,5.788652473,0.220078065,,,
2013/12/24,3.626883761,6.411170965,0.842596556,,,
2014/1/1,3.538821576,6.32310878,0.754534371,,,
2014/1/8,3.564103174,6.348390379,0.77981597,,,
2014/1/15,3.132241434,5.916528638,0.347954229,,,
2014/1/22,4.256225221,7.040512425,1.471938016,,,
2014/1/29,3.699118176,6.48340538,0.914830971,,,
2014/2/5,3.509747648,6.294034852,0.725460443,,,
2014/2/12,3.92702518,6.711312385,1.142737976,,,
2014/2/19,3.543945589,6.328232794,0.759658385,,,
2014/2/26,3.355353594,6.139640798,0.57106639,,,
2014/3/5,3.865559372,6.649846576,1.081272167,,,
2014/3/12,2.690480582,5.474767787,-0.093806622,,,
2014/3/19,3.234526219,6.018813423,0.450239014,,,
2014/3/26,2.509026468,5.293313672,-0.275260737,,,
2014/4/2,1.918996824,4.703284028,-0.865290381,,,
2014/4/9,2.876050929,5.660338133,0.091763724,,,
2014/4/16,3.101978715,5.886265919,0.31769151,,,
2014/4/23,2.04070426,4.824991464,-0.743582945,,,
2014/4/30,2.389874658,5.174161863,-0.394412546,,,
2014/5/7,1.840571426,4.624858631,-0.943715778,,,
2014/5/14,1.79199241,4.576279615,-0.992294794,,,
2014/5/21,3.447914034,6.232201238,0.66362683,,,
2014/5/28,2.688572141,5.472859346,-0.095715063,,,
2014/6/4,2.97731579,5.761602994,0.193028585,,,
2014/6/11,3.484227952,6.268515157,0.699940748,,,
2014/6/18,2.078023948,4.862311152,-0.706263257,,,
2014/6/25,2.622484647,5.406771851,-0.161802557,,,
2014/7/2,2.389688381,5.173975585,-0.394598824,,,
2014/7/9,3.142918747,5.927205951,0.358631543,,,
2014/7/16,2.525417113,5.309704318,-0.258870091,,,
2014/7/23,2.751355948,5.535643153,-0.032931256,,,
2014/7/30,2.520688939,5.304976144,-0.263598265,,,
2014/12/17,3.362578284,6.146865488,0.57829108,,,
2014/12/24,3.514434374,6.298721578,0.730147169,,,
2014/12/31,3.299658523,6.083945728,0.515371319,,,
2015/1/1,2.549765853,5.334053057,-0.234521351,,,
2015/1/8,2.915963768,5.700250973,0.131676564,,,
2015/1/15,3.096447242,5.880734447,0.312160038,,,
2015/1/22,3.436311213,6.220598418,0.652024009,,,
2015/1/29,3.197477782,5.981764986,0.413190578,,,
2015/2/5,2.620807302,5.405094506,-0.163479903,,,
2015/2/12,3.402910781,6.187197985,0.618623577,,,
2015/2/19,2.364600118,5.148887322,-0.419687087,,,
2015/2/26,3.856328571,6.640615776,1.072041367,,,
2015/3/5,3.595988615,6.38027582,0.811701411,,,
2015/3/12,3.997725611,6.782012815,1.213438406,,,
2015/3/19,3.543641457,6.327928661,0.759354253,,,
2015/3/26,4.072704594,6.856991799,1.28841739,,,
