日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.816545871,1.74156286,-0.108471118,,,
2013/1/8,0.706315812,1.631332801,-0.218701177,,,
2013/1/15,0.703728765,1.628745754,-0.221288223,,,
2013/1/22,0.900022106,1.825039095,-0.024994883,,,
2013/1/29,0.997008396,1.922025385,0.071991408,,,
2013/2/5,0.968824652,1.893841641,0.043807663,,,
2013/2/19,1.018933042,1.94395003,0.093916053,,,
2013/2/26,0.99695722,1.921974209,0.071940232,,,
2013/3/5,1.000519169,1.925536158,0.07550218,,,
2013/3/12,0.836558172,1.761575161,-0.088458817,,,
2013/3/19,0.714125549,1.639142537,-0.21089144,,,
2013/3/26,0.882578036,1.807595025,-0.042438953,,,
2013/4/2,1.00757172,1.932588708,0.082554731,,,
2013/4/9,0.933574126,1.858591115,0.008557138,,,
2013/4/16,0.904233755,1.829250744,-0.020783234,,,
2013/4/23,0.766676409,1.691693397,-0.15834058,,,
2013/4/30,0.611332014,1.536349003,-0.313684975,,,
2013/5/7,0.651162801,1.57617979,-0.273854188,,,
2013/5/14,0.690380126,1.615397114,-0.234636863,,,
2013/5/21,0.897662497,1.822679486,-0.027354492,,,
2013/5/28,0.956043696,1.881060685,0.031026708,,,
2013/6/4,1.109396025,2.034413014,0.184379036,,,
2013/6/11,0.983725018,1.908742007,0.05870803,,,
2013/6/18,0.861270572,1.786287561,-0.063746417,,,
2013/6/25,0.771357646,1.696374634,-0.153659343,,,
2013/7/2,0.657521572,1.582538561,-0.267495417,,,
2013/7/9,0.915075789,1.840092778,-0.0099412,,,
2013/7/16,1.000469494,1.925486482,0.075452505,,,
2013/7/23,0.927524544,1.852541532,0.002507555,,,
2013/7/30,0.966077513,1.891094502,0.041060524,,,
2013/8/6,0.861733733,1.786750722,-0.063283256,,,
2013/8/13,0.73762741,1.662644399,-0.187389579,,,
2013/8/20,0.752636971,1.67765396,-0.172380018,,,
2013/8/27,0.722598591,1.647615579,-0.202418398,,,
2013/9/3,0.837853582,1.762870571,-0.087163406,,,
2013/9/10,1.03899367,1.964010658,0.113976681,,,
2013/9/17,0.976145039,1.901162027,0.05112805,,,
2013/9/24,0.927300203,1.852317191,0.002283214,,,
2013/10/1,0.782103536,1.707120525,-0.142913452,,,
