日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.78674672,1.529242627,0.044250813,,,
2013/1/8,0.558941593,1.3014375,-0.183554313,,,
2013/1/15,0.493543087,1.236038994,-0.248952819,,,
2013/1/22,0.498620956,1.241116863,-0.243874951,,,
2013/1/29,0.700448545,1.442944451,-0.042047362,,,
2013/2/5,0.778087572,1.520583479,0.035591665,,,
2013/2/19,0.85485717,1.597353076,0.112361263,,,
2013/2/26,0.653020678,1.395516584,-0.089475229,,,
2013/3/5,0.554466748,1.296962655,-0.188029159,,,
2013/3/12,0.512885538,1.255381445,-0.229610369,,,
2013/3/19,0.539864523,1.28236043,-0.202631383,,,
2013/3/26,0.617980749,1.360476656,-0.124515157,,,
2013/4/2,0.722967129,1.465463036,-0.019528778,,,
2013/4/9,0.589108699,1.331604605,-0.153387208,,,
2013/4/16,0.512747286,1.255243192,-0.229748621,,,
2013/4/23,0.481021768,1.223517674,-0.261474139,,,
2013/4/30,0.465455118,1.207951025,-0.277040789,,,
2013/5/7,0.563864792,1.306360699,-0.178631115,,,
2013/5/14,0.406853489,1.149349396,-0.335642418,,,
2013/5/21,0.388663221,1.131159128,-0.353832686,,,
2013/5/28,0.351186206,1.093682113,-0.391309701,,,
2013/6/4,0.342658788,1.085154695,-0.399837118,,,
2013/6/11,0.369731317,1.112227224,-0.372764589,,,
2013/6/18,0.347553112,1.090049019,-0.394942795,,,
2013/6/25,0.345737447,1.088233353,-0.39675846,,,
2013/7/2,0.328701652,1.071197559,-0.413794255,,,
2013/7/9,0.320381047,1.062876953,-0.42211486,,,
2013/7/16,0.303593333,1.04608924,-0.438902574,,,
2013/7/23,0.402835847,1.145331754,-0.339660059,,,
2013/7/30,0.321281628,1.063777534,-0.421214279,,,
2013/8/6,0.28961787,1.032113777,-0.452878036,,,
2013/8/13,0.383090474,1.12558638,-0.359405433,,,
2013/8/20,0.438753628,1.181249535,-0.303742279,,,
2013/8/27,0.409426637,1.151922543,-0.33306927,,,
2013/9/3,0.616231115,1.358727022,-0.126264792,,,
2013/9/10,0.481328403,1.22382431,-0.261167503,,,
2013/9/17,0.534877313,1.27737322,-0.207618594,,,
2013/9/24,0.552864524,1.29536043,-0.189631383,,,
2013/10/1,0.596185378,1.338681285,-0.146310529,,,
2013/10/8,0.662153262,1.404649169,-0.080342645,,,
2013/10/15,0.530062584,1.27255849,-0.212433323,,,
2013/10/22,0.590758505,1.333254412,-0.151737401,,,
2013/10/29,0.556522469,1.299018376,-0.185973438,,,
2013/11/5,0.542059185,1.284555092,-0.200436721,,,
2013/11/12,0.554649201,1.297145108,-0.187846706,,,
2013/11/19,0.567683892,1.310179799,-0.174812015,,,
2013/11/26,0.511829006,1.254324912,-0.230666901,,,
2013/12/3,0.519239001,1.261734908,-0.223256906,,,
2013/12/10,0.653956671,1.396452577,-0.088539236,,,
2013/12/17,0.609949756,1.352445663,-0.13254615,,,
2013/12/24,0.562929317,1.305425224,-0.179566589,,,
2014/1/1,0.533355575,1.275851482,-0.209140332,,,
2014/1/8,0.589164978,1.331660885,-0.153330929,,,
2014/1/15,0.487743557,1.230239464,-0.25475235,,,
2014/1/22,0.438509815,1.181005722,-0.303986092,,,
2014/1/29,0.629667338,1.372163245,-0.112828568,,,
2014/2/5,0.698821431,1.441317338,-0.043674476,,,
2014/2/12,0.657466643,1.39996255,-0.085029264,,,
2014/2/19,0.50852105,1.251016957,-0.233974857,,,
