日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.456845428,0.945203141,-0.031512285,,,
2013/1/8,0.330943632,0.819301345,-0.157414081,,,
2013/1/15,0.388151277,0.87650899,-0.100206436,,,
2013/1/22,0.42391379,0.912271504,-0.064443923,,,
2013/1/29,0.388966781,0.877324495,-0.099390932,,,
2013/2/5,0.436670972,0.925028685,-0.051686741,,,
2013/2/19,0.420030783,0.908388496,-0.06832693,,,
2013/2/26,0.345477628,0.833835342,-0.142880085,,,
2013/3/5,0.377629525,0.865987238,-0.110728188,,,
2013/3/12,0.374104355,0.862462068,-0.114253358,,,
2013/3/19,0.319633728,0.807991441,-0.168723986,,,
2013/3/26,0.377674506,0.866032219,-0.110683207,,,
2013/4/2,0.440789135,0.929146848,-0.047568579,,,
2013/4/9,0.273441652,0.761799366,-0.214916061,,,
2013/4/16,0.335372374,0.823730088,-0.152985339,,,
2013/4/23,0.350968735,0.839326449,-0.137388978,,,
2013/4/30,0.410477068,0.898834781,-0.077880646,,,
2013/5/7,0.357453087,0.8458108,-0.130904626,,,
2013/5/14,0.380851155,0.869208868,-0.107506559,,,
2013/5/21,0.356347997,0.844705711,-0.132009716,,,
2013/5/28,0.454575668,0.942933381,-0.033782046,,,
2013/6/4,0.379010269,0.867367982,-0.109347444,,,
2013/6/11,0.414272186,0.902629899,-0.074085527,,,
2013/6/18,0.394308249,0.882665962,-0.094049464,,,
2013/6/25,0.362895096,0.851252809,-0.125462618,,,
2013/7/2,0.377270385,0.865628098,-0.111087329,,,
2013/7/9,0.413064501,0.901422214,-0.075293212,,,
2013/7/16,0.370354484,0.858712197,-0.11800323,,,
2013/7/23,0.376434975,0.864792688,-0.111922738,,,
2013/7/30,0.410100281,0.898457994,-0.078257432,,,
2013/8/6,0.336923725,0.825281439,-0.151433988,,,
2013/8/13,0.401840159,0.890197872,-0.086517555,,,
2013/8/20,0.36532923,0.853686943,-0.123028484,,,
2013/8/27,0.329898807,0.818256521,-0.158458906,,,
2013/9/3,0.341104188,0.829461901,-0.147253525,,,
2013/9/10,0.359528975,0.847886688,-0.128828739,,,
2013/9/17,0.309983526,0.79834124,-0.178374187,,,
2013/9/24,0.34649044,0.834848153,-0.141867273,,,
2013/10/1,0.298701242,0.787058955,-0.189656471,,,
2013/10/8,0.257260661,0.745618375,-0.231097052,,,
2013/10/15,0.320963574,0.809321287,-0.167394139,,,
2013/10/22,0.287225349,0.775583062,-0.201132364,,,
2013/10/29,0.289500941,0.777858654,-0.198856773,,,
2013/11/5,0.310278316,0.798636029,-0.178079397,,,
2013/11/12,0.310318332,0.798676046,-0.178039381,,,
2013/11/19,0.307371803,0.795729516,-0.18098591,,,
2013/11/26,0.301036792,0.789394506,-0.187320921,,,
2013/12/3,0.280602035,0.768959748,-0.207755678,,,
2013/12/10,0.3422168,0.830574513,-0.146140913,,,
2013/12/17,0.325516822,0.813874536,-0.162840891,,,
2013/12/24,0.348529842,0.836887555,-0.139827871,,,
2014/1/1,0.363716888,0.852074602,-0.124640825,,,
2014/1/8,0.396871838,0.885229551,-0.091485875,,,
2014/1/15,0.339316119,0.827673833,-0.149041594,,,
2014/1/22,0.364112808,0.852470521,-0.124244906,,,
2014/1/29,0.400371111,0.888728824,-0.087986602,,,
2014/2/5,0.387353167,0.87571088,-0.101004546,,,
2014/2/12,0.354413507,0.84277122,-0.133944206,,,
2014/2/19,0.39298561,0.881343323,-0.095372103,,,
2014/2/26,0.373126759,0.861484472,-0.115230955,,,
2014/3/5,0.362114338,0.850472052,-0.126243375,,,
