日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.224849464,2.236848364,0.212850564,,,
2013/1/8,1.434170446,2.446169346,0.422171545,,,
2013/1/15,1.360765884,2.372764784,0.348766984,,,
2013/1/22,1.229696711,2.241695611,0.217697811,,,
2013/1/29,1.298783502,2.310782402,0.286784602,,,
2013/2/5,1.244679666,2.256678566,0.232680766,,,
2013/2/19,1.410752166,2.422751067,0.398753266,,,
2013/2/26,1.637857754,2.649856654,0.625858853,,,
2013/3/5,1.640795522,2.652794423,0.628796622,,,
2013/3/12,1.650354383,2.662353283,0.638355483,,,
2013/3/19,1.684854933,2.696853833,0.672856033,,,
2013/3/26,1.717482457,2.729481357,0.705483557,,,
2013/4/2,1.523372577,2.535371477,0.511373677,,,
2013/4/9,1.45384511,2.46584401,0.44184621,,,
2013/4/16,1.519053691,2.531052592,0.507054791,,,
2013/4/23,1.091837421,2.103836322,0.079838521,,,
2013/4/30,1.068149453,2.080148353,0.056150552,,,
2013/5/7,1.403199847,2.415198747,0.391200946,,,
2013/5/14,1.371525708,2.383524608,0.359526807,,,
2013/5/21,1.611965905,2.623964805,0.599967005,,,
2013/5/28,1.376973932,2.388972832,0.364975032,,,
2013/6/4,1.20737015,2.21936905,0.195371249,,,
2013/6/11,1.18222374,2.19422264,0.170224839,,,
2013/6/18,0.973345533,1.985344433,-0.038653367,,,
2013/6/25,1.126233202,2.138232102,0.114234302,,,
2013/7/2,1.301387717,2.313386618,0.289388817,,,
2013/7/9,1.300662288,2.312661189,0.288663388,,,
2013/7/16,1.042069454,2.054068354,0.030070553,,,
2013/7/23,1.14442274,2.15642164,0.132423839,,,
2013/7/30,1.368934854,2.380933755,0.356935954,,,
2013/8/6,1.099578913,2.111577814,0.087580013,,,
2013/8/13,0.995797852,2.007796752,-0.016201048,,,
2013/8/20,1.154388415,2.166387316,0.142389515,,,
2013/8/27,1.19145036,2.20344926,0.17945146,,,
2013/9/3,1.178080349,2.190079249,0.166081449,,,
2013/9/10,1.062948474,2.074947375,0.050949574,,,
2013/9/17,1.105348289,2.11734719,0.093349389,,,
2013/9/24,1.189898567,2.201897467,0.177899667,,,
2013/10/1,1.102328634,2.114327535,0.090329734,,,
2013/10/8,1.099678143,2.111677044,0.087679243,,,
2013/10/15,1.098242541,2.110241441,0.08624364,,,
2013/10/22,1.141676749,2.153675649,0.129677849,,,
2013/10/29,1.052368273,2.064367173,0.040369373,,,
2013/11/5,1.088208334,2.100207235,0.076209434,,,
2013/11/12,1.221100151,2.233099052,0.209101251,,,
2013/11/19,1.427157713,2.439156613,0.415158813,,,
2013/11/26,1.399987912,2.411986812,0.387989011,,,
2013/12/3,1.289083341,2.301082241,0.277084441,,,
2013/12/10,1.259670202,2.271669102,0.247671302,,,
2013/12/17,1.167844596,2.179843496,0.155845696,,,
2013/12/24,1.314850221,2.326849122,0.302851321,,,
2014/1/1,1.310879314,2.322878214,0.298880414,,,
2014/1/8,1.34970876,2.361707661,0.33770986,,,
2014/1/15,1.192970894,2.204969794,0.180971993,,,
2014/1/22,1.159925483,2.171924384,0.147926583,,,
2014/1/29,1.324305634,2.336304534,0.312306734,,,
2014/2/5,1.043271845,2.055270745,0.031272945,,,
2014/2/12,0.970968711,1.982967611,-0.041030189,,,
2014/2/19,1.159747026,2.171745927,0.147748126,,,
2014/2/26,1.220756807,2.232755708,0.208757907,,,
2014/3/5,1.085492482,2.097491382,0.073493582,,,
2014/3/12,1.083498114,2.095497014,0.071499213,,,
2014/3/19,1.137045301,2.149044202,0.125046401,,,
2014/3/26,1.143395315,2.155394216,0.131396415,,,
2014/4/2,1.126754825,2.138753725,0.114755924,,,
2014/4/9,1.0581992,2.0701981,0.0462003,,,
2014/4/16,1.083974461,2.095973362,0.071975561,,,
2014/4/23,1.047467305,2.059466205,0.035468405,,,
2014/4/30,1.102860612,2.114859513,0.090861712,,,
2014/5/7,1.131479848,2.143478749,0.119480948,,,
2014/5/14,1.082716517,2.094715418,0.070717617,,,
2014/5/21,1.138994262,2.150993163,0.126995362,,,
2014/5/28,1.221925628,2.233924529,0.209926728,,,
2014/6/4,1.271165929,2.28316483,0.259167029,,,
2014/6/11,1.153345075,2.165343975,0.141346175,,,
2014/6/18,1.050589571,2.062588471,0.038590671,,,
2014/6/25,1.139119133,2.151118033,0.127120232,,,
2014/7/2,1.178772437,2.190771338,0.166773537,,,
2014/7/9,1.25615066,2.268149561,0.24415176,,,
2014/7/16,1.245819942,2.257818842,0.233821041,,,
2014/7/23,1.146351636,2.158350536,0.134352736,,,
2014/7/30,1.155411322,2.167410222,0.143412422,,,
2014/12/17,1.280241391,2.292240292,0.268242491,,,
2014/12/24,1.253198042,2.265196943,0.241199142,,,
2014/12/31,1.165509555,2.177508455,0.153510655,,,
2015/1/1,1.170312203,2.182311104,0.158313303,,,
2015/1/8,1.248698862,2.260697763,0.236699962,,,
2015/1/15,1.278850616,2.290849516,0.266851716,,,
2015/1/22,1.222319493,2.234318393,0.210320593,,,
2015/1/29,1.154894269,2.166893169,0.142895368,,,
2015/2/5,1.0542137,2.066212601,0.0422148,,,
2015/2/12,1.159444554,2.171443454,0.147445654,,,
2015/2/19,1.201362169,2.21336107,0.189363269,,,
2015/2/26,1.014223508,2.026222408,0.002224608,,,
2015/3/5,1.081774454,2.093773355,0.069775554,,,
2015/3/12,1.295085521,2.307084421,0.28308662,,,
2015/3/19,1.477829649,2.489828549,0.465830749,,,
2015/3/26,1.39470229,2.40670119,0.38270339,,,
2015/4/2,1.164386729,2.176385629,0.152387829,,,
2015/4/9,1.107355041,2.119353942,0.095356141,,,
2015/4/16,1.217318383,2.229317283,0.205319483,,,
2015/4/23,1.291717692,2.303716592,0.279718791,,,
2015/4/30,1.330728642,2.342727542,0.318729742,,,
2015/5/7,1.262491495,2.274490395,0.250492595,,,
2015/5/14,1.254873825,2.266872725,0.242874924,,,
2015/5/21,1.194337235,2.206336135,0.182338335,,,
2015/5/28,1.186441547,2.198440447,0.174442646,,,
2015/6/4,1.185479641,2.197478541,0.17348074,,,
2015/6/11,1.163494452,2.175493352,0.151495552,,,
2015/6/18,1.18735173,2.19935063,0.17535283,,,
2015/6/25,1.009926261,2.021925161,-0.00207264,,,
2015/7/2,1.012449379,2.024448279,0.000450479,,,
2015/7/9,1.196981717,2.208980617,0.184982816,,,
2015/7/16,1.1261275,2.138126401,0.1141286,,,
2015/7/23,0.986812155,1.998811055,-0.025186745,,,
2015/7/30,1.01003152,2.022030421,-0.00196738,,,
2015/8/6,0.998477937,2.010476838,-0.013520963,,,
2015/8/13,1.134509815,2.146508716,0.122510915,,,
2015/8/20,1.135196199,2.147195099,0.123197298,,,
2015/8/27,1.065810277,2.077809178,0.053811377,,,
2015/9/3,1.067861989,2.079860889,0.055863088,,,
2015/9/10,1.121581937,2.133580837,0.109583037,,,
2015/9/17,1.172241915,2.184240815,0.160243014,,,
2015/9/24,1.107281872,2.119280773,0.095282972,,,
2015/10/1,1.144280196,2.156279096,0.132281296,,,
2015/10/8,1.18347212,2.19547102,0.17147322,,,
2015/10/15,1.191890989,2.203889889,0.179892089,,,
2015/10/22,1.197609966,2.209608866,0.185611066,,,
2015/10/29,1.096255653,2.108254553,0.084256752,,,
2015/11/5,1.088331338,2.100330238,0.076332437,,,
2015/11/12,1.188805684,2.200804584,0.176806784,,,
2015/11/19,1.226829926,2.238828827,0.214831026,,,
2015/11/26,1.213737453,2.225736353,0.201738553,,,
2015/12/3,1.224056816,2.236055717,0.212057916,,,
2015/12/10,1.159971165,2.171970065,0.147972265,,,
2015/12/17,1.041474907,2.053473807,0.029476007,,,
2015/12/24,1.027252067,2.039250967,0.015253167,,,
2015/12/31,1.037124475,2.049123375,0.025125574,,,
2016/1/8,1.089798734,2.101797634,0.077799834,,,
2016/1/15,1.051622778,2.063621678,0.039623877,,,
2016/1/22,1.069518323,2.081517224,0.057519423,,,
2016/1/29,1.12119714,2.13319604,0.10919824,,,
2016/2/5,0.934947832,1.946946732,-0.077051068,,,
2016/2/12,0.961955378,1.973954278,-0.050043523,,,
2016/2/19,1.057387996,2.069386896,0.045389095,,,
2016/2/26,1.012887638,2.024886539,0.000888738,,,
2016/3/4,0.946651728,1.958650628,-0.065347173,,,
2016/3/11,1.053946868,2.065945768,0.041947968,,,
2016/3/18,1.247378423,2.259377323,0.235379523,,,
2016/3/25,1.196209183,2.208208083,0.184210282,,,
2016/4/1,1.043592752,2.055591652,0.031593852,,,
2016/4/8,0.94154902,1.95354792,-0.07044988,,,
2016/4/15,1.047827419,2.059826319,0.035828518,,,
2016/4/22,1.158423913,2.170422813,0.146425012,,,
2016/4/29,1.112435609,2.124434509,0.100436708,,,
2016/5/6,1.07081197,2.08281087,0.05881307,,,
2016/5/13,1.119319469,2.13131837,0.107320569,,,
2016/5/20,1.134439011,2.146437912,0.122440111,,,
2016/5/27,1.156560539,2.168559439,0.144561638,,,
2016/6/3,1.127085235,2.139084135,0.115086334,,,
2016/6/10,1.02243221,2.034431111,0.01043331,,,
2016/6/17,1.118697577,2.130696477,0.106698676,,,
2016/6/24,1.128380114,2.140379014,0.116381214,,,
2016/7/1,1.064728627,2.076727527,0.052729726,,,
2016/7/8,1.064737886,2.076736786,0.052738986,,,
2016/7/15,1.144459813,2.156458713,0.132460913,,,
2016/7/22,1.15815461,2.17015351,0.14615571,,,
2016/7/29,1.047155724,2.059154624,0.035156823,,,
2016/8/5,1.04588505,2.05788395,0.03388615,,,
2016/8/12,1.093035775,2.105034675,0.081036875,,,
