日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,3.553906566,4.994388525,2.113424607,,,
2013/1/8,5.480778076,6.921260035,4.040296117,,,
2013/1/15,4.746574314,6.187056274,3.306092355,,,
2013/1/22,4.104388641,5.5448706,2.663906681,,,
2013/1/29,4.967425861,6.40790782,3.526943901,,,
2013/2/5,4.470455441,5.9109374,3.029973481,,,
2013/2/19,3.81229161,5.252773569,2.371809651,,,
2013/2/26,4.58254344,6.0230254,3.142061481,,,
2013/3/5,5.321520358,6.762002317,3.881038398,,,
2013/3/12,4.946310774,6.386792733,3.505828815,,,
2013/3/19,4.217769953,5.658251912,2.777287993,,,
2013/3/26,3.881639974,5.322121933,2.441158015,,,
2013/4/2,3.408547721,4.84902968,1.968065762,,,
2013/4/9,2.082806408,3.523288367,0.642324448,,,
2013/4/16,2.313835198,3.754317157,0.873353239,,,
2013/4/23,2.607924869,4.048406829,1.16744291,,,
2013/4/30,1.845298361,3.285780321,0.404816402,,,
2013/5/7,1.943869597,3.384351556,0.503387638,,,
2013/5/14,1.528288369,2.968770328,0.087806409,,,
2013/5/21,1.074063769,2.514545728,-0.36641819,,,
2013/5/28,1.067904717,2.508386676,-0.372577242,,,
2013/6/4,1.017188709,2.457670669,-0.42329325,,,
2013/6/11,1.118238901,2.55872086,-0.322243059,,,
2013/6/18,0.989576416,2.430058375,-0.450905544,,,
2013/6/25,1.086084733,2.526566692,-0.354397227,,,
2013/7/2,1.244419356,2.684901315,-0.196062603,,,
2013/7/9,1.240606361,2.68108832,-0.199875598,,,
2013/7/16,1.4354546,2.875936559,-0.005027359,,,
2013/7/23,1.41086985,2.851351809,-0.029612109,,,
2013/7/30,1.165459917,2.605941876,-0.275022042,,,
2013/8/6,1.218607048,2.659089007,-0.221874912,,,
2013/8/13,1.343509288,2.783991248,-0.096972671,,,
2013/8/20,1.1970455,2.637527459,-0.24343646,,,
2013/8/27,1.028406457,2.468888416,-0.412075502,,,
2013/9/3,1.130074491,2.57055645,-0.310407469,,,
2013/9/10,1.114713785,2.555195744,-0.325768174,,,
2013/9/17,1.191730472,2.632212431,-0.248751488,,,
2013/9/24,1.074735999,2.515217959,-0.36574596,,,
2013/10/1,0.893087314,2.333569273,-0.547394646,,,
2013/10/8,0.779571184,2.220053143,-0.660910776,,,
2013/10/15,0.648628515,2.089110475,-0.791853444,,,
2013/10/22,0.81094055,2.25142251,-0.629541409,,,
2013/10/29,0.916085904,2.356567864,-0.524396055,,,
2013/11/5,0.91268693,2.353168889,-0.527795029,,,
