日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,1.851302072,4.73760037,-1.034996227,,,
2013/1/8,1.297667625,4.183965923,-1.588630674,,,
2013/1/15,2.45843437,5.344732669,-0.427863928,,,
2013/1/22,1.748676113,4.634974411,-1.137622186,,,
2013/1/29,1.193804021,4.08010232,-1.692494277,,,
2013/2/5,2.001161601,4.8874599,-0.885136697,,,
2013/2/19,2.778783385,5.665081683,-0.107514914,,,
2013/2/26,1.717413966,4.603712264,-1.168884333,,,
2013/3/5,2.514844034,5.401142333,-0.371454264,,,
2013/3/12,2.647974175,5.534272474,-0.238324123,,,
2013/3/19,2.741927368,5.628225666,-0.144370931,,,
2013/3/26,2.876179189,5.762477487,-0.01011911,,,
2013/4/2,3.327231999,6.213530297,0.4409337,,,
2013/4/9,4.435966291,7.322264589,1.549667992,,,
2013/4/16,3.813290453,6.699588751,0.926992154,,,
2013/4/23,2.942857223,5.829155521,0.056558924,,,
2013/4/30,3.320942495,6.207240794,0.434644197,,,
2013/5/7,5.381132168,8.267430467,2.49483387,,,
2013/5/14,6.502780188,9.389078487,3.61648189,,,
2013/5/21,3.939562061,6.82586036,1.053263763,,,
2013/5/28,4.242209896,7.128508195,1.355911598,,,
2013/6/4,4.172735613,7.059033911,1.286437314,,,
2013/6/11,2.96827703,5.854575328,0.081978731,,,
2013/6/18,3.560101988,6.446400287,0.67380369,,,
2013/6/25,4.741310975,7.627609273,1.855012676,,,
2013/7/2,6.633791678,9.520089976,3.747493379,,,
2013/7/9,3.802684139,6.688982438,0.916385841,,,
2013/7/16,3.479595901,6.365894199,0.593297602,,,
2013/7/23,3.436658397,6.322956695,0.550360098,,,
2013/7/30,3.609488063,6.495786361,0.723189764,,,
2013/8/6,4.364086925,7.250385223,1.477788626,,,
2013/8/13,3.921445713,6.807744012,1.035147415,,,
2013/8/20,3.139682365,6.025980664,0.253384067,,,
2013/8/27,2.709186747,5.595485045,-0.177111552,,,
2013/9/3,2.325034328,5.211332626,-0.561263971,,,
2013/9/10,2.265268893,5.151567192,-0.621029405,,,
2013/9/17,1.899448038,4.785746336,-0.986850261,,,
2013/9/24,2.35063691,5.236935209,-0.535661388,,,
2013/10/1,1.96445365,4.850751948,-0.921844649,,,
2013/10/8,1.305617032,4.19191533,-1.580681267,,,
2013/10/15,1.679470826,4.565769125,-1.206827472,,,
2013/10/22,1.662348376,4.548646674,-1.223949923,,,
2013/10/29,1.957259522,4.843557821,-0.929038776,,,
2013/11/5,2.252888979,5.139187278,-0.633409319,,,
2013/11/12,2.182059351,5.06835765,-0.704238947,,,
2013/11/19,2.065316974,4.951615273,-0.820981324,,,
2013/11/26,1.901341877,4.787640175,-0.984956422,,,
2013/12/3,2.197039442,5.083337741,-0.689258856,,,
2013/12/10,2.234503032,5.12080133,-0.651795267,,,
2013/12/17,2.003650273,4.889948571,-0.882648026,,,
2013/12/24,2.65254038,5.538838678,-0.233757919,,,
