日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.607750432,1.286027948,-0.070527084,,,
2013/1/8,0.465863276,1.144140792,-0.21241424,,,
2013/1/15,0.443179081,1.121456597,-0.235098435,,,
2013/1/22,0.556388444,1.23466596,-0.121889073,,,
2013/1/29,0.626594799,1.304872315,-0.051682717,,,
2013/2/5,0.50559737,1.183874886,-0.172680146,,,
2013/2/19,0.37723461,1.055512126,-0.301042906,,,
2013/2/26,0.371836747,1.050114263,-0.306440769,,,
2013/3/5,0.428851342,1.107128858,-0.249426174,,,
2013/3/12,0.46771657,1.145994086,-0.210560947,,,
2013/3/19,0.327868777,1.006146293,-0.35040874,,,
2013/3/26,0.555415898,1.233693414,-0.122861619,,,
2013/4/2,0.608915962,1.287193478,-0.069361555,,,
2013/4/9,0.459915097,1.138192613,-0.218362419,,,
2013/4/16,0.950738468,1.629015984,0.272460952,,,
2013/4/23,0.616524692,1.294802208,-0.061752824,,,
2013/4/30,0.467525828,1.145803344,-0.210751688,,,
2013/5/7,0.603334285,1.281611801,-0.074943231,,,
2013/5/14,0.646960076,1.325237592,-0.03131744,,,
2013/5/21,0.486193548,1.164471064,-0.192083968,,,
2013/5/28,0.771031297,1.449308813,0.092753781,,,
2013/6/4,0.74344803,1.421725546,0.065170514,,,
2013/6/11,0.611950843,1.29022836,-0.066326673,,,
2013/6/18,0.59901123,1.277288746,-0.079266287,,,
2013/6/25,0.582231219,1.260508735,-0.096046298,,,
2013/7/2,0.360548383,1.038825899,-0.317729133,,,
2013/7/9,0.598801192,1.277078708,-0.079476324,,,
2013/7/16,0.666296871,1.344574387,-0.011980645,,,
2013/7/23,0.475897583,1.154175099,-0.202379933,,,
2013/7/30,0.432731824,1.111009341,-0.245545692,,,
2013/8/6,0.587440438,1.265717954,-0.090837078,,,
2013/8/13,0.508590765,1.186868281,-0.169686751,,,
2013/8/20,0.348826783,1.027104299,-0.329450733,,,
2013/8/27,0.388226103,1.066503619,-0.290051413,,,
2013/9/3,0.511608423,1.189885939,-0.166669093,,,
2013/9/10,0.528581616,1.206859132,-0.1496959,,,
2013/9/17,0.547968342,1.226245858,-0.130309174,,,
2013/9/24,0.758095284,1.4363728,0.079817768,,,
2013/10/1,0.545201053,1.223478569,-0.133076463,,,
2013/10/8,0.548039084,1.2263166,-0.130238432,,,
2013/10/15,0.502320009,1.180597525,-0.175957507,,,
2013/10/22,0.407369086,1.085646603,-0.27090843,,,
2013/10/29,0.40062625,1.078903766,-0.277651267,,,
2013/11/5,0.516062998,1.194340515,-0.162214518,,,
2013/11/12,0.583948617,1.262226134,-0.094328899,,,
2013/11/19,0.581383363,1.259660879,-0.096894153,,,
2013/11/26,0.49210478,1.170382297,-0.186172736,,,
2013/12/3,0.45739807,1.135675586,-0.220879446,,,
2013/12/10,0.513844723,1.192122239,-0.164432794,,,
2013/12/17,0.601536097,1.279813613,-0.076741419,,,
2013/12/24,0.521320902,1.199598418,-0.156956615,,,
2014/1/1,0.434080248,1.112357764,-0.244197268,,,
2014/1/8,0.44361163,1.121889146,-0.234665886,,,
2014/1/15,0.501740023,1.180017539,-0.176537493,,,
2014/1/22,0.557127529,1.235405045,-0.121149988,,,
2014/1/29,0.761950651,1.440228167,0.083673135,,,
2014/2/5,0.584695185,1.262972702,-0.093582331,,,
2014/2/12,0.366736086,1.045013602,-0.31154143,,,
2014/2/19,0.358676943,1.036954459,-0.319600573,,,
2014/2/26,0.369004998,1.047282514,-0.309272518,,,
