日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.698194086,1.655891072,-0.2595029,,,
2013/1/8,0.454221996,1.411918982,-0.50347499,,,
2013/1/15,0.424686967,1.382383953,-0.533010019,,,
2013/1/22,0.399330575,1.357027561,-0.558366411,,,
2013/1/29,0.411496912,1.369193898,-0.546200074,,,
2013/2/5,0.333584519,1.291281505,-0.624112467,,,
2013/2/19,0.395441544,1.353138531,-0.562255442,,,
2013/2/26,0.369045145,1.326742131,-0.588651841,,,
2013/3/5,0.45021469,1.407911676,-0.507482296,,,
2013/3/12,0.354898011,1.312594997,-0.602798975,,,
2013/3/19,0.36236718,1.320064166,-0.595329806,,,
2013/3/26,0.344317149,1.302014135,-0.613379837,,,
2013/4/2,0.403548265,1.361245251,-0.554148721,,,
2013/4/9,0.275632654,1.23332964,-0.682064332,,,
2013/4/16,0.418003507,1.375700493,-0.539693479,,,
2013/4/23,0.309534519,1.267231505,-0.648162467,,,
2013/4/30,0.357006742,1.314703728,-0.600690244,,,
2013/5/7,0.299976816,1.257673802,-0.65772017,,,
2013/5/14,0.400445691,1.358142677,-0.557251295,,,
2013/5/21,0.705013284,1.66271027,-0.252683702,,,
2013/5/28,0.667362825,1.625059811,-0.290334161,,,
2013/6/4,0.378047773,1.335744759,-0.579649214,,,
2013/6/11,0.482307985,1.440004971,-0.475389001,,,
2013/6/18,0.656729108,1.614426094,-0.300967878,,,
2013/6/25,0.508507118,1.466204104,-0.449189868,,,
2013/7/2,0.430700155,1.388397141,-0.526996831,,,
2013/7/9,0.445646622,1.403343608,-0.512050364,,,
2013/7/16,0.42289115,1.380588136,-0.534805836,,,
2013/7/23,0.536283583,1.493980569,-0.421413403,,,
2013/7/30,0.552757524,1.51045451,-0.404939462,,,
2013/8/6,0.346101519,1.303798505,-0.611595467,,,
2013/8/13,0.527777125,1.485474111,-0.429919861,,,
2013/8/20,0.532444583,1.490141569,-0.425252403,,,
2013/8/27,0.401082283,1.358779269,-0.556614703,,,
2013/9/3,0.372987946,1.330684932,-0.58470904,,,
2013/9/10,0.403302191,1.360999177,-0.554394795,,,
2013/9/17,0.436852876,1.394549862,-0.52084411,,,
2013/9/24,0.391262682,1.348959668,-0.566434304,,,
2013/10/1,0.467326258,1.425023244,-0.490370728,,,
2013/10/8,0.391461187,1.349158173,-0.566235799,,,
2013/10/15,0.358667255,1.316364242,-0.599029731,,,
2013/10/22,0.394321012,1.352017998,-0.563375974,,,
2013/10/29,0.451309867,1.409006853,-0.506387119,,,
2013/11/5,0.385344421,1.343041407,-0.572352565,,,
2013/11/12,0.398255534,1.35595252,-0.559441452,,,
2013/11/19,0.366185439,1.323882425,-0.591511547,,,
2013/11/26,0.338907046,1.296604033,-0.61878994,,,
2013/12/3,0.390663186,1.348360172,-0.5670338,,,
2013/12/10,0.560789407,1.518486393,-0.396907579,,,
2013/12/17,0.461425329,1.419122315,-0.496271657,,,
2013/12/24,0.371827526,1.329524512,-0.58586946,,,
2014/1/1,0.452043205,1.409740191,-0.505653781,,,
2014/1/8,0.527187622,1.484884608,-0.430509364,,,
2014/1/15,0.476769915,1.434466901,-0.480927071,,,
2014/1/22,0.451885367,1.409582353,-0.505811619,,,
2014/1/29,0.388527537,1.346224523,-0.569169449,,,
2014/2/5,0.422404345,1.380101331,-0.535292641,,,
2014/2/12,0.512681045,1.470378031,-0.445015941,,,
2014/2/19,0.421193092,1.378890078,-0.536503894,,,
2014/2/26,0.364284988,1.321981974,-0.593411998,,,
2014/3/5,0.477694752,1.435391738,-0.480002234,,,
2014/3/12,0.466962315,1.424659301,-0.490734671,,,
2014/3/19,0.378619821,1.336316807,-0.579077165,,,
2014/3/26,0.495064495,1.452761481,-0.462632491,,,
2014/4/2,0.418542557,1.376239543,-0.539154429,,,
2014/4/9,0.507823964,1.465520951,-0.449873022,,,
2014/4/16,0.534747518,1.492444504,-0.422949468,,,
2014/4/23,0.504687087,1.462384073,-0.453009899,,,
2014/4/30,0.395202007,1.352898993,-0.562494979,,,
2014/5/7,0.477646159,1.435343145,-0.480050827,,,
2014/5/14,0.479847166,1.437544152,-0.47784982,,,
2014/5/21,0.478717825,1.436414811,-0.478979161,,,
2014/5/28,0.635493217,1.593190203,-0.322203769,,,
2014/6/4,0.651870052,1.609567038,-0.305826934,,,
2014/6/11,0.536692854,1.49438984,-0.421004132,,,
2014/6/18,0.584423257,1.542120243,-0.373273729,,,
2014/6/25,0.653163034,1.61086002,-0.304533952,,,
2014/7/2,0.588753595,1.546450581,-0.368943391,,,
2014/7/9,0.594512507,1.552209493,-0.363184479,,,
