日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.866302923,1.748803763,-0.016197918,,,
2013/1/8,0.756528247,1.639029088,-0.125972594,,,
2013/1/15,0.838648349,1.721149189,-0.043852492,,,
2013/1/22,0.86185392,1.744354761,-0.020646921,,,
2013/1/29,0.953773455,1.836274296,0.071272615,,,
2013/2/5,0.845692268,1.728193109,-0.036808573,,,
2013/2/19,0.801644343,1.684145184,-0.080856497,,,
2013/2/26,0.811823588,1.694324429,-0.070677252,,,
2013/3/5,0.843723166,1.726224007,-0.038777675,,,
2013/3/12,0.917033489,1.799534329,0.034532648,,,
2013/3/19,1.577102119,2.45960296,0.694601278,,,
2013/3/26,1.158372092,2.040872932,0.275871251,,,
2013/4/2,0.896063,1.778563841,0.01356216,,,
2013/4/9,0.705976875,1.588477716,-0.176523965,,,
2013/4/16,1.116888145,1.999388986,0.234387305,,,
2013/4/23,0.975545566,1.858046407,0.093044726,,,
2013/4/30,0.480028622,1.362529463,-0.402472218,,,
2013/5/7,0.939760074,1.822260915,0.057259233,,,
2013/5/14,0.599876014,1.482376854,-0.282624827,,,
2013/5/21,1.019390947,1.901891788,0.136890107,,,
2013/5/28,0.378456423,1.260957264,-0.504044418,,,
2013/6/4,1.053679855,1.936180696,0.171179014,,,
2013/6/11,0.794962773,1.677463613,-0.087538068,,,
2013/6/18,0.686147257,1.568648098,-0.196353584,,,
2013/6/25,0.792252467,1.674753308,-0.090248374,,,
2013/7/2,0.854685056,1.737185897,-0.027815785,,,
2013/7/9,0.92107271,1.80357355,0.038571869,,,
2013/7/16,0.880088194,1.762589035,-0.002412647,,,
2013/7/23,0.837280308,1.719781148,-0.045220533,,,
2013/7/30,0.899981555,1.782482395,0.017480714,,,
2013/8/6,0.839111522,1.721612362,-0.043389319,,,
2013/8/13,0.872518109,1.75501895,-0.009982732,,,
2013/8/20,0.782828669,1.665329509,-0.099672172,,,
2013/8/27,0.820191685,1.702692526,-0.062309156,,,
2013/9/3,0.827833515,1.710334356,-0.054667325,,,
2013/9/10,0.899575895,1.782076736,0.017075054,,,
2013/9/17,0.824195247,1.706696088,-0.058305593,,,
2013/9/24,0.894994368,1.777495209,0.012493527,,,
2013/10/1,0.891712897,1.774213738,0.009212057,,,
2013/10/8,0.79493895,1.677439791,-0.087561891,,,
2013/10/15,0.789944723,1.672445563,-0.092556118,,,
2013/10/22,0.770745648,1.653246489,-0.111755193,,,
2013/10/29,0.929134269,1.811635109,0.046633428,,,
2013/11/5,0.77225471,1.654755551,-0.110246131,,,
2013/11/12,0.802196976,1.684697817,-0.080303865,,,
2013/11/19,0.801392259,1.6838931,-0.081108582,,,
2013/11/26,0.925839434,1.808340275,0.043338593,,,
2013/12/3,0.869512144,1.752012985,-0.012988697,,,
2013/12/10,0.924991451,1.807492292,0.04249061,,,
2013/12/17,1.061272682,1.943773523,0.178771841,,,
2013/12/24,0.928630544,1.811131385,0.046129704,,,
2014/1/1,0.927502597,1.810003438,0.045001756,,,
2014/1/8,0.927567729,1.81006857,0.045066888,,,
2014/1/15,0.974399635,1.856900475,0.091898794,,,
2014/1/22,0.890134297,1.772635137,0.007633456,,,
2014/1/29,0.756046252,1.638547093,-0.126454588,,,
2014/2/5,0.838719703,1.721220544,-0.043781137,,,
2014/2/12,1.136590899,2.01909174,0.254090058,,,
2014/2/19,0.905554276,1.788055117,0.023053436,,,
2014/2/26,0.837361865,1.719862706,-0.045138976,,,
2014/3/5,0.787668454,1.670169294,-0.094832387,,,
2014/3/12,0.999537809,1.88203865,0.117036969,,,
2014/3/19,0.918735754,1.801236594,0.036234913,,,
2014/3/26,0.758870241,1.641371082,-0.123630599,,,
2014/4/2,0.942827953,1.825328794,0.060327112,,,
2014/4/9,0.798558491,1.681059332,-0.083942349,,,
2014/4/16,0.964953278,1.847454119,0.082452438,,,
2014/4/23,0.654744021,1.537244861,-0.22775682,,,
2014/4/30,0.890133816,1.772634657,0.007632976,,,
2014/5/7,0.786703784,1.669204625,-0.095797057,,,
2014/5/14,0.756970684,1.639471524,-0.125530157,,,
2014/5/21,0.844439717,1.726940557,-0.038061124,,,
2014/5/28,0.806471112,1.688971953,-0.076029729,,,
2014/6/4,0.837596874,1.720097714,-0.044903967,,,
