日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.89765285,1.457119463,0.338186236,,,
2013/1/8,1.01682155,1.576288164,0.457354937,,,
2013/1/15,1.05455361,1.614020223,0.495086996,,,
2013/1/22,1.213152486,1.772619099,0.653685872,,,
2013/1/29,1.461277807,2.020744421,0.901811193,,,
2013/2/5,1.394972525,1.954439139,0.835505912,,,
2013/2/19,1.471818383,2.031284997,0.91235177,,,
2013/2/26,1.731543515,2.291010129,1.172076902,,,
2013/3/5,1.53077753,2.090244143,0.971310916,,,
2013/3/12,1.481695864,2.041162478,0.922229251,,,
2013/3/19,1.283942457,1.84340907,0.724475843,,,
2013/3/26,1.355360661,1.914827274,0.795894047,,,
2013/4/2,1.242852138,1.802318751,0.683385524,,,
2013/4/9,1.06030175,1.619768363,0.500835136,,,
2013/4/16,0.985399066,1.54486568,0.425932453,,,
2013/4/23,0.940951464,1.500418077,0.38148485,,,
2013/4/30,0.957045016,1.516511629,0.397578402,,,
2013/5/7,0.887350262,1.446816876,0.327883649,,,
2013/5/14,0.821342724,1.380809338,0.261876111,,,
2013/5/21,0.971731562,1.531198176,0.412264949,,,
2013/5/28,0.917421457,1.476888071,0.357954844,,,
2013/6/4,0.899953319,1.459419933,0.340486706,,,
2013/6/11,0.787354311,1.346820925,0.227887698,,,
2013/6/18,0.955731281,1.515197894,0.396264667,,,
2013/6/25,0.831292922,1.390759536,0.271826309,,,
2013/7/2,0.718938378,1.278404992,0.159471765,,,
2013/7/9,0.813582946,1.37304956,0.254116332,,,
2013/7/16,0.827576088,1.387042701,0.268109474,,,
2013/7/23,0.726333331,1.285799944,0.166866717,,,
2013/7/30,0.766649369,1.326115982,0.207182755,,,
2013/8/6,0.846663524,1.406130138,0.287196911,,,
2013/8/13,0.945061195,1.504527809,0.385594582,,,
2013/8/20,0.90917436,1.468640974,0.349707746,,,
2013/8/27,0.824092876,1.383559489,0.264626262,,,
2013/9/3,0.827353135,1.386819749,0.267886522,,,
2013/9/10,0.762003831,1.321470444,0.202537217,,,
2013/9/17,0.700998673,1.260465287,0.14153206,,,
2013/9/24,0.658003669,1.217470283,0.098537055,,,
2013/10/1,0.551676426,1.11114304,-0.007790188,,,
2013/10/8,0.724872026,1.284338639,0.165405412,,,
2013/10/15,0.735266472,1.294733085,0.175799858,,,
2013/10/22,0.631428536,1.19089515,0.071961922,,,
2013/10/29,0.795840382,1.355306996,0.236373768,,,
2013/11/5,1.024896113,1.584362726,0.465429499,,,
2013/11/12,0.860148788,1.419615402,0.300682175,,,
2013/11/19,0.810652339,1.370118952,0.251185725,,,
2013/11/26,0.849716229,1.409182843,0.290249616,,,
2013/12/3,0.797278351,1.356744965,0.237811738,,,
2013/12/10,0.828198522,1.387665135,0.268731908,,,
2013/12/17,0.720038335,1.279504948,0.160571721,,,
2013/12/24,0.678680689,1.238147302,0.119214075,,,
2014/1/1,0.844591378,1.404057992,0.285124765,,,
2014/1/8,0.934647197,1.49411381,0.375180583,,,
2014/1/15,0.868889199,1.428355813,0.309422586,,,
2014/1/22,0.934557846,1.494024459,0.375091232,,,
2014/1/29,0.948208038,1.507674652,0.388741424,,,
2014/2/5,0.904524891,1.463991505,0.345058277,,,
2014/2/12,1.056011676,1.615478289,0.496545062,,,
2014/2/19,0.92803372,1.487500334,0.368567107,,,
2014/2/26,0.775014475,1.334481089,0.215547862,,,
2014/3/5,0.862727114,1.422193728,0.303260501,,,
2014/3/12,0.784599329,1.344065942,0.225132715,,,
2014/3/19,0.756904068,1.316370682,0.197437455,,,
2014/3/26,0.77013397,1.329600584,0.210667357,,,
2014/4/2,0.639921733,1.199388346,0.080455119,,,
2014/4/9,0.716329722,1.275796336,0.156863109,,,
2014/4/16,0.887304113,1.446770727,0.327837499,,,
2014/4/23,0.669442801,1.228909415,0.109976188,,,
2014/4/30,0.673390004,1.232856618,0.11392339,,,
2014/5/7,0.818088821,1.377555435,0.258622207,,,
2014/5/14,0.757168813,1.316635426,0.197702199,,,
2014/5/21,0.779428443,1.338895057,0.21996183,,,
2014/5/28,0.881355948,1.440822561,0.321889334,,,
2014/6/4,0.828631599,1.388098213,0.269164986,,,
2014/6/11,0.912648246,1.47211486,0.353181632,,,
2014/6/18,0.919869962,1.479336576,0.360403349,,,
2014/6/25,0.874732998,1.434199612,0.315266384,,,
2014/7/2,0.923248111,1.482714725,0.363781497,,,
2014/7/9,1.022152965,1.581619578,0.462686351,,,
2014/7/16,0.927589391,1.487056005,0.368122778,,,
2014/7/23,0.893025748,1.452492361,0.333559134,,,
2014/7/30,0.844944686,1.4044113,0.285478072,,,
2014/12/17,0.815579782,1.375046395,0.256113168,,,
2014/12/24,0.690289131,1.249755745,0.130822518,,,
2014/12/31,0.662766631,1.222233244,0.103300017,,,
2015/1/1,0.638633943,1.198100557,0.079167329,,,
2015/1/8,0.657846665,1.217313279,0.098380051,,,
2015/1/15,0.664304551,1.223771164,0.104837937,,,
2015/1/22,0.698698701,1.258165314,0.139232087,,,
2015/1/29,0.674971447,1.234438061,0.115504834,,,
2015/2/5,0.692121624,1.251588238,0.132655011,,,
2015/2/12,0.683675477,1.243142091,0.124208864,,,
2015/2/19,0.65549464,1.214961253,0.096028026,,,
2015/2/26,0.620972005,1.180438618,0.061505391,,,
2015/3/5,0.618525606,1.177992219,0.059058992,,,
2015/3/12,0.595574554,1.155041168,0.036107941,,,
2015/3/19,0.617472709,1.176939323,0.058006096,,,
2015/3/26,0.704138164,1.263604778,0.14467155,,,
2015/4/2,0.666450298,1.225916912,0.106983685,,,
2015/4/9,0.663824307,1.223290921,0.104357694,,,
2015/4/16,0.797819975,1.357286589,0.238353362,,,
2015/4/23,0.716227218,1.275693831,0.156760604,,,
2015/4/30,0.680158222,1.239624835,0.120691608,,,
2015/5/7,0.686513695,1.245980309,0.127047082,,,
2015/5/14,0.712331425,1.271798039,0.152864812,,,
2015/5/21,0.685781722,1.245248336,0.126315109,,,
2015/5/28,0.687071721,1.246538335,0.127605108,,,
2015/6/4,0.659727344,1.219193958,0.100260731,,,
2015/6/11,0.689011104,1.248477717,0.12954449,,,
2015/6/18,0.834340848,1.393807462,0.274874234,,,
2015/6/25,0.793031539,1.352498152,0.233564925,,,
2015/7/2,0.702822236,1.26228885,0.143355623,,,
2015/7/9,0.983489602,1.542956215,0.424022988,,,
2015/7/16,0.95871136,1.518177974,0.399244746,,,
2015/7/23,0.856977232,1.416443846,0.297510618,,,
2015/7/30,0.905173895,1.464640509,0.345707282,,,
2015/8/6,0.819555932,1.379022545,0.260089318,,,
2015/8/13,0.912165021,1.471631635,0.352698408,,,
2015/8/20,0.940824089,1.500290702,0.381357475,,,
2015/8/27,0.914531907,1.473998521,0.355065293,,,
2015/9/3,0.919607336,1.47907395,0.360140722,,,
2015/9/10,0.996941995,1.556408609,0.437475382,,,
2015/9/17,1.070026162,1.629492775,0.510559548,,,
2015/9/24,1.088512225,1.647978838,0.529045611,,,
2015/10/1,1.017356354,1.576822967,0.45788974,,,
2015/10/8,1.180797409,1.740264022,0.621330795,,,
2015/10/15,1.048994395,1.608461008,0.489527781,,,
2015/10/22,1.032016839,1.591483452,0.472550225,,,
2015/10/29,1.012980114,1.572446727,0.4535135,,,
2015/11/5,0.90101532,1.460481933,0.341548706,,,
2015/11/12,0.811148342,1.370614956,0.251681729,,,
2015/11/19,0.936214492,1.495681106,0.376747878,,,
2015/11/26,0.768430389,1.327897002,0.208963775,,,
2015/12/3,0.779150094,1.338616708,0.21968348,,,
2015/12/10,0.820545975,1.380012588,0.261079361,,,
2015/12/17,0.721003117,1.28046973,0.161536503,,,
2015/12/24,0.628853299,1.188319913,0.069386686,,,
2015/12/31,0.720982274,1.280448887,0.16151566,,,
2016/1/8,0.569606335,1.129072948,0.010139721,,,
2016/1/15,0.542776191,1.102242805,-0.016690422,,,
2016/1/22,0.566660802,1.126127415,0.007194188,,,
2016/1/29,0.566259733,1.125726346,0.006793119,,,
2016/2/5,0.619614504,1.179081118,0.060147891,,,
2016/2/12,0.685615407,1.245082021,0.126148793,,,
2016/2/19,0.575333238,1.134799852,0.015866625,,,
2016/2/26,0.764116056,1.32358267,0.204649443,,,
2016/3/4,0.790331582,1.349798196,0.230864969,,,
2016/3/11,0.801392084,1.360858697,0.24192547,,,
2016/3/18,0.772404015,1.331870629,0.212937402,,,
2016/3/25,0.849051621,1.408518234,0.289585007,,,
2016/4/1,0.847556529,1.407023142,0.288089915,,,
2016/4/8,0.815542736,1.37500935,0.256076123,,,
2016/4/15,0.82540063,1.384867244,0.265934017,,,
2016/4/22,0.77541956,1.334886173,0.215952946,,,
2016/4/29,0.726448435,1.285915048,0.166981821,,,
2016/5/6,0.782466485,1.341933098,0.222999871,,,
2016/5/13,0.653156187,1.2126228,0.093689573,,,
2016/5/20,0.772191797,1.331658411,0.212725183,,,
2016/5/27,0.778919263,1.338385877,0.21945265,,,
2016/6/3,0.731118751,1.290585365,0.171652137,,,
2016/6/10,0.793618482,1.353085096,0.234151869,,,
2016/6/17,0.873920034,1.433386647,0.31445342,,,
2016/6/24,0.755854093,1.315320706,0.196387479,,,
2016/7/1,0.766686463,1.326153076,0.207219849,,,
2016/7/8,0.784605032,1.344071646,0.225138419,,,
2016/7/15,0.805935405,1.365402019,0.246468792,,,
2016/7/22,0.785011751,1.344478364,0.225545137,,,
2016/7/29,0.833184542,1.392651155,0.273717928,,,
2016/8/5,0.924280185,1.483746799,0.364813572,,,
2016/8/12,0.926692709,1.486159323,0.367226096,,,
2016/8/19,0.918026776,1.47749339,0.358560162,,,
2016/8/26,0.983644952,1.543111565,0.424178338,,,
2016/9/2,0.936809065,1.496275679,0.377342452,,,
2016/9/9,0.891911252,1.451377866,0.332444639,,,
2016/9/16,0.894042997,1.45350961,0.334576383,,,
2016/9/23,0.806421481,1.365888095,0.246954868,,,
2016/9/30,0.803917722,1.363384336,0.244451108,,,
2016/10/7,0.826353588,1.385820201,0.266886974,,,
2016/10/14,0.645347563,1.204814176,0.085880949,,,
