日期,话题热度占比（%）,95%置信区间上界（%）,95%置信区间下界（%）,话题热度占比预测（%）,置信度为95%的预测区间上界（%）,置信度为95%的预测区间下界（%）
2013/1/1,0.64369145,1.218380493,0.069002407,,,
2013/1/8,0.473699845,1.048388888,-0.100989198,,,
2013/1/15,0.280683457,0.8553725,-0.294005586,,,
2013/1/22,0.302301268,0.876990311,-0.272387775,,,
2013/1/29,0.296956644,0.871645687,-0.277732399,,,
2013/2/5,0.281779511,0.856468554,-0.292909532,,,
2013/2/19,0.179461863,0.754150906,-0.39522718,,,
2013/2/26,0.27309422,0.847783263,-0.301594823,,,
2013/3/5,0.291239682,0.865928725,-0.283449361,,,
2013/3/12,0.20031021,0.774999253,-0.374378833,,,
2013/3/19,0.175254902,0.749943945,-0.399434141,,,
2013/3/26,0.229427106,0.804116149,-0.345261937,,,
2013/4/2,0.196773233,0.771462276,-0.37791581,,,
2013/4/9,0.210437816,0.785126859,-0.364251227,,,
2013/4/16,0.1237047,0.698393743,-0.450984343,,,
2013/4/23,0.161603177,0.736292219,-0.413085866,,,
2013/4/30,0.168098653,0.742787696,-0.40659039,,,
2013/5/7,0.14854516,0.723234203,-0.426143883,,,
2013/5/14,0.137422528,0.712111571,-0.437266515,,,
2013/5/21,0.167125952,0.741814995,-0.407563091,,,
2013/5/28,0.164126975,0.738816018,-0.410562068,,,
2013/6/4,0.217190375,0.791879418,-0.357498668,,,
2013/6/11,0.154940193,0.729629236,-0.41974885,,,
2013/6/18,0.174503623,0.749192666,-0.40018542,,,
2013/6/25,0.182700966,0.757390009,-0.391988077,,,
2013/7/2,0.378319261,0.953008304,-0.196369782,,,
2013/7/9,0.280658697,0.85534774,-0.294030346,,,
2013/7/16,0.244277775,0.818966818,-0.330411268,,,
2013/7/23,0.339000003,0.913689046,-0.23568904,,,
2013/7/30,0.325475242,0.900164285,-0.249213801,,,
2013/8/6,0.168515512,0.743204555,-0.406173531,,,
2013/8/13,0.214075147,0.78876419,-0.360613895,,,
2013/8/20,0.287024815,0.861713858,-0.287664228,,,
2013/8/27,0.188681944,0.763370987,-0.386007099,,,
2013/9/3,0.132743313,0.707432356,-0.44194573,,,
2013/9/10,0.176104027,0.750793069,-0.398585016,,,
2013/9/17,0.103825535,0.678514578,-0.470863508,,,
2013/9/24,0.229161626,0.803850669,-0.345527417,,,
2013/10/1,0.209856542,0.784545585,-0.364832501,,,
2013/10/8,0.164823229,0.739512272,-0.409865814,,,
2013/10/15,0.186188858,0.760877901,-0.388500185,,,
2013/10/22,0.186186661,0.760875703,-0.388502382,,,
2013/10/29,0.199347406,0.774036449,-0.375341637,,,
2013/11/5,0.221856862,0.796545905,-0.352832181,,,
2013/11/12,0.229769038,0.804458081,-0.344920005,,,
2013/11/19,0.250592338,0.82528138,-0.324096705,,,
2013/11/26,0.16621678,0.740905823,-0.408472263,,,
2013/12/3,0.155235491,0.729924534,-0.419453552,,,
